seq_no,battle_name,assault_fortified,assault_outcome,union_result,confed_result,win_side,state,theater,start_date,end_date
32,CHATTANOOGA,U,Success,Victory,,UNION,TN,MW,11/23/63,11/25/63
33,MINE RUN,,,,Victory,CONFEDERATE,VA,ME,11/27/63,12/1/63
34,"OLUSTEE, FLA",,,Defeat,Victory,CONFEDERATE,FL,LS,2/20/64,2/20/64
35,PLEASANT HILL,,,Defeat,Victory,CONFEDERATE,LA,TM,4/9/64,4/9/64
36,ATLANTA CAMPAIGN,,,,,UNION,GA,MW,5/5/64,5/28/64
37,WILDERNESS,,,,,CONFEDERATE,VA,ME,5/5/64,5/7/64
38,SPOTTSYLVANIA I,U,Failure,,,CONFEDERATE,VA,ME,5/10/64,5/10/64
39,SPOTTSYLVANIA II,U,Partial Success,,,CONFEDERATE,VA,ME,5/12/64,5/12/64
40,DREWRY'S BLUFF,,,Defeat,Victory,CONFEDERATE,VA,ME,5/12/64,5/16/64
41,COLD HARBOR,U,Failure,,,CONFEDERATE,VA,ME,6/1/64,6/3/64
42,PETERSBURG,U,Partial Success,,,CONFEDERATE,VA,ME,6/15/64,6/18/64
43,KENESAW MOUNTAIN,U,Failure,,Victory,CONFEDERATE,GA,MW,6/27/64,6/27/64
44,"TUPELO, MISS",,,,Defeat,UNION,MS,MW,7/13/64,7/15/64
45,PEACH TREE CREEK,C,Failure,Victory,,UNION,GA,MW,7/20/64,7/20/64
46,ATLANTA,C,Failure,Victory,,UNION,GA,MW,7/22/64,7/22/64
47,EZRA CHURCH (ATLANTA),C,Failure,Victory,,UNION,GA,MW,7/28/64,7/28/64
48,THE MINE,U,Failure,,,CONFEDERATE,VA,ME,7/30/64,7/30/64
49,DEEP BOTTOM,U,Partial Success,,,CONFEDERATE,VA,ME,8/14/64,8/19/64
50,WELDON RAILROAD,,,Victory,Defeat,UNION,VA,ME,8/18/64,8/21/64
51,"JONESBORO, GA I",C,Failure,Victory,,UNION,GA,MW,8/31/64,8/31/64
52,"JONESBORO, GA II",U,Success,,,UNION,GA,MW,9/1/64,9/1/64
53,WINCHESTER (OPEQUAN),U,Success,Victory,Rout,UNION,GA,MW,9/19/64,9/19/64
54,CHAFFIN'S FARM AND FORTS HARRISON AND GILMER,U,Partial Success,,,UNION,VA,ME,9/29/64,9/30/64
55,CEDAR CREEK,,,Victory,Rout,UNION,VA,ME,10/19/64,10/19/64
56,BOYDTON PLANK ROAD,,,,,CONFEDERATE,VA,ME,10/27/64,10/28/64
57,FRANKLIN,C,Failure,Retired,,UNION,TN,MW,11/30/64,11/30/64
58,NASHVILLE,U,Success,,Rout,UNION,TN,MW,12/15/64,12/16/64
59,HATCHER'S RUN,,,,,CONFEDERATE,VA,ME,2/5/65,2/7/65
60,BENTONVILLE,C,Failure,Victory,,UNION,NC,MW,3/19/65,3/19/65
61,APPOMATOX CAMPAIGN,,,,,UNION,VA,ME,3/29/65,4/9/65
62,DINWIDDIE COURTHOUSE AND WHITE OAK ROAD,,,Victory,,UNION,VA,ME,3/29/65,3/31/65
63,PETERSBURG II,U,Success,,Rout,UNION,VA,ME,4/2/65,4/2/65
