"seq_no","str","kia","wia","kw","miapow","belligerent","attacker"
23,4564,28,81,109,4791,"CONFEDERATE",FALSE
23,28944,134,898,1032,29,"UNION",TRUE
24,57352,1665,9081,10746,2018,"CONFEDERATE",FALSE
24,97382,1575,9594,11169,5676,"UNION",TRUE
25,20000,381,1800,2181,1670,"CONFEDERATE",FALSE
25,29373,410,1844,2254,187,"UNION",TRUE
26,22301,,,6240,,"CONFEDERATE",FALSE
26,45556,502,2550,3052,147,"UNION",TRUE
27,4192,,,235,,"CONFEDERATE",FALSE
27,13000,293,1545,1838,157,"UNION",TRUE
28,3487,22,25,47,,"CONFEDERATE",FALSE
28,6000,203,1401,1604,188,"UNION",TRUE
29,75054,3903,18735,22638,5425,"CONFEDERATE",TRUE
29,83289,3155,14529,17684,5365,"UNION",FALSE
30,1785,36,133,169,5,"CONFEDERATE",FALSE
30,5264,246,880,1126,389,"UNION",TRUE
31,66326,2312,14674,16986,1468,"CONFEDERATE",TRUE
31,58222,1657,9756,11413,4757,"UNION",FALSE
32,46165,361,2160,2521,4146,"CONFEDERATE",FALSE
32,56359,753,4722,5475,349,"UNION",TRUE
33,44426,110,570,680,65,"CONFEDERATE",FALSE
33,69643,173,1099,1272,381,"UNION",TRUE
34,5200,93,841,934,,"CONFEDERATE",TRUE
34,5115,203,1152,1355,506,"UNION",FALSE
35,14300,,,1000,500,"CONFEDERATE",FALSE
35,12647,150,844,994,375,"UNION",TRUE
36,66089,,,9187,,"CONFEDERATE",FALSE
36,110123,,,10528,1240,"UNION",TRUE
37,61025,,,7750,,"CONFEDERATE",FALSE
37,101895,2246,12037,14283,3383,"UNION",TRUE
38,,,,,,"CONFEDERATE",FALSE
38,37822,753,3347,4100,,"UNION",TRUE
39,,,,,,"CONFEDERATE",FALSE
39,65785,,,6020,800,"UNION",TRUE
40,18025,,,2860,210,"CONFEDERATE",FALSE
40,15800,390,2380,2770,1390,"UNION",TRUE
41,,,,,,"CONFEDERATE",FALSE
41,107907,,,12000,,"UNION",TRUE
42,41499,,,,,"CONFEDERATE",FALSE
42,63797,,,8150,,"UNION",TRUE
43,17733,,,270,172,"CONFEDERATE",FALSE
43,16225,,,1999,52,"UNION",TRUE
44,6600,210,1116,1326,,"CONFEDERATE",TRUE
44,14000,77,559,636,38,"UNION",FALSE
45,18832,,,2500,,"CONFEDERATE",TRUE
45,20139,,,1600,,"UNION",FALSE
46,36934,,,7000,1000,"CONFEDERATE",TRUE
46,30477,430,1559,1989,1733,"UNION",FALSE
47,18450,,,4100,200,"CONFEDERATE",TRUE
47,13226,,,559,73,"UNION",FALSE
48,11466,,,,,"CONFEDERATE",FALSE
48,20708,,,2864,929,"UNION",TRUE
49,20008,,,,,"CONFEDERATE",FALSE
49,27974,328,1852,2180,721,"UNION",TRUE
50,14787,,,1200,419,"CONFEDERATE",FALSE
50,20289,198,1105,1303,3152,"UNION",TRUE
51,23811,,,1725,,"CONFEDERATE",TRUE
51,14170,,,179,,"UNION",FALSE
52,12661,,,,,"CONFEDERATE",FALSE
52,20460,223,946,1169,105,"UNION",TRUE
53,17103,276,1827,2103,1818,"CONFEDERATE",FALSE
53,37711,697,3983,4680,338,"UNION",TRUE
54,10836,,,,,"CONFEDERATE",FALSE
54,19639,383,2299,2682,645,"UNION",TRUE
55,18410,320,1540,1860,1050,"CONFEDERATE",TRUE
55,30829,644,3430,4074,1591,"UNION",FALSE
56,20324,,,,,"CONFEDERATE",FALSE
56,42823,166,1028,1194,564,"UNION",TRUE
57,26897,1750,3800,5550,702,"CONFEDERATE",TRUE
57,27939,189,1033,1222,1104,"UNION",FALSE
58,23207,,,,4462,"CONFEDERATE",FALSE
58,49773,387,2562,2949,112,"UNION",TRUE
59,13835,,,,,"CONFEDERATE",FALSE
59,34517,170,1160,1330,182,"UNION",TRUE
60,16895,195,1313,1508,610,"CONFEDERATE",TRUE
60,16127,139,794,933,170,"UNION",FALSE
61,49496,,,6266,43230,"CONFEDERATE",FALSE
61,112992,1316,7750,9066,1714,"UNION",TRUE
62,20030,,,,,"CONFEDERATE",FALSE
62,45247,,,2198,583,"UNION",TRUE
63,18576,,,,,"CONFEDERATE",FALSE
63,63299,625,3189,3814,326,"UNION",TRUE
