date,description,confederate,union,theater,cwsac_id
1862-12-14,Goldsboro Bridge. NC - December 17,110.0,110.0,Eastern,NC009
1862-12-14,"Jackson, TN - December 19",,6.0,Western,TN009
1862-12-21,Chickasaw Bayou. MS - December 26-29,187.0,1176.0,Western,MS003
1862-12-28,Parker's Cross Roads. TN - December 31,500.0,237.0,Western,TN011
1862-12-28,"Galveston II, TX January 1",50.0,600.0,Trans-Mississippi,TX003
1862-12-28,"Stones River, TN - January 2",10000.0,13000.0,Western,TN010
1863-01-04,"Springfield II, MO - January 8",240.0,163.0,Trans-Mississippi,MO018
1863-01-04,"Hartville, MO - January 9-11",329.0,78.0,Trans-Mississippi,MO019
1863-01-04,"Arkansas Post, AR January 9 11",5004.0,1092.0,Western,AR006
1863-01-25,"Bear River, ID - January 29",250.0,65.0,Pacific Coast,ID001
1863-02-01,"Dover, TN - February 3",855.0,110.0,Western,TN012
1863-03-01,"Fort McAllister, GA- January 27-March 3",1.0,0.0,Lower Seaboard,GA002
1863-03-01,"Thompson's Station, TN - March 4-5",357.0,1600.0,Western,TN013
1863-03-08,"Fort Anderson, NC - March 13-15",3.0,4.0,Eastern,NC010
1863-03-15,Kelly's Ford. VA - March 17,80.0,99.0,Eastern,VA029
1863-03-15,"Vaught's Hill, TN - March 20",150.0,38.0,Western,TN014
1863-03-22,Brentwood. TN - March 25,3.0,529.0,Western,TN015
1863-04-05,"Charleston Harbor 1, SC April 7",14.0,22.0,Lower Seaboard,SC004
1863-04-05,"Franklin I, IN-April 10",137.0,100.0,Western,TN016
1863-04-12,"Fort Bisland, LA-April 12-13",450.0,224.0,Lower Seaboard,LA006
1863-04-12,"Irish Bend, LA - April 14",,353.0,Lower Seaboard,LA007
1863-04-12,"Washington, NC - March 30-April 20",50.0,50.0,Eastern,NC011
1863-04-19,Suffolk. VA - April 19,900.0,260.0,Eastern,VA031
1863-04-26,"Cape Girardeau, MO - April 26",325.0,12.0,Trans-Mississippi,MO020
1863-04-26,"Grand Gulf, MS - April 29",,80.0,Western,MS004
1863-04-26,"Day's Gap, Al. - April 30",65.0,23.0,Western,AL001
1863-04-26,"Port Gibson, MS - May 1",787.0,875.0,Western,MS006
1863-04-26,Chalk Bluff AR - May 1-2,45.0,45.0,Trans-Mississippi,AR007
1863-05-03,"Chancellorsville, VA - April 30-May 6; Fredericksburg II, VA - May ; Salem Church, VA - May 3-4",12800.0,18000.0,Eastern,VA032 VA034 VA033
1863-05-10,"Raymond, MS - May 12",514.0,442.0,Western,MS007
1863-05-10,"Jackson, MS - May 14",850.0,286.0,Western,MS008
1863-05-10,"Champion Hill, MS May 16",3840.0,2441.0,Western,MS009
1863-05-17,"Big Black River Bridge, MS - May 17",1751.0,276.0,Western,MS010
1863-05-17,"Battle of Vicksburg, MS - May 18-22",500.0,3199.0,Western,MS011
1863-05-17,"Plains Store, LA - May 21",100.0,150.0,Lower Seaboard,LA009
1863-05-24,"Battle of Port Hudson I, LA - May 27",500.0,2000.0,Lower Seaboard,LA010
1863-06-07,"Milliken's Bend, LA - June 7",185.0,652.0,Western,LA011
1863-06-07,"Brandy Station, VA - June 9",515.0,868.0,Eastern,VA035
1863-06-14,"Second Winchester, VA - June 13-15",266.0,4443.0,Eastern,VA107
1863-06-14,"Aldie, Middleburg, Upperville - June 17-21",510.0,827.0,Eastern,VA036 VA037 VA038
1863-06-14,"Lafourche Crossing, LA - June 20-21",219.0,49.0,Lower Seaboard,LA012
1863-06-21,"Hoover's Gap, TN - June 24-26",,583.0,Western,TN017
1863-06-28,"Donaldsville II, LA - June 28",301.0,23.0,Lower Seaboard,LA013
1863-06-28,"Goodrich's Landing, LA - June 29-30",6.0,150.0,Western,LA014
1863-06-28,"Hanover, PA June 30",74.0,154.0,Eastern,PA001
1863-06-28,"Cabin Creek, OK - July 1-2",59.0,21.0,Trans-Mississippi,OK006
1863-06-28,"Gettysburg, PA-July 1-3",28000.0,23000.0,Eastern,PA002
1863-06-28,"Siege of Vicksburg, MS - July 4",32197.0,1636.0,Western,MS011
1863-06-28,"Helena, AR - July 4",1636.0,239.0,Western,AR008
1863-07-05,"Williamsport, MD - July 6",254.0,400.0,Eastern,MD004
1863-07-05,"Siege of Port Hudson, LA-May 22-July 9",7500.0,10000.0,Lower Seaboard,LA010
1863-07-05,"Corydon, IN - July 9",51.0,360.0,Western,IN001
1863-07-05,"Fort Wagner I, SC - July 10-11",12.0,339.0,Lower Seaboard,SC005
1863-07-12,"Kock's Plantation, LA - July 12-13",33.0,465.0,Lower Seaboard,LA015
1863-07-12,"Boonesboro/Falling Waters, MD July 8-14",920.0,158.0,Eastern,MD006
1863-07-12,"Grimball's Landing, SC - July 16",18.0,46.0,Lower Seaboard,SC006
1863-07-12,"Honey Springs, OK - July 17",134.0,77.0,Trans-Mississippi,OK007
1863-07-12,"Fort Wagner II, SC-July 18",222.0,1515.0,Lower Seaboard,SC007
1863-07-19,"Buffington Island, Oil - July 19",900.0,25.0,Western,OH001
1863-07-19,"Manassas Gap, VA July 23",220.0,220.0,Eastern,VA108
1863-07-19,"Big Mound, ND - July 24",80.0,7.0,Trans-Mississippi,ND001
1863-07-26,"Salineville, OH - July 26",364.0,0.0,Western,OH002
1863-07-26,"Dead Buffalo Lake, ND - July 26",9.0,1.0,Trans-Mississippi,ND002
1863-07-26,"Stoney Lake, ND - July 28",0.0,0.0,Trans-Mississippi,ND003
1863-08-16,"Lawrence, KS - August 21",,150.0,Trans-Mississippi,KS001
1863-08-30,"Devil's Backbone, AR - September 1",17.0,14.0,Trans-Mississippi,AR009
1863-08-30,"Whitestonc Hill, ND - September 3-4",300.0,70.0,Trans-Mississippi,ND004
1863-09-06,"Charleston Harbor II, SC - September 5-8",100.0,117.0,Lower Seaboard,SC008 SC009
1863-09-06,"Sabine Pass II, TX - September 8",0.0,350.0,Trans-Mississippi,TX006
1863-09-06,"Bayou Fourche, AR - September 10",64.0,72.0,Trans-Mississippi,AR010
1863-09-13,"Chickamauga, GA- September 18-20",18454.0,16170.0,Western,GA004
1863-09-20,"Blountville, TN September 22",165.0,27.0,Western,TN019
1863-09-27,"Stirling's Plantation, LA - September 29",121.0,515.0,Lower Seaboard,LA016
1863-10-04,"Baxter Springs, KS - October 6",3.0,103.0,Trans-Mississippi,KS002
1863-10-04,"Blue Springs, TN - October 10",216.0,100.0,Western,TN020
1863-10-11,"Auburn I & ll, VA - October 13 & 14",82.0,82.0,Eastern,VA039
1863-10-11,"Bristoe Station, VA - October 14",1380.0,540.0,Eastern,VA040
1863-10-11,"Fort Brooke, FL - October 16-18",,16.0,Lower Seaboard,FL004
1863-10-18,"Buckland Mills, VA - October 19",115.0,115.0,Eastern,VA042
1863-10-25,"Pine Bluff, AR - October 25",40.0,56.0,Trans-Mississippi,AR011
1863-10-25,Wauhatchie. TN - October 28-29,356.0,216.0,Western,TN021
1863-11-01,"Collierville, TN - November 3",95.0,60.0,Western,TN022
1863-11-01,"Droop Mountain, WVA November 6",275.0,140.0,Eastern,WV012
1863-11-01,Rappahannock Station. VA - November 7,2041.0,461.0,Eastern,VA043
1863-11-15,Campbell's Station. TN - November 16,570.0,400.0,Western,TN023
1863-11-22,Chattanooga III. TN - November 23-25,6667.0,5815.0,Western,TN024
1863-11-22,Ringgold Gap. GA - November 27,221.0,507.0,Western,GA005
1863-11-29,"Fort Sanders, TN - November 29",800.0,15.0,Western,TN025
1863-11-29,"Mine Run, VA Nov 26 Dec. 2",795.0,1633.0,Eastern,VA044
1863-12-13,"Bean's Station, TN - December 14",222.0,115.0,Western,TN026
1863-12-27,"Mossy Creek, TN - December 29",,151.0,Western,TN027
1864-01-17,"Dandridge, TN - January 17",,150.0,Western,TN028
1864-01-24,"Athens, AL - January 26",30.0,20.0,Western,AL002
1864-01-24,"Fair Garden, TN January 27 28",165.0,100.0,Western,TN029
1864-01-31,"Morton's Ford, VA - February 6-7",165.0,100.0,Eastern,VA045
1864-02-07,"Middle Boggy, OK - February 13",47.0,0.0,Trans-Mississippi,OK005
1864-02-14,"Meridian, MS - February 14",,170.0,Western,MS012
1864-02-14,"Olustee, FL - February 20",946.0,1861.0,Lower Seaboard,FL005
1864-02-21,"Okolona, MS - February 22",144.0,388.0,Western,MS013
1864-02-21,"Dalton I, GA - February 22-27",140.0,289.0,Western,GA006
1864-02-28,"Walkerton, VA - March 2",0.0,100.0,Eastern,VA125
1864-03-06,"Fort DeRussy, LA - March 14",269.0,48.0,Trans-Mississippi,LA017
1864-03-20,"Paducah, KY March 25",50.0,90.0,Western,KY010
1864-04-03,"Elkin's Ferry, AR - April 3-4",29.0,26.0,Trans-Mississippi,AR012
1864-04-03,"Mansfield, LA - April 8",1000.0,2235.0,Trans-Mississippi,LA018
1864-04-03,"Pleasant Hill, LA - April 9",1626.0,1369.0,Trans-Mississippi,LA019
1864-04-10,"Prairie D'Ane, AR - April 10-13",50.0,100.0,Trans-Mississippi,AR013
1864-04-10,"Fort Pillow, TN - April 12",100.0,549.0,Western,TN030
1864-04-10,"Blair's Landing, LA - April 12",57.0,60.0,Trans-Mississippi,LA020
1864-04-17,"Plymouth, NC - April 17-20",300.0,2900.0,Eastern,NC012
1864-04-17,"Poison Spring, AR - April 18",114.0,301.0,Trans-Mississippi,AR014
1864-04-17,"Monett's Ferry, LA - April 23",400.0,200.0,Trans-Mississippi,LA021
1864-04-24,"Mark's Mills, AR - April 25",293.0,1500.0,Trans-Mississippi,AR015
1864-04-24,"Jenkin's Ferry, AR - April 30",1000.0,700.0,Trans-Mississippi,AR016
1864-05-01,"Albermarle Sound, NC - May 5",44.0,44.0,Eastern,NC013
1864-05-01,"Battle of the Wilderness, VA - May 5-6",11125.0,18000.0,Eastern,VA046
1864-05-01,"Port Walthall Junction, VA - May 6-7",275.0,275.0,Eastern,VA047
1864-05-08,Swift Creek & Fort Clifton. VA May 9,495.0,495.0,Eastern,VA050
1864-05-08,"Chester Station, VA - May 9",284.0,285.0,Eastern,VA051
1864-05-08,"Cloyd's Mountain, VA - May 9",538.0,688.0,Eastern,VA049
1864-05-08,"Rocky Face Ridge, GA - May 7-13",600.0,837.0,Western,GA007
1864-05-08,"Resaca, GA - May 13-15",2800.0,2747.0,Western,GA008
1864-05-08,"Cove Mountain, VA May 10",150.0,150.0,Eastern,VA109
1864-05-08,"Yellow Tavern, VA - May 11",400.0,400.0,Eastern,VA052
1864-05-15,"Proctor's Creek, VA - May 12-16",1000.0,3004.0,Eastern,VA053
1864-05-15,"New Market, VA - May 15",520.0,841.0,Eastern,VA110
1864-05-15,"Adairsville, GA- May 17",,200.0,Western,GA009
1864-05-15,"Yellow Bayou, LA - May 18",500.0,360.0,Trans-Mississippi,LA023
1864-05-15,"Spotsylvania C. H., VA - May 8-21",12451.0,18000.0,Eastern,VA048
1864-05-15,"Warre Bottom Church Hewlet, VA-May20",750.0,750.0,Eastern,VA054
1864-05-22,"North Anna, VA May 23-26",1550.0,2623.0,Eastern,VA055
1864-05-22,"Wilson's Wharf, VA - May 24",140.0,26.0,Eastern,VA056
1864-05-22,"New Hope Church, GA - May 25-26",350.0,665.0,Western,GA010
1864-05-22,"Pickett's Mill, GA - May 27",450.0,1600.0,Western,GA012
1864-05-22,"Dallas, GA - May 28",1250.0,380.0,Western,GA011
1864-05-22,"Haw's Shop, VA May 28",400.0,344.0,Eastern,VA058
1864-05-29,"Totopotomoy Ck/Bcthesda, VA - May28-30",1591.0,731.0,Eastern,VA057
1864-05-29,"Matadequin Creek, VA - May 30",,90.0,Eastern,VA059
1864-05-29,"Cold Harbor, VA - May 31-June 12",5294.0,13000.0,Eastern,VA062
1864-06-05,"Piedmont, VA - June 5",1600.0,875.0,Eastern,VA111
1864-06-05,"Ditch Bayou, AR June 6",37.0,133.0,Trans-Mississippi,AR017
1864-06-05,"Petersburg I, VA - June 9",60.0,60.0,Eastern,VA098
1864-06-05,"Brices Cross Roads, MS - June 10",493.0,2612.0,Western,MS014
1864-06-05,"Trevilian Station, VA- June 11-12",1071.0,1007.0,Eastern,VA099
1864-06-05,"Cynthiana, KY - June 11-12",1000.0,1092.0,Western,KY011
1864-06-12,"Petersburg II, VA-June 15-18",4700.0,10600.0,Eastern,VA063
1864-06-12,"Lynchburg, VA - June 17-18",200.0,700.0,Eastern,VA064
1864-06-19,"Kolb's Farm, GA - June 22",1000.0,350.0,Western,GA014
1864-06-19,"Jerusalem Plank Road, VA - June 21-23",572.0,2962.0,Eastern,VA065
1864-06-19,Samaria Church. VA - June 24,250.0,350.0,Eastern,VA066
1864-06-19,"Staunton River Bridge, VA - June 25",75.0,75.0,Eastern,VA113
1864-06-26,"Reams Station, VA - June 29",722.0,723.0,Eastern,VA068
1864-06-26,"Kennesaw Mountain, GA-June 27",1000.0,3000.0,Western,GA015
1864-07-03,"Monocacy, MD - July 9",800.0,1294.0,Eastern,MD007
1864-07-10,"Fort Stevens, DC - July 11-12",500.0,373.0,Eastern,DC001
1864-07-10,"Tupelo, MS - July 14-15",1326.0,674.0,Western,MS015
1864-07-17,"Cool Spring, VA - July 17-18",397.0,422.0,Eastern,VA114
1864-07-17,"Rutherford's Farm, VA - July 20",500.0,242.0,Eastern,VA115
1864-07-17,"Peachtree Creek, GA - July 20",4796.0,1710.0,Western,GA016
1864-07-17,"Atlanta, GA - July 22",8499.0,3641.0,Western,GA017
1864-07-24,"Second Kernstown, VA - July 24",600.0,1185.0,Eastern,VA116
1864-07-24,"First Deep Bottom, VA July 27 29",500.0,500.0,Eastern,VA069
1864-07-24,"Ezra Church, GA - July 28",4642.0,700.0,Western,GA018
1864-07-24,"Killdeer Mountain, ND - July 28-29",31.0,15.0,Trans-Mississippi,ND005
1864-07-24,"The Crater, VA - July 30",1491.0,3798.0,Eastern,VA070
1864-07-31,"Folck's Mill, MD - August 1",30.0,30.0,Eastern,MD008
1864-07-31,"Utoy Creek, GA - August 5-7",225.0,400.0,Western,GA019
1864-08-07,"Morefield, WVA - August 7",500.0,31.0,Eastern,WV013
1864-08-14,"Guard Hill, VA - August 16",480.0,71.0,Eastern,VA117
1864-08-14,"Second Deep Bottom, VA - August 1 3-20",1300.0,2900.0,Eastern,VA071
1864-08-14,"Globe Tavern, VA - July 18-21",1600.0,4455.0,Eastern,VA072
1864-08-14,"Lovejoy's Station, GA - August 20",240.0,237.0,Western,GA021
1864-08-21,"Summit Pt/Cameron's Dt, WVA - Aug, 21",400.0,600.0,Eastern,WV014
1864-08-21,"Memphis II, TN - August 21",62.0,480.0,Western,TN031
1864-08-21,"Mobile Bay, AI . - August 2-23",1500.0,327.0,Western,AL003
1864-08-21,Reams Station 11. VA - August 25,814.0,2742.0,Eastern,VA073
1864-08-28,"Smithfield Crossing, WVA - Aug. 28-29",200.0,100.0,Eastern,WV015
