battle_id,belligerent,casualties_min,casualties_max,killed_wounded_min,killed_wounded_max,missing
VA042,Confederate,,,,,
VA042,US,,,,,
VA043,Confederate,2041,2041,,,
VA043,US,461,461,,,
VA044,Confederate,795,795,,,
VA044,US,1633,1633,,,
VA045,Confederate,,,,,
VA045,US,,,,,
VA046,Confederate,10800,10800,,,
VA046,US,18000,18000,,,
VA047,Confederate,,,,,
VA047,US,,,,,
VA048,Confederate,9000,10000,,,
VA048,US,18000,18000,,,
VA049,Confederate,538,538,,,
VA049,US,688,688,,,
VA050,Confederate,,,,,
VA050,US,,,,,
VA051,Confederate,,,,,
VA051,US,,,,,
VA052,Confederate,,,,,
VA052,US,,,,,
VA053,Confederate,1000,1000,,,
VA053,US,3004,3004,,,
VA054,Confederate,,,,,
VA054,US,,,,,
VA055,Confederate,2517,2517,,,
VA055,US,2623,2623,,,
VA056,Confederate,140,140,,,
VA056,US,26,26,,,
VA057,Confederate,1159,1159,,,
VA057,US,731,731,,,
VA058,Confederate,400,400,,,
VA058,US,344,344,,,
VA059,Confederate,,,,,
VA059,US,90,90,,,
VA062,Confederate,5000,5000,,,
VA062,US,13000,13000,,,
VA063,Confederate,2974,4700,,,
VA063,US,9964,10600,,,
VA064,Confederate,200,200,,,
VA064,US,700,700,,,
VA065,Confederate,572,572,,,
VA065,US,2962,2962,,,
VA067,Confederate,,,,,
VA067,US,,,,,
VA068,Confederate,,,,,
VA068,US,,,,,
VA069,Confederate,,,,,
VA069,US,,,,,
VA070,Confederate,1491,1491,,,
VA070,US,3798,3798,,,
VA071,Confederate,1300,1300,,,
VA071,US,2900,2900,,,
VA072,Confederate,1600,1600,,,
VA072,US,4455,4455,,,
VA073,Confederate,814,814,,,
VA073,US,2742,2742,,,
VA074,Confederate,1300,1300,,,
VA074,US,2869,2869,,,
VA075,Confederate,1750,1750,,,
VA075,US,4150,4150,,,
VA076,Confederate,108,108,,,
VA076,US,350,350,,,
VA077,Confederate,700,700,,,
VA077,US,458,458,,,
VA078,Confederate,50,50,,,
VA078,US,437,437,,,
VA079,Confederate,1300,1300,,,
VA079,US,1758,1758,,,
VA080,Confederate,100,100,,,
VA080,US,1603,1603,,,
VA081,Confederate,,,,,
VA081,US,,,,,
VA082,Confederate,,,,,
VA082,US,,,,,
VA083,Confederate,1000,1000,,,
VA083,US,1539,1539,,,
VA084,Confederate,2681,2681,732,732,1949
VA084,US,1017,1017,,,
VA085,Confederate,371,371,,,
VA085,US,381,381,,,
VA086,Confederate,760,760,,,
VA086,US,354,354,,,
VA087,Confederate,900,1235,,,
VA087,US,1781,1781,,,
VA088,Confederate,3000,3000,,,
VA088,US,830,830,,,
VA089,Confederate,4852,4852,,,
VA089,US,3894,3894,,,
VA090,Confederate,600,600,,,
VA090,US,366,366,,,
VA091,Confederate,,,,,
VA091,US,158,158,,,
VA092,Confederate,,,,,
VA092,US,66,66,,,
VA093,Confederate,7700,7700,,,
VA093,US,1148,1148,,,
VA094,Confederate,,,,,
VA094,US,571,571,,,
VA095,Confederate,100,100,,,
VA095,US,847,847,47,47,800
VA096,Confederate,,,,,1000
VA096,US,48,48,,,
VA097,Confederate,28731,28731,500,500,28231
VA097,US,164,164,,,
VA098,Confederate,,,,,
VA098,US,,,,,
VA099,Confederate,1071,1071,,,
VA099,US,1007,1007,,,
VA100,Confederate,0,0,,,
VA100,US,0,0,,,
VA101,Confederate,718,718,,,
VA101,US,590,590,,,
VA102,Confederate,500,500,,,
VA102,US,256,256,,,
VA103,Confederate,56,56,,,
VA103,US,904,904,,,
VA104,Confederate,400,400,,,
VA104,US,2019,2019,,,
VA105,Confederate,288,288,,,
VA105,US,684,684,,,
VA106,Confederate,800,800,,,
VA106,US,800,1000,,,
VA107,Confederate,266,266,,,
VA107,US,4443,4443,,,
VA108,Confederate,,,,,
VA108,US,,,,,
VA109,Confederate,,,,,
VA109,US,,,,,
VA110,Confederate,520,520,,,
VA110,US,841,841,,,
VA111,Confederate,1600,1600,,,
VA111,US,875,875,,,
VA066,Confederate,250,250,,,
VA066,US,350,350,,,
VA113,Confederate,,,,,
VA113,US,,,,,
VA114,Confederate,397,397,,,
VA114,US,422,422,,,
VA115,Confederate,500,500,,,
VA115,US,242,242,,,
VA116,Confederate,600,600,,,
VA116,US,1185,1185,,,
VA117,Confederate,480,480,,,
VA117,US,71,71,,,
VA118,Confederate,195,195,,,
VA118,US,312,312,,,
VA119,Confederate,3610,3610,,,
VA119,US,5020,5020,,,
VA120,Confederate,1235,1235,,,
VA120,US,528,528,,,
VA121,Confederate,350,350,,,
VA121,US,57,57,,,
VA122,Confederate,2910,2910,,,
VA122,US,5672,5672,,,
VA123,Confederate,1600,1600,,,
VA123,US,30,30,,,
VA124,Confederate,,,,,
VA124,US,81,81,,,
VA125,Confederate,0,0,,,
VA125,US,100,100,,,
WV001,Confederate,6,6,,,
WV001,US,5,5,,,
WV002,Confederate,25,25,,,
WV002,US,73,73,,,
WV003,Confederate,88,88,,,
WV003,US,74,74,,,
WV004,Confederate,40,40,,,
WV004,US,132,132,,,
WV005,Confederate,100,100,,,
WV005,US,71,71,,,
WV006,Confederate,32,32,,,
WV006,US,158,158,,,
WV007,Confederate,52,52,,,
WV007,US,43,43,,,
WV008,Confederate,146,146,,,
WV008,US,137,137,,,
WV009,Confederate,16,16,,,
WV009,US,129,129,,,
WV010,Confederate,286,286,,,
WV010,US,12719,12719,,,
WV012,Confederate,275,275,,,
WV012,US,140,140,,,
WV013,Confederate,500,500,,,
WV013,US,31,31,,,
WV014,Confederate,400,400,,,
WV014,US,600,600,,,
WV015,Confederate,200,200,,,
WV015,US,100,100,,,
WV016,Confederate,291,291,,,
WV016,US,363,363,,,
