battle_id,battle_name,url,start_date,end_date,alternate_names,location,state,campaign,result,total_casualties,total_strength,cwsac_id,dbpedia_url
first-deep-bottom,First Deep Bottom,http://www.civilwar.org/battlefields/first-deep-bottom.html,1864-07-27,1864-07-29,"Darbytown, Strawberry Plains, New Market Road, Gravel Hill",Henrico County,VA,Richmond-Petersburg Campaign,Confederate Victory,1067,28200,VA069,http://dbpedia.org/resource/First_Battle_of_Deep_Bottom
cross-keys,Cross Keys,http://www.civilwar.org/battlefields/cross-keys.html,1862-06-08,1862-06-08,,Rockingham County,VA,Jackson’s Shenandoah Valley Campaign,Confederate Victory,972,17300,VA105,http://dbpedia.org/resource/Battle_of_Cross_Keys
appomattox-courthouse,Appomattox Court House,http://www.civilwar.org/battlefields/appomattox-courthouse.html,1865-04-09,1865-04-09,Surrender,Appomattox County,VA,Appomattox Campaign,Union Victory,700,89285,VA097,http://dbpedia.org/resource/Battle_of_Appomattox_Court_House
chickamauga,Chickamauga,http://www.civilwar.org/battlefields/chickamauga.html,1863-09-18,1863-09-20,,Catoosa County and Walker County,GA,Chickamauga Campaign,Confederate Victory,34624,125000,GA004,http://dbpedia.org/resource/Battle_of_Chickamauga
resaca,Resaca,http://www.civilwar.org/battlefields/resaca.html,1864-05-13,1864-05-15,,Gordon County and Whitfield County,GA,Atlanta Campaign,Inconclusive,5547,158787,GA008,http://dbpedia.org/resource/Battle_of_Resaca
new-market-heights,New Market Heights,http://www.civilwar.org/battlefields/new-market-heights.html,1864-09-29,1864-09-30,,Henrico County,VA,Richmond-Petersburg Campaign,Union Victory,,,VA075,http://dbpedia.org/resource/Battle_of_Chaffin's_Farm
chancellorsville,Chancellorsville,http://www.civilwar.org/battlefields/chancellorsville.html,1863-04-30,1863-05-06,,Spotsylvania County,VA,,Confederate Victory,30764,154734,VA032,http://dbpedia.org/resource/Battle_of_Chancellorsville
cool-spring,Cool Spring,http://www.civilwar.org/battlefields/cool-spring.html,1864-07-18,1864-07-18,,Clarke County,VA,,Inconclusive,,,VA114,http://dbpedia.org/resource/Battle_of_Cool_Spring
fort-sumter,Fort Sumter,http://www.civilwar.org/battlefields/fort-sumter.html,1861-04-12,1861-04-14,,Charleston Harbor,SC,,Confederate Victory,0,580,SC001,http://dbpedia.org/resource/Battle_of_Fort_Sumter
white-oak-road,White Oak Road,http://www.civilwar.org/battlefields/white-oak-road.html,1865-03-31,1865-03-31,,Dinwiddie County,VA,Appomattox Campaign,Union Victory,,,VA087,http://dbpedia.org/resource/Battle_of_White_Oak_Road
perryville,Perryville,http://www.civilwar.org/battlefields/perryville.html,1862-10-08,1862-10-08,Battle of Chaplin Hills,Boyle County,KY,Confederate Heartland Offensive,Union Victory,7621,36000,KY009,http://dbpedia.org/resource/Battle_of_Perryville
dallas,Dallas,http://www.civilwar.org/battlefields/dallas.html,1864-05-28,1864-05-28,,Paulding County,GA,Atlanta Campaign,Union Victory,5400,120000,GA011,http://dbpedia.org/resource/Battle_of_Dallas
mine-creek,Mine Creek,http://www.civilwar.org/battlefields/mine-creek.html,1864-10-25,1864-10-25,,Linn County,KS,,Union Victory,,,KS003,http://dbpedia.org/resource/Battle_of_Mine_Creek
stones-river,Stones River,http://www.civilwar.org/battlefields/stones-river.html,1862-12-31,1863-01-02,Murfreesboro,Rutherford County,TN,,Union Victory,24645,76400,TN010,http://dbpedia.org/resource/Battle_of_Stones_River
wyse-fork,Wyse Fork,http://www.civilwar.org/battlefields/wyse-fork.html,1865-03-07,1865-03-10,,Lenoir County,NC,Carolina Campaign,Union Victory,,,NC017,http://dbpedia.org/resource/Battle_of_Wyse_Fork
