PersonID,Keyword
6420b474-c728-4537-84ce-09ae419a5398,Military
6420b474-c728-4537-84ce-09ae419a5398,Major General
6420b474-c728-4537-84ce-09ae419a5398,CS - Commander - LA010
6420b474-c728-4537-84ce-09ae419a5398,MWV
6420b474-c728-4537-84ce-09ae419a5398,Male
6420b474-c728-4537-84ce-09ae419a5398,Confederate
c97e392a-d319-4c82-9201-0a35f418a0a9,European American
c97e392a-d319-4c82-9201-0a35f418a0a9,Commanders
c97e392a-d319-4c82-9201-0a35f418a0a9,Soldiers
c97e392a-d319-4c82-9201-0a35f418a0a9,Commanders - Army
c97e392a-d319-4c82-9201-0a35f418a0a9,Major General
c97e392a-d319-4c82-9201-0a35f418a0a9,MWV
c97e392a-d319-4c82-9201-0a35f418a0a9,Male
c97e392a-d319-4c82-9201-0a35f418a0a9,CS - Commander - TN002
c97e392a-d319-4c82-9201-0a35f418a0a9,Confederate
c97e392a-d319-4c82-9201-0a35f418a0a9,CS - Commander - MO009
8c47a23f-aa9e-4471-aef9-0a684d289a91,European American
8c47a23f-aa9e-4471-aef9-0a684d289a91,Male
add4cd41-6acd-4edd-be40-0a794fd84493,European American
add4cd41-6acd-4edd-be40-0a794fd84493,Colonel
add4cd41-6acd-4edd-be40-0a794fd84493,Commanders
add4cd41-6acd-4edd-be40-0a794fd84493,Soldiers
add4cd41-6acd-4edd-be40-0a794fd84493,CS - Commander - LA009
add4cd41-6acd-4edd-be40-0a794fd84493,Commanders - Army
add4cd41-6acd-4edd-be40-0a794fd84493,Military
add4cd41-6acd-4edd-be40-0a794fd84493,Male
add4cd41-6acd-4edd-be40-0a794fd84493,Confederate
d065f68c-1ebb-494f-a90d-0ae1488c0059,European American
d065f68c-1ebb-494f-a90d-0ae1488c0059,Male
d53b386e-d584-4870-a79d-0b0624595842,US - Commander - VA100
d53b386e-d584-4870-a79d-0b0624595842,European American
d53b386e-d584-4870-a79d-0b0624595842,Union
d53b386e-d584-4870-a79d-0b0624595842,Commanders
d53b386e-d584-4870-a79d-0b0624595842,Sailors
d53b386e-d584-4870-a79d-0b0624595842,Military
d53b386e-d584-4870-a79d-0b0624595842,Lieutenant
d53b386e-d584-4870-a79d-0b0624595842,Commanders - Navy
d53b386e-d584-4870-a79d-0b0624595842,Male
314d43fb-cc90-46f6-b15a-0c49039657ee,European American
314d43fb-cc90-46f6-b15a-0c49039657ee,Colonel
314d43fb-cc90-46f6-b15a-0c49039657ee,CS - Commander - TX002
314d43fb-cc90-46f6-b15a-0c49039657ee,Commanders
314d43fb-cc90-46f6-b15a-0c49039657ee,Soldiers
314d43fb-cc90-46f6-b15a-0c49039657ee,Commanders - Army
314d43fb-cc90-46f6-b15a-0c49039657ee,Military
314d43fb-cc90-46f6-b15a-0c49039657ee,Male
314d43fb-cc90-46f6-b15a-0c49039657ee,Confederate
fc43214a-033c-4850-8754-0c5c1d20e261,European American
fc43214a-033c-4850-8754-0c5c1d20e261,Abolitionist
fc43214a-033c-4850-8754-0c5c1d20e261,Female
16a4cbb9-a9c2-4ab9-95ab-0c9cd1cbb91f,Male
16a4cbb9-a9c2-4ab9-95ab-0c9cd1cbb91f,Abolitionist
