cwsac_id,belligerent,casualties_kwm_mean,casualties_k_mean,casualties_w_mean,casualties_m_mean,casualties_kwm_var,casualties_k_var,casualties_w_var,casualties_m_var,casualties_kw_mean,casualties_kw_var,strength_mean,strength_var,casualties_km_mean,casualties_wm_mean,casualties_km_var,casualties_wm_var
GA004,Confederate,18454,,,,0.08333333333333333,,,,,,,,,,,
GA004,US,16170,,,,8.333333333333334,,,,,,,,,,,
GA005,Confederate,221,,,,0.08333333333333333,,,,,,,,,,,
GA005,US,507,,,,0.08333333333333333,,,,,,,,,,,
GA006,Confederate,140,,,,8.333333333333334,,,,,,,,,,,
GA006,US,289,,,,0.08333333333333333,,,,,,,,,,,
GA007,Confederate,600,,,,833.3333333333334,,,,,,,,,,,
GA007,US,837,,,,0.08333333333333333,,,,,,,,,,,
GA008,Confederate,2800,,,,833.3333333333334,,,,,,,,,,,
GA008,US,2747,,,,0.08333333333333333,,,,,,,,,,,
GA009,Confederate,,,,,,,,,,,,,,,,
GA009,US,200,,,,833.3333333333334,,,,,,,,,,,
GA010,Confederate,350,,,,8.333333333333334,,,,,,,,,,,
GA010,US,665,,,,0.08333333333333333,,,,,,,,,,,
GA011,Confederate,1500,,,,833.3333333333334,,,,,,,,,,,
GA011,US,380,,,,8.333333333333334,,,,,,,,,,,
GA012,Confederate,450,,,,8.333333333333334,,,,,,,,,,,
GA012,US,1600,,,,833.3333333333334,,,,,,,,,,,
GA013,Confederate,,,,,,,,,,,,,,,,
GA013,US,,,,,,,,,,,,,,,,
GA014,Confederate,1e3,,,,83333.33333333333,,,,,,,,,,,
GA014,US,350,,,,8.333333333333334,,,,,,,,,,,
GA015,Confederate,1e3,,,,83333.33333333333,,,,,,,,,,,
GA015,US,3e3,,,,83333.33333333333,,,,,,,,,,,
GA016,Confederate,4796,,,,0.08333333333333333,,,,,,,,,,,
GA016,US,1710,,,,8.333333333333334,,,,,,,,,,,
GA017,Confederate,8499,,,,0.08333333333333333,,,,,,,,,,,
GA017,US,3641,,,,0.08333333333333333,,,,,,,,,,,
GA018,Confederate,4642,,,,0.08333333333333333,,,,,,,,,,,
GA018,US,700,,,,833.3333333333334,,,,,,,,,,,
GA019,Confederate,225,,,,0.08333333333333333,,,,,,,,,,,
GA019,US,400,,,,833.3333333333334,,,,,,,,,,,
GA020,Confederate,,,,,,,,,,,,,,,,
GA020,US,,,,,,,,,,,,,,,,
GA021,Confederate,240,,,,8.333333333333334,,,,,,,,,,,
GA021,US,237,,,,0.08333333333333333,,,,,,,,,,,
GA022,Confederate,2e3,,,,83333.33333333333,,,,,,,,,,,
GA022,US,1149,,,,0.08333333333333333,,,,,,,,,,,
GA023,Confederate,897,,,,0.08333333333333333,,,,,,2e3,83333.33333333333,,,,
GA023,US,706,,,,0.08333333333333333,,,,,,1944,0.08333333333333333,,,,
GA025,Confederate,650,,,,8.333333333333334,,,,,,,,,,,
GA025,US,62,,,,0.08333333333333333,,,,,,,,,,,
GA026,Confederate,600,,,,833.3333333333334,,,,,,,,,,,
GA026,US,46,,,,0.08333333333333333,,,,,,,,,,,
GA027,Confederate,250,,,,8.333333333333334,,,,,,,,,,,
GA027,US,190,,,,8.333333333333334,,,,,,,,,,,
GA028,Confederate,250,,,,8.333333333333334,,,,,,250,8.333333333333334,,,,
GA028,US,134,,,,0.08333333333333333,,,,,,,,,,,
ID001,Native American,250,,,,8.333333333333334,,,,,,,,,,,
ID001,US,65,,,,0.08333333333333333,,,,,,,,,,,
IN001,Confederate,51,,,,0.08333333333333333,,,,,,1800,833.3333333333334,,,,
IN001,US,360,,,,8.333333333333334,,,,,,400,833.3333333333334,,,,
KS001,Confederate,40,,,,8.333333333333334,,,,,,350,8.333333333333334,,,,
KS001,US,150,,,,8.333333333333334,,,,,,,,,,,
KS002,Confederate,3,,,,0.08333333333333333,,,,,,400,833.3333333333334,,,,
KS002,US,103,,,,0.08333333333333333,,,,,,,,,,,
KS003,Confederate,800,,,,833.3333333333334,,,,,,,,,,,
KS003,US,150,,,,8.333333333333334,,,,,,,,,,,
KS004,Confederate,,,,,,,,,,,,,,,,
KS004,US,,,,,,,,,,,,,,,,
KY001,Confederate,5,,,,0.08333333333333333,,,,,,800,833.3333333333334,,,,
KY001,US,15,,,,0.08333333333333333,,,,,,300,833.3333333333334,,,,
KY002,Confederate,53,,,,0.08333333333333333,,,,,,,,,,,
KY002,US,43,,,,0.08333333333333333,,,,,,7e3,83333.33333333333,,,,
KY003,Confederate,263,,,,0.08333333333333333,,,,,,1010,8.333333333333334,,,,
KY003,US,30,,,,8.333333333333334,,,,,,,,,,,
KY004,Confederate,91,,,,0.08333333333333333,,,,,,1350,8.333333333333334,,,,
KY004,US,40,,,,8.333333333333334,,,,,,,,,,,
KY005,Confederate,65,,,,0.08333333333333333,,,,,,,,,,,
KY005,US,27,,,,0.08333333333333333,,,,,,,,,,,
KY006,Confederate,529,,,,0.08333333333333333,,,,,,5e3,83333.33333333333,,,,
KY006,US,262,,,,0.08333333333333333,,,,,,,,,,,
KY007,Confederate,600,,,,833.3333333333334,,,,,,,,,,,
KY007,US,5623,,,,0.08333333333333333,,,,,,,,,,,
KY008,Confederate,285,,,,0.08333333333333333,,,,,,,,,,,
KY008,US,4148,,,,0.08333333333333333,,,,,,,,,,,
KY009,Confederate,3396,,,,0.08333333333333333,,,,,,,,,,,
KY009,US,4211,,,,0.08333333333333333,,,,,,55e3,83333.33333333333,,,,
KY010,Confederate,50,,,,8.333333333333334,,,,,,3e3,83333.33333333333,,,,
KY010,US,90,,,,8.333333333333334,,,,,,650,8.333333333333334,,,,
KY011,Confederate,1e3,,,,83333.33333333333,,,,,,,,,,,
KY011,US,1092,,,,0.08333333333333333,,,,,,,,,,,
LA001,Confederate,782,,,,0.08333333333333333,,,,,,,,,,,
LA001,US,229,,,,0.08333333333333333,,,,,,,,,,,
LA002,Confederate,0,0,0,0,0.08333333333333333,,,,0,0.08333333333333333,,,0,0,0.08333333333333333,
LA002,US,0,0,0,0,0.08333333333333333,,,,0,0.08333333333333333,,,0,0,0.08333333333333333,
LA003,Confederate,478,,,,0.08333333333333333,,,,,,,,,,,
LA003,US,371,,,,0.08333333333333333,,,,,,,,,,,
LA004,Confederate,0,0,0,0,0.08333333333333333,,,,0,0.08333333333333333,,,0,0,0.08333333333333333,
LA004,US,0,0,0,0,0.08333333333333333,,,,0,0.08333333333333333,,,0,0,0.08333333333333333,
LA005,Confederate,229,,,,0.08333333333333333,,,,,,1392,0.08333333333333333,,,,
LA005,US,86,,,,0.08333333333333333,,,,,,4e3,83333.33333333333,,,,
LA006,Confederate,450,,,,8.333333333333334,,,,,,,,,,,
