"cwsac_id","dbpedia_uri","wikipedia_title","relation"
"KY005","http://dbpedia.org/resource/Battle_of_Middle_Creek","Battle_of_Middle_Creek","="
"KY006","http://dbpedia.org/resource/Battle_of_Mill_Springs","Battle_of_Mill_Springs","="
"KY007","http://dbpedia.org/resource/Battle_of_Richmond","Battle_of_Richmond","="
"KY008","http://dbpedia.org/resource/Battle_of_Munfordville","Battle_of_Munfordville","="
"KY009","http://dbpedia.org/resource/Battle_of_Perryville","Battle_of_Perryville","="
"KY010","http://dbpedia.org/resource/Battle_of_Paducah","Battle_of_Paducah","="
"KY011","http://dbpedia.org/resource/Battle_of_Cynthiana","Battle_of_Cynthiana","="
"LA001","http://dbpedia.org/resource/Battle_of_Forts_Jackson_and_St._Philip","Battle_of_Forts_Jackson_and_St._Philip","="
"LA002","http://dbpedia.org/resource/Capture_of_New_Orleans","Capture_of_New_Orleans","="
"LA003","http://dbpedia.org/resource/Battle_of_Baton_Rouge_(1862)","Battle_of_Baton_Rouge_(1862)","="
"LA004","http://dbpedia.org/resource/First_Battle_of_Donaldsonville","First_Battle_of_Donaldsonville","="
"LA005","http://dbpedia.org/resource/Battle_of_Georgia_Landing","Battle_of_Georgia_Landing","="
"LA006","http://dbpedia.org/resource/Battle_of_Fort_Bisland","Battle_of_Fort_Bisland","="
"LA007","http://dbpedia.org/resource/Battle_of_Irish_Bend","Battle_of_Irish_Bend","="
"LA008","http://dbpedia.org/resource/Battle_of_Vermillion_Bayou","Battle_of_Vermillion_Bayou","="
"LA009","http://dbpedia.org/resource/Battle_of_Plains_Store","Battle_of_Plains_Store","="
"LA010","http://dbpedia.org/resource/Siege_of_Port_Hudson","Siege_of_Port_Hudson","="
"LA011","http://dbpedia.org/resource/Battle_of_Milliken's_Bend","Battle_of_Milliken's_Bend","="
"LA012","http://dbpedia.org/resource/Battle_of_LaFourche_Crossing","Battle_of_LaFourche_Crossing","="
"LA013","http://dbpedia.org/resource/Second_Battle_of_Donaldsonville","Second_Battle_of_Donaldsonville","="
"LA014","http://dbpedia.org/resource/Battle_of_Goodrich's_Landing","Battle_of_Goodrich's_Landing","="
"LA015","http://dbpedia.org/resource/Battle_of_Kock's_Plantation","Battle_of_Kock's_Plantation","="
"LA016","http://dbpedia.org/resource/Battle_of_Stirling's_Plantation","Battle_of_Stirling's_Plantation","="
"LA017","http://dbpedia.org/resource/Battle_of_Fort_De_Russy","Battle_of_Fort_De_Russy","="
"LA018","http://dbpedia.org/resource/Battle_of_Mansfield","Battle_of_Mansfield","="
"LA019","http://dbpedia.org/resource/Battle_of_Pleasant_Hill","Battle_of_Pleasant_Hill","="
"LA020","http://dbpedia.org/resource/Battle_of_Blair's_Landing","Battle_of_Blair's_Landing","="
"LA021","http://dbpedia.org/resource/Battle_of_Monett's_Ferry","Battle_of_Monett's_Ferry","="
"LA022","http://dbpedia.org/resource/Battle_of_Mansura","Battle_of_Mansura","="
"LA023","http://dbpedia.org/resource/Battle_of_Yellow_Bayou","Battle_of_Yellow_Bayou","="
"MD001","http://dbpedia.org/resource/Battle_of_Hancock","Battle_of_Hancock","="
"MD002","http://dbpedia.org/resource/Battle_of_South_Mountain","Battle_of_South_Mountain","="
"MD003","http://dbpedia.org/resource/Battle_of_Antietam","Battle_of_Antietam","="
"MD004","http://dbpedia.org/resource/Battle_of_Williamsport","Battle_of_Williamsport","="
"MD006","http://dbpedia.org/resource/Battle_of_Boonsboro","Battle_of_Boonsboro","="
"MD007","http://dbpedia.org/resource/Battle_of_Monocacy","Battle_of_Monocacy","="
"MD008","http://dbpedia.org/resource/Battle_of_Folck's_Mill","Battle_of_Folck's_Mill","="
"MN001","http://dbpedia.org/resource/Battle_of_Fort_Ridgely","Battle_of_Fort_Ridgely","="
"MN002","http://dbpedia.org/resource/Battle_of_Wood_Lake","Battle_of_Wood_Lake","="
"MO001","http://dbpedia.org/resource/Battle_of_Boonville","Battle_of_Boonville","="
"MO002","http://dbpedia.org/resource/Battle_of_Carthage_(1861)","Battle_of_Carthage_(1861)","="
"MO003","http://dbpedia.org/resource/Battle_of_Liberty","Battle_of_Liberty","="
"MO004","http://dbpedia.org/resource/Battle_of_Wilson's_Creek","Battle_of_Wilson's_Creek","="
"MO005","http://dbpedia.org/resource/Battle_of_Dry_Wood_Creek","Battle_of_Dry_Wood_Creek","="
"MO006","http://dbpedia.org/resource/First_Battle_of_Lexington","First_Battle_of_Lexington","="
"MO007","http://dbpedia.org/resource/Battle_of_Fredericktown","Battle_of_Fredericktown","="
"MO008","http://dbpedia.org/resource/First_Battle_of_Springfield","First_Battle_of_Springfield","="
"MO009","http://dbpedia.org/resource/Battle_of_Belmont","Battle_of_Belmont","="
"MO010","http://dbpedia.org/resource/Battle_of_Mount_Zion_Church","Battle_of_Mount_Zion_Church","="
"MO011","http://dbpedia.org/resource/Battle_of_Roan's_Tan_Yard","Battle_of_Roan's_Tan_Yard","="
"MO012","http://dbpedia.org/resource/Battle_of_Island_Number_Ten","Battle_of_Island_Number_Ten","="
"MO013","http://dbpedia.org/resource/Battle_of_Kirksville","Battle_of_Kirksville","="
"MO014","http://dbpedia.org/resource/First_Battle_of_Independence","First_Battle_of_Independence","="
"MO015","http://dbpedia.org/resource/Battle_of_Lone_Jack","Battle_of_Lone_Jack","="
"MO016","http://dbpedia.org/resource/First_Battle_of_Newtonia","First_Battle_of_Newtonia","="
"MO017","http://dbpedia.org/resource/Battle_of_Clark's_Mill","Battle_of_Clark's_Mill","="
"MO018","http://dbpedia.org/resource/Second_Battle_of_Springfield","Second_Battle_of_Springfield","="
"MO019","http://dbpedia.org/resource/Battle_of_Hartville","Battle_of_Hartville","="
"MO020","http://dbpedia.org/resource/Battle_of_Cape_Girardeau","Battle_of_Cape_Girardeau","="
"MO021","http://dbpedia.org/resource/Battle_of_Fort_Davidson","Battle_of_Fort_Davidson","="
"MO022","http://dbpedia.org/resource/Battle_of_Glasgow","Battle_of_Glasgow","="
"MO023","http://dbpedia.org/resource/Second_Battle_of_Lexington","Second_Battle_of_Lexington","="
"MO024","http://dbpedia.org/resource/Battle_of_Little_Blue_River","Battle_of_Little_Blue_River","="
"MO025","http://dbpedia.org/resource/Second_Battle_of_Independence","Second_Battle_of_Independence","="
"MO026","http://dbpedia.org/resource/Battle_of_Byram's_Ford","Battle_of_Byram's_Ford","="
"MO027","http://dbpedia.org/resource/Battle_of_Westport","Battle_of_Westport","="
"MO028","http://dbpedia.org/resource/Battle_of_Marmiton_River","Battle_of_Marmiton_River","="
"MO029","http://dbpedia.org/resource/Second_Battle_of_Newtonia","Second_Battle_of_Newtonia","="
"MS001","http://dbpedia.org/resource/Battle_of_Iuka","Battle_of_Iuka","="
"MS002","http://dbpedia.org/resource/Second_Battle_of_Corinth","Second_Battle_of_Corinth","="
"MS003","http://dbpedia.org/resource/Battle_of_Chickasaw_Bayou","Battle_of_Chickasaw_Bayou","="
"MS004","http://dbpedia.org/resource/Battle_of_Grand_Gulf","Battle_of_Grand_Gulf","="
"MS005","http://dbpedia.org/resource/Battle_of_Snyder's_Bluff","Battle_of_Snyder's_Bluff","="
"MS006","http://dbpedia.org/resource/Battle_of_Port_Gibson","Battle_of_Port_Gibson","="
"MS007","http://dbpedia.org/resource/Battle_of_Raymond","Battle_of_Raymond","="
"MS008","http://dbpedia.org/resource/Battle_of_Jackson,_Mississippi","Battle_of_Jackson,_Mississippi","="
"MS009","http://dbpedia.org/resource/Battle_of_Champion_Hill","Battle_of_Champion_Hill","="
"MS010","http://dbpedia.org/resource/Battle_of_Big_Black_River_Bridge","Battle_of_Big_Black_River_Bridge","="
"MS011","http://dbpedia.org/resource/Siege_of_Vicksburg","Siege_of_Vicksburg","="
"MS012","http://dbpedia.org/resource/Battle_of_Meridian","Battle_of_Meridian","="
"MS013","http://dbpedia.org/resource/Battle_of_Okolona","Battle_of_Okolona","="
"MS014","http://dbpedia.org/resource/Battle_of_Brice's_Crossroads","Battle_of_Brice's_Crossroads","="
"MS015","http://dbpedia.org/resource/Battle_of_Tupelo","Battle_of_Tupelo","="
"MS016","http://dbpedia.org/resource/Siege_of_Corinth","Siege_of_Corinth","="
