cwsac_id,belligerent,ship
NC015,US,USS Gettysburg (1858)
NC015,US,USS Governor Buckingham
NC015,US,USS Huron (1862)
NC015,US,USS Iosco (1864)
NC015,US,USS Juniata (1862)
NC015,US,USS Kansas (1863)
NC015,US,USS Lilian (1863)
NC015,US,USS Little Ada (1864)
NC015,US,USS Mackinaw (1863)
NC015,US,USS Mahopac (1863)
NC015,US,USS Malvern (1860)
NC015,US,USS Maratanza (1862)
NC015,US,USS Maumee (1864)
NC015,US,USS Minnesota (1855)
NC015,US,USS Mohican (1859)
NC015,US,USS Monadnock (1864)
NC015,US,USS Montgomery (1861)
NC015,US,USS Monticello (1859)
NC015,US,USS Nansemond (1862)
NC015,US,USS New Ironsides (1862)
NC015,US,USS Osceola (1863)
NC015,US,USS Pawtuxet (1864)
NC015,US,USS Pequot (1863)
NC015,US,USS Pontoosuc (1864)
NC015,US,USS Powhatan (1850)
NC015,US,USS Quaker City (1861)
NC015,US,USS R. R. Cuyler (1860)
NC015,US,USS Rhode Island (1861)
NC015,US,USS Santiago de Cuba (1861)
NC015,US,USS Sassacus (1862)
NC015,US,USS Saugus (1863)
NC015,US,USS Seneca (1861)
NC015,US,USS Shenandoah (1862)
NC015,US,USS Susquehanna (1847)
NC015,US,USS Tacony (1863)
NC015,US,USS Ticonderoga (1863)
NC015,US,USS Tristram Shandy (1864)
NC015,US,USS Tuscarora (1861)
NC015,US,USS Unadilla (1861)
NC015,US,USS Vanderbilt (1862)
NC015,US,USS Wabash (1855)
NC015,US,USS Wilderness (1864)
NC015,US,USS Yantic (1864)
AL003,Confederate,CSS Gaines
AL003,Confederate,CSS Morgan
AL003,Confederate,CSS Selma (1856)
AL003,Confederate,CSS Tennessee (1863)
AL003,US,USS Brooklyn (1858)
AL003,US,USS Chickasaw (1864)
AL003,US,USS Galena (1862)
AL003,US,USS Hartford (1858)
AL003,US,USS Itasca (1861)
AL003,US,USS Kennebec (1861)
AL003,US,USS Lackawanna (1862)
AL003,US,USS Manhattan (1863)
AL003,US,USS Metacomet (1863)
AL003,US,USS Monongahela (1862)
AL003,US,USS Octorara (1861)
AL003,US,USS Oneida (1861)
AL003,US,USS Ossipee (1861)
AL003,US,USS Port Royal (1862)
AL003,US,USS Richmond (1860)
AL003,US,USS Seminole (1859)
AL003,US,USS Tecumseh (1863)
AL003,US,USS Winnebago (1863)
NC014,US,USS Advance (1862)
NC014,US,USS Alabama (1850)
NC014,US,USS Anemone (1864)
NC014,US,USS Aries (1863)
NC014,US,USS Banshee (1862)
NC014,US,USS Bignonia (1863)
NC014,US,USS Britannia (1862)
NC014,US,USS Brooklyn (1858)
NC014,US,USS Canonicus (1863)
NC014,US,USS Cherokee (1859)
NC014,US,USS Chippewa (1861)
NC014,US,USS Colorado (1856)
NC014,US,USS Emma (1863)
NC014,US,USS Eolus (1864)
NC014,US,USS Fort Jackson (1862)
NC014,US,USS Gettysburg (1858)
NC014,US,USS Governor Buckingham
NC014,US,USS Huron (1862)
NC014,US,USS Iosco (1864)
NC014,US,USS Juniata (1862)
NC014,US,USS Kansas (1863)
NC014,US,USS Lilian (1863)
NC014,US,USS Little Ada (1864)
NC014,US,USS Mackinaw (1863)
NC014,US,USS Mahopac (1863)
NC014,US,USS Malvern (1860)
NC014,US,USS Maratanza (1862)
NC014,US,USS Maumee (1864)
NC014,US,USS Minnesota (1855)
NC014,US,USS Moccasin (1864)
NC014,US,USS Mohican (1859)
NC014,US,USS Monadnock (1864)
NC014,US,USS Montgomery (1861)
NC014,US,USS Monticello (1859)
NC014,US,USS Nansemond (1862)
NC014,US,USS New Ironsides (1862)
NC014,US,USS Nyack (1863)
NC014,US,USS Osceola (1863)
NC014,US,USS Pawtuxet (1864)
NC014,US,USS Pequot (1863)
NC014,US,USS Pontoosuc (1864)
NC014,US,USS Powhatan (1850)
NC014,US,USS Quaker City (1861)
NC014,US,USS R. R. Cuyler (1860)
NC014,US,USS Rhode Island (1861)
NC014,US,USS Santiago de Cuba (1861)
NC014,US,USS Sassacus (1862)
NC014,US,USS Saugus (1863)
NC014,US,USS Seneca (1861)
NC014,US,USS Shenandoah (1862)
NC014,US,USS Susquehanna (1847)
NC014,US,USS Tacony (1863)
NC014,US,USS Ticonderoga (1863)
NC014,US,USS Tristram Shandy (1864)
NC014,US,USS Tuscarora (1861)
NC014,US,USS Unadilla (1861)
NC014,US,USS Vanderbilt (1862)
NC014,US,USS Wabash (1855)
NC014,US,USS Wilderness (1864)
NC014,US,USS Yantic (1864)
TX002,US,USRC Harriet Lane (1857)
TX002,US,USS Clifton (1861)
TX002,US,USS Henry Janes (1861)
TX002,US,USS Owasco (1861)
TX002,US,USS Westfield (1861)
KY010,US,USS Paw Paw (1863)
KY010,US,USS Peosta (1857)
VA002,US,USS Anacostia (1856)
VA002,US,USS Pawnee (1859)
VA002,US,USS Resolute (1860)
VA002,US,USS Thomas Freeborn
SC008,US,USS Canandaigua (1862)
SC008,US,USS Catskill (1862)
SC008,US,USS Dai Ching (1863)
SC008,US,USS Lodona (1862)
SC008,US,USS Mahaska (1861)
SC008,US,USS Montauk (1862)
SC008,US,USS Nahant (1862)
SC008,US,USS New Ironsides
SC008,US,USS Ottawa (1861)
SC008,US,USS Passaic (1862)
SC008,US,USS Patapsco (1862)
SC008,US,USS Seneca (1861)
SC008,US,USS Wissahickon (1861)
VA001,US,USS Monticello (1859)
VA001,US,USS Thomas Freeborn
SC009,US,USS Canandaigua (1862)
SC009,US,USS Catskill (1862)
SC009,US,USS Dai Ching (1863)
SC009,US,USS Lodona (1862)
SC009,US,USS Mahaska (1861)
SC009,US,USS Montauk (1862)
SC009,US,USS Nahant (1862)
SC009,US,USS New Ironsides
SC009,US,USS Ottawa (1861)
SC009,US,USS Passaic (1862)
SC009,US,USS Patapsco (1862)
SC009,US,USS Seneca (1861)
SC009,US,USS Wissahickon (1861)
TN030,US,USS New Era (1862)
VA012,US,USRC Naugatuck
VA012,US,USS Aroostook (1861)
VA012,US,USS Galena (1862)
VA012,US,USS Monitor
VA012,US,USS Port Royal (1862)
VA100,US,USS Anacostia (1856)
VA100,US,USS Yankee (1861)
FL004,US,USS Adela
FL004,US,USS Tahoma (1861)
FL003,US,USS Cimarron (1862)
FL003,US,USS E. B. Hale (1861)
FL003,US,USS Patroon (1859)
FL003,US,USS Paul Jones (1862)
FL003,US,USS Uncas (1843)
FL003,US,USS Water Witch (1851)
FL002,US,USS Sagamore (1861)
FL001,Confederate,CSS Neafie
