battle_id,belligerent,commander_number,PersonID,last_name,first_name,middle_name,middle_initial,rank,navy
Galveston,Confederate,1,256b790f-0cad-46d6-80aa-7e176890da83,Magruder,John,Bankhead,B.,Major General,False
Galveston,US,1,fc3770be-57d2-408b-b564-a47752d56116,Burrell,Isaac,,S.,Colonel,False
Galveston,US,2,65815655-0c83-4511-9e7b-2ce4d0ca632c,Renshaw,William,Bainbridge,B.,Commander,True
Honey Springs,Confederate,1,0585679d-c4d3-46b9-a774-1c06c6d7f9e9,Cooper,Douglas,Hancock,H.,Brigadier General,False
Honey Springs,US,1,a3f15046-9028-421d-bbe0-fb6c341a991f,Blunt,James,,G.,Major General,False
Fort Hindman (Arkansas Post),Confederate,1,1a2052a6-2f63-45e6-a406-1f6eae7c8341,Churchill,Thomas,James,J.,Brigadier General,False
Fort Hindman (Arkansas Post),US,1,8da88a4c-d429-4247-a6e8-cba41f280a10,Porter,David,Dixon,D.,Acting Rear Admiral,True
Fort Hindman (Arkansas Post),US,2,ff3bef0a-370b-48a3-9e53-a77c9f9a5b35,McClernand,John,Alexander,A.,Major General,False
Port Hudson (siege),Confederate,1,6420b474-c728-4537-84ce-09ae419a5398,Gardner,Franklin,,,Major General,False
Port Hudson (siege),US,1,f2f4eda1-b51f-4f8e-ad2d-379a1eb685f3,Banks,Nathaniel,,P.,Major General,False
Port Hudson (first assault),Confederate,1,6420b474-c728-4537-84ce-09ae419a5398,Gardner,Franklin,,,Major General,False
Port Hudson (first assault),US,1,f2f4eda1-b51f-4f8e-ad2d-379a1eb685f3,Banks,Nathaniel,,P.,Major General,False
Port Hudson (second assault),Confederate,1,6420b474-c728-4537-84ce-09ae419a5398,Gardner,Franklin,,,Major General,False
Port Hudson (second assault),US,1,f2f4eda1-b51f-4f8e-ad2d-379a1eb685f3,Banks,Nathaniel,,P.,Major General,False
Donaldsville (first),Confederate,1,1f2d408e-a3d6-431d-aefe-9d6df9e7902b,Green,Thomas,,,Brigadier General,False
Donaldsville (first),US,1,75f89742-e9e6-44e6-895c-c1b4d481fcab,Bullen,Joseph,,D.,Major,False
Donaldsville (second),Confederate,1,1f2d408e-a3d6-431d-aefe-9d6df9e7902b,Green,Thomas,,,Brigadier General,False
Donaldsville (second),US,1,6039ac35-5424-47ea-972c-11111315b2fc,Weitzel,Godfrey,,,Brigadier General,False
Donaldsville (second),US,2,d28cf4ce-7176-40e5-81a3-d822f31ae359,Grover,Cuvier,,,Brigadier General,False
Port Gibson,Confederate,1,121a2f46-8937-472b-aca1-7a6afd0d8f57,Bowen,John,Stevens,S.,Brigadier General,False
Port Gibson,US,1,f4036249-0d0f-4c0f-aa2e-557890e1e475,Grant,Ulysses,Simon,S.,Major General,False
Raymond,Confederate,1,55cf9433-a8d5-4665-96cc-3f8dd99995ef,Gregg,John,,,Brigadier General,False
Raymond,US,1,fb4ade2a-549d-4707-9784-5c2d3a928df6,McPherson,James,Birdseye,B.,Major General,False
Jackson,Confederate,1,b0f7a304-f6c5-4a8d-b816-066426e5dc1c,Johnston,Joseph,,E.,General,False
Jackson,Confederate,2,55cf9433-a8d5-4665-96cc-3f8dd99995ef,Gregg,John,,,Brigadier General,False
Jackson,US,1,f4036249-0d0f-4c0f-aa2e-557890e1e475,Grant,Ulysses,Simon,S.,Major General,False
Champion's Hill,Confederate,1,03c2a063-2c1f-4006-9be2-08bcb50ee9ea,Pemberton,John,Clifford,C.,Lieutenant General,False
Champion's Hill,US,1,f4036249-0d0f-4c0f-aa2e-557890e1e475,Grant,Ulysses,Simon,S.,Major General,False
Big Black River,Confederate,1,121a2f46-8937-472b-aca1-7a6afd0d8f57,Bowen,John,Stevens,S.,Brigadier General,False
Big Black River,US,1,ff3bef0a-370b-48a3-9e53-a77c9f9a5b35,McClernand,John,Alexander,A.,Major General,False
Vicksburg (siege),Confederate,1,03c2a063-2c1f-4006-9be2-08bcb50ee9ea,Pemberton,John,Clifford,C.,Lieutenant General,False
Vicksburg (siege),US,1,f4036249-0d0f-4c0f-aa2e-557890e1e475,Grant,Ulysses,Simon,S.,Major General,False
Vicksburg (first assault),Confederate,1,03c2a063-2c1f-4006-9be2-08bcb50ee9ea,Pemberton,John,Clifford,C.,Lieutenant General,False
Vicksburg (first assault),US,1,f4036249-0d0f-4c0f-aa2e-557890e1e475,Grant,Ulysses,Simon,S.,Major General,False
Vicksburg (second assault),Confederate,1,03c2a063-2c1f-4006-9be2-08bcb50ee9ea,Pemberton,John,Clifford,C.,Lieutenant General,False
Vicksburg (second assault),US,1,f4036249-0d0f-4c0f-aa2e-557890e1e475,Grant,Ulysses,Simon,S.,Major General,False
Helena,Confederate,1,65f2acff-a023-45b9-8957-6b89af4343b7,Holmes,Theophilus,Hunter,H.,Lieutenant General,False
Helena,US,1,84cac7af-39b5-4fda-af6a-303608eec2c3,Prentiss,Benjamin,Mayberry,M.,Major General,False
Jackson (siege),Confederate,1,b0f7a304-f6c5-4a8d-b816-066426e5dc1c,Johnston,Joseph,,E.,General,False
Jackson (siege),US,1,033ec012-d845-474f-bf9c-28366e02d1a4,Sherman,William,,T.,Major General,False
Chickamagua,Confederate,1,4b5a15e5-6c5d-492c-9ab7-32d50419cf80,Bragg,Braxton,,,General,False
Chickamagua,Confederate,2,0418b77d-5826-4c1d-9621-9d92c48d77b5,Longstreet,James,,,Lieutenant General,False
Chickamagua,US,1,7d67c576-bbd4-4b23-ac53-300f9522f311,Rosecrans,William,Starke,S.,Major General,False
Chickamagua,US,2,6951057d-db32-4db5-8b3e-dea0c1101a5f,Thomas,George,,H.,Major General,False
Chattanooga,Confederate,1,4b5a15e5-6c5d-492c-9ab7-32d50419cf80,Bragg,Braxton,,,General,False
Chattanooga,US,1,f4036249-0d0f-4c0f-aa2e-557890e1e475,Grant,Ulysses,Simon,S.,Major General,False
Chattanooga (Orchard Knob/Indian Hill),Confederate,1,4b5a15e5-6c5d-492c-9ab7-32d50419cf80,Bragg,Braxton,,,General,False
Chattanooga (Orchard Knob/Indian Hill),US,1,f4036249-0d0f-4c0f-aa2e-557890e1e475,Grant,Ulysses,Simon,S.,Major General,False
Chattanooga (Lookout Mountain),Confederate,1,4b5a15e5-6c5d-492c-9ab7-32d50419cf80,Bragg,Braxton,,,General,False
Chattanooga (Lookout Mountain),US,1,f4036249-0d0f-4c0f-aa2e-557890e1e475,Grant,Ulysses,Simon,S.,Major General,False
Chattanooga (Tunnel Hill),Confederate,1,4b5a15e5-6c5d-492c-9ab7-32d50419cf80,Bragg,Braxton,,,General,False
Chattanooga (Tunnel Hill),US,1,f4036249-0d0f-4c0f-aa2e-557890e1e475,Grant,Ulysses,Simon,S.,Major General,False
Chattanooga (Missionary Ridge),Confederate,1,4b5a15e5-6c5d-492c-9ab7-32d50419cf80,Bragg,Braxton,,,General,False
Chattanooga (Missionary Ridge),US,1,f4036249-0d0f-4c0f-aa2e-557890e1e475,Grant,Ulysses,Simon,S.,Major General,False
Ringgold Gap,Confederate,1,6aa89d0e-8209-4236-869e-6de6b4865ca0,Cleburne,Patrick,Ronayne,R.,Major General,False
Ringgold Gap,US,1,cfa9a700-f979-46ff-bfb1-4615441ccd55,Hooker,Joseph,,,Major General,False
Knoxville (siege),Confederate,1,4b5a15e5-6c5d-492c-9ab7-32d50419cf80,Bragg,Braxton,,,General,False
Knoxville (siege),US,1,f4036249-0d0f-4c0f-aa2e-557890e1e475,Grant,Ulysses,Simon,S.,Major General,False
Knoxville (attack on Fort Sanders),Confederate,1,0418b77d-5826-4c1d-9621-9d92c48d77b5,Longstreet,James,,,Lieutenant General,False
