battle,belligerent,fullname,rank,navy,last_name,first_name,middle_name,suffix
AR015,Confederate,James B. Fagan,Brigadier General,False,Fagan,James,B.,
AR015,US,Francis Drake,Lieutenant Colonel,False,Drake,Francis,,
AR016,Confederate,Sterling Price,Major General,False,Price,Sterling,,
AR016,US,Frederick Salomon,Brigadier General,False,Salomon,Frederick,,
AR017,Confederate,Colton Greene,Colonel,False,Greene,Colton,,
AR017,US,Joseph Mower,Brigadier General,False,Mower,Joseph,,
AR018,Confederate,John S. Marmaduke,Brigadier General,False,Marmaduke,John,S.,
AR018,US,John W. Davidson,Brigadier General,False,Davidson,John,W.,
CO001,US,John Chivington,Colonel,False,Chivington,John,,
DC001,Confederate,Jubal A. Early,Lieutenant General,False,Early,Jubal,A.,
DC001,US,Horatio G. Wright,Major General,False,Wright,Horatio,G.,
DC001,US,Alexander McDowell McCook,Major General,False,McCook,Alexander,McDowell,
FL001,Confederate,Richard H. Anderson,Brigadier General,False,Anderson,Richard,H.,
FL001,US,Harvey Brown,Colonel,False,Brown,Harvey,,
FL002,Confederate,John W. Pearson,Captain,False,Pearson,John,W.,
FL002,US,A.J. Drake,Captain,True,Drake,A.J.,,
FL003,Confederate,Charles F. Hopkins,Lieutenant Colonel,False,Hopkins,Charles,F.,
FL003,US,John M. Brannan,Brigadier General,False,Brannan,John,M.,
FL003,US,Charles Steedman,Commander,True,Steedman,Charles,,
FL004,Confederate,John Westcott,Captain,False,Westcott,John,,
FL004,US,A. A. Semmes,Lieutenant Commander,True,Semmes,A.,A.,
FL004,US,Thomas R. Harris,Acting Master,True,Harris,Thomas,R.,
FL005,Confederate,Joseph Finegan,Brigadier General,False,Finegan,Joseph,,
FL005,Confederate,Alfred H. Colquitt,Brigadier General,False,Colquitt,Alfred,H.,
FL005,US,Truman Seymour,Brigadier General,False,Seymour,Truman,,
FL006,Confederate,William Miller,Brigadier General,False,Miller,William,,
FL006,US,John Newton,Major General,False,Newton,John,,
GA001,Confederate,Charles H. Olmstead,Colonel,False,Olmstead,Charles,H.,
GA001,US,David Hunter,Major General,False,Hunter,David,,
GA001,US,Quincy A. Gillmore,Captain,False,Gillmore,Quincy,A.,
GA002,Confederate,George A. Anderson,Captain,False,Anderson,George,A.,
GA002,US,Samuel F. Du Pont,Rear Admiral,True,Pont,Samuel,F. Du,
GA003,Confederate,Thomas C. Hindman,Major General,False,Hindman,Thomas,C.,
GA003,US,James Negley,Major General,False,Negley,James,,
GA004,Confederate,Braxton Bragg,General,False,Bragg,Braxton,,
GA004,US,William S. Rosecrans,Major General,False,Rosecrans,William,S.,
GA004,US,George H. Thomas,Major General,False,Thomas,George,H.,
GA005,Confederate,Patrick R. Cleburne,Major General,False,Cleburne,Patrick,R.,
GA005,US,Joseph Hooker,Major General,False,Hooker,Joseph,,
GA006,Confederate,Joseph E. Johnston,General,False,Johnston,Joseph,E.,
GA006,US,George H. Thomas,Major General,False,Thomas,George,H.,
GA007,Confederate,Joseph E. Johnston,General,False,Johnston,Joseph,E.,
GA007,US,William T. Sherman,Major General,False,Sherman,William,T.,
GA008,Confederate,Joseph E. Johnston,General,False,Johnston,Joseph,E.,
GA008,US,William T. Sherman,Major General,False,Sherman,William,T.,
GA009,Confederate,Benjamin F. Cheatham,Major General,False,Cheatham,Benjamin,F.,
GA009,US,Oliver O. Howard,Major General,False,Howard,Oliver,O.,
GA010,Confederate,Joseph E. Johnston,General,False,Johnston,Joseph,E.,
GA010,US,William T. Sherman,Major General,False,Sherman,William,T.,
GA010,US,Joseph Hooker,Major General,False,Hooker,Joseph,,
GA011,Confederate,William J. Hardee,Lieutenant General,False,Hardee,William,J.,
GA011,US,William T. Sherman,Major General,False,Sherman,William,T.,
GA011,US,John A. Logan,Major General,False,Logan,John,A.,
GA012,Confederate,Patrick R. Cleburne,Major General,False,Cleburne,Patrick,R.,
GA012,Confederate,John H. Kelly,Brigadier General,False,Kelly,John,H.,
GA012,US,William T. Sherman,Major General,False,Sherman,William,T.,
