battleNum,battleDetail,beginDate,endDate,unknownDay,lat,lng,shrtNm,desc,type,killed,usCasTot,csCasTot
644,,1864-02-10,1864-02-10,False,0.303569123867602,-0.831232906129885,,"Skirmish at Lake Village, Ark.",Skirmish,0,0,0
645,,1865-02-08,1865-02-08,False,0.164240384485667,-0.399156637660616,,"Skirmish at Cannon's Bridge, South Edisto River, S.C.",Skirmish,0,0,0
646,,1864-01-17,1864-01-17,False,0.332521393702678,-0.932871523671996,,"Skirmish at Lewisburg, Ark.",Skirmish,0,0,0
647,,1864-06-10,1864-06-10,False,0.0966641593422765,-0.271186285507788,,"Skirmish at Lewisburg, Ark.",Skirmish,0,0,0
648,,1864-12-05,1864-12-05,False,0.101449819240387,-0.28461220614169,,"Skirmish near Lewisburg, Ark.",Skirmish,0,0,0
649,,1864-12-06,1864-12-06,False,0.0872485512779506,-0.244771285427764,,"Skirmish at Lewisburg, Ark.",Skirmish,0,0,0
650,,1865-02-12,1865-02-12,False,0.247111908644764,-0.693259643140607,,"Skirmish near Lewisburg, Ark.",Skirmish,0,0,0
651,,1865-02-07,1865-02-07,False,0.319704895538183,-0.778903986805244,,"Skirmish at Blackville, S.C.",Skirmish,0,0,0
652,,1864-06-02,1864-06-02,False,0.253076680485868,-0.691278729832265,,"Engagement with U.S. steamers Adams and Monarch, Columbia, AR",Skirmish,4,4,0
653,,1862-08-13,1862-08-13,False,0.0562804860966743,-0.133676850681057,,"Engagement on Black River, S.C.",Skirmish,0,0,0
654,,1864-07-30,1864-07-30,False,0.216946137648263,-0.551200713562145,,"Action near Newnan, GA [McCook's Raid]",Skirmish,0,0,0
655,,1865-02-09,1865-02-09,False,0.0177677207064255,-0.0431655794510486,,"Skirmish at Binnaker's Bridge, South Edisto River, S.C.",Skirmish,0,0,0
656,,1864-06-01,1864-06-01,False,0.181812152784796,-0.49665170528192,,"Engagement with U.S. steamer Exchange at Columbia, AR",Skirmish,0,0,0
657,,1864-03-29,1864-03-29,False,0.182159780665952,-0.501882557380215,,"Skirmish at Long View, AR",Skirmish,0,0,0
658,,1865-02-09,1865-02-09,False,0.0160726644791945,-0.0390535902424009,,"Skirmish at Holman's Bridge, South Edisto River, S.C.",Skirmish,0,0,0
659,,1864-11-16,1864-11-16,False,0.0816214427739032,-0.205986617750152,,"Skirmish at Bear Creek Station, GA",Skirmish,0,0,0
660,,1865-02-08,1865-02-08,False,0.142882102652671,-0.348280047092424,,"Skirmish at Williston, S.C.",Skirmish,0,0,0
661,,1862-08-23,1862-08-23,False,0.296762350031272,-0.80887598534688,,"Skirmish at Greenville, Miss.",Skirmish,0,0,0
662,,1862-08-23,1862-08-23,False,0.246542330678359,-0.671992827379077,,"Skirmish at Greenville, Miss.",Skirmish,0,0,0
663,,1863-05-12,1863-05-12,False,0.24281284922985,-0.661827494811864,,"Skirmish at Greenville, Miss.",Skirmish,0,0,0
664,,1864-05-20,1864-05-20,False,0.113193243924437,-0.308527334091877,,"Skirmish at Greenville, Miss.",Skirmish,0,0,0
665,,1864-05-27,1864-05-27,False,0.211680459997136,-0.576970901601301,,"Skirmish at Greenville, Miss.",Skirmish,0,0,0
666,,1865-02-08,1865-02-08,False,0.0704428156371508,-0.171697637901536,,"Skirmish near White Pond, S.C.",Skirmish,0,0,0
667,,1864-07-29,1864-07-29,False,0.327807694851428,-0.826603100700521,,"Skirmish near Lovejoy's Station, GA [McCook's Raid]",Skirmish,0,0,0
668,GA021,1864-08-20,1864-08-20,False,0.265294489856072,-0.668969189430351,,Combat at Lovejoy's Station [Kilpatrick's raid from Sandtown to Lovejoy's Station],Skirmish,0,0,0
669,,1864-09-02,1864-09-05,False,0.25824080754113,-0.651182554874596,,"Actions at Lovejoy's Station, GA",Skirmish,0,0,0
670,,1864-11-16,1864-11-16,False,0.215888834672273,-0.544387404412833,,"Action at Lovejoy's Station, GA",Skirmish,0,0,0
671,,1864-05-25,1864-05-25,False,0.110624525028578,-0.301675087585368,,"Engagement with U.S. steamer Curlew, Opposite Gaines Landing, AR",Skirmish,0,0,0
672,,1863-05-18,1863-05-18,False,0.241721113779946,-0.658078610723141,,"Skirmish near Island No. 82, above Greenville, Miss.",Skirmish,0,0,0
673,,1865-02-11,1865-02-12,False,0.12631209466015,-0.304941482830346,,"Skirmishes about Orangeburg, S.C.",Skirmish,0,0,0
674,,1865-03-28,1865-03-28,False,0.194236813024097,-0.503468071323062,,"Skirmish near Elyton, Ala.",Skirmish,0,0,0
675,,1864-01-06,1864-01-06,False,0.305998158724956,-0.832928661199331,,Attack on steamer Delta on the Mississippi River.,Skirmish,0,0,0
676,,1864-11-16,1864-11-16,False,0.0750527623252042,-0.188489441230017,,"Skirmish at Cotton River Bridge, GA",Skirmish,0,0,0
677,,1863-03-11,1863-03-11,False,0.0885323329857991,-0.238266861360115,,"Engagement at Fort Pemberton, near Greenwood, Miss.",Battle,0,0,0
678,,1863-03-13,1863-03-13,False,0.140135506456377,-0.377146361813675,,"Engagement at Fort Pemberton, near Greenwood, Miss.",Battle,0,0,0
679,,1863-03-16,1863-03-16,False,0.311833040997691,-0.839235536228529,,"Engagement at Fort Pemberton, near Greenwood, Miss.",Battle,0,0,0
680,,1863-04-02,1863-04-02,False,0.0450221712451325,-0.12116806450719,,"Engagement at Fort Pemberton, near Greenwood, Miss.",Battle,0,0,0
681,,1863-04-04,1863-04-04,False,0.321485051369576,-0.865211969239654,,"Engagement at Fort Pemberton, near Greenwood, Miss.",Battle,0,0,0
682,,1865-04-23,1865-04-23,False,0.0546846951424655,-0.14018531867337,,"Action at Munford's Station, Ala.",Skirmish,0,0,0
683,,1864-08-19,1864-08-19,False,0.00111239460646779,-0.00279853360306996,,Combat at Jonesborough [Kilpatrick's raid from Sandtown to Lovejoy's Station],Skirmish,0,0,0
684,,1864-11-15,1864-11-15,False,0.0340250286526287,-0.0855992877672736,,"Skirmish at Jonesborough, GA",Skirmish,0,0,0
685,,1863-10-19,1863-10-19,False,0.153308292457982,-0.361361068714452,,"Affair at Murrell's Inlet, S.C.",Skirmish,0,0,0
686,,1863-12-05,1863-12-05,False,0.124802399476814,-0.294170183034488,,"Affair at Murrell's Inlet, S.C.",Skirmish,0,0,0
687,,1863-04-27,1863-04-27,False,0.160627431426252,-0.378612920112957,,"Affair at Murray's Inlet, S.C.",Skirmish,0,0,0
688,,1862-04-29,1862-04-29,False,0.24758620685844,-0.583582367756425,,"Engagement at Pineberry Battery, S.C.",Skirmish,0,0,0
689,,1863-05-04,1863-05-04,False,0.209679726384061,-0.494233474256881,,"Affair at Murray's Inlet, S.C.",Skirmish,0,0,0
690,GA022,1864-08-31,1864-09-01,False,0.179327217378193,-0.451098515152875,Jonesborough,Battle of Jonesborough,Battle,3149,1149,2000
691,,1865-02-10,1865-02-10,False,0.24183478090143,-0.588840299005227,,"Skirmish at Johnson's Station, S.C.",Skirmish,0,0,0
692,,1865-02-11,1865-02-11,False,0.253435912854875,-0.617087741258168,,"Action at Johnson's Station, S.C.",Skirmish,0,0,0
693,,1864-11-15,1864-11-15,False,0.133358604400891,-0.334878295713387,,"Skirmish near Stockbridge, GA",Skirmish,0,0,0
694,,1865-02-11,1865-02-11,False,0.252721281004878,-0.61537577179136,,"Action at Aiken, S.C.",Skirmish,0,0,0
695,,1864-08-15,1864-08-15,False,0.253918348930535,-0.639821459893821,,"Skirmish at Fairburn, GA",Skirmish,0,0,0
696,,1864-02-21,1864-02-21,False,0.148370672444439,-0.392030826905119,,"Skirmish at Ellis' Bridge, MS",Skirmish,0,0,0
697,,1864-11-19,1864-11-19,False,0.292515020386419,-0.726417543808214,,"Skirmish at Buck Head Station, GA",Skirmish,0,0,0
698,,1864-04-15,1864-04-15,False,0.000896217131766434,-0.00247705193648526,,"Skirmish at Camden, AR",Skirmish,0,0,0
699,,1864-04-16,1864-04-18,False,0.178546671772081,-0.493484629326736,,"Skirmishes about Camden, AR",Skirmish,0,0,0
700,,1864-04-20,1864-04-20,False,0.303410501519666,-0.838595406961178,,"Skirmish near Camden, AR",Skirmish,0,0,0
701,,1864-04-23,1864-04-23,False,0.0561507267557293,-0.155194831157927,,Confederate demonstration on Camden.,Skirmish,0,0,0
702,,1864-04-24,1864-04-24,False,0.201977531107682,-0.558245113626305,,"Skirmish near Camden, AR",Skirmish,0,0,0
703,,1864-04-16,1864-04-16,False,0.140205852727293,-0.38823539070768,,Skirmish at Liberty Post-Office.,Skirmish,0,0,0
704,,1864-07-22,1864-07-24,False,0.15265640253804,-0.381038771850727,,"Garrard's raid to Covington, GA",Skirmish,0,0,0
705,,1864-02-20,1864-02-20,False,0.213811158067255,-0.564015268606686,,"Skirmish near West Point, MS",Skirmish,0,0,0
706,,1864-02-21,1864-02-21,False,0.0324699506350957,-0.0856529102346417,,"Skirmish at West Point, MS",Skirmish,0,0,0
707,,1864-08-19,1864-08-19,False,0.326754569029423,-0.820456010302452,,Combat at Flint River [Kilpatrick's raid from Sandtown to Lovejoy's Station],Skirmish,0,0,0
708,,1864-08-30,1864-08-30,False,0.21955473152297,-0.551285325874484,,"Action at Flint River Bridge, GA",Skirmish,0,0,0
709,AR014,1864-04-18,1864-04-18,False,0.239002988932081,-0.661129767204583,,"Engagement at Poison Spring, AR",Battle,415,301,114
710,,1864-08-19,1864-08-19,False,0.330185105720311,-0.829830551437483,,Combat at Red Oak [Kilpatrick's raid from Sandtown to Lovejoy's Station],Skirmish,0,0,0
711,,1864-08-29,1864-08-29,False,0.186245389353456,-0.468077182987119,,"Skirmish near Red Oak, GA",Skirmish,0,0,0
712,,1864-03-18,1864-03-18,False,0.0811867727251761,-0.221592063935784,,"Skirmish at Monticello, Ark.",Skirmish,0,0,0
713,,1864-09-10,1864-09-10,False,0.170654909032636,-0.465787372055357,,"Skirmish near Monticello, LA",Skirmish,0,0,0
714,,1865-05-24,1865-05-24,False,0.30606401648728,-0.835374468442948,,"Skirmish at Monticello, AR",Skirmish,0,0,0
715,,1864-08-31,1864-08-31,False,0.0916730011499607,-0.229970875097204,,"Skirmish near Rough and Ready Station, GA",Skirmish,0,0,0
716,,1864-11-15,1864-11-15,False,0.156167331948942,-0.391761342373255,,"Skirmish near Rough and Ready, GA",Skirmish,0,0,0
717,,1862-08-25,1862-08-25,False,0.0338010313159593,-0.0914349569326054,,"Skirmish at Bolivar, Miss.",Skirmish,0,0,0
718,,1862-08-25,1862-08-25,False,0.265312192729746,-0.717694341606837,,"Skirmish at Bolivar, Miss.",Skirmish,0,0,0
719,,1864-04-14,1864-04-14,False,0.0228573437517698,-0.0631995438464174,,"Skirmish at White Oak Creek, AR",Skirmish,0,0,0
720,,1864-08-30,1864-08-30,False,0.158107497787844,-0.396400816593351,,"Skirmish near East Point, GA",Skirmish,0,0,0
721,,1864-11-15,1864-11-15,False,0.271474839211558,-0.680630896407014,,"Skirmish near East Point, GA",Skirmish,0,0,0
722,,1863-04-21,1863-04-21,False,0.281334529968682,-0.741769981058358,,"Skirmish at Palo Alto, Miss.",Skirmish,0,0,0
723,,1864-01-20,1864-01-20,False,0.30365508849207,-0.820606523568958,,"Skirmish at Island No. 76, Mississippi River.",Skirmish,0,0,0
724,,1864-07-28,1864-07-28,False,0.329786341272832,-0.822761992449113,,"Skirmish at Lithonia, GA  [Garrard's raid]",Skirmish,0,0,0
725,,1864-11-06,1864-11-06,False,0.057646706714901,-0.144264434013047,,"Skirmish on the McDonough road, near Atlanta, Ga.",Skirmish,0,0,0
726,GA019,1864-08-06,1864-08-06,False,0.0588995242382817,-0.14755324041779,,"Assault at Utoy Creek, GA",Battle,0,0,0
727,,1865-02-14,1865-02-14,False,0.253820870843357,-0.61237051213077,,"Skirmish at Gunter's Bridge, North Edisto River, S.C.",Skirmish,0,0,0
728,,1864-08-15,1864-08-15,False,0.0706950217091003,-0.177278862978002,,"Skirmish at Sandtown, GA",Skirmish,0,0,0
