slug,state,start_date,end_date,nature_location,troops_engaged,event_type,casualties,killed_wounded,killed,wounded,missing_captured
Virginia/1863-04-15-engagement-norfleet-house,Virginia,1863-04-15,1863-04-15,"Engagement, Norfleet House","WISCONSIN--2nd and 4th Batteries Light Artillery UNITED STATES--Battery ""A"" 5th Artillery",Engagement,,,,,
Virginia/1863-04-17-action-suffolk-south-quay,Virginia,1863-04-17,1863-04-17,"Action, Suffolk, South Quay","INDIANA--13th Infantry. NEW YORK--19th Independent Battery Light Artillery; 1st Battalion Sharpshooters; 130th Infantry. Union loss, 2 killed, 3 wounded. Total, 5.",Action,5,5,2,3,
Virginia/1863-04-17-1863-04-18-expedition-from-winchester-to-stump-s-tannery,Virginia,1863-04-17,1863-04-18,Expedition from Winchester to Stump's Tannery,(No Reports.),Expedition,,,,,
Virginia/1863-04-19-action-battery-huger-hill-s-point,Virginia,1863-04-19,1863-04-19,"Action, Battery Huger, Hill's Point",CONNECTICUT--8th Infantry (Detachment). NEW YORK--89th Infantry (Detachment).,Action,,,,,
Virginia/1863-04-19-action-suffolk,Virginia,1863-04-19,1863-04-19,"Action, Suffolk",NEW YORK--89th and 130th Infantry. PENNSYLVANIA--167th Infantry.,Action,,,,,
Virginia/1863-04-20-skirmish-somerton-road,Virginia,1863-04-20,1863-04-20,"Skirmish, Somerton Road",PENNSYLVANIA--166th Infantry.,Skirmish,,,,,
Virginia/1863-04-20-reconnaissance-from-winchester-toward-wardensville-and-strasburg-and-skirmish,Virginia,1863-04-20,1863-04-20,"Reconnaissance from Winchester toward Wardensville and Strasburg, and skirmish","CONNECTICUT--18th Infantry. OHIO--110th, 116th, 122nd and 123rd Infantry. PENNSYLVANIA--12th and 13th Cavalry; 87th Infantry. WEST VIRGINIA--3rd Cavalry; Battery ""D"" Light Artillery Union loss, 7 killed, 6 wounded, 14 missing. Total, 27.",Reconnaissance,27,13,7,6,14
Virginia/1863-04-21-1863-04-24-scout-to-leesburg,Virginia,1863-04-21,1863-04-24,Scout to Leesburg,PENNSYLVANIA--14th Cavalry.,Scout,,,,,
Virginia/1863-04-22-skirmish-fisher-s-hill-strasburg-road,Virginia,1863-04-22,1863-04-22,"Skirmish, Fisher's Hill, Strasburg Road","PENNSYLVANIA--13th Cavalry. WEST VIRGINIA--3rd Cavalry. Union loss, 8 killed, 6 wounded. Total, 14.",Skirmish,14,14,8,6,
Virginia/1863-04-22-1863-04-23-expedition-from-belle-plains-to-port-royal-and-port-conway,Virginia,1863-04-22,1863-04-23,Expedition from Belle Plains to Port Royal and Port Conway,MICHIGAN--24th Infantry. NEW YORK--84th Infantry.,Expedition,,,,,
Virginia/1863-04-22-1863-04-29-operations-in-shenandoah-valley,Virginia,1863-04-22,1863-04-29,Operations in Shenandoah Valley,"OHIO--116th and 123rd Infantry. PENNSYLVANIA--12th and 13th Cavalry. WEST VIRGINIA--Battery ""D"" Light Artillery",Operations,,,,,
Virginia/1863-04-23-action-chuckatuck,Virginia,1863-04-23,1863-04-23,"Action, Chuckatuck","U. S. Gunboat ""Commodore Barney"". Union loss, 1 killed.",Action,,,1,,
Virginia/1863-04-24-action-edenton-road-suffolk,Virginia,1863-04-24,1863-04-24,"Action, Edenton Road, Suffolk","CONNECTICUT--11th, 15th and 16th Infantry. INDIANA--13th Infantry. NEW YORK--112th, 155th, 164th, 169th, 170th and 182nd (69th S. M.) Infantry. PENNSYLVANIA--11th Cavalry; 165th and 166th Infantry. VERMONT--9th Infantry. WISCONSIN--19th Infantry. UNITED STATES--Battery ""D"" 4th Artillery",Action,,,,,
Virginia/1863-04-25-1863-04-30-scout-to-strasburg,Virginia,1863-04-25,1863-04-30,Scout to Strasburg,"OHIO--116th and 123rd Infantry. PENNSYLVANIA--12th and 13th Cavalry; 87th Infantry. WEST VIRGINIA--Battery ""D"" Light Artillery; 9th Infantry.",Scout,,,,,
Virginia/1863-04-26-skirmish-fisher-s-hill,Virginia,1863-04-26,1863-04-26,"Skirmish, Fisher's Hill",PENNSYLVANIA--13th Cavalry.,Skirmish,,,,,
Virginia/1863-04-26-skirmish-oak-grove-westmoreland-co,Virginia,1863-04-26,1863-04-26,"Skirmish, Oak Grove, Westmoreland Co.",PENNSYLVANIA--1st Cavalry.,Skirmish,,,,,
Virginia/1863-04-27-reconnaissance-from-yorktown-to-hickory-forks,Virginia,1863-04-27,1863-04-27,Reconnaissance from Yorktown to Hickory Forks,DELAWARE--4th Infantry. MASSACHUSETTS--2nd Cavalry.,Reconnaissance,,,,,
Virginia/1863-04-27-1863-05-06-campaign-of-chancellorsville,Virginia,1863-04-27,1863-05-06,Campaign of Chancellorsville,"CONNECTICUT--1st Heavy Artillery (Cos. ""B"", ""M""); 5th 14th, 17th, 20th and 27th Infantry. DELAWARE--1st and 2nd Infantry. ILLINOIS--8th and 12th Cavalry; 82nd Infantry. INDIANA--1st and 3rd Cavalry; 7th, 14th, 19th, 20th and 27th Infantry. MAINE--1st Cavalry; 2nd and 5th Batteries Light Artillery; 2nd, 3rd, 4th, 5th, 6th, 7th, 10th, 16th, 17th, 19th and 20th Infantry. MARYLAND--1st Cavalry; Battery ""A"" Light Artillery; 3rd Infantry. MASSACHUSETTS--1st Cavalry; 1st, 3rd and 5th Batteries Light Artillery; 1st and 2nd Companies Sharpshooters; 1st, 2nd, 7th, 9th, 10th, 11th, 12th, 13th, 15th, 16th, 18th, 19th, 20th, 22nd, 28th, 32nd, 33rd and 37th Infantry. MICHIGAN--Brady's Sharpshooters; 1st, 3rd, 4th, 5th, 7th, 16th and 24th Infantry. MINNESOTA--1st Infantry. NEW HAMPSHIRE--1st Battery Light Artillery; 5th and 12th Infantry. NEW JERSEY--1st Cavalry; Batteries ""A"" and ""B"" Light Artillery; 1st, 2nd, 3rd, 4th, 5th, 6th, 7th, 8th, 11th, 12th, 13th, 15th, 21st, 22nd, 23rd, 24th, 26th, 28th, 29th, 30th and 31st Infantry. NEW YORK--2nd, 4th, 6th, 8th, 9th and 10th Cavalry, Oneida Cavalry Company; Batteries ""B"", ""C"", ""D"", ""E"", ""G"", ""I"", ""K"", ""L"" and ""M"" 1st Light Artillery,, 1st, 2nd, 3rd, 4th, 5th, 6th, 10th, 11th, 13th, 15th, 29th, 30th and 32nd Independent Batteries Light Artillery; 15th and 50th Engineers; 1st, 2nd, 4th, 5th, 7th, 12th, 13th, 14th, 16th, 17th, 18th, 20th, 21st, 22nd, 23rd, 24th, 25th, 26th, 27th, 28th, 29th, 30th, 31st, 32nd, 33rd, 34th, 35th, 36th, 37th, 38th, 40th, 41st, 42nd, 43rd, 44th, 45th, 49th, 52nd, 54th, 57th, 58th, 59th, 60th, 61st, 62nd, 63rd, 64th, 65th, 66th, 67th, 68th, 69th, 70th, 71st, 72nd, 73rd, 74th, 76th, 77th, 78th, 80th, 82nd, 83rd, 84th, 86th, 88th, 93rd, 94th, 95th, 97th, 102nd, 104th, 107th, 108th, 119th, 120th, 121st, 122nd, 123rd, 124th, 134th, 136th, 137th, 140th, 145th, 146th, 147th, 149th, 154th and 157th Infantry. OHIO--6th Cavalry; Batteries ""H"", ""I"", ""K"" and ""L"" 1st Light Artillery; 4th, 5th, 7th, 8th, 25th, 29th, 55th, 61st, 66th, 73rd, 75th, 82nd and 107th Infantry. PENNSYLVANIA--1st, 3rd, 4th, 6th, 8th, 16th and 17th Cavalry; Batteries ""B"", ""C"", ""D"", ""F"" and ""G"" 1st Light Artillery, Independent Batteries ""C"", ""E"" and ""F"" Light Artillery; 11th, 23rd, 26th, 27th, 28th, 29th, 46th, 49th, 53rd, 56th, 57th, 61st, 62nd, 63rd, 68th, 69th, 71st, 72nd, 73rd, 74th, 75th, 81st, 82nd, 83rd, 84th, 88th, 90th, 91st, 93rd, 95th, 96th, 98th, 99th, 102nd, 106th, 107th, 109th, 110th, 111th, 114th, 115th, 116th, 118th, 119th, 121st, 122nd, 123rd, 124th, 125th, 126th, 127th, 128th, 129th, 130th, 131st, 132nd, 133rd, 134th, 135th, 136th, 137th, 139th, 140th, 141st, 142nd, 143rd, 145th, 148th, 149th, 150th, 151st, 153rd and 155th Infantry. RHODE ISLAND--1st Cavalry; Batteries ""A"", ""B"", ""C"", ""E"" and ""G"" 1st Light Artillery; 2nd Infantry. VERMONT--2nd, 3rd, 4th, 5th and 6th Infantry. WEST VIRGINIA--Battery ""C"" Light Artillery WISCONSIN--2nd, 3rd, 5th, 6th, 7th and 26th Infantry. UNITED STATES--1st, 2nd, 5th and 6th Cavalry; Batteries ""E & G"", ""H"", ""I"" and ""K"" 1st Artillery, ""B & L"", ""D"", ""G"" and ""M"" 2nd Artillery, ""C"" and ""F & K"" 3rd Artillery, ""A"", ""B"", ""C"", ""E"", ""F"", ""G"" and ""K"" 4th Artillery, ""C"", ""D"", ""F"", ""I"" and ""K"" 5th Artillery; Engineer Battalion; 1st and 2nd Sharpshooters; 2nd, 3rd, 4th, 6th, 7th, 8th, 10th, 11th, 12th, 14th and 17th Infantry.",Campaign,,,,,
Virginia/1863-04-28-action-strasburg,Virginia,1863-04-28,1863-04-28,"Action, Strasburg",PENNSYLVANIA--13th Cavalry; 87th Infantry.,Action,,,,,
Virginia/1863-04-28-skirmish-kelly-s-ford,Virginia,1863-04-28,1863-04-28,"Skirmish, Kelly's Ford",PENNSYLVANIA--17th Cavalry.,Skirmish,,,,,
Virginia/1863-04-28-1863-04-30-skirmishes-suffolk,Virginia,1863-04-28,1863-04-30,"Skirmishes, Suffolk",NEW YORK--99th Infantry.,Skirmishes,,,,,
Virginia/1863-04-29-1863-05-08-raid-stoneman-s,Virginia,1863-04-29,1863-05-08,"Raid, Stoneman's","ILLINOIS--8th and 12th Cavalry. INDIANA--3rd Cavalry. MAINE--1st Cavalry. MARYLAND--1st Cavalry. MASSACHUSETTS--1st Cavalry. NEW JERSEY--1st Cavalry. NEW YORK--2nd, 4th, 8th, 9th and 10th Cavalry. OHIO--6th Cavalry. PENNSYLVANIA--1st, 3rd, 4th, 6th and 16th Cavalry. RHODE ISLAND--1st Cavalry. UNITED STATES--1st, 2nd, 5th and 6th Cavalry; Batteries ""A"" and ""B & L"" 2nd Artillery Union loss, 4 killed, 7 wounded, 139 missing. Total, 150.",Raid,150,11,4,7,139
Virginia/1863-04-29-action-chancellorsville,Virginia,1863-04-29,1863-04-29,"Action, Chancellorsville",NEW YORK--32nd Infantry.,Action,,,,,
Virginia/1863-04-29-skirmish-kellysville,Virginia,1863-04-29,1863-04-29,"Skirmish, Kellysville",RHODE ISLAND--1st Cavalry.,Skirmish,,,,,
Virginia/1863-04-29-action-bernard-house,Virginia,1863-04-29,1863-04-29,"Action, Bernard House","NEW YORK--31st Infantry. PENNSYLVANIA--49th, 95th and 119th Infantry.",Action,,,,,
Virginia/1863-04-29-skirmish-stevensburg,Virginia,1863-04-29,1863-04-29,"Skirmish, Stevensburg",UNITED STATES--6th Cavalry.,Skirmish,,,,,
Virginia/1863-04-29-skirmish-brandy-station,Virginia,1863-04-29,1863-04-29,"Skirmish, Brandy Station",UNITED STATES--5th Cavalry.,Skirmish,,,,,
Virginia/1863-04-29-skirmish-rapidan-river,Virginia,1863-04-29,1863-04-29,"Skirmish, Rapidan River",PENNSYLVANIA--17th Cavalry.,Skirmish,,,,,
Virginia/1863-04-29-skirmish-kelly-s-ford,Virginia,1863-04-29,1863-04-29,"Skirmish, Kelly's Ford",PENNSYLVANIA--4th and 16th Cavalry.,Skirmish,,,,,
Virginia/1863-04-29-skirmish-crook-s-run,Virginia,1863-04-29,1863-04-29,"Skirmish, Crook's Run",NEW YORK--6th Cavalry.,Skirmish,,,,,
Virginia/1863-04-29-skirmish-germania-ford,Virginia,1863-04-29,1863-04-29,"Skirmish, Germania Ford","INDIANA--27th Infantry. MASSACHUSETTS--2nd Infantry. NEW YORK--6th Cavalry. WISCONSIN--3rd Infantry. Union loss, 1 killed, 4 wounded. Total, 5.",Skirmish,5,5,1,4,
Virginia/1863-04-29-1863-05-02-operations-at-pollock-s-mill-creek-or-fitzhugh-s-crossing-white-oak-run-rappahannock-river,Virginia,1863-04-29,1863-05-02,"Operations at Pollock's Mill Creek. or Fitzhugh's Crossing, White Oak Run Rappahannock River","INDIANA--7th and 19th Infantry. MAINE--2nd and 5th Batteries Light Artillery; 16th Infantry. MASSACHUSETTS--12th and 13th Infantry. MICHIGAN--24th Infantry. NEW HAMPSHIRE--1st Battery Light Artillery NEW YORK--Battery ""L"" 1st Light Artillery; 15th and 50th Engineers; 22nd, 24th, 26th, 30th, 76th, 83rd, 84th, 94th, 95th, 97th, 104th and 147th Infantry. NEW JERSEY--22nd, 29th, 30th and 31st Infantry. PENNSYLVANIA--Batteries ""B"", ""F"" and ""G"" 1st Light Artillery, Independent Battery ""C"" Light Artillery; 11th, 56th, 88th, 90th, 107th, 121st, 135th, 136th, 137th, 142nd, 143rd, 149th, 150th, and 151st Infantry. WISCONSIN--2nd, 6th and 7th Infantry. UNITED STATES--Batteries ""B"" 4th Artillery, ""C"" 5th Artillery",Operations,,,,,
Virginia/1863-04-29-1863-04-30-engagement-fitzhugh-s-crossing-rappahannock-river,Virginia,1863-04-29,1863-04-30,"Engagement, Fitzhugh's Crossing, Rappahannock River","INDIANA--7th and 19th Infantry. MASSACHUSETTS--12th and 13th Infantry. MICHIGAN--24th Infantry. NEW HAMPSHIRE--1st Battery Light Artillery NEW YORK--Battery ""L"" 1st Light Artillery; 22nd and 84th Infantry. PENNSYLVANIA--Batteries ""B"", ""F"" and ""G"" 1st Light Artillery, Independent Battery ""C"" Light Artillery; 56th, 90th and 107th Infantry. WISCONSIN--2nd, 6th and 7th Infantry. UNITED STATES--Battery ""C"" 5th Artillery Union loss, 19 killed, 144 wounded, 9 missing. Total, 172.",Engagement,172,163,19,144,9
Virginia/1863-04-29-1863-05-02-operations-at-franklin-s-crossing-or-deep-run-ravine-rappahannock-river,Virginia,1863-04-29,1863-05-02,"Operations at Franklin's Crossing or Deep Run Ravine, Rappahannock River","MAINE--5th, 6th and 7th Infantry. MARYLAND--Battery ""A"" Light Artillery MASSACHUSETTS--1st Battery Light Artillery; 7th, 10th and 37th Infantry. NEW JERSEY--Battery ""A"" Light Artillery; 1st, 2nd, 3rd, 4th, 15th, 21st, 23rd and 26th Infantry. NEW YORK--Battery ""E"" 1st Light Artillery, 1st, 3rd and 30th Independent Batteries Light Artillery; 16th, 18th, 20th, 27th, 31st, 32nd, 33rd, 36th, 43rd, 49th, 62nd, 65th, 67th, 77th, 121st and 122nd Infantry. PENNSYLVANIA--Batteries ""C"" and ""D"" 1st Light Artillery; 23rd, 49th, 61st, 82nd, 93rd, 95th, 96th, 98th, 102nd, 106th, 119th and 139th Infantry. RHODE ISLAND--2nd Infantry. VERMONT--2nd, 3rd, 4th, 5th and 6th Infantry. WISCONSIN--5th Infantry. UNITED STATES--Batteries ""D"" and ""G"" 2nd Artillery, ""K"" 4th Artillery, and ""F"" 5th Artillery Union loss, 2 killed, 18 wounded. Total, 20.",Operations,20,20,2,18,
Virginia/1863-04-30-skirmish-raccoon-ford,Virginia,1863-04-30,1863-04-30,"Skirmish, Raccoon Ford","PENNSYLVANIA--6th Cavalry (Detachment). UNITED STATES--5th Cavalry (Detachment). Union loss, 8 killed, 30 wounded. Total, 38.",Skirmish,38,38,8,30,
Virginia/1863-04-30-action-spottsylvania-court-house,Virginia,1863-04-30,1863-04-30,"Action, Spottsylvania Court House",NEW YORK--6th Cavalry.,Action,,,,,
Virginia/1863-04-30-skirmish-chancellorsville,Virginia,1863-04-30,1863-04-30,"Skirmish, Chancellorsville","NEW YORK--6th Cavalry; 15th Independent Battery Light Artillery PENNSYLVANIA--8th and 17th Cavalry. Union loss, 3 missing.",Skirmish,,,,,3
Virginia/1863-04-30-skirmish-old-wilderness-tavern,Virginia,1863-04-30,1863-04-30,"Skirmish, Old Wilderness Tavern","PENNSYLVANIA--28th Infantry. Union loss, 1 wounded, 1 missing. Total, 2.",Skirmish,2,1,,1,1
Virginia/1863-04-30-skirmish-kelly-s-ford,Virginia,1863-04-30,1863-04-30,"Skirmish, Kelly's Ford",NEW YORK--10th Cavalry.,Skirmish,,,,,
Virginia/1863-05-01-1863-05-05-battle-of-chancellorsville,Virginia,1863-05-01,1863-05-05,Battle of Chancellorsville,"CONNECTICUT--5th, 14th, 17th, 20th and 27th Infantry. DELAWARE--1st and 2nd Infantry. ILLINOIS--8th Cavalry; 82nd Infantry. INDIANA--7th, 14th, 19th, 20th and 27th Infantry. MAINE--2nd and 5th Batteries Light Artillery; 2nd, 3rd, 4th, 10th, 16th, 17th and 20th Infantry. MARYLAND--3rd Infantry. MASSACHUSETTS--1st Cavalry; 3rd and 5th Batteries Light Artillery; 2nd Company S. S.; 1st, 2nd, 9th, 11th, 12th, 13th, 16th, 18th, 22nd, 28th, 32nd and 33rd Infantry. MICHIGAN--Brady's Sharpshooters; 1st, 3rd, 4th, 5th, 16th and 24th Infantry. NEW HAMPSHIRE--1st Battery Light Artillery; 5th and 12th Infantry. NEW JERSEY--2nd Battery Light Artillery; 5th, 6th, 7th, 8th, 11th, 12th, 13th, 22nd, 24th, 28th, 29th, 30th and 31st Infantry. NEW YORK--6th Cavalry; Batteries ""B"", ""C"", ""D"", ""G"", ""I"", ""K"", ""L"" and ""M"" 1st Light Artillery; 2nd, 6th, 10th, 11th, 13th, 14th and 15th Independent Batteries Light Artillery; 15th and 50th Engineers; 1st, 2nd, 4th, 5th, 7th, 10th, 12th, 13th, 14th, 17th, 22nd, 24th, 25th, 26th, 28th, 29th, 30th, 37th, 38th, 40th, 41st, 44th, 45th, 52nd, 54th, 57th, 58th, 60th, 61st, 63rd, 64th, 66th, 68th, 69th, 70th, 71st, 72nd, 73rd, 74th, 76th, 78th, 83rd, 84th, 86th, 88th, 93rd, 94th, 95th, 97th, 102nd, 104th, 107th, 108th, 119th, 120th, 123rd, 124th, 134th, 136th, 137th, 140th, 145th, 146th, 147th, 149th, 154th and 157th Infantry. OHIO--Batteries ""H"", ""I"", ""K"" and ""L"" 1st Light Artillery; 4th, 5th, 7th, 8th, 25th, 29th, 55th, 61st, 66th, 73rd, 75th, 82nd and 107th Infantry. PENNSYLVANIA--6th, 8th and 17th Cavalry; Batteries ""B"" and ""G"" 1st Light Artillery, Independent Batteries ""C"", ""E"" and ""F"" Light Artillery; 11th, 26th, 27th, 28th, 29th, 46th, 53rd, 56th, 57th, 62nd, 63rd, 68th, 73rd, 74th, 75th, 81st, 83rd, 84th, 88th, 90th, 91st, 99th, 105th, 107th, 109th, 110th, 111th, 114th, 115th, 116th, 118th, 121st, 122nd, 123rd, 124th, 125th, 126th, 128th, 129th, 130th, 131st, 132nd, 133rd, 134th, 135th, 136th, 137th, 140th, 141st, 142nd, 143rd, 145th, 147th, 148th, 149th, 150th, 151st, 153rd and 155th Infantry. RHODE ISLAND--Batteries ""C"" and ""E"" 1st Light Artillery WEST VIRGINIA--7th Infantry. WISCONSIN--2nd, 3rd, 6th, 7th and 26th Infantry. UNITED STATES--Batteries ""H"" and ""I"" 1st Artillery, ""F & K"" 3rd Artillery, ""A"", ""B"", ""C"", ""F"", ""G"" and ""K"" 4th Artillery, ""C"", ""I"" and ""K"" 5th Artillery; 1st Battalion Engineers; 1st and 2nd Sharpshooters; 2nd, 3rd, 4th, 6th, 7th, 10th, 11th, 12th, 14th and 17th Infantry. Union loss, including Fitzhugh's Crossing, 1,113 killed, 7,052 wounded, 4,422 captured and missing. Total, 12,587.",Battle,12587,8165,1113,7052,4422
Virginia/1863-05-01-skirmish-louisa-court-house,Virginia,1863-05-01,1863-05-01,"Skirmish, Louisa Court House","MAINE--1st Cavalry (2 Cos.). Union loss, 2 killed, 28 missing. Total, 30.",Skirmish,30,2,2,,28
Virginia/1863-05-01-action-rapidan-station,Virginia,1863-05-01,1863-05-01,"Action, Rapidan Station","ILLINOIS--8th Cavalry. INDIANA--3rd Cavalry. MASSACHUSETTS--1st Cavalry. NEW YORK--8th Cavalry. PENNSYLVANIA--1st Cavalry. RHODE ISLAND--1st Cavalry. Union loss, 1 killed, 14 wounded, 24 missing. Total, 39.",Action,39,15,1,14,24
Virginia/1863-05-01-skirmish-south-quay-bridge-nansemond-river,Virginia,1863-05-01,1863-05-01,"Skirmish, South Quay Bridge, Nansemond River","NEW YORK--16th Independent Battery Light Artillery; 99th Infantry (Detachment). Union loss, 41 killed and wounded.",Skirmish,,41,,,
Virginia/1863-05-02-skirmish-ely-s-ford,Virginia,1863-05-02,1863-05-02,"Skirmish, Ely's Ford",PENNSYLVANIA--4th Cavalry.,Skirmish,,,,,
Virginia/1863-05-02-skirmish-near-louisa-court-house,Virginia,1863-05-02,1863-05-02,Skirmish near Louisa Court House,MAINE--1st Cavalry.,Skirmish,,,,,
Virginia/1863-05-03-skirmish-south-anna-bridge-near-ashland,Virginia,1863-05-03,1863-05-03,"Skirmish, South Anna Bridge, near Ashland",ILLINOIS--12th Cavalry. MAINE--1st Cavalry. MARYLAND--1st Cavalry. NEW YORK--2nd and 10th Cavalry.,Skirmish,,,,,
Virginia/1863-05-03-skirmish-chuckatuck-and-reed-s-ferry,Virginia,1863-05-03,1863-05-03,"Skirmish, Chuckatuck and Reed's Ferry",CONNECTICUT--21st Infantry. NEW YORK--7th Cavalry (1st M. R.). WISCONSIN--4th Battery Light Artillery,Skirmish,,,,,
Virginia/1863-05-03-action-reed-s-ferry-providence-church-road-suffolk-nansemond-river,Virginia,1863-05-03,1863-05-03,"Action, Reed's Ferry, Providence Church Road, Suffolk, Nansemond River","CONNECTICUT--11th, 15th and 16th Infantry. MASSACHUSETTS--7th Battery Light Artillery NEW JERSEY--25th Infantry. NEW HAMPSHIRE--13th Infantry. NEW YORK--7th Cavalry (1st M. R.); 89th, 99th, 103rd, 117th, 143rd, 144th, 155th, 164th and 170th Infantry. UNITED STATES--Battery ""L"" 4th Artillery",Action,,,,,
Virginia/1863-05-03-battle-of-maryes-heights-fredericksburg,Virginia,1863-05-03,1863-05-03,"Battle of Maryes Heights, Fredericksburg","MAINE--5th, 6th and 7th Infantry. MARYLAND--Battery ""A"" Light Artillery MASSACHUSETTS--Battery ""A"" Light Artillery; 7th, 10th, 15th, 19th, 20th and 37th Infantry. MICHIGAN--7th Infantry. MINNESOTA--1st Infantry. NEW JERSEY--Battery ""A"" Light Artillery; 1st, 2nd, 3rd, 4th, 15th, 21st, 23rd and 26th Infantry. NEW YORK--Battery ""E"" 1st Light Artillery, 1st and 3rd Independent Batteries Light Artillery, 16th, 18th, 20th, 27th, 31st, 32nd, 33rd, 34th, 36th, 42nd, 43rd, 49th, 59th, 62nd, 65th, 67th, 77th, 82nd, 121st and 122nd Infantry. PENNSYLVANIA Batteries ""C"" and ""D"" 1st Light Artillery; 23rd, 49th, 61st, 82nd, 93rd, 95th, 96th, 98th, 102nd, 106th, 119th, 127th and 139th Infantry. RHODE ISLAND--Batteries ""B"" and ""G"" 1st Light Artillery; 2nd Infantry. VERMONT--2nd, 3rd, 4th, 5th and 6th Infantry. WISCONSIN--5th Infantry. UNITED STATES--Batteries ""D"" and ""G"" 2nd Artillery, ""F"" 5th Artillery For losses see Salem Heights or Church.",Battle,,,,,
Virginia/1863-05-03-skirmish-hanover-court-house,Virginia,1863-05-03,1863-05-03,"Skirmish, Hanover Court House",(No Reports.),Skirmish,,,,,
Virginia/1863-05-03-skirmish-warrenton-junction,Virginia,1863-05-03,1863-05-03,"Skirmish, Warrenton Junction","NEW YORK--5th Cavalry (Detachment). WEST VIRGINIA--1st Cavalry (Detachment). Union loss, 2 killed, 15 wounded. Total, 17.",Skirmish,17,17,2,15,
Virginia/1863-05-03-skirmish-hill-s-point,Virginia,1863-05-03,1863-05-03,"Skirmish, Hill's Point",NEW YORK--117th Infantry (Detachment). RHODE ISLAND--4th Infantry.,Skirmish,,,,,
Virginia/1863-05-03-skirmish-church-road,Virginia,1863-05-03,1863-05-03,"Skirmish, Church Road",CONNECTICUT--16th Infantry.,Skirmish,,,,,
Virginia/1863-05-03-1863-05-04-battle-of-salem-heights-salem-church,Virginia,1863-05-03,1863-05-04,"Battle of Salem Heights, Salem Church","MAINE--5th, 6th and 7th Infantry. MARYLAND--Battery ""A"" Light Artillery MASSACHUSETTS--Battery ""A"" Light Artillery; 7th, 10th, 15th, 19th, 20th and 37th Infantry. MICHIGAN--7th Infantry. MINNESOTA--1st Infantry. NEW JERSEY--Battery ""A"" Light Artillery; 1st, 2nd, 3rd, 4th, 15th, 21st, 23rd and 26th Infantry. NEW YORK--Battery ""E"" 1st Light Artillery, 1st and 3rd Independent Batteries Light Artillery; 16th, 18th, 20th, 27th, 31st, 32nd, 33rd, 34th, 36th, 42nd, 43rd, 49th, 59th, 62nd, 65th, 67th, 77th, 82nd, 121st and 122nd Infantry. PENNSYLVANIA--Batteries ""C"" and ""D"" 1st Light Artillery; 23rd, 49th, 61st, 82nd, 93rd, 95th, 96th, 102nd, 106th, 119th, 127th and 139th Infantry. RHODE ISLAND--Batteries ""B"" and ""G"" 1st Light Artillery; 2nd Infantry. VERMONT--2nd, 3rd, 4th, 5th and 6th Infantry. WISCONSIN--5th Infantry. UNITED STATES--Batteries ""D"" and ""G"" 2nd Artillery, ""F"" 5th Artillery Union loss, including Maryes Heights, May 3, 493 killed, 2,710 wounded, 1,497 captured and missing. Total, 4,700.",Battle,4700,3203,493,2710,1497
Virginia/1863-05-04-battle-of-banks-ford,Virginia,1863-05-04,1863-05-04,Battle of Banks' Ford,Same force.,Battle,,,,,
Virginia/1863-05-04-skirmish-hanovertown-ferry,Virginia,1863-05-04,1863-05-04,"Skirmish, Hanovertown Ferry",(No Reports.),Skirmish,,,,,
Virginia/1863-05-04-skirmish-hungary-station,Virginia,1863-05-04,1863-05-04,"Skirmish, Hungary Station",(No Reports.),Skirmish,,,,,
Virginia/1863-05-04-skirmish-tunstall-s-station,Virginia,1863-05-04,1863-05-04,"Skirmish, Tunstall's Station","ILLINOIS--12th Cavalry. Union loss, 3 killed.",Skirmish,,,3,,
Virginia/1863-05-04-skirmish-flemming-and-shannon-s-cross-roads,Virginia,1863-05-04,1863-05-04,"Skirmish, Flemming and Shannon's Cross Roads","UNITED STATES--5th Cavalry. Union loss, 6 killed, 15 missing. Total, 21.",Skirmish,21,6,6,,15
Virginia/1863-05-04-siege-of-suffolk-raised,Virginia,1863-05-04,1863-05-04,Siege of Suffolk raised,,Siege,,,,,
Virginia/1863-05-04-skirmish-grove-church,Virginia,1863-05-04,1863-05-04,"Skirmish, Grove Church",WEST VIRGINIA--3rd Cavalry.,Skirmish,,,,,
Virginia/1863-05-04-skirmish-ellis-ford,Virginia,1863-05-04,1863-05-04,"Skirmish, Ellis Ford",RHODE ISLAND--1st Cavalry.,Skirmish,,,,,
Virginia/1863-05-04-skirmish-ashland-church,Virginia,1863-05-04,1863-05-04,"Skirmish, Ashland Church",NEW YORK--10th Cavalry.,Skirmish,,,,,
Virginia/1863-05-04-skirmish-winchester,Virginia,1863-05-04,1863-05-04,"Skirmish, Winchester",WEST VIRGINIA--9th Infantry.,Skirmish,,,,,
Virginia/1863-05-05-skirmish-aylett-s,Virginia,1863-05-05,1863-05-05,"Skirmish, Aylett's",ILLINOIS--12th Cavalry. NEW YORK--2nd Cavalry.,Skirmish,,,,,
Virginia/1863-05-05-skirmish-thompson-s-cross-roads,Virginia,1863-05-05,1863-05-05,"Skirmish, Thompson's Cross Roads",NEW YORK--10th Cavalry.,Skirmish,,,,,
Virginia/1863-05-06-skirmish-strasburg,Virginia,1863-05-06,1863-05-06,"Skirmish, Strasburg",WEST VIRGINIA--3rd Cavalry.,Skirmish,,,,,
Virginia/1863-05-06-skirmish-warrenton,Virginia,1863-05-06,1863-05-06,"Skirmish, Warrenton",ILLINOIS--8th Cavalry.,Skirmish,,,,,
