slug,state,start_date,end_date,nature_location,troops_engaged,event_type,casualties,killed_wounded,killed,wounded,missing_captured
Maryland/1862-09-04-1862-09-05-skirmishes-point-of-rocks-and-berlin,Maryland,1862-09-04,1862-09-05,"Skirmishes, Point of Rocks and Berlin","NEW YORK--5th Heavy Artillery (Co. ""A""). OHIO--87th Infantry (Detachment).",Skirmishes,,,,,
Maryland/1862-09-04-1862-09-05-skirmishes-poolesville,Maryland,1862-09-04,1862-09-05,"Skirmishes, Poolesville",MASSACHUSETTS--1st Cavalry (Detachment).,Skirmishes,,,,,
Maryland/1862-09-05-skirmish-mouth-of-monocacy,Maryland,1862-09-05,1862-09-05,"Skirmish, Mouth of Monocacy",MICHIGAN--1st Cavalry.,Skirmish,,,,,
Maryland/1862-09-06-skirmish-frederick,Maryland,1862-09-06,1862-09-06,"Skirmish, Frederick",MARYLAND--1st Cavalry.,Skirmish,,,,,
Maryland/1862-09-07-skirmish-point-of-rocks,Maryland,1862-09-07,1862-09-07,"Skirmish, Point of Rocks","NEW YORK--5th Heavy Artillery (Co. ""A"").",Skirmish,,,,,
Maryland/1862-09-07-action-boonsborough,Maryland,1862-09-07,1862-09-07,"Action, Boonsborough",MARYLAND--1st Cavalry.,Action,,,,,
Maryland/1862-09-07-skirmish-poolesville,Maryland,1862-09-07,1862-09-07,"Skirmish, Poolesville","ILLINOIS--8th Cavalry. INDIANA--3rd Cavalry. UNITED STATES--Battery ""M"", 2nd Artillery Union loss, 2 killed, 6 wounded. Total, 8.",Skirmish,8,8,2,6,
Maryland/1862-09-08-skirmish-poolesville,Maryland,1862-09-08,1862-09-08,"Skirmish, Poolesville","ILLINOIS--8th Cavalry. INDIANA--3rd Cavalry (Cos. ""A"", ""B""). UNITED STATES--Battery ""M"", 2nd Artillery Union loss, 1 killed, 12 wounded. Total, 13.",Skirmish,13,13,1,12,
Maryland/1862-09-09-skirmish-barnesville,Maryland,1862-09-09,1862-09-09,"Skirmish, Barnesville","ILLINOIS--8th Cavalry. INDIANA--3rd Cavalry (Cos. ""A"", ""B""). UNITED STATES--Battery ""M"", 2nd Artillery",Skirmish,,,,,
Maryland/1862-09-09-skirmish-monocacy-church,Maryland,1862-09-09,1862-09-09,"Skirmish, Monocacy Church","ILLINOIS--8th Cavalry. INDIANA--3rd Cavalry (Cos. ""A"", ""B""). UNITED STATES--Battery ""M"", 2nd Artillery",Skirmish,,,,,
