battle_id,id,cwsac_id
Battle_of_Hartsville,,TN008
Battle_of_Hartville,,MO019
Battle_of_Hatcher's_Run,,VA083
Battle_of_Hatchie's_Bridge,,TN007
Battle_of_Hatteras_Inlet_Batteries,,NC001
Battle_of_Haw's_Shop,,VA058
Battle_of_Helena,,AR008
Battle_of_High_Bridge,,VA095
Battle_of_Hoke's_Run,,WV002
Battle_of_Honey_Hill,,SC010
Battle_of_Honey_Springs,,OK007
Battle_of_Hoover's_Gap,,TN017
Battle_of_Irish_Bend,,LA007
Battle_of_Island_Number_Ten,,MO012
Battle_of_Iuka,,MS001
"Battle_of_Jackson,_Mississippi",,MS008
"Battle_of_Jackson,_Tennessee",,TN009
Battle_of_James_Island,,SC002
Battle_of_Jenkins'_Ferry,,AR016
Battle_of_Jerusalem_Plank_Road,,VA065
Battle_of_Johnsonville,,TN032
Battle_of_Jonesborough,,GA022
Battle_of_Kelly's_Ford,,VA029
Battle_of_Kennesaw_Mountain,,GA015
Battle_of_Kessler's_Cross_Lanes,,WV004
Battle_of_Killdeer_Mountain,,ND005
Battle_of_Kinston,,NC007
Battle_of_Kirksville,,MO013
Battle_of_Kock's_Plantation,,LA015
Battle_of_Kolb's_Farm,,GA014
Battle_of_LaFourche_Crossing,,LA012
Battle_of_Lewis's_Farm,,VA085
Battle_of_Liberty,,MO003
Battle_of_Little_Blue_River,,MO024
Battle_of_Lone_Jack,,MO015
Battle_of_Lovejoy's_Station,,GA021
Battle_of_Lynchburg,,VA064
Battle_of_Malvern_Hill,,VA021
Battle_of_Manassas_Gap,,VA108
Battle_of_Mansfield,,LA018
Battle_of_Mansura,,LA022
Battle_of_Marais_des_Cygnes,,KS004
Battle_of_Marietta,,GA013
Battle_of_Marion,,VA081
Battle_of_Marks'_Mills,,AR015
Battle_of_Marmiton_River,,MO028
Battle_of_McDowell,,VA102
Battle_of_Memphis,,TN004
Battle_of_Meridian,,MS012
Battle_of_Middle_Boggy_Depot,,OK005
Battle_of_Middle_Creek,,KY005
Battle_of_Middleburg,,VA037
Battle_of_Mill_Springs,,KY006
Battle_of_Milliken's_Bend,,LA011
Battle_of_Mine_Creek,,KS003
Battle_of_Mine_Run,,VA044
Battle_of_Mobile_Bay,,AL003
Battle_of_Monett's_Ferry,,LA021
Battle_of_Monocacy,,MD007
Battle_of_Monroe's_Crossroads,,NC018
Battle_of_Moorefield,,WV013
Battle_of_Morton's_Ford,,VA045
Battle_of_Mossy_Creek,,TN027
Battle_of_Mount_Zion_Church,,MO010
Battle_of_Munfordville,,KY008
Battle_of_Namozine_Church,693955063,VA124
Battle_of_Nashville,,TN038
Battle_of_Natural_Bridge,,FL006
Battle_of_New_Bern,,NC003
Battle_of_New_Hope_Church,,GA010
Battle_of_New_Market,,VA110
Battle_of_North_Anna,,VA055
Battle_of_Oak_Grove,,VA015
Battle_of_Okolona,,MS013
Battle_of_Old_Church,,VA059
Battle_of_Old_Fort_Wayne,,OK004
Battle_of_Old_River_Lake,,AR017
Battle_of_Olustee,,FL005
Battle_of_Opequon,,VA119
Battle_of_Paducah,,KY010
Battle_of_Palmito_Ranch,,TX005
Battle_of_Parker's_Cross_Roads,,TN011
Battle_of_Pea_Ridge,,AR001
Battle_of_Peachtree_Creek,,GA016
Battle_of_Peebles'_Farm,,VA074
Battle_of_Perryville,,KY009
Battle_of_Philippi_(West_Virginia),,WV001
Battle_of_Pickett's_Mill,,GA012
Battle_of_Piedmont,,VA111
Battle_of_Pine_Bluff,,AR011
Battle_of_Plains_Store,,LA009
Battle_of_Pleasant_Hill,,LA019
Battle_of_Plymouth_(1864),,NC012
Battle_of_Poison_Spring,,AR014
Battle_of_Port_Gibson,,MS006
Battle_of_Port_Republic,,VA106
Battle_of_Port_Walthall_Junction,,VA047
Battle_of_Prairie_D'Ane,,AR013
Battle_of_Prairie_Grove,,AR005
Battle_of_Princeton_Court_House,,WV009
Battle_of_Proctor's_Creek,,VA053
Battle_of_Raymond,,MS007
Battle_of_Resaca,,GA008
Battle_of_Rice's_Station,,VA092
Battle_of_Rich_Mountain,,WV003
Battle_of_Richmond,,KY007
Battle_of_Ringgold_Gap,,GA005
Battle_of_Rivers'_Bridge,,SC011
Battle_of_Roan's_Tan_Yard,,MO011
Battle_of_Roanoke_Island,,NC002
Battle_of_Rocky_Face_Ridge,,GA007
Battle_of_Round_Mountain,,OK001
Battle_of_Rowlett's_Station,,KY004
