"belligerent","battle_name","cwsac_id","relation"
"US","Jerusalem Road, Va","VA065","="
"US","Kelly's Ford, Va","VA029","="
"US","Kernstown, Va","VA101","="
"US","Kinston; Goldsborough, N. C","NC007","="
"US","La Fourche Crossing, La","LA012","="
"US","Little Blue, Mo","MO024","="
"US","Lynchburg, Va","VA064","="
"US","Magnolia Hills, Miss","MS006","="
"US","Malvern Hill, Va","VA021","="
"US","Manassas, Va","VA023",">"
"US","Manassas, Va","VA024",">"
"US","Manassas, Va","VA025",">"
"US","Manassas, Va","VA026",">"
"US","Manassas, Va","VA027",">"
"US","Marion, Va","VA081","="
"US","Marks's Mills, Ark","AR015","="
"US","McDowell, Va","VA102","="
"US","Mechanicsville, Va","VA016","="
"US","Middleburg, Va","VA037","="
"US","Mill Springs, Ky","KY006","="
"US","Milliken's Bend, La","LA011","="
"US","Mine Run Campaign, Va","VA044","="
"US","Monocacy, Md","MD007","="
"US","Monroe's Cross Roads, N. C","NC018","="
"US","Morgan's Raid, Ky","IN001",">"
"US","Morgan's Raid, Ky","OH001",">"
"US","Morgan's Raid, Ky","OH002",">"
"US","Morganzia, La","LA016","="
"US","Morton's Ford, Va","VA045","="
"US","Mossy Creek, Tenn","TN027","="
"US","Munfordville, Ky","KY008","="
"US","Murfreesboro, Tenn","TN006","="
"US","Namozin Church, Va","VA124","="
"US","Nashville, Tenn","TN038","="
"US","National Bridge, Fla","FL006","="
"US","New Berne, N. C","NC003","="
"US","New Madrid, Mo","MO012","="
"US","Newmarket, Va","VA110","="
"US","North Anna, Va","VA055","="
"US","Oak Grove, Va.","VA015","="
"US","Olustee, Fla","FL005","="
"US","Opequon, Va","VA119","="
"US","Parker's Cross Roads, Tenn","TN011","="
"US","Pea Ridge, Mo","AR001","="
"US","Petersburg Assault, Va","VA063","="
"US","Petersburg Mine, Va","VA070","="
"US","Petersburg, Va","VA084","="
"US","Piedmont, Va","VA111","="
"US","Plain's Store, La","LA009","="
"US","Plymouth, N. C","NC012","="
"US","Poplar Spring Church, Va","VA074","="
"US","Port Hudson Trenches, La","LA010","="
"US","Port Republic, Va","VA106","="
"US","Prairie Grove, Ark","AR005","="
"US","Princeton, W. Va","WV009","="
"US","Rappahannock Station, Va","VA043","="
"US","Raymond, Miss","MS007","="
"US","Ream's Station, Va","VA073","="
"US","Rich Mountain, W. Va","WV003","="
"US","Richmond, Ky","KY007","="
"US","Ringgold; Graysville, Ga","GA005","="
"US","Rivers's Bridge, S. C","SC011","="
"US","Roanoke Island, N. C","NC002","="
"US","Sabine Cross Roads, La and Pleasant Hill, La","LA019","="
"US","Sailor's Creek, Va","VA093","="
"US","Saltville, Va","VA076","="
"US","Savage Station, va","VA019","="
"US","Secessionville, S. C","SC002","="
"US","Selma, Ala","AL007","="
"US","Shepherdstown Ford, Va","WV016","="
"US","Shiloh, Tenn","TN003","="
"US","Siege of Fort Wagner, S. C","SC007","="
"US","Siege of Suffolk, Va","VA031","="
"US","Smithfield, Va","WV015","="
"US","South Mountain, Md","MD002","="
"US","Spanish Fort, Ala","AL005","="
"US","Spotsylvania, Va","VA048","="
"US","Springfield, Mo","MO018","="
"US","St. Mary's Church, Va","VA066","="
"US","Stone's River, Tenn","TN010","="
"US","Strawberry Plains, Va","VA069","="
"US","Sugar Loaf Battery, N. C","NC016","="
"US","Thompson's Station, Tenn","TN013","="
"US","Tom's Brook; Woodstock, Va","VA121","="
"US","Totopotomoy, Va","VA057","="
"US","Town Creek, N. C","NC016","="
"US","Trevilian Station, Va","VA099","="
"US","Tupelo, Miss","MS015","="
"US","Upperville, Va","VA038","="
"US","Vicksburg Trenches, Miss","MS011","="
"US","Walthall; Chester Station, Va","VA047","="
"US","Wapping Heights, Va","VA108","="
"US","Ware Bottom Church, Va","VA054","="
"US","Wauhatchie, Tenn","TN021","="
"US","Weldon Railroad, Va","VA072","="
"US","West Point, Va","VA011","="
"US","White Oak Road, Va","VA087","="
