"belligerent","battle_name","state","killed","wounded","missing","casualties","cavalry","start_date","end_date"
"Union","Po River, Laurel Hill, and Upton's Charge (Spotsylvania)","VA","740","3,646","614","5,000",0,"1864-5-10","1864-5-10"
"Union","Hancock's Assault, the ""Angle"", and general attack of May 12 (Spotsylvania)","VA","1,259","6,198","1,043","8,500",0,"1864-5-12","1864-5-12"
"Union","Spotsylvania (Spotsylvania)","VA","119","583","98","800",0,"1864-5-18","1864-5-18"
"Union","Fredericksburg Pike (Spotsylvania)","VA","207","1,021","172","1,400",0,"1864-5-19","1864-5-19"
"Union","Todd's Tavern; Corbin's Bridge; Ny River; Guinea Station etc. (Spotsylvania)","VA","133","656","110","899",0,"1864-5-8","1864-5-21"
"Union","Walthall; Chester Station, Va","VA","48","256","70","374",0,"1864-5-6","1864-5-7"
"Union","Arrowfield Church, Va","VA","36","188","19","243",0,"1864-5-9","1864-5-10"
"Union","Drewry's Bluff, Va","VA","390","2,380","1,390","4,160",0,"1864-5-12","1864-5-16"
"Union","Ware Bottom Church, Va","VA","103","796","49","948",0,"1864-5-18","1864-5-20"
"Union","Bermuda Hundred, Va","VA","18","89","21","128",0,"1864-5-21","1864-5-31"
"Union","Kautz's Cavalry Raid, Va","VA","14","60","31","105",1,"1864-5-7","1864-5-16"
"Union","Cloyd's Mountain, W. Va","WV","108","508","72","688",0,"1864-5-9","1864-5-10"
"Union","Yellow Tavern, Va","VA","35","142","82","259",1,"1864-5-11","1864-5-11"
"Union","Meadow Bridges, Va","VA","15","128","27","170",1,"1864-5-12","1864-5-12"
"Union","Newmarket, Va","VA","93","482","256","831",0,"1864-5-15","1864-5-15"
"Union","Bayou Glaize, La","LA","54","261","6","321",0,"1864-5-18","1864-5-18"
"Union","North Anna, Va","VA","186","942","165","1,293",0,"1864-5-23","1864-5-27"
"Union","Totopotomoy, Va","VA","101","518","52","671",0,"1864-5-28","1864-5-31"
"Union","Sheridan's Cavalry, Va","VA","110","450","96","656",1,"1864-5-25","1864-5-30"
"Union","Bethesda Church, Va","VA","194","824","348","1,366",0,"1864-6-1","1864-6-1"
"Union","Cold Harbor, Va","VA","1,844","9,077","1,816","12,737",0,"1864-6-2","1864-6-4"
"Union","Bermuda Hundred, Va","VA","25","134","98","257",0,"1864-6-1","1864-6-14"
"Union","Piedmont, Va","VA","130","650","0","780",0,"1864-6-5","1864-6-5"
"Union","Brice's Cross Roads, Miss","MS","223","394","1,623","2,240",0,"1864-6-10","1864-6-10"
"Union","Lynchburg, Va","VA","103","564","271","938",0,"1864-6-17","1864-6-18"
"Union","Trevilian Station, Va","VA","102","470","435","1,007",1,"1864-6-11","1864-6-12"
"Union","White House, Va","VA","10","51","22","83",1,"1864-6-21","1864-6-21"
"Union","St. Mary's Church, Va","VA","29","188","122","339",1,"1864-6-24","1864-6-24"
"Union","Petersburg Assault, Va","VA","1,688","8,513","1,185","11,386",0,"1864-6-15","1864-6-19"
"Union","Jerusalem Road, Va","VA","142","654","2,166","2,962",0,"1864-6-22","1864-6-22"
"Union","Wilson's Raid, Va","VA","71","262","1,119","1,452",1,"1864-6-22","1864-6-29"
"Union","Petersburg Trenches, Va","VA","112","506","151","769",0,"1864-6-20","1864-6-30"
"Union","Fort Johnson, S. C","SC","19","97","135","251",0,"1864-7-2","1864-7-2"
"Union","John's Island, S. C","SC","16","82","12","110",0,"1864-7-5","1864-7-7"
"Union","Monocacy, Md","MD","123","603","568","1,294",0,"1864-7-9","1864-7-9"
"Union","Fort Stevens, D. C","DC","54","319","0","373",0,"1864-7-12","1864-7-12"
"Union","Tupelo, Miss","MS","59","453","16","528",0,"1864-7-13","1864-7-13"
"Union","Island Ford, Va","VA","65","301","56","422",0,"1864-7-18","1864-7-18"
"Union","Carter's Farm, Va","VA","37","175","30","242",0,"1864-7-20","1864-7-20"
"Union","Winchester, Va","VA","134","678","391","1,203",0,"1864-7-24","1864-7-24"
"Union","Strawberry Plains, Va","VA","62","340","86","488",0,"1864-7-26","1864-7-29"
"Union","Petersburg Mine, Va","VA","504","1,881","1,413","3,798",0,"1864-7-30","1864-7-30"
"Union","Petersburg Trenches, Va","VA","349","1,587","145","2,081",0,"1864-7-1","1864-7-31"
"Union","White Post, Va","VA","30","70","200","300",1,"1864-8-11","1864-8-11"
"Union","Deep Bottom, Va","VA","327","1,851","721","2,899",0,"1864-8-14","1864-8-16"
"Union","Weldon Railroad, Va","VA","251","1,148","2,879","4,278",0,"1864-8-18","1864-8-20"
"Union","Halltown, Va","VA","9","37","16","62",0,"1864-8-24","1864-8-24"
"Union","Ream's Station, Va","VA","140","529","2,073","2,742",0,"1864-8-25","1864-8-25"
"Union","Smithfield, Va","VA","20","61","100","181",1,"1864-8-25","1864-8-25"
"Union","Halltown, Va","VA","30","141","0","171",0,"1864-8-26","1864-8-26"
"Union","Smithfield, Va","VA","10","90","0","100",0,"1864-8-29","1864-8-29"
"Union","Siege of Petersburg","VA","158","623","296","1,077",0,"1864-8-1","1864-8-31"
"Union","Berryville, Va","VA","30","182","100","312",0,"1864-9-3","1864-9-3"
"Union","Opequon, Va","VA","697","3,983","338","5,018",0,"1864-9-19","1864-9-19"
"Union","Fisher's Hill, Va","VA","52","457","19","528",0,"1864-9-22","1864-9-22"
