combatant	starty	startm	startd	endy	endm	endd	battle_name	state	cwsac	killed	wounded	missing	casualties	cavalry
US	1863	6	13	1863	6	15	Winchester, Va	VA	VA107	95	348	4,000	4,443	
US	1863	6	17	1863	6	17	Aldie, Va	VA	VA036	50	131	124	305	1
US	1863	6	19	1863	6	19	Middleburg, Va	VA	VA037	16	46	37	99	1
US	1863	6	21	1863	6	21	Upperville, Va	VA	VA038	12	130	67	209	1
US	1863	6	21	1863	6	21	La Fourche Crossing, La	LA	LA012	8	40	0	48	
US	1863	6	22	1863	6	22	Hill's Plantation, Miss	MS		10	9	28	47	
US	1863	6	24	1863	6	24	Hoover's Gap, Tenn	TN	TN017	27	177	2	206	
US	1863	6	25	1863	6	25	Liberty Gap, Tenn	TN		42	232	1	275	
US	1863	6	27	1863	6	27	Shelbyville, Tenn	TN		15	64	10	89	
US	1863	7	2	1863	7	26	Morgan's Raid, Ky	KY	IN001 OH001 OH002	19	47	8	74	
US	1863	7	4	1863	7	4	Helena, Ark	AR	AR008	57	146	36	239	
US	1863	7	9	1863	7	16	Jackson, Miss	MS		129	762	231	1,122	
US	1863	6	30	1863	6	30	Hanover, Pa	PA	PA001	19	73	123	215	1
US	1863	7	1	1863	7	3	Gettysburg, Pa	PA	PA002	3,070	14,497	5,434	23,001	
US	1863	7	6	1863	7	6	Hagerstown, Md	MD		19	50	194	263	1
US	1863	7	6	1863	7	6	Williamsport, Md	MD	MD004	14	37	69	120	1
US	1863	7	7	1863	7	9	Boonsborough, Md	MD	MD006	8	54	18	80	1
US	1863	7	11	1863	7	11	Hagerstown, Md	MD		5	31	13	49	1
US	1863	7	12	1863	7	12	Funkstown, Md	MD		14	77	6	97	
US	1863	7	14	1863	7	14	Falling Waters, Md	MD		31	58	32	121	1
US	1863	7	16	1863	7	16	Shepherdstown, Va	VA		8	72	24	104	1
US	1863	7	11	1863	7	11	Assault on Fort Wagner, S. C	SC	SC005	49	123	167	339	
US	1863	7	18	1863	7	18	Assault on Fort Wagner, S. C	SC	SC007	246	880	389	1,515	
US	1863	7	1	1863	7	31	Siege of Fort Wagner, S. C	SC	SC007	71	278	9	358	
US	1863	7	13	1863	7	13	Donaldsonville, La	LA		56	223	186	465	
US	1863	7	21	1863	7	21	Manassas Gap, Va	VA		9	12	8	29	1
US	1863	7	23	1863	7	23	Wapping Heights, Va	VA	VA108	20	83	0	103	
US	1863	8	1	1863	8	1	Brandy Station, Va	VA		21	104	20	145	1
US	1863	8	26	1863	8	27	White Sulphur Springs, Va	VA		26	125	67	218	1
US	1863	9	19	1863	9	20	Chickamauga, Ga	GA	GA004	1,656	9,749	4,774	16,179	
