name,belligerent,url_dbpedia
USRC_Naugatuck,US,http://dbpedia.org/resourse/USRC_Naugatuck
USS_Hartford_(1858),US,http://dbpedia.org/resourse/USS_Hartford_(1858)
USS R. R. Cuyler (1860),US,http://dbpedia.org/resourse/USS_R._R._Cuyler_(1860)
USS Cincinnati (1861),US,http://dbpedia.org/resourse/USS_Cincinnati_(1861)
CSS General M. Jeff Thompson,Confederate,http://dbpedia.org/resourse/CSS_General_M._Jeff_Thompson
USS Banshee (1862),US,http://dbpedia.org/resourse/USS_Banshee_(1862)
USS Colorado (1856),US,http://dbpedia.org/resourse/USS_Colorado_(1856)
USS_Smith-Briggs,US,http://dbpedia.org/resourse/USS_Smith-Briggs
USS Montauk (1862),US,http://dbpedia.org/resourse/USS_Montauk_(1862)
USS Laurent Millaudon,Confederate,http://dbpedia.org/resourse/USS_Laurent_Millaudon
USS Mound City,US,http://dbpedia.org/resourse/USS_Mound_City
CSS_Ellis,Confederate,http://dbpedia.org/resourse/CSS_Ellis
USS_Rachel_Seaman_(1861),US,http://dbpedia.org/resourse/USS_Rachel_Seaman_(1861)
USS Chickasaw (1864),US,http://dbpedia.org/resourse/USS_Chickasaw_(1864)
USS Hetzel (1861),US,http://dbpedia.org/resourse/USS_Hetzel_(1861)
CS_Bayou_City,Confederate,http://dbpedia.org/resourse/CS_Bayou_City
USS Pontoosuc (1864),US,http://dbpedia.org/resourse/USS_Pontoosuc_(1864)
CSS Tennessee (1863),Confederate,http://dbpedia.org/resourse/CSS_Tennessee_(1863)
USS_Conestoga_(1861),US,http://dbpedia.org/resourse/USS_Conestoga_(1861)
USS_Paw_Paw_(1863),US,http://dbpedia.org/resourse/USS_Paw_Paw_(1863)
USS Osceola (1863),US,http://dbpedia.org/resourse/USS_Osceola_(1863)
USS_Weehawken_(1862),US,http://dbpedia.org/resourse/USS_Weehawken_(1862)
USS Emma (1863),US,http://dbpedia.org/resourse/USS_Emma_(1863)
USS Kennebec (1861),US,http://dbpedia.org/resourse/USS_Kennebec_(1861)
USS Monongahela (1862),US,http://dbpedia.org/resourse/USS_Monongahela_(1862)
USS_Peosta_(1857),US,http://dbpedia.org/resourse/USS_Peosta_(1857)
USS_Diana_(1862),Confederate,http://dbpedia.org/resourse/USS_Diana_(1862)
USS Stars and Stripes (1861),US,http://dbpedia.org/resourse/USS_Stars_and_Stripes_(1861)
USS Yantic (1864),US,http://dbpedia.org/resourse/USS_Yantic_(1864)
USS_Brooklyn_(1858),US,http://dbpedia.org/resourse/USS_Brooklyn_(1858)
USS Eolus (1864),US,http://dbpedia.org/resourse/USS_Eolus_(1864)
USS Port Royal (1862),US,http://dbpedia.org/resourse/USS_Port_Royal_(1862)
USS Lackawanna (1862),US,http://dbpedia.org/resourse/USS_Lackawanna_(1862)
USS Kineo (1861),US,http://dbpedia.org/resourse/USS_Kineo_(1861)
USS Carondelet (1861),US,http://dbpedia.org/resourse/USS_Carondelet_(1861)
USS Ossipee (1861),US,http://dbpedia.org/resourse/USS_Ossipee_(1861)
USS_Itasca_(1861),US,http://dbpedia.org/resourse/USS_Itasca_(1861)
USS Shenandoah (1862),US,http://dbpedia.org/resourse/USS_Shenandoah_(1862)
USS Black Hawk (1848),US,http://dbpedia.org/resourse/USS_Black_Hawk_(1848)
USS Chippewa (1861),US,http://dbpedia.org/resourse/USS_Chippewa_(1861)
USS_Commodore_(1863),US,http://dbpedia.org/resourse/USS_Commodore_(1863)
USS Seneca (1861),US,http://dbpedia.org/resourse/USS_Seneca_(1861)
USS_Louisville_(1861),US,http://dbpedia.org/resourse/USS_Louisville_(1861)
USS Mississippi (1841),US,http://dbpedia.org/resourse/USS_Mississippi_(1841)
USS Berberry (1864),US,http://dbpedia.org/resourse/USS_Berberry_(1864)
USS_Coeur_de_Lion_(1861),US,http://dbpedia.org/resourse/USS_Coeur_de_Lion_(1861)
USS_State_of_Georgia_(1851),US,http://dbpedia.org/resourse/USS_State_of_Georgia_(1851)
USS_Crusader_(1858),US,http://dbpedia.org/resourse/USS_Crusader_(1858)
CSS_Jamestown,Confederate,http://dbpedia.org/resourse/CSS_Jamestown
USS Underwriter (1852),US,http://dbpedia.org/resourse/USS_Underwriter_(1852)
CSS Selma (1856),Confederate,http://dbpedia.org/resourse/CSS_Selma_(1856)
CSS_Mississippi,Confederate,http://dbpedia.org/resourse/CSS_Mississippi
USS Canonicus (1863),US,http://dbpedia.org/resourse/USS_Canonicus_(1863)
USS_Princess_Royal,US,http://dbpedia.org/resourse/USS_Princess_Royal
USS_Kineo_(1861),US,http://dbpedia.org/resourse/USS_Kineo_(1861)
USS Wabash (1855),US,http://dbpedia.org/resourse/USS_Wabash_(1855)
CSS Morgan,Confederate,http://dbpedia.org/resourse/CSS_Morgan
USS Westfield (1861),US,http://dbpedia.org/resourse/USS_Westfield_(1861)
CSS_Cotton_Plant,Confederate,http://dbpedia.org/resourse/CSS_Cotton_Plant
CSS Defiance,Confederate,http://dbpedia.org/resourse/CSS_Defiance
USS_E._B._Hale_(1861),US,http://dbpedia.org/resourse/USS_E._B._Hale_(1861)
USS Cherokee (1859),US,http://dbpedia.org/resourse/USS_Cherokee_(1859)
USS_Lexington_(1861),US,http://dbpedia.org/resourse/USS_Lexington_(1861)
USS_Essex_(1856),US,http://dbpedia.org/resourse/USS_Essex_(1856)
USS Benton (1861),US,http://dbpedia.org/resourse/USS_Benton_(1861)
USS Shawsheen (1855),US,http://dbpedia.org/resourse/USS_Shawsheen_(1855)
USS Tahoma (1861),US,http://dbpedia.org/resourse/USS_Tahoma_(1861)
USS Advance (1862),US,http://dbpedia.org/resourse/USS_Advance_(1862)
USS Canandaigua (1862),US,http://dbpedia.org/resourse/USS_Canandaigua_(1862)
CSS Albemarle,Confederate,http://dbpedia.org/resourse/CSS_Albemarle
USS_Gemsbok_(1861),US,http://dbpedia.org/resourse/USS_Gemsbok_(1861)
USS Huron (1861),US,http://dbpedia.org/resourse/USS_Huron_(1861)
USS_Cambridge_(1860),US,http://dbpedia.org/resourse/USS_Cambridge_(1860)
USS Conestoga (1861),US,http://dbpedia.org/resourse/USS_Conestoga_(1861)
CSS General Bragg (1851),Confederate,http://dbpedia.org/resourse/CSS_General_Bragg_(1851)
CSS Bombshell,Confederate,http://dbpedia.org/resourse/CSS_Bombshell
USS_Oneida_(1861),US,http://dbpedia.org/resourse/USS_Oneida_(1861)
USS Morse,US,http://dbpedia.org/resourse/USS_Morse
CSS_Forrest,Confederate,http://dbpedia.org/resourse/CSS_Forrest
USS Santiago de Cuba (1861),US,http://dbpedia.org/resourse/USS_Santiago_de_Cuba_(1861)
USS Mahaska (1861),US,http://dbpedia.org/resourse/USS_Mahaska_(1861)
USS_Richmond_(1860),US,http://dbpedia.org/resourse/USS_Richmond_(1860)
USS Cayuga (1861),US,http://dbpedia.org/resourse/USS_Cayuga_(1861)
USS Unadilla (1861),US,http://dbpedia.org/resourse/USS_Unadilla_(1861)
USS_Whitehall_(1850),US,http://dbpedia.org/resourse/USS_Whitehall_(1850)
USS Cumberland (1842),US,http://dbpedia.org/resourse/USS_Cumberland_(1842)
USS_Stepping_Stones_(1861),US,http://dbpedia.org/resourse/USS_Stepping_Stones_(1861)
USS Adela,US,http://dbpedia.org/resourse/USS_Adela
CSS_Patrick_Henry,Confederate,http://dbpedia.org/resourse/CSS_Patrick_Henry
USS Juniata (1862),US,http://dbpedia.org/resourse/USS_Juniata_(1862)
USS_Mystic_(1853),US,http://dbpedia.org/resourse/USS_Mystic_(1853)
USS Metacomet (1863),US,http://dbpedia.org/resourse/USS_Metacomet_(1863)
USS Seminole (1859),US,http://dbpedia.org/resourse/USS_Seminole_(1859)
USS General Putnam (1857),US,http://dbpedia.org/resourse/USS_General_Putnam_(1857)
USS Alabama (1850),US,http://dbpedia.org/resourse/USS_Alabama_(1850)
USS_Mississippi_(1841),US,http://dbpedia.org/resourse/USS_Mississippi_(1841)
USS_Mount_Washington_(1846),US,http://dbpedia.org/resourse/USS_Mount_Washington_(1846)
USS_Primrose_(1863),US,http://dbpedia.org/resourse/USS_Primrose_(1863)
USS_Choctaw_(1856),US,http://dbpedia.org/resourse/USS_Choctaw_(1856)
CSS Sea-Bird,Confederate,http://dbpedia.org/resourse/CSS_Sea-Bird
CSS General Breckinridge,Confederate,http://dbpedia.org/resourse/CSS_General_Breckinridge
USS Pittsburg (1861),US,http://dbpedia.org/resourse/USS_Pittsburg_(1861)
USS New Ironsides,US,http://dbpedia.org/resourse/USS_New_Ironsides
USS Lancer,US,http://dbpedia.org/resourse/USS_Lancer
USS Pequot (1863),US,http://dbpedia.org/resourse/USS_Pequot_(1863)
USS Manhattan (1863),US,http://dbpedia.org/resourse/USS_Manhattan_(1863)
USS Pawtuxet (1864),US,http://dbpedia.org/resourse/USS_Pawtuxet_(1864)
USS Morse (1861),US,http://dbpedia.org/resourse/USS_Morse_(1861)
USS Aries (1863),US,http://dbpedia.org/resourse/USS_Aries_(1863)
USS_Westfield_(1861),US,http://dbpedia.org/resourse/USS_Westfield_(1861)
USS Brooklyn (1858),US,http://dbpedia.org/resourse/USS_Brooklyn_(1858)
USS_Monitor,US,http://dbpedia.org/resourse/USS_Monitor
USS_Zouave_(1861),US,http://dbpedia.org/resourse/USS_Zouave_(1861)
USS Tecumseh (1863),US,http://dbpedia.org/resourse/USS_Tecumseh_(1863)
Miami (1861),US,http://dbpedia.org/resourse/Miami_(1861)
CSS_Chicora,Confederate,http://dbpedia.org/resourse/CSS_Chicora
USS Octorara (1861),US,http://dbpedia.org/resourse/USS_Octorara_(1861)
USS_Baron_DeKalb_(1861),US,http://dbpedia.org/resourse/USS_Baron_DeKalb_(1861)
USS_New_Ironsides,US,http://dbpedia.org/resourse/USS_New_Ironsides
USS Granite (1862),US,http://dbpedia.org/resourse/USS_Granite_(1862)
USS Galena (1862),US,http://dbpedia.org/resourse/USS_Galena_(1862)
USS Rattler (1862),US,http://dbpedia.org/resourse/USS_Rattler_(1862)
USS Delaware (1861),US,http://dbpedia.org/resourse/USS_Delaware_(1861)
USS Tuscarora (1861),US,http://dbpedia.org/resourse/USS_Tuscarora_(1861)
USS Pioneer,US,http://dbpedia.org/resourse/USS_Pioneer
CSS_Black_Warrior,Confederate,http://dbpedia.org/resourse/CSS_Black_Warrior
USS_Resolute_(1860),US,http://dbpedia.org/resourse/USS_Resolute_(1860)
USS Hunchback,US,http://dbpedia.org/resourse/USS_Hunchback
USS Mahopac (1863),US,http://dbpedia.org/resourse/USS_Mahopac_(1863)
USS_Uncas_(1843),US,http://dbpedia.org/resourse/USS_Uncas_(1843)
CSS_Teaser,Confederate,http://dbpedia.org/resourse/CSS_Teaser
USS Vidette,US,http://dbpedia.org/resourse/USS_Vidette
USS_Miami_(1861),US,http://dbpedia.org/resourse/USS_Miami_(1861)
USS_Henry_Janes_(1861),US,http://dbpedia.org/resourse/USS_Henry_Janes_(1861)
CSS Huntsville,Confederate,http://dbpedia.org/resourse/CSS_Huntsville
USS Governor Buckingham,US,http://dbpedia.org/resourse/USS_Governor_Buckingham
CSS_Teaser,US,http://dbpedia.org/resourse/CSS_Teaser
CSS_Resolute,Confederate,http://dbpedia.org/resourse/CSS_Resolute
USS Mound City (1861),US,http://dbpedia.org/resourse/USS_Mound_City_(1861)
USS_Nantucket_(1862),US,http://dbpedia.org/resourse/USS_Nantucket_(1862)
USS Commodore Hull,US,http://dbpedia.org/resourse/USS_Commodore_Hull
USS_Galena_(1862),US,http://dbpedia.org/resourse/USS_Galena_(1862)
USS Tacony (1863),US,http://dbpedia.org/resourse/USS_Tacony_(1863)
USS Philadelphia (1861),US,http://dbpedia.org/resourse/USS_Philadelphia_(1861)
USS_Wissahickon_(1861),US,http://dbpedia.org/resourse/USS_Wissahickon_(1861)
CSS Gaines,Confederate,http://dbpedia.org/resourse/CSS_Gaines
USS_Passaic_(1862),US,http://dbpedia.org/resourse/USS_Passaic_(1862)
USS Queen of the West (1854),US,http://dbpedia.org/resourse/USS_Queen_of_the_West_(1854)
USS New Era (1862),US,http://dbpedia.org/resourse/USS_New_Era_(1862)
USS Susquehanna (1847),US,http://dbpedia.org/resourse/USS_Susquehanna_(1847)
CSS_Manassas,Confederate,http://dbpedia.org/resourse/CSS_Manassas
USS Henry Brinker (1861),US,http://dbpedia.org/resourse/USS_Henry_Brinker_(1861)
USS_Pensacola_(1859),US,http://dbpedia.org/resourse/USS_Pensacola_(1859)
USS Lenapee (1863),US,http://dbpedia.org/resourse/USS_Lenapee_(1863)
USS Vanderbilt (1862),US,http://dbpedia.org/resourse/USS_Vanderbilt_(1862)
USS Fort Donelson,US,http://dbpedia.org/resourse/USS_Fort_Donelson
USS Richmond (1860),US,http://dbpedia.org/resourse/USS_Richmond_(1860)
USS Genesee (1862),US,http://dbpedia.org/resourse/USS_Genesee_(1862)
USS Commodore Barney (1859),US,http://dbpedia.org/resourse/USS_Commodore_Barney_(1859)
Ceres (1856),US,http://dbpedia.org/resourse/Ceres_(1856)
CSS_Jackson,Confederate,http://dbpedia.org/resourse/CSS_Jackson
USS Dai Ching (1863),US,http://dbpedia.org/resourse/USS_Dai_Ching_(1863)
USS_Arizona_(1858),US,http://dbpedia.org/resourse/USS_Arizona_(1858)
USS_Cayuga_(1861),US,http://dbpedia.org/resourse/USS_Cayuga_(1861)
USS_Alert_(1861),US,http://dbpedia.org/resourse/USS_Alert_(1861)
USS Hartford (1858),US,http://dbpedia.org/resourse/USS_Hartford_(1858)
CSS_Louisiana,Confederate,http://dbpedia.org/resourse/CSS_Louisiana
USS Mackinaw (1863),US,http://dbpedia.org/resourse/USS_Mackinaw_(1863)
CSS_Raleigh_(1861),Confederate,http://dbpedia.org/resourse/CSS_Raleigh_(1861)
USS_Cumberland_(1842),US,http://dbpedia.org/resourse/USS_Cumberland_(1842)
USS_Pittsburgh_(1861),US,http://dbpedia.org/resourse/USS_Pittsburgh_(1861)
USS Lilian (1863),US,http://dbpedia.org/resourse/USS_Lilian_(1863)
USRC_Harriet_Lane_(1857),US,http://dbpedia.org/resourse/USRC_Harriet_Lane_(1857)
USS_Roanoke_(1855),US,http://dbpedia.org/resourse/USS_Roanoke_(1855)
USS Sassacus (1862),US,http://dbpedia.org/resourse/USS_Sassacus_(1862)
USS_Yankee_(1861),US,http://dbpedia.org/resourse/USS_Yankee_(1861)
USS_Kennebec_(1861),US,http://dbpedia.org/resourse/USS_Kennebec_(1861)
USS_Tyler_(1857),US,http://dbpedia.org/resourse/USS_Tyler_(1857)
USS Ticonderoga (1863),US,http://dbpedia.org/resourse/USS_Ticonderoga_(1863)
Mattabesett (1864),US,http://dbpedia.org/resourse/Mattabesett_(1864)
USS Tristram Shandy (1864),US,http://dbpedia.org/resourse/USS_Tristram_Shandy_(1864)
USS Monticello (1859),US,http://dbpedia.org/resourse/USS_Monticello_(1859)
USS Whitehead,US,http://dbpedia.org/resourse/USS_Whitehead
Whitehead (1861),US,http://dbpedia.org/resourse/Whitehead_(1861)
Sassacus (1862),US,http://dbpedia.org/resourse/Sassacus_(1862)
USS_Paul_Jones_(1862),US,http://dbpedia.org/resourse/USS_Paul_Jones_(1862)
USS_Southfield_(1857),US,http://dbpedia.org/resourse/USS_Southfield_(1857)
USS_Pawnee_(1859),US,http://dbpedia.org/resourse/USS_Pawnee_(1859)
USS_Corypheus_(1862),US,http://dbpedia.org/resourse/USS_Corypheus_(1862)
USS Winnebago (1863),US,http://dbpedia.org/resourse/USS_Winnebago_(1863)
CSS General Lovell,Confederate,http://dbpedia.org/resourse/CSS_General_Lovell
CSS General Earl Van Dorn,Confederate,http://dbpedia.org/resourse/CSS_General_Earl_Van_Dorn
USS Minnesota (1855),US,http://dbpedia.org/resourse/USS_Minnesota_(1855)
USS_Cincinnati_(1861),US,http://dbpedia.org/resourse/USS_Cincinnati_(1861)
CSS Nashville (1864),Confederate,http://dbpedia.org/resourse/CSS_Nashville_(1864)
CSS_Beaufort,Confederate,http://dbpedia.org/resourse/CSS_Beaufort
USS Catskill (1862),US,http://dbpedia.org/resourse/USS_Catskill_(1862)
USS Bat (1864),US,http://dbpedia.org/resourse/USS_Bat_(1864)
USS Kineo (1862),US,http://dbpedia.org/resourse/USS_Kineo_(1862)
USS Cairo (1861),US,http://dbpedia.org/resourse/USS_Cairo_(1861)
USS Little Ada (1864),US,http://dbpedia.org/resourse/USS_Little_Ada_(1864)
USS_Minnesota_(1855),US,http://dbpedia.org/resourse/USS_Minnesota_(1855)
CSS Little Rebel,Confederate,http://dbpedia.org/resourse/CSS_Little_Rebel
CSS_McRae,Confederate,http://dbpedia.org/resourse/CSS_McRae
USS Oneida (1861),US,http://dbpedia.org/resourse/USS_Oneida_(1861)
USS_Iroquois_(1859),US,http://dbpedia.org/resourse/USS_Iroquois_(1859)
USS John L. Lockwood (1854),US,http://dbpedia.org/resourse/USS_John_L._Lockwood_(1854)
USS_Winona_(1861),US,http://dbpedia.org/resourse/USS_Winona_(1861)
USS_Montauk_(1862),US,http://dbpedia.org/resourse/USS_Montauk_(1862)
USS_Patroon_(1859),US,http://dbpedia.org/resourse/USS_Patroon_(1859)
USS_Daylight_(1859),US,http://dbpedia.org/resourse/USS_Daylight_(1859)
USS Itasca (1861),US,http://dbpedia.org/resourse/USS_Itasca_(1861)
