comm_id,dbpedia_url,commander,last_me,middle_me,first_me
CS22,http://dbpedia.org/resource/Daniel_Harvey_Hill,0b57b2da-99cd-48b9-8cbd-b843cd7ca04f,Hill,,D.H.
CS24,http://dbpedia.org/resource/Douglas_H._Cooper,0585679d-c4d3-46b9-a774-1c06c6d7f9e9,Cooper,H.,Douglas
CS26,http://dbpedia.org/resource/Edmund_Kirby_Smith,39787b04-6723-4729-957c-bddcae228832,Smith,Kirby,E.
CS27,http://dbpedia.org/resource/Earl_Van_Dorn,a68145ec-a562-494d-8e95-c9bd2e0ff473,Van Dorn,,Earl
CS28,http://dbpedia.org/resource/Edward_Johnson_(general),de25d737-0ff7-48a5-8703-8c7aa4182fdd,Johnson,"""Allegheny""",Edward
CS29,http://dbpedia.org/resource/Felix_Zollicoffer,26d68e2e-6774-4ab9-87c2-0eef76fa44e4,Zollicoffer,,Felix
CS3,http://dbpedia.org/resource/Albert_Rust,96a9452c-2037-46a8-ae46-638f9d985903,Rust,,Albert
CS30,http://dbpedia.org/resource/Fitzhugh_Lee,67a922f1-6dc9-4ba8-89aa-e33f842197e2,Lee,,Fitzhugh
CS31,,add4cd41-6acd-4edd-be40-0a794fd84493,Powers,P.,Frank
CS33,http://dbpedia.org/resource/Franklin_Gardner,6420b474-c728-4537-84ce-09ae419a5398,Gardner,,Franklin
CS34,http://dbpedia.org/resource/Gideon_W._Thompson,716a36b9-d4d4-4925-b23c-8306d9c01a57,Thompson,,G.W.
CS35,http://dbpedia.org/resource/George_Wayne_Anderson,0b058f90-1a89-4107-b4dc-1c950545a90c,Anderson,A.,George
CS36,http://dbpedia.org/resource/George_A._Porterfield,6cd67d55-e040-4068-8ba6-97da6ba4e04b,Porterfield,A.,George
CS37,http://dbpedia.org/resource/George_B._Crittenden,adcab55a-f4fc-44be-a271-cf0364c28a3b,Crittenden,B.,George
CS38,http://dbpedia.org/resource/George_Pickett,e4e99b96-0c8c-43c9-b2b2-79cfdb9ed800,Pickett,,George
CS39,,ec859f80-4b41-4461-82d4-f477340eb6d9,Singletary,,George
CS4,http://dbpedia.org/resource/Albert_Sidney_Johnston,155b07ca-cc70-402b-968f-dee3650ff3e3,Johnston,Sidney,Albert
CS40,http://dbpedia.org/resource/Gideon_Johnson_Pillow,c97e392a-d319-4c82-9201-0a35f418a0a9,Pillow,J.,Gideon
CS41,http://dbpedia.org/resource/Gustavus_Woodson_Smith,7ecf1477-925a-4b2b-b174-a549a4038ecc,Smith,W.,Gustavius
CS42,http://dbpedia.org/resource/Hamilton_P._Bee,834a5d3b-09a0-493b-9055-d82ae4d09f15,Bee,P.,Hamilton
CS43,http://dbpedia.org/resource/Henry_Eustace_McCulloch,45d45288-c904-4b79-b112-92223329d44b,McCulloch,E.,Henry
CS44,http://dbpedia.org/resource/Henry_Hopkins_Sibley,9839110b-154f-4796-aa4f-dd402e2382ca,Sibley,Hopkins,Henry
CS45,http://dbpedia.org/resource/Henry_Heth,d87fee08-2ce1-47f6-b313-9a1dfb7a8ea7,Heth,,Henry
