"cwsac_id","belligerent","str_mean","cas_kwm_mean","str_var","cas_k_mean","cas_w_mean","cas_m_mean","cas_kw_mean","cas_km_mean","cas_wm_mean","str_mean_cwsac","str_var_cwsac","description","cas_k_var","cas_w_var","cas_m_var","cas_kw_var","cas_km_var","cas_wm_var","cas_kwm_var"
"KY008","US",NA,4148,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Union garrison",NA,NA,NA,NA,NA,NA,0.0833333
"KY009","Confederate",NA,3396,NA,NA,NA,NA,NA,NA,NA,79159.5,7.77632e+08,"Army of the Mississippi",NA,NA,NA,NA,NA,NA,0.0833333
"KY009","US",55000,4211,33585,NA,NA,NA,NA,NA,NA,54876.1,3.94571e+08,"Army of the Ohio",NA,NA,NA,NA,NA,NA,0.0833333
"KY010","Confederate",3000,50,33585,NA,NA,NA,NA,NA,NA,1910,39675,"3rd, 7th, 8th, and 12th Regiments, Kentucky Cavalry",NA,NA,NA,NA,NA,NA,5.58333
"KY010","US",650,90,5.58333,NA,NA,NA,NA,NA,NA,1300.56,35852.4,"Union garrison (8th Colored Heavy Artillery, 16th Kentucky Cavalry, and Companies C, H, and K, 122nd Illinois Infantry) and Gunboats: USS Peosta – Tinclad Side Wheel Steamer, USS Paw Paw (Gunboat #31) – Tinclad Center Wheel Steamer",NA,NA,NA,NA,NA,NA,5.58333
"KY011","Confederate",NA,1000,NA,NA,NA,NA,NA,NA,NA,8145.19,7.68659e+06,"Morgan’s Division",NA,NA,NA,NA,NA,NA,33585
"KY011","US",NA,1092,NA,NA,NA,NA,NA,NA,NA,1432.5,29756.2,"168th Regiment Ohio Volunteer Infantry, 171st Ohio National Guard, Kentucky Harrison County Home Guards",NA,NA,NA,NA,NA,NA,0.0833333
"LA001","Confederate",NA,782,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Garrisons of Forts Jackson and St. Philip Confederate River Defense Fleet",NA,NA,NA,NA,NA,NA,0.0833333
"LA001","US",NA,229,NA,NA,NA,NA,NA,NA,NA,NA,NA,"West Gulf Blockading Squadron",NA,NA,NA,NA,NA,NA,0.0833333
"LA002","Confederate",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New Orleans garrison",NA,NA,NA,NA,NA,NA,0.0833333
"LA002","US",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"West Gulf Blockading Squadron and the Department of the Gulf",NA,NA,NA,NA,NA,NA,0.0833333
"LA003","Confederate",NA,478,NA,NA,NA,NA,NA,NA,NA,8145.19,7.68659e+06,"Breckinridge’s Division; ram CSS Arkansas",NA,NA,NA,NA,NA,NA,0.0833333
"LA003","US",NA,371,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Baton Rouge Garrison; Division of Flotilla in Western Waters",NA,NA,NA,NA,NA,NA,0.0833333
"LA004","Confederate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Partisan rangers",NA,NA,NA,NA,NA,NA,NA
"LA004","US",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"West Gulf Blockading Squadron",NA,NA,NA,NA,NA,NA,NA
"LA005","Confederate",1392,229,0.0833333,NA,NA,NA,NA,NA,NA,2623.5,50556.4,"18th Louisiana Infantry Regiment, Crescent Regiment, Ralston's Battery, 33rd Louisiana Infantry Regiment, Terre Bonne Regiment Louisiana Militia, Semmes's Battery, and 2nd Louisiana Cavalry Regiment",NA,NA,NA,NA,NA,NA,0.0833333
"LA005","US",4000,86,33585,NA,NA,NA,NA,NA,NA,NA,NA,"Department of the Gulf, Reserve Brigade",NA,NA,NA,NA,NA,NA,0.0833333
"LA006","Confederate",NA,450,NA,NA,NA,NA,NA,NA,NA,79159.5,7.77632e+08,"Army of Western Louisiana",NA,NA,NA,NA,NA,NA,5.58333
"LA006","US",NA,224,NA,NA,NA,NA,NA,NA,NA,18461.6,4.11136e+07,"XIX Army Corps, Department of the Gulf and the USS Clifton",NA,NA,NA,NA,NA,NA,0.0833333
"LA007","Confederate",NA,NA,NA,NA,NA,NA,NA,NA,NA,79159.5,7.77632e+08,"Army of Western Louisiana",NA,NA,NA,NA,NA,NA,NA
"LA007","US",NA,355,NA,NA,NA,NA,NA,NA,NA,6310.49,4.38188e+06,"4th Division, XIX Corps, Department of the Gulf, and Naval Forces in Berwick Bay",NA,NA,NA,NA,NA,NA,0.0833333
"LA008","Confederate",NA,NA,NA,NA,NA,NA,NA,NA,NA,79159.5,7.77632e+08,"Army of Western Louisiana",NA,NA,NA,NA,NA,NA,NA
"LA008","US",NA,NA,NA,NA,NA,NA,NA,NA,NA,18461.6,4.11136e+07,"XIX Corps, Department of the Gulf",NA,NA,NA,NA,NA,NA,NA
"LA009","Confederate",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Elements of the Port Hudson Garrison",NA,NA,NA,NA,NA,NA,419.458
"LA009","US",NA,150,NA,NA,NA,NA,NA,NA,NA,6310.49,4.38188e+06,"1st Division, XIX Corps, Department of the Gulf",NA,NA,NA,NA,NA,NA,5.58333
"LA010","Confederate",NA,7500,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Port Hudson garrison",NA,NA,NA,NA,NA,NA,419.458
"LA010","US",NA,10000,NA,NA,NA,NA,NA,NA,NA,18461.6,4.11136e+07,"XIX Corps, Department of the Gulf and the Flotilla of the West Gulf Blockading Squadron",NA,NA,NA,NA,NA,NA,2.80017e+06
"LA011","Confederate",NA,185,NA,NA,NA,NA,NA,NA,NA,8145.19,7.68659e+06,"Walker's Texas Division",NA,NA,NA,NA,NA,NA,0.0833333
"LA011","US",NA,652,NA,NA,NA,NA,NA,NA,NA,94912.8,786931,"The African Brigade (8th, 9th, 11th, and 13th Louisiana Infantry of African Descent, and the 1st Mississippi Infantry of African Descent), the 23rd Iowa Infantry, two companies of the 10th Illinois Cavalry, and the USS Choctaw and the USS Lexington",NA,NA,NA,NA,NA,NA,0.0833333
"LA012","Confederate",NA,219,NA,NA,NA,NA,NA,NA,NA,2231.39,533930,"2nd Cavalry Brigade, District of Western Louisiana",NA,NA,NA,NA,NA,NA,0.0833333
"LA012","US",838,49,0.0833333,NA,NA,NA,NA,NA,NA,4238.26,110840,"Detachments of the 23rd Connecticut, 176th New York, 26th & 42nd Massachusetts, and 26th Maine Infantry Regiments, detachments of Captain Blober's Cavalry, and the 21st Indiana Heavy Artillery and 25th New York Light Artillery",NA,NA,NA,NA,NA,NA,0.0833333
"LA013","Confederate",NA,301,NA,NA,NA,NA,NA,NA,NA,4462.77,1.06786e+06,"Detachments of Green's and Moutons's Texas Brigades",NA,NA,NA,NA,NA,NA,0.0833333
"LA013","US",NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fort Butler garrison and the USS Princess Royal, USS Winona, and USS Kineo",NA,NA,NA,NA,NA,NA,0.0833333
"LA014","Confederate",NA,6,NA,NA,NA,NA,NA,NA,NA,1429.75,25759.5,"12th and 19th Texas Cavalry Regiments, 15th Louisiana Cavalry Battalion, Cameron’s Louisiana Battery, and Ralston’s Mississippi Battery",NA,NA,NA,NA,NA,NA,0.0833333
"LA014","US",NA,150,NA,NA,NA,NA,NA,NA,NA,4620.14,1.00487e+06,"Brigade of 1st Arkansas Volunteers (African Descent) and 10th Louisiana Volunteers (African Descent), and the Mississippi Marine Brigade",NA,NA,NA,NA,NA,NA,5.58333
"LA015","Confederate",NA,33,NA,NA,NA,NA,NA,NA,NA,4462.77,1.06786e+06,"Major's Brigade and Green's Texas Brigade",NA,NA,NA,NA,NA,NA,0.0833333
"LA015","US",NA,465,NA,NA,NA,NA,NA,NA,NA,4620.14,1.00487e+06,"1st Brigade, 2nd Division and the 3rd Brigade, 3rd Division, XIX Army Corps",NA,NA,NA,NA,NA,NA,0.0833333
"LA016","Confederate",NA,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Confederate Forces on the Atchafalaya",NA,NA,NA,NA,NA,NA,0.0833333
"LA016","US",NA,515,NA,NA,NA,NA,NA,NA,NA,2890,59512.5,"Detachments of the 19th Iowa, 26th Indiana, and 37th Illinois Infantry Regiments, detachments of the 6th Missouri and 2nd and 36th Illinois Cavalry Regiments, and a section of Battery E, 1st Missouri Light Artillery",NA,NA,NA,NA,NA,NA,0.0833333
"LA017","Confederate",NA,269,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fort DeRussy garrison",NA,NA,NA,NA,NA,NA,0.0833333
"LA017","US",NA,48,NA,NA,NA,NA,NA,NA,NA,36923.2,8.22271e+07,"Detachments of the XVI and XVII Corps, USS Eastport",NA,NA,NA,NA,NA,NA,0.0833333
"LA018","Confederate",NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Department of West Louisiana",NA,NA,NA,NA,NA,NA,33585
"LA018","US",NA,2235,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Red River Expeditionary Force",NA,NA,NA,NA,NA,NA,0.0833333
"LA019","Confederate",NA,1626,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Department of West Louisiana",NA,NA,NA,NA,NA,NA,0.0833333
"LA019","US",NA,1369,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Red River Expeditionary Force",NA,NA,NA,NA,NA,NA,0.0833333
"LA020","Confederate",NA,57,NA,NA,NA,NA,NA,NA,NA,5628.51,3.84117e+06,"Green’s Cavalry Division",NA,NA,NA,NA,NA,NA,0.0833333
"LA020","US",NA,60,NA,NA,NA,NA,NA,NA,NA,6310.49,4.38188e+06,"Provisional Division, XVII Army Corps, USS Osage, USS Lexington, and Army transports Vivian, Black Hawk, Meteor, Clara Bell, Rob Roy, Hastings, and Emerald",NA,NA,NA,NA,NA,NA,5.58333
"LA021","Confederate",NA,400,NA,NA,NA,NA,NA,NA,NA,5628.51,3.84117e+06,"Bee's Cavalry Division",NA,NA,NA,NA,NA,NA,419.458
"LA021","US",NA,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Red River Expeditionary Force",NA,NA,NA,NA,NA,NA,419.458
"LA022","Confederate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Department of West Louisiana",NA,NA,NA,NA,NA,NA,NA
"LA022","US",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Red River Expeditionary Force",NA,NA,NA,NA,NA,NA,NA
"LA023","Confederate",NA,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Department of West Louisiana",NA,NA,NA,NA,NA,NA,419.458
"LA023","US",NA,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Red River Expeditionary Force",NA,NA,NA,NA,NA,NA,5.58333
"MD001","Confederate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Valley District",NA,NA,NA,NA,NA,NA,NA
"MD001","US",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Garrison of Hancock",NA,NA,NA,NA,NA,NA,NA
"MD002","Confederate",NA,2300,NA,NA,NA,NA,NA,NA,NA,10376.6,8.22052e+06,"Daniel Harvey Hill’s Division and Howell Cobb’s Brigade",NA,NA,NA,NA,NA,NA,419.458
"MD002","US",NA,2325,NA,NA,NA,NA,NA,NA,NA,55384.8,1.23341e+08,"1st, 9th, and 6th Corps Army of the Potomac",NA,NA,NA,NA,NA,NA,0.0833333
"MD003","Confederate",NA,10300,NA,NA,NA,NA,NA,NA,NA,40000,2.80017e+06,"Army of Northern Virginia, 40,000",NA,NA,NA,NA,NA,NA,419.458
"MD003","US",NA,12400,NA,NA,NA,NA,NA,NA,NA,60000,2.80017e+06,"Army of the Potomac, 60,000",NA,NA,NA,NA,NA,NA,419.458
"MD004","Confederate",NA,254,NA,NA,NA,NA,NA,NA,NA,79159.5,7.77632e+08,"Army of Northern Virginia",NA,NA,NA,NA,NA,NA,0.0833333
"MD004","US",NA,400,NA,NA,NA,NA,NA,NA,NA,54876.1,3.94571e+08,"Army of the Potomac",NA,NA,NA,NA,NA,NA,419.458
"MD006","Confederate",NA,920,NA,NA,NA,NA,NA,NA,NA,5628.51,3.84117e+06,"Stuart’s Cavalry Division",NA,NA,NA,NA,NA,NA,5.58333
"MD006","US",NA,158,NA,NA,NA,NA,NA,NA,NA,9317.15,4.3156e+06,"First and Third U.S. Cavalry Divisions",NA,NA,NA,NA,NA,NA,0.0833333
"MD007","Confederate",NA,800,NA,NA,NA,NA,NA,NA,NA,25289,8.07878e+07,"2nd Corps Army of Northern Virginia",NA,NA,NA,NA,NA,NA,419.458
"MD007","US",NA,1294,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Home Guards and Rickett’s (3rd) Division, VI Army Corps",NA,NA,NA,NA,NA,NA,0.0833333
"MD008","Confederate",NA,30,NA,NA,NA,NA,NA,NA,NA,4053.81,710496,"McCausland’s and Johnson’s Cavalry Brigades",NA,NA,NA,NA,NA,NA,5.58333
"MD008","US",NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cumberland Garrison",NA,NA,NA,NA,NA,NA,5.58333
"MN001","Native American",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Santee Sioux",NA,NA,NA,NA,NA,NA,0.0833333
"MN001","US",NA,26,NA,NA,NA,NA,NA,NA,NA,90.9524,179.932,"Company B and Company C (detachment), Fifth Minnesota Infantry, Renville Rangers, refugee civilians",NA,NA,NA,NA,NA,NA,0.0833333
"MN002","Confederate",NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0833333
"MN002","US",NA,41,NA,NA,NA,NA,NA,NA,NA,477.5,9918.75,"6th Minnesota Volunteer Infantry, other volunteers",NA,NA,NA,NA,NA,NA,0.0833333
"MO001","Confederate",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Missouri State Guard",NA,NA,NA,NA,NA,NA,0.0833333
"MO001","US",1700,31,419.458,NA,NA,NA,NA,NA,NA,1209.43,20588.7,"Battery F, 2nd US Artillery, Company B, 2nd US Infantry, Two Recruit Companies, 4th US Artillery, 1st and 2nd Regiments Missouri Volunteers",NA,NA,NA,NA,NA,NA,0.0833333
"MO002","Confederate",NA,74,NA,NA,NA,NA,NA,NA,NA,8145.19,7.68659e+06,"2nd Division Missouri State Guard",NA,NA,NA,NA,NA,NA,0.0833333
"MO002","US",NA,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Second Brigade Missouri Volunteers",NA,NA,NA,NA,NA,NA,0.0833333
"MO003","Confederate",NA,0,NA,NA,NA,NA,NA,NA,NA,8145.19,7.68659e+06,"4th Division Missouri State Guard",NA,NA,NA,NA,NA,NA,0.0833333
"MO003","US",600,62,419.458,NA,NA,NA,NA,NA,NA,570,5.58333,"500 men of the 3rd Iowa Infantry, 70 Missouri Home Guards, and a 6–pound field piece from Battery E, 2nd Illinois Light Artillery (Schwartz’s Missouri Battery)",NA,NA,NA,NA,NA,NA,0.0833333
"MO004","Confederate",NA,464,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Western Army; Missouri State Guard",NA,NA,NA,NA,NA,NA,0.0833333
"MO004","US",NA,1317,NA,NA,NA,NA,NA,NA,NA,54876.1,3.94571e+08,"Army of the West",NA,NA,NA,NA,NA,NA,0.0833333
"MO005","Confederate",6000,0,33585,NA,NA,NA,NA,NA,NA,NA,NA,"Missouri State Guard",NA,NA,NA,NA,NA,NA,0.0833333
"MO005","US",600,14,419.458,NA,NA,NA,NA,NA,NA,2310.07,502436,"Kansas Brigade",NA,NA,NA,NA,NA,NA,0.0833333
"MO006","Confederate",12000,100,33585,NA,NA,NA,NA,NA,NA,NA,NA,"Missouri State Guard",NA,NA,NA,NA,NA,NA,419.458
"MO006","US",3500,3500,419.458,NA,NA,NA,NA,NA,NA,NA,NA,"Lexington Garrison",NA,NA,NA,NA,NA,NA,419.458
"MO007","Confederate",NA,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Missouri State Guard",NA,NA,NA,NA,NA,NA,0.0833333
"MO007","US",NA,NA,NA,NA,NA,NA,NA,NA,NA,279238,879244,"17th, 20th, 21st, and 33rd Illinois Volunteer Infantry, 11th Missouri Infantry, five companies of the 1st Indiana Cavalry, Stewart’s Independent Cavalry Company, Benton Hussars Cavalry Battalion, White’s section of Battery B, 1st Illinois Light Artillery, Battery A, 1st Missouri Light Artillery",NA,NA,NA,NA,NA,NA,NA
"MO008","Confederate",NA,133,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Missouri State Guard",NA,NA,NA,NA,NA,NA,0.0833333
"MO008","US",NA,85,NA,NA,NA,NA,NA,NA,NA,276376,823728,"Three companies of cavalry of Fremont’s Body Guard, two companies of the Prairie Scout Cavalry, and the Irish Dragoon’s cavalry company",NA,NA,NA,NA,NA,NA,0.0833333
"MO009","Confederate",NA,641,NA,NA,NA,NA,NA,NA,NA,8145.19,7.68659e+06,"First Division, Western Department",NA,NA,NA,NA,NA,NA,0.0833333
"MO009","US",NA,607,NA,NA,NA,NA,NA,NA,NA,NA,NA,"District of Southwest Missouri; USS Lexington and USS Tyler",NA,NA,NA,NA,NA,NA,0.0833333
"MO010","Confederate",NA,210,NA,NA,NA,NA,NA,NA,NA,238.75,4959.37,"Dorsey’s Battalion, Missouri Cavalry",NA,NA,NA,NA,NA,NA,5.58333
"MO010","US",NA,72,NA,NA,NA,NA,NA,NA,NA,230540,686890,"Five Companies of the 3rd Missouri Cavalry and five companies of Birge’s Western Sharpshooters",NA,NA,NA,NA,NA,NA,0.0833333
"MO011","Confederate",NA,80,NA,NA,NA,NA,NA,NA,NA,477.5,9918.75,"5th Regiment of the Missouri State Guard",NA,NA,NA,NA,NA,NA,5.58333
"MO011","US",450,11,5.58333,NA,NA,NA,NA,NA,NA,368740,1.10326e+06,"Four companies of the 1st and three companies of the 2nd Missouri Cavalry, one company of the 4th Ohio Cavalry, and the 1st Battalion of the 1st Iowa Cavalry",NA,NA,NA,NA,NA,NA,0.0833333
"MO012","Confederate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Garrisons of New Madrid and Island No. 10; Confederate States Navy",NA,NA,NA,NA,NA,NA,NA
"MO012","US",NA,NA,NA,NA,NA,NA,NA,NA,NA,54876.1,3.94571e+08,"Army of the Mississippi and the Mississippi River Squadron",NA,NA,NA,NA,NA,NA,NA
"MO013","Confederate",2500,368,419.458,NA,NA,NA,NA,NA,NA,955,19837.5,"1st and 2nd Northeast Missouri Cavalry; Confederate Irregulars",NA,NA,NA,NA,NA,NA,0.0833333
"MO013","US",1000,88,33585,NA,NA,NA,NA,NA,NA,4342.98,89358.7,"Kirksville: Detachments of the 1st, 2nd, 9th, and 11th Missouri State Militia Cavalry, Rice's Independent Company, 3rd Iowa Cavalry and a section of the 3rd Indiana Light Artillery. Painter's Creek: Detachments of the 1st and 6th Missouri State Militia Cavalry, the 7th Missouri Cavalry, and the 33rd Enrolled Missouri Militia Infantry. Walnut Creek and Seesford: Detachments of the 1st, 5th, and 6th Missouri State Militia Cavalry, the 7th Missouri Cavalry, and the 33rd Enrolled Missouri Militia Infantry",NA,NA,NA,NA,NA,NA,0.0833333
"MO014","Confederate",750,NA,5.58333,NA,NA,NA,NA,NA,NA,NA,NA,"Confederate Partisans and recruits under Hughes, Hays and Quantrill",NA,NA,NA,NA,NA,NA,NA
"MO014","US",312,344,0.0833333,NA,NA,NA,NA,NA,NA,NA,NA,"Independence Garrison",NA,NA,NA,NA,NA,NA,0.0833333
"MO015","Confederate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Confederate recruits",NA,NA,NA,NA,NA,NA,NA
"MO015","US",800,272,419.458,NA,NA,NA,NA,NA,NA,644902,1.92203e+06,"Five companies of the 7th Missouri Cavalry, a section of the 3rd Indiana Independent Light Artillery, and three companies of the 6th Cavalry, two companies of the 8th Cavalry, three companies of the 2nd Battalion, and one company of the 7th Cavalry, Missouri State Militia",NA,NA,NA,NA,NA,NA,0.0833333
"MO016","Confederate",NA,78,NA,NA,NA,NA,NA,NA,NA,8145.19,7.68659e+06,"Cooper’s Division",NA,NA,NA,NA,NA,NA,0.0833333
"MO016","US",NA,245,NA,NA,NA,NA,NA,NA,NA,6310.49,4.38188e+06,"Division, Army of Kansas",NA,NA,NA,NA,NA,NA,0.0833333
"MO017","Confederate",NA,34,NA,NA,NA,NA,NA,NA,NA,1432.5,29756.2,"3rd, 4th, and 8th Missouri Cavalry, Marmaduke’s Division, Army of the West",NA,NA,NA,NA,NA,NA,0.0833333
"MO017","US",NA,119,NA,NA,NA,NA,NA,NA,NA,92170.7,274666,"Company C and M, 10th Illinois Cavalry and Company H, Missouri Home Guard Militia",NA,NA,NA,NA,NA,NA,0.0833333
"MO018","Confederate",NA,240,NA,NA,NA,NA,NA,NA,NA,8145.19,7.68659e+06,"4th Division, First Corps, Trans-Mississippi Department",NA,NA,NA,NA,NA,NA,5.58333
"MO018","US",2000,163,33585,NA,NA,NA,NA,NA,NA,NA,NA,"Southwestern District of Missouri, Springfield Garrison",NA,NA,NA,NA,NA,NA,0.0833333
"MO019","Confederate",NA,329,NA,NA,NA,NA,NA,NA,NA,8145.19,7.68659e+06,"4th Division, First Corps, TransMississippi Department",NA,NA,NA,NA,NA,NA,0.0833333
"MO019","US",700,78,419.458,NA,NA,NA,NA,NA,NA,1935,39675,"Elements of the 3rd Iowa Cavalry, 21st Iowa Infantry, 99th Illinois Infantry, 3rd Missouri Cavalry, and a section of Battery L, 2nd Missouri Light Artillery",NA,NA,NA,NA,NA,NA,0.0833333
"MO020","Confederate",NA,325,NA,NA,NA,NA,NA,NA,NA,8145.19,7.68659e+06,"4th Division, First Corps, TransMississippi Department",NA,NA,NA,NA,NA,NA,0.0833333
"MO020","US",2000,12,33585,NA,NA,NA,NA,NA,NA,NA,NA,"Cape Girardeau Garrison",NA,NA,NA,NA,NA,NA,0.0833333
"MO021","Confederate",NA,1000,NA,NA,NA,NA,NA,NA,NA,79159.5,7.77632e+08,"Army of Missouri",NA,NA,NA,NA,NA,NA,33585
"MO021","US",NA,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Detachment from the 14th Iowa Infantry; Garrison consisting of Battery H, 2nd Missouri Light Artillery and companies from the 47th Missouri Infantry, 50th Missouri Infantry, 1st Missouri State Militia Infantry, 2nd Missouri State Militia Cavalry, and 3rd Missouri State Militia Cavalry",NA,NA,NA,NA,NA,NA,419.458
"MO022","Confederate",NA,50,NA,NA,NA,NA,NA,NA,NA,4580.77,1.06834e+06,"Marmaduke’s Brigade, Marmaduke’s Division, and Jackman’s Brigade and Collins’ Missouri Battery, Shelby’s Division, Army of Missouri",NA,NA,NA,NA,NA,NA,5.58333
"MO022","US",NA,400,NA,NA,NA,NA,NA,NA,NA,2000.95,39854.9,"Garrison consisting of parts of the 43rd Missouri Infantry, 4th Provisional Regiment Enrolled Missouri Militia, 9th Cavalry Missouri State Militia, 13th Missouri Cavalry, and two companies of citizen militia",NA,NA,NA,NA,NA,NA,419.458
"MO023","Confederate",NA,NA,NA,NA,NA,NA,NA,NA,NA,79159.5,7.77632e+08,"Army of Missouri",NA,NA,NA,NA,NA,NA,NA
"MO023","US",NA,NA,NA,NA,NA,NA,NA,NA,NA,3636.85,665686,"1st and 2nd Brigades, Provisional Cavalry Division, Army of the Border",NA,NA,NA,NA,NA,NA,NA
"MO024","Confederate",NA,NA,NA,NA,NA,NA,NA,NA,NA,16290.4,1.53732e+07,"Marmaduke’s Division and Shelby’s Division, Army of Missouri",NA,NA,NA,NA,NA,NA,NA
"MO024","US",NA,NA,NA,NA,NA,NA,NA,NA,NA,9278.72,3.16267e+06,"11th Kansas Cavalry; 1st and 4th Brigades, 1st Division [Provisional Cavalry], Army of the Border",NA,NA,NA,NA,NA,NA,NA
"MO025","Confederate",NA,140,NA,NA,NA,NA,NA,NA,NA,4462.77,1.06786e+06,"Cabell’s Brigade and Slemon’s Brigade, Fagan’s Division, Army of Missouri",NA,NA,NA,NA,NA,NA,5.58333
"MO025","US",NA,NA,NA,NA,NA,NA,NA,NA,NA,4658.57,2.1578e+06,"Provisional Cavalry Division, Department of Missouri",NA,NA,NA,NA,NA,NA,NA
"MO026","Native American",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MO026","US",NA,NA,NA,NA,NA,NA,NA,NA,NA,4128.49,835280,"1st Cavalry Brigade, Army of the Border; 2nd Brigade, Army of the Border",NA,NA,NA,NA,NA,NA,NA
"MO027","Confederate",NA,1500,NA,NA,NA,NA,NA,NA,NA,79159.5,7.77632e+08,"Army of Missouri",NA,NA,NA,NA,NA,NA,419.458
"MO027","US",NA,1500,NA,NA,NA,NA,NA,NA,NA,54876.1,3.94571e+08,"Army of the Border",NA,NA,NA,NA,NA,NA,419.458
"MO028","Confederate",NA,NA,NA,NA,NA,NA,NA,NA,NA,8145.19,7.68659e+06,"Shelby’s Division, Army of Missouri",NA,NA,NA,NA,NA,NA,NA
"MO028","US",NA,NA,NA,NA,NA,NA,NA,NA,NA,3636.85,665686,"2nd Brigade and 4th Brigade, Provisional Cavalry Division, Department of the Missouri",NA,NA,NA,NA,NA,NA,NA
"MO029","Confederate",NA,24,NA,NA,NA,NA,NA,NA,NA,8145.19,7.68659e+06,"Shelby’s Division, Army of Missouri",NA,NA,NA,NA,NA,NA,0.0833333
"MO029","US",NA,26,NA,NA,NA,NA,NA,NA,NA,3636.85,665686,"Portions of Provisional Cavalry Division, Army of the Border and 3rd Brigade, Provisional Cavalry Division, Department of Missouri",NA,NA,NA,NA,NA,NA,0.0833333
"MS001","Confederate",NA,594,NA,NA,NA,NA,NA,NA,NA,8145.19,7.68659e+06,"1st Division, Army of the West",NA,NA,NA,NA,NA,NA,0.0833333
"MS001","US",NA,790,NA,NA,NA,NA,NA,NA,NA,15627.6,8.69748e+06,"2nd Division and Cavalry Division, Army of the Mississippi",NA,NA,NA,NA,NA,NA,5.58333
"MS002","Confederate",22000,4800,33585,NA,NA,NA,NA,NA,NA,79159.5,7.77632e+08,"Army of the West Tennessee",NA,NA,NA,NA,NA,NA,419.458
"MS002","US",23000,2350,33585,NA,NA,NA,NA,NA,NA,54876.1,3.94571e+08,"Army of the Mississippi",NA,NA,NA,NA,NA,NA,5.58333
"MS003","Confederate",NA,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Department of Mississippi and East Louisiana",NA,NA,NA,NA,NA,NA,0.0833333
"MS003","US",NA,1776,NA,NA,NA,NA,NA,NA,NA,27438.1,1.97285e+08,"Right Wing, Army of the Tennessee and Mississippi River Squadron",NA,NA,NA,NA,NA,NA,0.0833333
"MS004","Confederate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Grand Gulf Garrison",NA,NA,NA,NA,NA,NA,NA
"MS004","US",NA,80,NA,NA,NA,NA,NA,NA,NA,477.5,9918.75,"Mississippi Squadron and Companies A, B, D, F, G, H, and K of the 58th Ohio Volunteer Infantry Regiment",NA,NA,NA,NA,NA,NA,5.58333
"MS005","Confederate",NA,NA,NA,NA,NA,NA,NA,NA,NA,2231.39,533930,"Hebert’s Brigade",NA,NA,NA,NA,NA,NA,NA
"MS005","US",NA,NA,NA,NA,NA,NA,NA,NA,NA,6310.49,4.38188e+06,"2nd Division, XV Corps, Army of the Tennessee and a flotilla of 8 gunboats and 10 transports, Mississippi River Squadron",NA,NA,NA,NA,NA,NA,NA
"MS006","Confederate",NA,787,NA,NA,NA,NA,NA,NA,NA,8145.19,7.68659e+06,"one detached division",NA,NA,NA,NA,NA,NA,0.0833333
"MS006","US",NA,875,NA,NA,NA,NA,NA,NA,NA,24772.1,4.54954e+07,"XIII Army Corps, 3rd Division, XVII Corps",NA,NA,NA,NA,NA,NA,0.0833333
