"battle","belligerent","commander_number","PersonID","last_name","first_name","middle_name","middle_initial","rank","navy"
"LA021","Confederate",1,"834a5d3b-09a0-493b-9055-d82ae4d09f15","Bee","Hamilton","Prioleau","P.","Brigadier General",0
"LA022","Confederate",1,"dd70b0b4-401c-47ce-b3fb-a2b68da3194c","Taylor","Richard","","","Major General",0
"LA023","Confederate",1,"dd70b0b4-401c-47ce-b3fb-a2b68da3194c","Taylor","Richard","","","Major General",0
"MD001","Confederate",1,"21d06a25-9c4f-4dea-a766-f60d20632999","Jackson","Thomas","Jonathan","J.","Major General",0
"MD002","Confederate",1,"d428cfef-5c7a-4230-b394-b195481d9a9f","Lee","Robert","","E.","General",0
"MD003","Confederate",1,"d428cfef-5c7a-4230-b394-b195481d9a9f","Lee","Robert","","E.","General",0
"MD004","Confederate",1,"d428cfef-5c7a-4230-b394-b195481d9a9f","Lee","Robert","","E.","General",0
"MD006","Confederate",1,"6df9b482-4757-474f-80a9-bd1d82228a63","Stuart","James","Ewell Brown","E. B.","Major General",0
"MD007","Confederate",1,"77a0625d-2996-4af0-b46f-db7388f851d5","Early","Jubal","Anderson","A.","Lieutenant General",0
"MD008","Confederate",1,"67b5534a-73a9-4652-b762-312ca56436c8","McCausland","John","","","Brigadier General",0
"MO001","Confederate",1,"7b7bfdd4-920e-4d28-a2eb-44e33941d4b0","Marmaduke","John","","S.","Colonel",0
"MO002","Confederate",1,"5dd70580-bef1-4fd8-aa2a-c286446fed9c","Jackson","Claiborne","Fox","F.","Governor",0
"MO003","Confederate",1,"b3f983fa-c518-4e8e-8747-97f65104077a","Atchison","David","Rice","R.","General",0
"MO004","Confederate",1,"8f232cc9-43e7-4627-ab45-d8fe6873c472","Price","Sterling","","","Major General",0
"MO004","Confederate",2,"536cbc9d-7b3e-4225-a660-25374cc1026e","McCulloch","Benjamin","","","Brigadier General",0
"MO005","Confederate",1,"8f232cc9-43e7-4627-ab45-d8fe6873c472","Price","Sterling","","","Major General",0
"MO005","Confederate",2,"53c12fca-3989-44af-a46f-2de2bdc218e1","Rains","James","Spencer","S.","Brigadier General",0
"MO006","Confederate",1,"8f232cc9-43e7-4627-ab45-d8fe6873c472","Price","Sterling","","","Major General",0
"MO007","Confederate",1,"345c79c0-2a20-49cb-9e6c-1717bbf74b49","Thompson","Meriwether","Jeff","J.","Brigadier General",0
"MO008","Confederate",1,"9e763ac1-7568-4cd7-a187-339f404fea4a","Frazier","James","","","Colonel",0
"MO009","Confederate",1,"c97e392a-d319-4c82-9201-0a35f418a0a9","Pillow","Gideon","Johnson","J.","Brigadier General",0
"MO010","Confederate",1,"73e2e794-9dab-40f5-b28f-25ad915208d4","Dorsey","Caleb","","","Colonel",0
"MO011","Confederate",1,"1d6e2f15-0896-413c-ab38-91b165a3329d","Poindexter","J.","","A.","Colonel",0
"MO012","Confederate",1,"9514b7b0-7398-44aa-89c2-0e8a1f09f32f","Mackall","William","Whann","W.","Brigadier General",0
"MO012","Confederate",2,"398e7c38-3636-45b4-aa8f-600546e762ca","McCown","John","Porter","P.","Brigadier General",0
"MO013","Confederate",1,"0d613f5d-3504-48ea-ab91-8e807307e7f9","Porter","Joseph","","C.","Colonel",0
"MO014","Confederate",1,"645cd124-638f-4d9a-a47c-ff23d8cb9375","Hughes","J.","","T.","Colonel",0
"MO014","Confederate",2,"716a36b9-d4d4-4925-b23c-8306d9c01a57","Thompson","Gideon","","W.","Colonel",0
"MO015","Confederate",1,"230d1f45-4ece-43b2-a42f-4a7eef043702","Cockrell","Jeremiah","Vardaman","V.","Colonel",0
