BattlefieldCode,belligerent,commander_number,commander
GA022,US,1,72fc916d-f36e-4ffa-ab9c-bec7bde07002
GA023,Confederate,1,2306a312-6705-4e62-893d-8789639a1555
GA023,US,1,157b4c7c-6c0e-4aa8-9b7f-44ccb3754a88
GA024,Confederate,1,22dc9bfe-6bfa-4f8a-a48f-694e947cc8d7
GA024,US,1,ba0709f1-bf0c-44af-95c8-91c04a591cb1
GA025,Confederate,1,febc5475-788a-489f-a2df-ab0aa9ab65ee
GA025,US,1,92e6e174-42f6-43f7-a778-dd620c12a02c
GA025,Confederate,2,22dc9bfe-6bfa-4f8a-a48f-694e947cc8d7
GA026,Confederate,1,22dc9bfe-6bfa-4f8a-a48f-694e947cc8d7
GA026,US,1,7830dd73-a91e-4fe5-b112-4492303f8c2d
GA027,Confederate,1,22dc9bfe-6bfa-4f8a-a48f-694e947cc8d7
GA027,US,1,7830dd73-a91e-4fe5-b112-4492303f8c2d
GA028,Confederate,1,0b058f90-1a89-4107-b4dc-1c950545a90c
GA028,US,1,4464435b-2a29-4da1-8a6b-36181fa9818d
ID001,Native American,1,abc116c1-1efa-4b99-baae-a6b6d1449f7b
ID001,US,1,3cc43a6f-c096-4e45-85fa-51488b4b7e03
IN001,Confederate,1,813a4704-9ba5-4fda-b14d-f0c9136f575a
IN001,US,1,76fc26fd-73d5-4139-8ca3-78c66fd9f947
KS001,Confederate,1,d37278a3-c536-4416-bc59-bebe838224ee
KS002,Confederate,1,d37278a3-c536-4416-bc59-bebe838224ee
KS002,US,1,148cb6fb-2f8b-401e-9f7e-68afdeded45c
KS002,US,2,a3f15046-9028-421d-bbe0-fb6c341a991f
KS003,Confederate,1,7b7bfdd4-920e-4d28-a2eb-44e33941d4b0
KS003,US,1,90849b39-6f3a-4d88-af29-ddded5d1733a
KS003,Confederate,2,66599684-582c-4caa-aff0-7220f9c67c1f
KS004,Confederate,1,7b7bfdd4-920e-4d28-a2eb-44e33941d4b0
KS004,US,1,90849b39-6f3a-4d88-af29-ddded5d1733a
KS004,Confederate,2,66599684-582c-4caa-aff0-7220f9c67c1f
KY001,Confederate,1,bea19d58-760b-49bb-80d6-1f3db517f22f
KY001,US,1,ec7a8c0a-d93a-4b02-9bf9-f17becb8b146
KY002,Confederate,1,26d68e2e-6774-4ab9-87c2-0eef76fa44e4
KY002,US,1,3bd4841a-fc35-4529-8d76-ed0804f965ccpf
KY003,Confederate,1,90c5f347-8e4a-4244-8b76-978cfb6fb65d
KY003,US,1,9a9f97a2-dc6b-413e-9bd4-eedd766bb2a2
KY003,US,2,33c422d7-a6c5-487d-837d-65a083bc3950
KY004,Confederate,1,839a5a85-49a8-41a6-b4a9-f76657c5d4fc
KY004,US,1,5ef9c30d-ebf3-4c17-bb2d-edb036b9e3c3
KY005,Confederate,1,177215cb-88d2-431e-8beb-c53e83c3b83c
KY005,US,1,44e462be-53b8-40f5-abef-2a935e33194a
KY006,Confederate,1,adcab55a-f4fc-44be-a271-cf0364c28a3b
KY006,US,1,6951057d-db32-4db5-8b3e-dea0c1101a5f
KY007,Confederate,1,39787b04-6723-4729-957c-bddcae228832
KY007,US,1,9a9f97a2-dc6b-413e-9bd4-eedd766bb2a2
KY008,Confederate,1,fd7cdb21-03cc-4b81-b697-86043f0b00da
KY008,US,1,4d12adf0-e2a3-4c38-9918-853f9dfd46bf
KY008,Confederate,2,4b5a15e5-6c5d-492c-9ab7-32d50419cf80
KY008,US,2,9db3b656-d275-4184-880f-1c13065b3863
KY009,Confederate,1,4b5a15e5-6c5d-492c-9ab7-32d50419cf80
KY009,US,1,ae900570-5c73-4de2-b99b-e0f6fbe50ca3
KY010,Confederate,1,02b4fa9a-541a-45c7-9097-ab1aee538c6c
KY010,US,1,70b1756d-74cd-4b37-a8d7-baf233651469
KY010,US,2,3df24d8f-be80-4dbe-86ed-44c3189f515a
KY011,Confederate,1,813a4704-9ba5-4fda-b14d-f0c9136f575a
KY011,US,1,05ae48ad-00e7-40f3-a820-dd4d48ac54ec
LA001,Confederate,1,76873401-00d0-4430-a320-c35d2a6828be
LA001,US,1,7a5f39ff-efc9-4ccd-a5ed-56ad106e2f26
LA001,Confederate,2,117bf5ff-1db0-4b84-9a31-7f77ad69e8be
LA002,Confederate,1,eeb3963c-733a-4aa1-827f-7647dfc89ef1
LA002,US,1,7a5f39ff-efc9-4ccd-a5ed-56ad106e2f26
LA002,US,2,c94b93a1-0565-4e9f-95af-12f5fe7e93f8
LA003,Confederate,1,f6caa729-7cfc-4aec-a064-e40c1cfdf01b
LA003,US,1,112c0903-05c0-43af-b85c-599f4eb2a25a
LA004,Confederate,1,93806e7c-18a3-466d-a0fa-751c6af4d076
LA004,US,1,7a5f39ff-efc9-4ccd-a5ed-56ad106e2f26
LA005,Confederate,1,78a5beff-63c4-42ef-a506-0eef45bcc8ad
LA005,US,1,6039ac35-5424-47ea-972c-11111315b2fc
LA006,Confederate,1,dd70b0b4-401c-47ce-b3fb-a2b68da3194c
LA006,US,1,f2f4eda1-b51f-4f8e-ad2d-379a1eb685f3
LA007,Confederate,1,dd70b0b4-401c-47ce-b3fb-a2b68da3194c
LA007,US,1,d28cf4ce-7176-40e5-81a3-d822f31ae359
LA008,Confederate,1,dd70b0b4-401c-47ce-b3fb-a2b68da3194c
LA008,US,1,d28cf4ce-7176-40e5-81a3-d822f31ae359
LA009,Confederate,1,add4cd41-6acd-4edd-be40-0a794fd84493
LA009,US,1,bbe8a8b5-108c-45aa-8324-0f6c84f57e0d
LA009,Confederate,2,582df6ed-29ed-42d6-8cb8-42a17fb0da93
LA010,Confederate,1,6420b474-c728-4537-84ce-09ae419a5398
LA010,US,1,f2f4eda1-b51f-4f8e-ad2d-379a1eb685f3
LA011,Confederate,1,45d45288-c904-4b79-b112-92223329d44b
LA011,US,1,3c9f2297-d852-451d-958c-bd72af4c60a7
LA012,Confederate,1,3c363735-fef1-4278-bba5-c8cc4ffcacec
LA012,US,1,b85461b7-3686-4245-9143-ccd616b6c8ed
LA013,Confederate,1,1f2d408e-a3d6-431d-aefe-9d6df9e7902b
LA013,US,1,75f89742-e9e6-44e6-895c-c1b4d481fcab
LA014,Confederate,1,6370ad3b-9871-43c7-beb5-6db2824b3db7
LA014,US,1,8dd9979a-8839-4992-a131-2e796634002a
LA015,Confederate,1,1f2d408e-a3d6-431d-aefe-9d6df9e7902b
LA015,US,1,6039ac35-5424-47ea-972c-11111315b2fc
LA015,US,2,d28cf4ce-7176-40e5-81a3-d822f31ae359
LA016,Confederate,1,1f2d408e-a3d6-431d-aefe-9d6df9e7902b
LA016,US,1,e10e5704-5a68-4a9d-8475-2e037f09e959
LA017,Confederate,1,a1119257-117f-4c06-adbd-07895c4ff3da
LA017,US,1,869b58fb-03ee-4ad7-bfd4-faf6f24b9378
LA017,US,2,20e1eb2c-b6ef-40fd-9762-ebbac239e67b
LA018,Confederate,1,dd70b0b4-401c-47ce-b3fb-a2b68da3194c
LA018,US,1,f2f4eda1-b51f-4f8e-ad2d-379a1eb685f3
LA019,Confederate,1,dd70b0b4-401c-47ce-b3fb-a2b68da3194c
LA019,US,1,f2f4eda1-b51f-4f8e-ad2d-379a1eb685f3
LA020,Confederate,1,1f2d408e-a3d6-431d-aefe-9d6df9e7902b
LA020,US,1,cabe5d39-74fb-4b1a-bc94-6d2b7752ea58
LA020,US,2,8da88a4c-d429-4247-a6e8-cba41f280a10
LA021,Confederate,1,834a5d3b-09a0-493b-9055-d82ae4d09f15
LA021,US,1,f2f4eda1-b51f-4f8e-ad2d-379a1eb685f3
