"BattlefieldCode","UnitCode","Comment","companies","batteries","detachment","section"
"MS011","UMO0002RAL","Battery ""F""",,1,,
"MS011","UMO0010RC","Co ""C""",1,,,
"MS011","UNY0002YAL","Battery ""L""",,1,,
"MS011","UOH0022RI01","From June 3rd",,,,
"MS011","UOH0046RI","From June 12th",,,,
"MS011","UOH0053RI","From June 12th",,,,
"MS011","UPA000DYAL","From June 14th",,,,
"MS011","UUR0002RA","Battery ""E"" ; From June 14th",,1,,
"MS011","UUS0046RI00C","1st Arkansas Infantry (Colored)",,,,
"MS011","UUS0047RI00C","8th Louisiana Infantry (Colored)",,,,
"MS011","UUS0048RI00C","10th Louisiana Infantry (Colored)",,,,
"MS011","UUS0050RI00C","12th Louisiana Infantry (Colored)",,,,
"MS011","UUS0051RI00C","1st Mississippi Infantry (Colored)",,,,
"MS011","UUS0053RI00C","3rd Mississippi Infantry (Colored)",,,,
"MS011","UUS0063RI00C","Organized from 9th Louisiana Infantry (Colored)",,,,
"MS011","UWI0025RI","From June 3rd",,,,
"MS011","UWI0027RI","From June 3rd",,,,
"MS012","UIL0002RAL","Battery ""D"" and ""F""",,2,,
"MS012","UIL0004RC","Cos. ""A,"" ""B,"" ""C,"" ""D""",4,,,
"MS012","UMI0001RAL","Battery ""H""",,1,,
"MS012","UMO0001RAL","Batteries ""C"" and ""M""",,2,,
"MS013","UIL0001RAL","Battery ""K""",,1,,
"MS014","UIL0001RAL","Battery ""E""",,1,,
"MS014","UIL0002RAL","Battery ""B""",,1,,
"MS014","UUS0002RAL0C","Battery ""F""",,1,,
"MS015","UIL0001RAL","Batteries ""E"" and ""K""",,2,,
"MS015","UIL0002RAL","Battery ""G""",,1,,
"MS015","UMO0001RAL","Battery ""M""",,1,,
"MS015","UUS0002RAL0C","Battery ""I""",,1,,
"MS016","UIL0001RAL","Co ""A,"" ""B,"" ""C,"" ""D,"" ""E,"" ""F,"" ""H,"" ""I"" and ""M""",,9,,
"MS016","UIL0002RAL","Batteries ""B,"" ""E,"" ""F"" and ""I""",,4,,
"MS016","UMI0001RAL","Batteries ""B,"" ""C,"" ""D"" and ""E"" ",,4,,
"MS016","UMO0001RAL","Batteries ""C,"" ""D,"" ""G,"" ""H,"" ""I,"" ""K"" and ""M""",,7,,
"MS016","UOH0001RAL1","Batteries ""A,"" ""C"" and ""G""",,3,,
"MS016","UUR0002RA","Battery ""F""",,1,,
"MS016","UUR0004RA","Battery ""I"" and ""M""",,2,,
"MS016","UUR0004RC","4 cos",4,,,
"MS016","UUR0005RA","Battery ""H""",,1,,
"NC004","UUR0001RA","Battery ""C""",,1,,
"NC007","UNY0003RAL","Batteries ""B,"" ""E,"" ""F,"" ""H,"" ""I"" and ""K""",,6,,
"NC007","URI0001RAL","Battery ""F""",,1,,
"NC009","UNY0003RAL","Batteries ""B,"" ""E,"" ""F,"" ""H,"" ""I,""and ""K"" ",,6,,
"NC009","URI0001RAL","Battery ""F""",,1,,
"NC012","UNC0002RIT","Co's ""B"" and ""E""",2,,,
"NC012","UNY0002RAH","Co's ""G"" and ""H""",2,,,
"NC012","UNY0012RC","Co's ""A"" and ""F""",2,,,
"NC012","UPA0003RAH","Detachment",,,1,
"NC012","UUS0010RI00C","Detachment",,,1,
"NC016","UOH0001RAL1","Battery ""D""",,1,,
