BattlefieldCode,belligerent,TroopsEngaged,Casualties
VA004,Confederate,22000,68
VA004,US,35000,83
VA005,Confederate,3230,1982
VA005,US,28450,2896
VA006,Confederate,1600,149
VA006,US,2000,921
VA007,Confederate,,230
VA007,US,,71
VA008,Confederate,,24
VA008,US,,409
VA009,Confederate,,300
VA009,US,,182
VA010,Confederate,31823,1560
VA010,US,40768,2283
VA011,Confederate,,48
VA011,US,,186
VA012,Confederate,,15
VA012,US,,24
VA013,Confederate,,746
VA013,US,,355
VA014,Confederate,,6100
VA014,US,,5000
VA015,Confederate,,441
VA015,US,,626
VA016,Confederate,16356,1484
VA016,US,15631,361
VA017,Confederate,57018,8750
VA017,US,34214,6837
VA018,Confederate,,438
VA018,US,,189
VA019,Confederate,,444
VA019,US,,919
VA020A,Confederate,0,0
VA020A,US,0,0
VA020B,Confederate,,3600
VA020B,US,,2700
VA021,Confederate,,5355
VA021,US,,3000
VA022,Confederate,16868,1400
VA022,US,8030,2500
VA023,Confederate,,
VA023,US,,
VA024,Confederate,,
VA024,US,,
VA025,Confederate,,
VA025,US,,
VA026,Confederate,,8353
VA026,US,,13826
VA027,Confederate,,800
VA027,US,,1300
VA028,Confederate,100007,5300
VA028,US,,12600
VA029,Confederate,,80
VA029,US,,99
VA030,Confederate,,
VA030,US,,
VA031,Confederate,,
VA031,US,,
VA032,Confederate,,
VA032,US,,
VA033,Confederate,,
VA033,US,,
VA034,Confederate,,
VA034,US,,
VA035,Confederate,,515
VA035,US,,868
VA036,Confederate,,
VA036,US,,
VA037,Confederate,,
VA037,US,,
VA038,Confederate,,
VA038,US,,
VA039,Confederate,,
VA039,US,,
VA040,Confederate,,1380
VA040,US,,540
VA041,Confederate,,
VA041,US,,
VA042,Confederate,,
VA042,US,,
VA043,Confederate,,2041
VA043,US,,461
VA044,Confederate,44426,795
VA044,US,69643,1633
VA045,Confederate,,
VA045,US,,
VA046,Confederate,61025,10800
VA046,US,101895,18000
VA047,Confederate,,
VA047,US,39000,
VA048,Confederate,52000,9000
VA048,US,100000,18000
VA049,Confederate,,538
VA049,US,,688
VA050,Confederate,,
VA050,US,,
VA051,Confederate,,
VA051,US,,
VA052,Confederate,,
VA052,US,,
VA053,Confederate,18000,1000
VA053,US,39000,3004
VA054,Confederate,,
VA054,US,,
VA055,Confederate,,2517
VA055,US,,2623
VA056,Confederate,0,140
VA056,US,0,26
VA057,Confederate,,1159
VA057,US,,731
VA058,Confederate,,400
VA058,US,,344
VA059,Confederate,,
VA059,US,,90
VA062,Confederate,62000,5000
