CampaignCode,CampaignName,CampaignDates,CampaignStartDate,CampaignEndDate,TheaterCode
TM61-02,Operations in the Indian Territory,November-December 1861,1861-11-01,1861-12-31,TM
TM61-03,Operations in Northeast Missouri,December 1861,1861-12-01,1861-12-31,TM
TM62-01,Sobley's New Mexico Operations,February-March 1862,1862-02-01,1862-03-31,TM
TM62-02,Pea Ridge Campaign,March 1862,1862-03-01,1862-03-31,TM
TM62-03,Operations on White River,June 1862,1862-06-01,1862-06-30,TM
TM62-04,Operations Near Cacke River Arkansas,July 1862,1862-07-01,1862-07-31,TM
TM62-05,Confederate Offensive North of Boston Mountains,August-November 1862,1862-08-01,1862-11-30,TM
TM62-06,Operations to Suppress the Sioux Uprising,August-September 1862,1862-08-01,1862-09-30,TM
TM62-07,Operations to Blockade the Texas Coast,September 1862-January 1863,1862-09-01,1863-01-31,TM
TM62-08,Prairie Grove Campaign,November 1862,1862-11-01,1862-11-30,TM
TM63-01,Confederate Offensive Against Galveston,December 1862-January 1863,1862-12-01,1863-01-31,TM
TM63-02,Marmaduke's Expedition Into Missouri,January 1863,1863-01-01,1863-01-31,TM
TM63-03,Marmaduke's Second Expedition Into Missouri,April-May 1863,1863-04-01,1863-05-31,TM
TM63-04,Operations to Control Indian Territory,June-September 1863,1863-06-01,1863-09-30,TM
TM63-05,Operations Against the Sioux In North Dakota,July 1863,1863-07-01,1863-07-31,TM
TM63-06,Quantrill's Raid Into Kansas,August 1863,1863-08-01,1863-08-31,TM
TM63-07,Operations to Blockade the Texas Coast,September 1863,1863-09-01,1863-09-30,TM
TM63-08,Union Advance on Little Rock,September-October 1863,1863-09-01,1863-10-31,TM
TM63-09,Union Occupation of Indian Territory North OF Arka,October 1863,1863-10-01,1863-10-31,TM
TM64-01,Red River Campaign,March-April 1864,1864-03-01,1864-04-30,TM
TM64-02,Camden Expedition,April 1864,1864-04-01,1864-04-30,TM
TM64-03,Expedition to Lake Village,June 1864,1864-06-01,1864-06-30,TM
TM64-04,Sully's Expedition Against Indians in Dakota Terri,July 1864,1864-07-01,1864-07-31,TM
TM64-05,Price's Missouri Expedition,September-October 1864,1864-09-01,1864-10-31,TM
TM64-06,Sand Creek Campaign,November 1864,1864-11-01,1864-11-30,TM
TM65-01,Expedition From Brazos Santiago,May 1865,1865-05-01,1865-05-31,TM
