battle,victor,battle,country,victor,strength,strength_engaged,infantry,cavalry,artillery,guns,killed,killed_generals,killed_percent,killed_officers,killed_wounded,killed_wounded_officers,killed_wounded_generals,killed_wounded_percent,wounded,wounded_generalswounded_officers,wounded_percent,captured,captured_generals,captured_officers,missing,missing_generals,missing_officers,missing_percent,casualties,casualties_generals,casualties_officers,casualties_percent,losses_guns,losses_caissons,losses_cannon,losses_canons,losses_flags,losses_munition_wagons,losses_wagons,other
"Resaca (May 14, 1864)",True,"Resaca (May 14, 1864)",Union,True,93000,,,,,,,,,,4000,,,,,,,,,,500,,,,4500,,,4.8,,,,,,,,
"Resaca (May 14, 1864)",False,"Resaca (May 14, 1864)",Confederacy,False,52000,,,,,,,,,,1500,,,,,,,,,,3000,,,,4500,,,8.6,,,,,,,,
"Richmond (August 30, 1862)",True,"Richmond (August 30, 1862)",Confederacy,True,8000,,,,,,80,,,,450,,,,370,,,,,,0,,,,450,,,2,,,,,,,,
"Richmond (August 30, 1862)",False,"Richmond (August 30, 1862)",Union,False,16000,,,,,,210,,,,1050,,,6.5,840,,,,,,4350,,,27.5,5400,,,34.0,,,,9,,,,alles gepäck
"Ringgold (November 23, 1863)",True,"Ringgold (November 23, 1863)",Union,True,65000,,,,,,800,0,,71,5600,471,4,8.6,4800,,,,,,400,0,30,0.6,6000,4,501,9.2,,,,,,,,
"Ringgold (November 23, 1863)",False,"Ringgold (November 23, 1863)",Confederacy,False,45000,,,,,,400,0,,,2600,,2,5.8,2200,,,,,,4400,0,,4400,7000,2,,16.0,,,40,,,,,
"Seven_Pines (May 31, 1862)",True,"Seven_Pines (May 31, 1862)",Confederacy,True,39000,,,,,,1100,1,2.8,78,6500,390,5,16.8,5400,,14.0,,,,500,0,4,1.2,7000,5,394,18.0,,,10,,4,,,
"Seven_Pines (May 31, 1862)",False,"Seven_Pines (May 31, 1862)",Union,False,51000,,,,,,800,0,1.6,41,4400,259,2,8.9,3600,,7.3,,,,600,0,15,1.1,5000,2,274,10.0,,,,,,,,
"Shiloh (April 06, 1862)",True,"Shiloh (April 06, 1862)",Union,True,60000,,54000,6000,,,1800,1,3.0,103,10200,527,5,21.0,8400,,18.0,,,,2800,2,113,4.7,13000,7,640,25.7,,,,33,,,,
"Shiloh (April 06, 1862)",False,"Shiloh (April 06, 1862)",Confederacy,False,40000,,36000,4000,,,1730,2,4.3,,9800,,7,24.5,1000,,20.2,,,,1000,0,,2.5,10800,7,,27.0,,,,30,,,,
"Spotsylvania-Court-House (May 08, 1864)",True,"Spotsylvania-Court-House (May 08, 1864)",Union,True,100000,,79000,12000,9000,,2730,3,2.7,171,16200,839,7,16.2,13470,,13.5,,,,2300,1,61,2.3,18500,8,900,18.5,,,,,,,,
"Spotsylvania-Court-House (May 08, 1864)",False,"Spotsylvania-Court-House (May 08, 1864)",Confederacy,False,50000,,39000,7000,4000,,1000,4,2.0,,5000,,8,10.0,4000,,8.0,,,,4000,2,,8.0,9000,10,,18.0,,,,18,,,,
"Vicksburg (May 19, 1863)",True,"Vicksburg (May 19, 1863)",Union,True,75000,,,,,,,,,,9000,,,,,,,,,,,,,,9000,,,,,,,,,,,
"Vicksburg (May 19, 1863)",False,"Vicksburg (May 19, 1863)",Confederacy,False,28000,,,,,,,,,,7000,,,,,,,21000,15,6000,,,,,28000,,,,,,,172,,,,
"Wilderness (May 05, 1864)",True,"Wilderness (May 05, 1864)",Union,True,118000,,94000,14000,10000,318,2250,2,1.9,141,14300,704,6,12.1,12050,,10.2,,,,3400,2,136,2.9,17700,8,840,15.0,,,,2,,,,
"Wilderness (May 05, 1864)",False,"Wilderness (May 05, 1864)",Confederacy,False,62000,,49000,8000,5000,224,1000,2,1.7,,7000,,5,11.5,6000,,9.8,,,,300,0,,0.5,7300,5,,12.0,,,,,,,,
"Williamsburg (May 05, 1862)",True,"Williamsburg (May 05, 1862)",Union,True,45000,,,,,,460,,,27,1900,125,,4.2,1440,,,,,,500,,2,1.1,2400,,127,5.9,,,,,,,,
"Williamsburg (May 05, 1862)",False,"Williamsburg (May 05, 1862)",Confederacy,False,30000,,,,,,300,,,24,1300,99,,4.4,1000,,,,,,300,,3,1.0,1600,,102,5.4,,,,,,,,
"Wilson's_Creek (August 10, 1861)",True,"Wilson's_Creek (August 10, 1861)",Confederacy,True,10000,,,,,,,,,,1230,,,,,,,,,,70,,,,1300,,,13,,,,,,,,
"Wilson's_Creek (August 10, 1861)",False,"Wilson's_Creek (August 10, 1861)",Union,False,6000,,,,,,,,,,1140,,,,,,,,,,160,,,,1300,,,21.5,,,,,,,,
"Winchester (June 15, 1863)",True,"Winchester (June 15, 1863)",Confederacy,True,18000,,,,,,,,,,300,,,,,,,,,,0,,,,300,,,1.6,,,,,,,,
"Winchester (June 15, 1863)",False,"Winchester (June 15, 1863)",Union,False,9000,,,,,,,,,,500,19,,5.5,,,,,,,4000,,144,44.5,4500,,163,50.0,,,28,,11,,300,
"Winchester (September 19, 1864)",True,"Winchester (September 19, 1864)",Union,True,43000,,33000,10000,,,,,,,4400,,,10.3,,,,,,,600,,,1.4,5000,,,11.7,,,,,,,,
"Winchester (September 19, 1864)",False,"Winchester (September 19, 1864)",Confederacy,False,13000,,11000,2000,,,,,,,2000,,,15.4,,,,,,,2000,,,15.4,4000,,,30.8,,,5,,15,,,
