battle,combatant,description,strength,ships,guns,commanders,cavalry_regiments,strength_other,brigades,regiments,cavalry_brigades,companies,corps,divisions,armies,artillery_batteries,cavalry_divisions,cavalry_corps,artillery_regiments,artillery_sections,cavalry_companies,artillery_companies,infantry_regiments
IN001,CS,,,,,,,,,,,,,,,,,,,,,,
VA009,US,,,,,,,,,,,,,,,,,,,,,,
VA009,CS,,,,,,,,,,,,,,,,,,,,,,
GA019,US,,,,,,,,,,,,,,,,,,,,,,
GA019,CS,,,,,,,,,,,,,,,,,,,,,,
LA005,US,,,,,,,,,,,,,,,,,,,,,,
LA005,CS,,,,,,,,,,,,,,,,,,,,,,
SC004,US,,,,,,,,,,,,,,,,,,,,,,
SC004,CS,,,,,,,,,,,,,,,,,,,,,,
VA092,US,,,,,,,,,,,,,,,,,,,,,,
VA092,CS,,,,,,,,,,,,,,,,,,,,,,
VA117,US,,,,,,,,,,,,,,,,,,,,,,
VA117,CS,,,,,,,,,,,,,,,,,,,,,,
VA087,US,,,,,,,,,,,,,,,,,,,,,,
VA087,CS,,,,,,,,,,,,,,,,,,,,,,
LA020,US,,,,,,,,,,,,,,,,,,,,,,
LA020,CS,,,,,,,,,,,,,,,,,,,,,,
KY006,US,,,,,,,,,,,,,,,,,,,,,,
KY006,CS,,,,,,,,,,,,,,,,,,,,,,
VA114,US,,,,,,,,,,,,,,,,,,,,,,
VA114,CS,,,,,,,,,,,,,,,,,,,,,,
FL005,US,,,,,,,,,,,,,,,,,,,,,,
FL005,CS,,,,,,,,,,,,,,,,,,,,,,
MO017,US,,,,,,,,,,,,,,,,,,,,,,
MO017,CS,,,,,,,,,,,,,,,,,,,,,,
VA021,US,,,,,,,,,,,,,,,,,,,,,,
VA021,CS,,,,,,,,,,,,,,,,,,,,,,
GA023,US,,,,,,,,,,,,,,,,,,,,,,
GA023,CS,,,,,,,,,,,,,,,,,,,,,,
VA033,US,,,,,,,,,,,,,,,,,,,,,,
VA033,CS,,,,,,,,,,,,,,,,,,,,,,
TN018,US,,,,,,,,,,,,,,,,,,,,,,
TN018,CS,,,,,,,,,,,,,,,,,,,,,,
VA003,US,,,,,,,,,,,,,,,,,,,,,,
VA003,CS,,,,,,,,,,,,,,,,,,,,,,
MD007,US,,,,,,,,,,,,,,,,,,,,,,
MD007,CS,,,,,,,,,,,,,,,,,,,,,,
VA108,US,,,,,,,,,,,,,,,,,,,,,,
VA108,CS,,,,,,,,,,,,,,,,,,,,,,
VA109,US,,,,,,,,,,,,,,,,,,,,,,
VA109,CS,,,,,,,,,,,,,,,,,,,,,,
VA037,US,,,,,,,,,,,,,,,,,,,,,,
VA037,CS,,,,,,,,,,,,,,,,,,,,,,
VA079,US,,,,,,,,,,,,,,,,,,,,,,
VA079,CS,,,,,,,,,,,,,,,,,,,,,,
LA002,US,,,,,,,,,,,,,,,,,,,,,,
LA002,CS,,,,,,,,,,,,,,,,,,,,,,
NC012,US,,,,,,,,,,,,,,,,,,,,,,
NC012,CS,,,,,,,,,,,,,,,,,,,,,,
MN002,I,,,,,,,,,,,,,,,,,,,,,,
MN002,US,,,,,,,,,,,,,,,,,,,,,,
MS002,US,,,,,,,,,,,,,,,,,,,,,,
MS002,CS,,,,,,,,,,,,,,,,,,,,,,
TN032,US,,,,,,,,,,,,,,,,,,,,,,
TN032,CS,,,,,,,,,,,,,,,,,,,,,,
TN015,US,,,,,,,,,,,,,,,,,,,,,,
TN015,CS,,,,,,,,,,,,,,,,,,,,,,
KY010,US,,,,,,,,,,,,,,,,,,,,,,
KY010,CS,,,,,,,,,,,,,,,,,,,,,,
KY009,US,,,,,,,,,,,,,,,,,,,,,,
KY009,CS,,,,,,,,,,,,,,,,,,,,,,
WV015,US,,,,,,,,,,,,,,,,,,,,,,
WV015,CS,,,,,,,,,,,,,,,,,,,,,,
KS002,US,,,,,,,,,,,,,,,,,,,,,,
KS002,CS,,,,,,,,,,,,,,,,,,,,,,
SC003,US,,,,,,,,,,,,,,,,,,,,,,
SC003,CS,,,,,,,,,,,,,,,,,,,,,,
WV012,US,,,,,,,,,,,,,,,,,,,,,,
