battle,combatant,description,strength,ships,guns,commanders,cavalry_regiments,strength_other,brigades,regiments,cavalry_brigades,companies,corps,divisions,armies,artillery_batteries,cavalry_divisions,cavalry_corps,artillery_regiments,artillery_sections,cavalry_companies,artillery_companies,infantry_regiments
AR001,CS,,,,,,,,,,,,,,,,,,,,,,
AR001,US,,,,,,,,,,,,,,,,,,,,,,
VA045,CS,,,,,,,,,,,,,,,,,,,,,,
VA045,US,,,,,,,,,,,,,,,,,,,,,,
TN037,CS,,,,,,,,,,,,,,,,,,,,,,
TN037,US,,,,,,,,,,,,,,,,,,,,,,
VA089,CS,,,,,,,,,,,,,,,,,,,,,,
VA089,US,,,,,,,,,,,,,,,,,,,,,,
VA085,CS,,,,,,,,,,,,,,,,,,,,,,
VA085,US,,,,,,,,,,,,,,,,,,,,,,
MS007,CS,,,,,,,,,,,,,,,,,,,,,,
MS007,US,,,,,,,,,,,,,,,,,,,,,,
NC009,CS,,,,,,,,,,,,,,,,,,,,,,
NC009,US,,,,,,,,,,,,,,,,,,,,,,
VA038,CS,,,,,,,,,,,,,,,,,,,,,,
VA038,US,,,,,,,,,,,,,,,,,,,,,,
VA012,CS,,,,,,,,,,,,,,,,,,,,,,
VA012,US,,,,,,,,,,,,,,,,,,,,,,
VA079,CS,,,,,,,,,,,,,,,,,,,,,,
VA079,US,,,,,,,,,,,,,,,,,,,,,,
LA017,CS,,,,,,,,,,,,,,,,,,,,,,
LA017,US,,,,,,,,,,,,,,,,,,,,,,
VA081,CS,,,,,,,,,,,,,,,,,,,,,,
VA081,US,,,,,,,,,,,,,,,,,,,,,,
NC018,CS,,,,,,,,,,,,,,,,,,,,,,
NC018,US,,,,,,,,,,,,,,,,,,,,,,
VA104,CS,,,,,,,,,,,,,,,,,,,,,,
VA104,US,,,,,,,,,,,,,,,,,,,,,,
GA028,CS,,,,,,,,,,,,,,,,,,,,,,
GA028,US,,,,,,,,,,,,,,,,,,,,,,
VA072,CS,,,,,,,,,,,,,,,,,,,,,,
VA072,US,,,,,,,,,,,,,,,,,,,,,,
LA004,CS,,,,,,,,,,,,,,,,,,,,,,
LA004,US,,,,,,,,,,,,,,,,,,,,,,
OK001,CS,,,,,,,,,,,,,,,,,,,,,,
OK001,US,,,,,,,,,,,,,,,,,,,,,,
MO028,CS,,,,,,,,,,,,,,,,,,,,,,
MO028,US,,,,,,,,,,,,,,,,,,,,,,
TN036,CS,,,,,,,,,,,,,,,,,,,,,,
TN036,US,,,,,,,,,,,,,,,,,,,,,,
VA087,CS,,,,,,,,,,,,,,,,,,,,,,
VA087,US,,,,,,,,,,,,,,,,,,,,,,
LA010,CS,,,,,,,,,,,,,,,,,,,,,,
LA010,US,,,,,,,,,,,,,,,,,,,,,,
NC016,CS,,,,,,,,,,,,,,,,,,,,,,
NC016,US,,,,,,,,,,,,,,,,,,,,,,
TN003,CS,,,,,,,,,,,,,,,,,,,,,,
TN003,US,,,,,,,,,,,,,,,,,,,,,,
AR002,CS,,,,,,,,,,,,,,,,,,,,,,
AR002,US,,,,,,,,,,,,,,,,,,,,,,
GA013,CS,,,,,,,,,,,,,,,,,,,,,,
GA013,US,,,,,,,,,,,,,,,,,,,,,,
OK004,CS,,,,,,,,,,,,,,,,,,,,,,
OK004,US,,,,,,,,,,,,,,,,,,,,,,
VA064,CS,,,,,,,,,,,,,,,,,,,,,,
VA064,US,,,,,,,,,,,,,,,,,,,,,,
TX003,CS,,,,,,,,,,,,,,,,,,,,,,
TX003,US,,,,,,,,,,,,,,,,,,,,,,
NC011,CS,,,,,,,,,,,,,,,,,,,,,,
NC011,US,,,,,,,,,,,,,,,,,,,,,,
FL006,CS,,,,,,,,,,,,,,,,,,,,,,
FL006,US,,,,,,,,,,,,,,,,,,,,,,
NM001,CS,,,,,,,,,,,,,,,,,,,,,,
NM001,US,,,,,,,,,,,,,,,,,,,,,,
AL002,CS,,,,,,,,,,,,,,,,,,,,,,
AL002,US,,,,,,,,,,,,,,,,,,,,,,
TN009,CS,,,,,,,,,,,,,,,,,,,,,,
TN009,US,,,,,,,,,,,,,,,,,,,,,,
WV013,CS,,,,,,,,,,,,,,,,,,,,,,
WV013,US,,,,,,,,,,,,,,,,,,,,,,
SC002,CS,,,,,,,,,,,,,,,,,,,,,,
SC002,US,,,,,,,,,,,,,,,,,,,,,,
VA016,CS,,,,,,,,,,,,,,,,,,,,,,
VA016,US,,,,,,,,,,,,,,,,,,,,,,
VA122,CS,,,,,,,,,,,,,,,,,,,,,,
VA122,US,,,,,,,,,,,,,,,,,,,,,,
KY007,CS,,,,,,,,,,,,,,,,,,,,,,
KY007,US,,,,,,,,,,,,,,,,,,,,,,
AR005,CS,,,,,,,,,,,,,,,,,,,,,,
AR005,US,,,,,,,,,,,,,,,,,,,,,,
VA103,CS,,,,,,,,,,,,,,,,,,,,,,
VA103,US,,,,,,,,,,,,,,,,,,,,,,
SC008,CS,,,,,,,,,,,,,,,,,,,,,,
SC008,US,,,,,,,,,,,,,,,,,,,,,,
VA043,CS,,,,,,,,,,,,,,,,,,,,,,
VA043,US,,,,,,,,,,,,,,,,,,,,,,
