battle,spell,start_date,end_date
TN009,1,1862-12-19,1862-12-19
WV013,1,1864-8-7,1864-8-7
SC002,1,1862-6-16,1862-6-16
VA016,1,1862-6-26,1862-6-26
VA122,1,1864-10-19,1864-10-19
KY007,1,1862-8-29,1862-8-30
AR005,1,1862-12-7,1862-12-7
VA103,1,1862-5-23,1862-5-23
SC008,1,1863-8-17,1863-9-8
VA043,1,1863-11-7,1863-11-7
TN018,1,1863-8-21,1863-8-21
LA020,1,1864-4-12,1864-4-12
WV015,1,1864-8-25,1864-8-29
GA008,1,1864-5-13,1864-5-15
WV003,1,1861-7-11,1861-7-11
OK005,1,1864-2-13,1864-2-13
NC019,1,1865-3-15,1865-3-16
VA013,1,1862-5-27,1862-5-27
VA052,1,1864-5-11,1864-5-11
KY003,1,1861-11-8,1861-11-9
VA020,1,1862-6-30,1862-6-30
TN021,1,1863-10-28,1863-10-29
TN012,1,1863-2-3,1863-2-3
VA033,1,1863-5-3,1863-5-4
LA023,1,1864-5-18,1864-5-18
TN017,1,1863-6-24,1863-6-26
KS001,1,1863-8-21,1863-8-21
FL004,1,1863-10-16,1863-10-18
AR004,1,1862-11-28,1862-11-28
MO007,1,1861-10-21,1861-10-21
VA065,1,1864-6-21,1864-6-24
VA044,1,1863-11-27,1863-12-2
NM002,1,1862-3-26,1862-3-28
GA004,1,1863-9-18,1863-9-20
NC003,1,1862-3-14,1862-3-14
OK002,1,1861-12-9,1861-12-9
GA003,1,1863-9-10,1863-9-11
MD001,1,1862-1-5,1862-1-6
LA015,1,1863-7-12,1863-7-13
LA002,1,1862-4-25,1862-5-1
GA026,1,1864-11-28,1864-11-28
VA084,1,1865-3-25,1865-3-25
VA092,1,1865-4-6,1865-4-6
VA094,1,1865-4-7,1865-4-7
MN002,1,1862-9-23,1862-9-23
VA090,1,1865-4-2,1865-4-2
VA099,1,1864-6-11,1864-6-12
VA021,1,1862-7-1,1862-7-1
VA098,1,1864-6-9,1864-6-9
VA059,1,1864-5-30,1864-5-30
VA118,1,1864-9-3,1864-9-4
VA014,1,1862-5-31,1862-6-1
TN030,1,1864-4-12,1864-4-12
TN035,1,1864-11-29,1864-11-29
TN015,1,1863-3-25,1863-3-25
NC008,1,1862-12-16,1862-12-16
GA018,1,1864-7-28,1864-7-28
ND003,1,1863-7-28,1863-7-28
VA106,1,1862-6-9,1862-6-9
GA019,1,1864-8-5,1864-8-7
VA117,1,1864-8-16,1864-8-16
WV007,1,1861-10-3,1861-10-3
VA040,1,1863-10-14,1863-10-14
VA124,1,1865-4-3,1865-4-3
MS014,1,1864-6-10,1864-6-10
VA005,1,1861-7-21,1861-7-21
TX005,1,1865-5-12,1865-5-13
AR011,1,1863-10-25,1863-10-25
WV001,1,1861-6-3,1861-6-3
MO014,1,1862-8-11,1862-8-11
AR003,1,1862-7-7,1862-7-7
NC007,1,1862-12-13,1862-12-14
VA063,1,1864-6-15,1864-6-18
TX002,1,1862-10-4,1862-10-4
VA018,1,1862-6-27,1862-6-28
LA006,1,1863-4-12,1863-4-13
NC010,1,1863-3-13,1863-3-15
SC004,1,1863-4-7,1863-4-7
VA050,1,1864-5-9,1864-5-9
KY010,1,1864-3-25,1864-3-25
VA109,1,1864-5-10,1864-5-10
TN038,1,1864-12-15,1864-12-16
VA049,1,1864-5-9,1864-5-9
VA041,1,1863-10-14,1863-10-14
AR018,1,1863-8-27,1863-8-27
WV014,1,1864-8-21,1864-8-21
VA074,1,1864-9-30,1864-10-2
WV016,1,1862-9-19,1862-9-20
TN010,1,1862-12-31,1863-1-2
WV005,1,1861-9-12,1861-9-15
VA004,1,1861-7-18,1861-7-18
LA016,1,1863-9-29,1863-9-29
KY008,1,1862-9-14,1862-9-17
VA093,1,1865-4-6,1865-4-6
MO020,1,1863-4-26,1863-4-26
NC004,1,1862-3-23,1862-4-26
GA025,1,1864-11-22,1864-11-22
NC015,1,1865-1-13,1865-1-15
WV006,1,1861-9-10,1861-9-10
AR007,1,1863-5-1,1863-5-2
VA088,1,1865-4-1,1865-4-1
VA006,1,1861-10-21,1861-10-21
VA035,1,1863-6-9,1863-6-9
GA017,1,1864-7-22,1864-7-22
VA048,1,1864-5-7,1864-5-21
AR009,1,1863-9-1,1863-9-1
NC006,1,1862-6-5,1862-6-5
SC006,1,1863-7-16,1863-7-16
VA002,1,1861-5-29,1861-6-1
TN029,1,1864-1-27,1864-1-27
MO021,1,1864-9-26,1864-9-27
VA011,1,1862-5-7,1862-5-7
NC014,1,1864-12-7,1864-12-27
LA001,1,1862-4-16,1862-4-28
KY005,1,1862-1-10,1862-1-10
TN004,1,1862-6-6,1862-6-6
VA123,1,1865-3-2,1865-3-2
VA100,1,1862-1-3,1862-1-3
VA083,1,1865-2-5,1865-2-7
MO006,1,1861-9-13,1861-9-20
MO023,1,1864-10-19,1864-10-19
VA101,1,1862-3-23,1862-3-23
KY011,1,1864-6-11,1864-6-12
TN008,1,1862-12-7,1862-12-7
VA053,1,1864-5-12,1864-5-16
MS010,1,1863-5-17,1863-5-17
MO016,1,1862-9-30,1862-9-30
MO013,1,1862-8-6,1862-8-9
SC010,1,1864-11-30,1864-11-30
NC012,1,1864-4-17,1864-4-20
VA028,1,1862-12-11,1862-12-15
NC020,1,1865-3-19,1865-3-21
PA002,1,1863-7-1,1863-7-3
MS009,1,1863-5-16,1863-5-16
LA005,1,1862-10-27,1862-10-27
GA021,1,1864-8-20,1864-8-20
WV004,1,1861-8-26,1861-8-26
VA054,1,1864-5-20,1864-5-20
LA008,1,1863-4-17,1863-4-17
VA047,1,1864-5-6,1864-5-7
AL001,1,1863-4-30,1863-4-30
WV002,1,1861-7-2,1861-7-2
MD002,1,1862-9-14,1862-9-14
MS013,1,1864-2-22,1864-2-22
VA107,1,1863-6-13,1863-6-15
AR015,1,1864-4-25,1864-4-25
MO009,1,1861-11-7,1861-11-7
AR016,1,1864-4-30,1864-4-30
MS006,1,1863-5-1,1863-5-1
MO017,1,1862-11-7,1862-11-7
WV012,1,1863-11-6,1863-11-6
GA002,1,1863-3-3,1863-3-3
MS003,1,1862-12-26,1862-12-29
VA111,1,1864-6-5,1864-6-6
CO001,1,1864-11-29,1864-11-30
TN016,1,1863-4-10,1863-4-10
VA001,1,1861-5-18,1861-5-19
VA023,1,1862-8-22,1862-8-25
TN034,1,1864-11-24,1864-11-29
LA021,1,1864-4-23,1864-4-23
VA068,1,1864-6-29,1864-6-29
MS016,1,1862-4-29,1862-6-10
SC005,1,1863-7-10,1863-7-11
VA066,1,1864-6-24,1864-6-24
VA037,1,1863-6-17,1863-6-19
TN014,1,1863-3-20,1863-3-20
LA022,1,1864-5-16,1864-5-16
AR006,1,1863-1-9,1863-1-11
VA073,1,1864-8-25,1864-8-25
VA024,1,1862-8-25,1862-8-27
ND002,1,1863-7-26,1863-7-26
MO019,1,1863-1-9,1863-1-11
OK007,1,1863-7-17,1863-7-17
TN032,1,1864-11-4,1864-11-5
MD006,1,1863-7-8,1863-7-8
MO022,1,1864-10-15,1864-10-15
VA062,1,1864-5-31,1864-6-12
VA105,1,1862-6-8,1862-6-8
VA046,1,1864-5-5,1864-5-7
TN011,1,1862-12-31,1862-12-31
AR012,1,1864-4-3,1864-4-4
MS008,1,1863-5-14,1863-5-14
OK006,1,1863-7-1,1863-7-2
TN024,1,1863-11-23,1863-11-25
TN006,1,1862-7-13,1862-7-13
NC013,1,1864-5-5,1864-5-5
VA058,1,1864-5-28,1864-5-28
MS001,1,1862-9-19,1862-9-19
VA019,1,1862-6-29,1862-6-29
GA015,1,1864-6-27,1864-6-27
TN022,1,1863-11-3,1863-11-3
TN028,1,1864-1-17,1864-1-17
VA003,1,1861-6-10,1861-6-10
MO001,1,1861-6-17,1861-6-17
VA077,1,1864-10-7,1864-10-7
VA009,1,1862-4-5,1862-5-4
TN013,1,1863-3-5,1863-3-5
VA095,1,1865-4-6,1865-4-7
MS002,1,1862-10-3,1862-10-4
GA006,1,1864-2-22,1864-2-27
TN005,1,1862-6-7,1862-6-8
PA001,1,1863-6-30,1863-6-30
OH002,1,1863-7-26,1863-7-26
TN023,1,1863-11-16,1863-11-16
GA012,1,1864-5-27,1864-5-27
LA014,1,1863-6-29,1863-6-30
VA042,1,1863-10-19,1863-10-19
VA096,1,1865-4-8,1865-4-8
AR010,1,1863-9-10,1863-9-10
LA012,1,1863-6-20,1863-6-21
VA055,1,1864-5-23,1864-5-26
MN001,1,1862-8-20,1862-8-22
GA001,1,1862-4-10,1862-4-11
VA057,1,1864-5-28,1864-5-30
AL005,1,1865-3-27,1865-4-8
ID001,1,1863-1-29,1863-1-29
LA019,1,1864-4-9,1864-4-9
VA051,1,1864-5-10,1864-5-10
SC007,1,1863-7-18,1863-7-18
MD008,1,1864-8-1,1864-8-1
IN001,1,1863-7-9,1863-7-9
GA020,1,1864-8-14,1864-8-15
KY001,1,1861-9-19,1861-9-19
VA114,1,1864-7-17,1864-7-18
AL007,1,1865-4-2,1865-4-2
KY002,1,1861-10-21,1861-10-21
GA027,1,1864-12-4,1864-12-4
FL001,1,1861-10-9,1861-10-9
VA120,1,1864-9-21,1864-9-22
TN001,1,1862-2-6,1862-2-6
AL003,1,1864-8-2,1864-8-23
MO011,1,1862-1-8,1862-1-8
MO010,1,1861-12-28,1861-12-28
GA010,1,1864-5-25,1864-5-26
VA069,1,1864-7-27,1864-7-29
OK003,1,1861-12-26,1861-12-26
VA030,1,1863-4-13,1863-4-15
VA032,1,1863-4-30,1863-5-6
