battle,combatant,fullname,rank,first_name,last_name,middle_name,suffix
LA009,CS,Frank P. Powers,Colonel,Frank,Powers,P.,
LA009,CS,William R. Miles,Colonel,William,Miles,R.,
LA009,US,Christopher C. Augur,Major General,Christopher,Augur,C.,
LA010,CS,Franklin Gardner,Major General,Franklin,Gardner,,
LA010,US,Nathaniel P. Banks,Major General,Nathaniel,Banks,P.,
LA011,CS,Henry E. McCulloch,Brigadier General,Henry,McCulloch,E.,
LA011,US,Hermann Lieb,Colonel,Hermann,Lieb,,
LA012,CS,James P. Major,Colonel,James,Major,P.,
LA012,US,Albert Stickney,Lieutenant Colonel,Albert,Stickney,,
LA013,CS,Tom Green,Brigadier General,Tom,Green,,
LA013,US,Joseph D. Bullen,Major,Joseph,Bullen,D.,
LA014,CS,William H. Parsons,Colonel,William,Parsons,H.,
LA014,US,Alfred W. Ellet,Brigadier General,Alfred,Ellet,W.,
LA015,CS,Tom Green,Brigadier General,Tom,Green,,
LA015,US,Godfrey Weitzel,Brigadier General,Godfrey,Weitzel,,
LA015,US,Cuvier Grover,Brigadier General,Cuvier,Grover,,
LA016,CS,Tom Green,Brigadier General,Tom,Green,,
LA016,US,Napoleon J.T. Dana,Major General,Napoleon,Dana,J.T.,
LA017,CS,William Byrd,Lieutenant Colonel,William,Byrd,,
LA017,US,A.J. Smith,Brigadier General,A.J.,Smith,,
LA017,US,Joseph A. Mower,Brigadier General,Joseph,Mower,A.,
LA018,CS,Richard Taylor,Major General,Richard,Taylor,,
LA018,US,Nathaniel P. Banks,Major General,Nathaniel,Banks,P.,
LA019,CS,Richard Taylor,Major General,Richard,Taylor,,
LA019,US,Nathaniel P. Banks,Major General,Nathaniel,Banks,P.,
LA020,CS,Tom Green,Brigadier General,Tom,Green,,
LA020,US,Thomas Kilby Smith,Brigadier General,Thomas,Smith,Kilby,
LA020,US,David D. Porter,Rear Admiral,David,Porter,D.,
LA021,CS,Hamilton P. Bee,Brigadier General,Hamilton,Bee,P.,
LA021,US,Nathaniel P. Banks,Major General,Nathaniel,Banks,P.,
LA022,CS,Richard Taylor,Major General,Richard,Taylor,,
LA022,US,Nathaniel P. Banks,Major General,Nathaniel,Banks,P.,
LA023,CS,Richard Taylor,Major General,Richard,Taylor,,
LA023,US,Joseph A. Mower,Brigadier General,Joseph,Mower,A.,
MD001,CS,Thomas J. Jackson,Major General,Thomas,Jackson,J.,
MD001,US,F.W. Lander,Brigadier General,F.W.,Lander,,
MD002,CS,Robert E. Lee,General,Robert,Lee,E.,
MD002,US,George B. McClellan,Major General,George,McClellan,B.,
MD003,CS,Robert E. Lee,General,Robert,Lee,E.,
MD003,US,George B. McClellan,Major General,George,McClellan,B.,
MD004,CS,Robert E. Lee,General,Robert,Lee,E.,
MD004,US,George G. Meade,Major General,George,Meade,G.,
MD006,CS,J.E.B. Stuart,Major General,J.E.B.,Stuart,,
MD006,US,Alfred Pleasonton,Major General,Alfred,Pleasonton,,
