battle,combatant,fullname,rank,first_name,last_name,middle_name,suffix
WV003,US,George B. McClellan,Major General,George,McClellan,B.,
WV003,US,William S. Rosecrans,Brigadier General,William,Rosecrans,S.,
WV004,CS,John Floyd,Brigadier General,John,Floyd,,
WV004,US,Erastus Tyler,Colonel,Erastus,Tyler,,
WV005,CS,Robert E. Lee,General,Robert,Lee,E.,
WV005,CS,Albert Rust,Colonel,Albert,Rust,,
WV005,US,Joseph Reynolds,Brigadier General,Joseph,Reynolds,,
WV006,CS,John Floyd,Brigadier General,John,Floyd,,
WV006,US,William S. Rosecrans,Brigadier General,William,Rosecrans,S.,
WV007,CS,Henry R. Jackson,Brigadier General,Henry,Jackson,R.,
WV007,US,Joseph Reynolds,Brigadier General,Joseph,Reynolds,,
WV008,CS,"Edward ""Allegheny"" Johnson",Colonel,Edward,Johnson,,
WV008,US,Robert Milroy,Brigadier General,Robert,Milroy,,
WV009,CS,Humphery Marshall,Brigadier General,Humphery,Marshall,,
WV009,US,Jacob D. Cox,Brigadier General,Jacob,Cox,D.,
WV010,CS,Thomas J. Jackson,Major General,Thomas,Jackson,J.,
WV010,US,Dixon S. Miles,Colonel,Dixon,Miles,S.,
WV012,CS,John Echols,Brigadier General,John,Echols,,
WV012,US,William W. Averell,Brigadier General,William,Averell,W.,
WV013,CS,John McCausland,Brigadier General,John,McCausland,,
WV013,US,William W. Averell,Brigadier General,William,Averell,W.,
WV014,CS,Jubal A. Early,Lieutenant General,Jubal,Early,A.,
WV014,US,Philip Sheridan,Major General,Philip,Sheridan,,
WV015,CS,Jubal A. Early,Lieutenant General,Jubal,Early,A.,
WV015,US,Wesley Merritt,Brigadier General,Wesley,Merritt,,
WV016,CS,William Pendleton,Brigadier General,William,Pendleton,,
WV016,CS,A.P. Hill,Major General,A.P.,Hill,,
WV016,US,Fitz John Porter,Major General,Fitz,Porter,John,
