cwsac_id,battle_name,start_date,end_date
TN013,Thompson's Station,1863-03-04,1863-03-05
NC010,Fort Anderson,1863-03-13,1863-03-15
VA029,Kelly's Ford,1863-03-17,1863-03-17
TN014,Vaught's Hill,1863-03-20,1863-03-20
TN015,Brentwood,1863-03-25,1863-03-25
NC011,Washington,1863-03-30,1863-04-20
SC004,Charleston Harbor I,1863-04-07,1863-04-07
TN016,Franklin I,1863-04-10,1863-04-10
LA006,Fort Bisland,1863-04-12,1863-04-13
VA030,Suffolk II,1863-04-13,1863-05-14
LA007,Irish Bend,1863-04-14,1863-04-14
LA008,Vermillion Bayou,1863-04-17,1863-04-17
VA031,Suffolk I,1863-04-19,1863-04-19
MO020,Cape Girardeau,1863-04-26,1863-04-26
MS004,Grand Gulf,1863-04-29,1863-04-29
MS005,Snyder's Bluff,1863-04-29,1863-05-01
AL001,Day's Gap,1863-04-30,1863-04-30
VA032,Chancellorsville,1863-04-30,1863-05-06
MS006,Port Gibson,1863-05-01,1863-05-01
AR007,Chalk Bluff,1863-05-01,1863-05-02
VA034,Fredericksburg II,1863-05-03,1863-05-03
VA033,Salem Church,1863-05-03,1863-05-04
MS007,Raymond,1863-05-12,1863-05-12
MS008,Jackson,1863-05-14,1863-05-14
MS009,Champion Hill,1863-05-16,1863-05-16
MS010,Big Black River Bridge,1863-05-17,1863-05-17
MS011,Vicksburg,1863-05-18,1863-07-04
LA009,Plains Store,1863-05-21,1863-05-21
LA010,Port Hudson,1863-05-22,1863-07-09
LA011,Milliken's Bend,1863-06-07,1863-06-07
VA035,Brandy Station,1863-06-09,1863-06-09
VA107,Winchester II,1863-06-13,1863-06-15
VA036,Aldie,1863-06-17,1863-06-17
VA037,Middleburg,1863-06-17,1863-06-19
LA012,LaFourche Crossing,1863-06-20,1863-06-21
VA038,Upperville,1863-06-21,1863-06-21
TN017,Hoover's Gap,1863-06-24,1863-06-26
LA013,Donaldsonville II,1863-06-28,1863-06-28
LA014,Goddrich's Landing,1863-06-29,1863-06-30
PA001,Hanover,1863-06-30,1863-06-30
OK006,Cabin Creek,1863-07-01,1863-07-02
PA002,Gettysburg,1863-07-01,1863-07-03
AR008,Helena,1863-07-04,1863-07-04
MD004,Williamsport,1863-07-06,1863-07-06
MD006,Boonsboro,1863-07-08,1863-07-14
IN001,Corydon,1863-07-09,1863-07-09
SC005,Fort Wagner I,1863-07-10,1863-07-11
LA015,Kock's Plantation,1863-07-12,1863-07-15
SC006,Grimball's Island,1863-07-16,1863-07-16
OK007,Honey Springs,1863-07-17,1863-07-17
SC007,Fort Wagner II/Morris Island,1863-07-18,1863-07-18
OH001,Buffington Island,1863-07-19,1863-07-19
VA108,Manassas Gap,1863-07-23,1863-07-23
ND001,Big Mound,1863-07-24,1863-07-24
ND002,Dead Buffalo Lake,1863-07-26,1863-07-26
OH002,Salineville,1863-07-26,1863-07-26
ND003,Stony Lake,1863-07-28,1863-07-28
SC008,Fort Sumter II,1863-08-17,1863-09-08
KS001,Lawrence,1863-08-21,1863-08-21
TN018,Chattanooga II,1863-08-21,1863-08-21
AR009,Devil's Backbone,1863-09-01,1863-09-01
ND004,Whitestone Hill,1863-09-03,1863-09-04
SC009,Charleston Harbor II,1863-09-05,1863-09-08
TX006,Sabine Pass II,1863-09-08,1863-09-08
AR010,Bayou Fourche,1863-09-10,1863-09-10
GA003,Davis' Cross Roads,1863-09-10,1863-09-11
GA004,Chickamauga,1863-09-18,1863-09-20
TN019,Blountsville,1863-09-22,1863-09-22
LA016,Stirling's Plantation,1863-09-29,1863-09-29
KS002,Baxter Springs,1863-10-06,1863-10-06
TN020,Blue Springs,1863-10-10,1863-10-10
VA039,Auburn I,1863-10-13,1863-10-13
VA040,Bristoe Station,1863-10-14,1863-10-14
VA041,Auburn II,1863-10-14,1863-10-14
FL004,Fort Brooke,1863-10-16,1863-10-18
VA042,Buckland Mills,1863-10-19,1863-10-19
AR011,Pine Bluff,1863-10-25,1863-10-25
TN021,Wauhatchie,1863-10-28,1863-10-29
TN022,Collierville,1863-11-03,1863-11-03
WV012,Droop Mountain,1863-11-06,1863-11-06
VA043,Rappahannock Station II,1863-11-07,1863-11-07
TN023,Campbell's Station,1863-11-16,1863-11-16
TN024,Chattanooga III,1863-11-23,1863-11-25
VA044,Mine Run,1863-11-26,1863-12-02
GA005,Ringgold Gap,1863-11-27,1863-11-27
TN025,Fort Sanders,1863-11-29,1863-11-29
TN026,Bean's Station,1863-12-14,1863-12-14
TN027,Mossy Creek,1863-12-29,1863-12-29
TN028,Dandridge,1864-01-17,1864-01-17
AL002,Athens,1864-01-26,1864-01-26
TN029,Fair Garden,1864-01-27,1864-01-28
VA045,Morton's Ford,1864-02-06,1864-02-07
OK005,Middle Boggy Depot,1864-02-13,1864-02-13
MS012,Meridian,1864-02-14,1864-02-20
FL005,Olustee,1864-02-20,1864-02-20
MS013,Okolona,1864-02-22,1864-02-22
GA006,Dalton I,1864-02-22,1864-02-27
VA125,Walkerton,1864-03-02,1864-03-02
VA125,Walkerton,1864-03-02,1864-03-02
LA017,Fort DeRussy,1864-03-14,1864-03-14
KY010,Paducah,1864-03-25,1864-03-25
AR012,Elkin's Ferry,1864-04-03,1864-04-04
LA018,Mansfield,1864-04-08,1864-04-08
LA019,Pleasant Hill,1864-04-09,1864-04-09
AR013,Prairie D'Ane,1864-04-10,1864-04-13
LA020,Blair's Landing,1864-04-12,1864-04-12
TN030,Fort Pillow,1864-04-12,1864-04-12
NC012,Plymouth,1864-04-17,1864-04-20
AR014,Poison Spring,1864-04-18,1864-04-18
LA021,Monett's Ferry,1864-04-23,1864-04-23
AR015,Marks' Mills,1864-04-25,1864-04-25
AR016,Jenkin's Ferry,1864-04-30,1864-04-30
NC013,Albemarle Sound,1864-05-05,1864-05-05
VA046,Wilderness,1864-05-05,1864-05-06
VA047,Port Walthall Junction,1864-05-06,1864-05-07
GA007,Rocky Face Ridge,1864-05-07,1864-05-13
VA048,Spotsylvania Court House,1864-05-08,1864-05-21
VA049,Cloyd's Mountain,1864-05-09,1864-05-09
VA050,Swift Creek,1864-05-09,1864-05-09
VA051,Chester Station,1864-05-10,1864-05-10
VA109,Cove Mountain,1864-05-10,1864-05-10
VA052,Yellow Tavern,1864-05-11,1864-05-11
VA053,Proctor's Creek,1864-05-12,1864-05-16
GA008,Resaca,1864-05-13,1864-05-15
VA110,New Market,1864-05-15,1864-05-15
LA022,Mansura,1864-05-16,1864-05-16
GA009,Adairsville,1864-05-17,1864-05-17
LA023,Yellow Bayou,1864-05-18,1864-05-18
VA054,Ware Bottom Church,1864-05-20,1864-05-29
VA055,North Anna,1864-05-23,1864-05-26
VA056,Wilson's Wharf,1864-05-24,1864-05-24
GA010,New Hope Church,1864-05-25,1864-06-05
GA012,Pickett's Mill,1864-05-27,1864-05-27
VA058,Haw's Shop,1864-05-28,1864-05-28
VA057,Totopotomoy Creek,1864-05-28,1864-05-30
GA011,Dallas,1864-05-28,1864-06-28
VA059,Old Church,1864-05-30,1864-05-30
VA062,Cold Harbor,1864-05-31,1864-06-12
VA111,Piedmont,1864-06-05,1864-06-05
AR017,Old River Lake,1864-06-06,1864-06-06
VA098,Petersburg I,1864-06-09,1864-06-09
MS014,Brices Cross Roads,1864-06-10,1864-06-10
GA013,Marietta Operations,1864-06-10,1864-07-03
KY011,Cynthiana,1864-06-11,1864-06-12
VA099,Trevilian Station,1864-06-11,1864-06-12
VA063,Petersburg II,1864-06-15,1864-06-18
VA064,Lynchburg,1864-06-17,1864-06-18
VA065,Jerusalem Plank Road,1864-06-21,1864-06-23
GA014,Kolb's Farm,1864-06-22,1864-06-22
VA066,Saint Mary's Church,1864-06-24,1864-06-24
VA113,Staunton River Bridge,1864-06-25,1864-06-25
GA015,Kennesaw Mountain,1864-06-27,1864-06-27
VA067,Sappony Church,1864-06-28,1864-06-28
VA068,Ream's Station I,1864-06-29,1864-06-29
MD007,Monocacy,1864-07-09,1864-07-09
DC001,Fort Stevens,1864-07-11,1864-07-12
MS015,Tupelo,1864-07-14,1864-07-15
VA114,Cool Spring,1864-07-17,1864-07-18
GA016,Peachtree Creek,1864-07-20,1864-07-20
VA115,Rutherford's Farm,1864-07-20,1864-07-20
GA017,Atlanta,1864-07-22,1864-07-22
VA116,Kernstown II,1864-07-24,1864-07-24
VA069,Deep Bottom I,1864-07-27,1864-07-27
GA018,Ezra Church,1864-07-28,1864-07-28
ND005,Killdeer Mountain,1864-07-28,1864-07-29
VA070,Crater,1864-07-30,1864-07-30
MD008,Folck's Mill,1864-08-01,1864-08-01
AL003,Mobile Bay,1864-08-02,1864-08-23
GA019,Utoy Creek,1864-08-05,1864-08-07
WV013,Moorefield,1864-08-07,1864-08-07
VA071,Deep Bottom II,1864-08-13,1864-08-20
GA020,Dalton II,1864-08-14,1864-08-15
VA117,Guard Hill,1864-08-16,1864-08-16
VA072,Globe Tavern,1864-08-18,1864-08-21
GA021,Lovejoy's Station,1864-08-20,1864-08-20
TN031,Memphis II,1864-08-21,1864-08-21
WV014,Summit Point,1864-08-21,1864-08-21
VA073,Ream's Station II,1864-08-25,1864-08-25
WV015,Smithfield Crossing,1864-08-28,1864-08-29
GA022,Jonesborough,1864-08-31,1864-09-01
VA118,Berryville,1864-09-03,1864-09-04
VA119,Opequon,1864-09-19,1864-09-19
VA120,Fisher's Hill,1864-09-21,1864-09-22
MO021,Fort Davidson,1864-09-26,1864-09-28
VA075,Chaffin's Farm / New Market Heights,1864-09-29,1864-09-30
VA074,Peebles' Farm,1864-09-30,1864-10-02
VA076,Saltville I,1864-10-02,1864-10-02
GA023,Allatoona,1864-10-05,1864-10-05
VA077,Darbytown & New Market Roads,1864-10-07,1864-10-07
VA121,Tom's Brook,1864-10-09,1864-10-09
VA078,Darbytown Road,1864-10-13,1864-10-13
MO022,Glasgow,1864-10-15,1864-10-15
MO023,Lexington II,1864-10-19,1864-10-19
VA122,Cedar Creek,1864-10-19,1864-10-19
MO024,Little Blue River,1864-10-21,1864-10-21
MO025,Independence II,1864-10-22,1864-10-22
MO026,Byram's Ford,1864-10-22,1864-10-23
MO027,Westport,1864-10-23,1864-10-23
KS003,Mine Creek,1864-10-25,1864-10-25
KS004,Marais Des Cygnes,1864-10-25,1864-10-25
MO028,Marmiton River,1864-10-25,1864-10-25
AL004,Decatur,1864-10-26,1864-10-29
VA079,Boydton Plank Road,1864-10-27,1864-10-27
VA080,Fair Oaks & Darbytown Road,1864-10-27,1864-10-28
MO029,Newtonia II,1864-10-28,1864-10-28
CO001,Sand Creek,1864-10-29,1864-10-29
TN032,Johnsonville,1864-11-03,1864-11-04
TN033,Bull's Gap,1864-11-11,1864-11-14
GA025,Griswoldville,1864-11-22,1864-11-22
TN034,Columbia,1864-11-24,1864-11-29
GA026,Buck Head Creek,1864-11-28,1864-11-28
TN035,Spring Hill,1864-11-29,1864-11-29
SC010,Honey Hill,1864-11-30,1864-11-30
TN036,Franklin II,1864-11-30,1864-11-30
GA027,Waynesborough,1864-12-04,1864-12-04
TN037,Murfreesboro II,1864-12-05,1864-12-07
NC014,Fort Fisher I,1864-12-07,1864-12-27
GA028,Fort Mcallister II,1864-12-13,1864-12-13
TN038,Nashville,1864-12-15,1864-12-16
VA081,Marion,1864-12-16,1864-12-18
VA082,Saltville II,1864-12-20,1864-12-21
NC015,Fort Fisher II,1865-01-13,1865-01-15
SC011,Rivers' Bridge,1865-02-02,1865-02-03
VA083,Hatcher's Run,1865-02-05,1865-02-07
NC016,Wilmington,1865-02-12,1865-02-22
VA123,Waynesboro,1865-03-02,1865-03-02
FL006,Natural Bridge,1865-03-06,1865-03-06
NC017,Wyse Fork,1865-03-07,1865-03-10
NC018,Monroe's Cross Roads,1865-03-10,1865-03-10
NC019,Averasborough,1865-03-16,1865-03-16
NC020,Bentonville,1865-03-19,1865-03-21
VA084,Fort Stedman,1865-03-25,1865-03-25
AL005,Spanish Fort,1865-03-27,1865-04-08
VA085,Lewis's Farm,1865-03-29,1865-03-29
VA086,Dinwiddie Court House,1865-03-31,1865-03-31
VA087,White Oak Road,1865-03-31,1865-03-31
VA088,Five Forks,1865-04-01,1865-04-01
AL007,Selma,1865-04-02,1865-04-02
VA089,Petersburg III,1865-04-02,1865-04-02
VA090,Sutherland's Station,1865-04-02,1865-04-02
AL006,Fort Blakely,1865-04-02,1865-04-09
VA124,Namozine Church,1865-04-03,1865-04-03
VA091,Amelia Springs,1865-04-05,1865-04-05
VA092,Rice's Station,1865-04-06,1865-04-06
VA093,Sailor's Creek,1865-04-06,1865-04-06
VA095,High Bridge,1865-04-06,1865-04-07
VA094,Cumberland Church,1865-04-07,1865-04-07
VA096,Appomattox Station,1865-04-08,1865-04-08
VA097,Appomattox Court House,1865-04-09,1865-04-09
TX005,Palmito Ranch,1865-05-12,1865-05-13
