abbrev	meaning	note
1st Lt.	First Lieutenant
q.v.	quod vide
R.A.	regular army
R.I.	Rhode Island
R.R.	railroad
Rear Adm.	Rear Admiral
reg.	regular	used only when necessary for clarity
reg.	regulars	used only when necessary for clarity
regt.	regiment
Regt. Adj.	Regimental Adjutant
Regt.Q.M.	Regimental Quartermaster
res.	resigned
ret.	retired troops
S. Dak.	South Dakota
S.C.	South Carolina
S.R.	Senate Resolution
S.S.	sharpshooters
Sail. Mtr.	Sailing Master
Sat.	Saturday
secy.	secretary
Sept.	September
Sgt.	Sergeant
Sgt. Maj.	Sergeant Major
SHSP	Southern Historical Society Papers
Sig.	signal office, corps, or officer
Squad.	naval squadron
Sr.	Senior
Sun.	Sunday
Surg.	Surgeon
Surg. Gen.	Surgeon General
temp.	temporary
Tenn.	Tennessee
terr.	territory
Tex.	Texas
Thurs.	Thursday
topo. engr.	topographical engineers
trans.	transferred
Tues.	Tuesday
u.c.v.	United Confederate Veterans
U.S.	United States
U.S. Vols.	U.S. Volunteers 	"galvanized" former C.S.A.
U.S.A.	United States Army	regulars
U.S.A.	United States of America
U.S.C. Art.	United States Colored Artillery
U.S.C. Inf. United States Colored Infantry
U.S.N.	United States Navy
U.S.V.	United States Volunteers 	used only when needed for clarity)
univ.	university
USCT	United States Colored Troops
USGPO	United States Government Printing Office
USIRS	United States Internal Revenue Serice
USMA	United States Military Academy
USMC	United States Marine Corps
USMRR	United States Military Railroad
USMT	 United States Military Telegraph
USS	United States Ship
USSS	United States Sharpshooters
USVV	United States Veteran Volunteers
V.M.I.	Virginia Military Institute
V.R.C.	Veteran Reserve Corps
V.V.	veteran volunteers
Va.	Virginia
vet.	veteran
Vice Adm.	Vice Admiral
vol.	volunteer	used only when needed for clarity
vols.	volunteers	 used only when needed for clarity
volts.	voltigeurs
Vt.	Vermont
w.	wounded
W. Va.	West Virginia
Wash.	Washington
Wed.	Wednesday
Wis.	Wisconsin
Wyo.	Wyoming
y.	year
