year,date,event1,event2,event3,event4,event5,event6,event7,event8,
1862,Fri 11 Apr,"Siege of Yorktown, Va. Fort Pulaski, Tenn.",,,,,,,,
1862,Sat 12 Apr,"Siege of Yorktown, Va.@  Andrews' Raid (The General, Western and Atlantic railroad engine, followed by Texas, from Big Shanty to Ringgold, Ga.)",,,,,,,,
1862,Sun 13 Apr,"Siege of Yorktown, Va.",,,,,,,,
1862,Mon 14 Apr,"Siege of Yorktown, Va.",,,,,,,,
1862,Tues 15 Apr,"Siege of Yorktown, Va.",,,,,,,,
1862,Wed 16 Apr,"Siege of Yorktown, Va.",,,,,,,,
1862,Thurs 17 Apr,"Siege of Yorktown, Va.",,,,,,,,
1862,Fri 18 Apr,"Siege of Yorktown, Va.@  Forts Jackson and St. Philip, La. Campaign commenced (USS Hartford and 35 other ships vs. 14 C.S.N. ships)",,,,,,,,
1862,Sat 19 Apr,"Siege of Yorktown, Va.@  Forts Jackson and St. Philip, La.@ South Mills, N.C. (Camden)",,,,,,,,
1862,Sun 20 Apr,"Siege of Yorktown, Va.@  Forts Jackson and St. Philip, La.",,,,,,,,
1862,Mon 21 Apr,"Siege of Yorktown, Va.@  Forts Jackson and St. Philip, La.",,,,,,,,
1862,Tues 22 Apr,"Siege of Yorktown, Va.@  Forts Jackson and St. Philip, La.",,,,,,,,
1862,Wed 23 Apr,"Siege of Yorktown, Va.@  Forts Jackson and St. Philip, La.",,,,,,,,
1862,Thurs 24 Apr,"Siege of Yorktown, Va.@  Forts Jackson and St. Philip, La.",,,,,,,,
1862,Fri 25 Apr,"Siege of Yorktown, Va.@  Forts Jackson and St. Philip, La.@  Fort Macon, N.C. (Beaufort@ USS Daylight, State of Georgia, and Chippewa)@  New Orleans, La.",,,,,,,,
1862,Sat 26 Apr,"Siege of Yorktown, Va.@  Forts Jackson and St. Philip, La.",,,,,,,,
1862,Sun 27 Apr,"Siege of Yorktown, Va.@  Forts Jackson and St. Philip, La.",,,,,,,,
1862,Mon 28 Apr,"Siege of Yorktown, Va.@  Forts Jackson and St. Philip, La. campaign ended",,,,,,,,
1862,Tues 29 Apr,"Siege of Yorktown, Va.@  Corinth Campaign, Miss, commenced",,,,,,,,
1862,Wed 30 Apr,"Siege of Yorktown, Va.@ Corinth Campaign, Miss.",,,,,,,,
1862,Thurs 1 May,"Siege of Yorktown, Va.@ Corinth Campaign, Miss.",,,,,,,,
1862,Fri 2 May,"Siege of Yorktown, Va.@ Corinth Campaign, Miss.",,,,,,,,
1862,Sat 3 May,"Siege of Yorktown, Va. Ended@ Corinth Campaign, Miss. (Farmington, Miss.)",,,,,,,,
1862,Sun 4 May,"Corinth Campaign, Miss. (Farmington, Miss.)",,,,,,,,
1862,Mon 5 May,"Williamsburg, Va.@  Corinth Campaign, Miss. (Farmington, Miss.)",,,,,,,,
1862,Tues 6 May,"Corinth Campaign, Miss. (Farmington, Miss.)",,,,,,,,
1862,Wed 7 May,"West Point, Va. (Eltham's Landing, Barhamsville)@  Corinth Campaign, Miss. (Farmington, Miss.)",,,,,,,,
1862,Thurs 8 May,"McDowell, Va. (Bull Pasture, Bull Pasture Mountain)@  Corinth Campaign, Miss. (Farmington, Miss.)",,,,,,,,
1862,Fri 9 May,"Corinth Campaign, Miss. (Farmington, Miss.)",,,,,,,,
1862,Sat 10 May,"Plum Run Bend, Tenn. (Plum Point)@ Corinth Campaign, Miss. (Farmington, Miss.)@  Norfolk H, Va.@  Pensacola, Fla.",,,,,,,,
1862,Sun 11 May,"Corinth Campaign, Miss.@ Norfolk H, Va.",,,,,,,,
1862,Mon 12 May,"Corinth Campaign, Miss.",,,,,,,,
1862,Tues 13 May,"Corinth Campaign, Miss.",,,,,,,,
1862,Wed 14 May,"Drewry's Bluff I, Va. (Fort Darling I; USS Galena, Port Royal, Aroostook, Naugatuck, and Monitor)@ Corinth Campaign, Miss.",,,,,,,,
1862,Thurs 15 May,"Drewry's Bluff I, Va. (Fort Darling I)@ Corinth Campaign, Miss.",,,,,,,,
1862,Fri 16 May,"Princeton, Va.@  Corinth Campaign, Miss.",,,,,,,,
1862,Sat 17 May,"Corinth Campaign, Miss. Russell's House, Miss. Princeton, Va.",,,,,,,,
1862,Sun 18 May,"Corinth Campaign, Miss.",,,,,,,,
1862,Mon 19 May,"Corinth Campaign, Miss.@ Searcy Landing, Ark.",,,,,,,,
1862,Tues 20 May,"Corinth Campaign, Miss.",,,,,,,,
1862,Wed 21 May,"Corinth Campaign, Miss.",,,,,,,,
