battle,belligerent,fullname,rank,navy,first_name,last_name,middle_name,suffix
LA001,CS,Johnson K. Duncan,Brigadier General,0,Johnson,Duncan,K.,
LA001,CS,John K. Mitchell,Commander,1,John,Mitchell,K.,
LA001,US,David G. Farragut,Flag Officer,1,David,Farragut,G.,
LA002,CS,Mansfield Lovell,Major General,0,Mansfield,Lovell,,
LA002,US,David G. Farragut,Flag Officer,1,David,Farragut,G.,
LA002,US,Benjamin Franklin Butler,Major General,0,Benjamin,Butler,Franklin,
LA003,CS,John C. Breckinridge,Major General,0,John,Breckinridge,C.,
LA003,US,Thomas Williams,Brigadier General,0,Thomas,Williams,,
LA004,CS,Phillippe Landry,Captain,0,Phillippe,Landry,,
LA004,US,David G. Farragut,Rear Admiral,1,David,Farragut,G.,
LA005,CS,Alfred Mouton,Brigadier General,0,Alfred,Mouton,,
LA005,US,Godfrey Weitzel,Brigadier General,0,Godfrey,Weitzel,,
LA006,CS,Richard Taylor,Major General,0,Richard,Taylor,,
LA006,US,Nathaniel P. Banks,Major General,0,Nathaniel,Banks,P.,
LA007,CS,Richard Taylor,Major General,0,Richard,Taylor,,
LA007,US,Cuvier Grover,Brigadier General,0,Cuvier,Grover,,
LA008,CS,Richard Taylor,Major General,0,Richard,Taylor,,
LA008,US,Cuvier Grover,Brigadier General,0,Cuvier,Grover,,
LA009,CS,Frank P. Powers,Colonel,0,Frank,Powers,P.,
LA009,CS,William R. Miles,Colonel,0,William,Miles,R.,
LA009,US,Christopher C. Augur,Major General,0,Christopher,Augur,C.,
LA010,CS,Franklin Gardner,Major General,0,Franklin,Gardner,,
LA010,US,Nathaniel P. Banks,Major General,0,Nathaniel,Banks,P.,
LA011,CS,Henry E. McCulloch,Brigadier General,0,Henry,McCulloch,E.,
LA011,US,Hermann Lieb,Colonel,0,Hermann,Lieb,,
LA012,CS,James P. Major,Colonel,0,James,Major,P.,
LA012,US,Albert Stickney,Lieutenant Colonel,0,Albert,Stickney,,
LA013,CS,Tom Green,Brigadier General,0,Tom,Green,,
LA013,US,Joseph D. Bullen,Major,0,Joseph,Bullen,D.,
LA014,CS,William H. Parsons,Colonel,0,William,Parsons,H.,
LA014,US,Alfred W. Ellet,Brigadier General,0,Alfred,Ellet,W.,
LA015,CS,Tom Green,Brigadier General,0,Tom,Green,,
LA015,US,Godfrey Weitzel,Brigadier General,0,Godfrey,Weitzel,,
LA015,US,Cuvier Grover,Brigadier General,0,Cuvier,Grover,,
LA016,CS,Tom Green,Brigadier General,0,Tom,Green,,
LA016,US,Napoleon J.T. Dana,Major General,0,Napoleon,Dana,J.T.,
LA017,CS,William Byrd,Lieutenant Colonel,0,William,Byrd,,
LA017,US,A.J. Smith,Brigadier General,0,A.J.,Smith,,
LA017,US,Joseph A. Mower,Brigadier General,0,Joseph,Mower,A.,
LA018,CS,Richard Taylor,Major General,0,Richard,Taylor,,
LA018,US,Nathaniel P. Banks,Major General,0,Nathaniel,Banks,P.,
LA019,CS,Richard Taylor,Major General,0,Richard,Taylor,,
LA019,US,Nathaniel P. Banks,Major General,0,Nathaniel,Banks,P.,
LA020,CS,Tom Green,Brigadier General,0,Tom,Green,,
LA020,US,Thomas Kilby Smith,Brigadier General,0,Thomas,Smith,Kilby,
LA020,US,David D. Porter,Rear Admiral,1,David,Porter,D.,
LA021,CS,Hamilton P. Bee,Brigadier General,0,Hamilton,Bee,P.,
LA021,US,Nathaniel P. Banks,Major General,0,Nathaniel,Banks,P.,
LA022,CS,Richard Taylor,Major General,0,Richard,Taylor,,
LA022,US,Nathaniel P. Banks,Major General,0,Nathaniel,Banks,P.,
LA023,CS,Richard Taylor,Major General,0,Richard,Taylor,,
LA023,US,Joseph A. Mower,Brigadier General,0,Joseph,Mower,A.,
MD001,CS,Thomas J. Jackson,Major General,0,Thomas,Jackson,J.,
MD001,US,F.W. Lander,Brigadier General,0,F.W.,Lander,,
MD002,CS,Robert E. Lee,General,0,Robert,Lee,E.,
MD002,US,George B. McClellan,Major General,0,George,McClellan,B.,
MD003,CS,Robert E. Lee,General,0,Robert,Lee,E.,
MD003,US,George B. McClellan,Major General,0,George,McClellan,B.,
MD004,CS,Robert E. Lee,General,0,Robert,Lee,E.,
MD004,US,George G. Meade,Major General,0,George,Meade,G.,
MD006,CS,J.E.B. Stuart,Major General,0,J.E.B.,Stuart,,
MD006,US,Alfred Pleasonton,Major General,0,Alfred,Pleasonton,,
MD007,CS,Jubal A. Early,Lieutenant General,0,Jubal,Early,A.,
MD007,US,Lew Wallace,Major General,0,Lew,Wallace,,
MD008,CS,John McCausland,Brigadier General,0,John,McCausland,,
MD008,US,Benjamin F. Kelley,Brigadier General,0,Benjamin,Kelley,F.,
MN001,I,Little Crow,,0,Little Crow,,,
MN001,US,Timothy J. Sheehan,First Lieutenant,0,Timothy,Sheehan,J.,
MN002,I,Little Crow,,0,Little Crow,,,
MN002,US,Henry Hastings Sibley,Colonel,0,Henry,Sibley,Hastings,
MO001,CS,John S. Marmaduke,Colonel,0,John,Marmaduke,S.,
MO001,US,Nathaniel Lyon,Brigadier General,0,Nathaniel,Lyon,,
MO002,CS,Clairborne Jackson,Governor,0,Clairborne,Jackson,,
MO002,US,Franz Sigel,Colonel,0,Franz,Sigel,,
MO003,CS,D. R. Atchison,General,0,D.,Atchison,R.,
MO003,US,John Scott,Lieutenant Colonel,0,John,Scott,,
MO004,CS,Sterling Price,Major General,0,Sterling,Price,,
MO004,CS,Ben McCulloch,Brigadier General,0,Ben,McCulloch,,
MO004,US,Nathaniel Lyon,Brigadier General,0,Nathaniel,Lyon,,
MO004,US,Samuel D. Sturgis,Major General,0,Samuel,Sturgis,D.,
MO005,CS,Sterling Price,Major General,0,Sterling,Price,,
MO005,CS,James S. Rains,Brigadier General,0,James,Rains,S.,
