battle,belligerent,description,strength_min,strength_max,armies,corps,divisions,brigades,regiments,companies,cavalry_regiments,cavalry_brigades,cavalry_corps,cavalry_divisions,artillery_batteries,ships,ironclads,gunboats,wooden_ships,rams,casualties,killed,wounded,missing,captured
VA110,US,"6,275",6275,6275,,,,,,,,,,,,,,,,,840,,,,
VA111,CS,"5,500",5500,5500,,,,,,,,,,,,,,,,,1500,,,,
VA111,US,"8,500",8500,8500,,,,,,,,,,,,,,,,,875,,,,
VA113,CS,,,,,,,,,,,,,,,,,,,,,,,,
VA113,US,,,,,,,,,,,,,,,,,,,,,,,,
VA114,CS,"8,000",8000,8000,,,,,,,,,,,,,,,,,397,,,,
VA114,US,"5,000",5000,5000,,,,,,,,,,,,,,,,,422,,,,
VA115,CS,,,,,,,,,,,,,,,,,,,,,,,,
VA115,US,,,,,,,,,,,,,,,,,,,,,,,,
VA116,CS,"13,000",13000,13000,,,,,,,,,,,,,,,,,600,,,,
VA116,US,"10,000",10000,10000,,,,,,,,,,,,,,,,,1200,,,,
VA117,CS,,,,,,1,,,,,,,,,,,,,,,,,,
VA117,US,,,,,,1,,,,,,,,,,,,,,,,,,
VA118,CS,,,,,1,,,,,,,,,,,,,,,,,,,
VA118,US,,,,,1,,,,,,,,,,,,,,,,,,,
VA119,CS,"15,200",15200,15200,,,,,,,,,,,,,,,,,3610,,,,
VA119,US,"39,240",39240,39240,,,,,,,,,,,,,,,,,5020,,,,
VA120,CS,"9,500",9500,9500,,,,,,,,,,,,,,,,,1235,,,,
VA120,US,"29,444",29444,29444,,,,,,,,,,,,,,,,,528,,,,
VA121,CS,"3,500",3500,3500,,,,,,,,,,,,,,,,,350,,,,
VA121,US,"6,300",6300,6300,,,,,,,,,,,,,,,,,57,,,,
VA122,CS,"21,000",21000,21000,,,,,,,,,,,,,,,,,2910,,,,
VA122,US,"31,945",31945,31945,,,,,,,,,,,,,,,,,5665,,,,
VA123,CS,"1,600",1600,1600,,,,,,,,,,,,,,,,,,,,,
VA123,US,"2,500",2500,2500,,,,,,,,,,,,,,,,,,,,,
VA124,CS,,,,,,,1,,,,,,,,,,,,,,,,,
VA124,US,,,,,,,1,,,,,,,,,,,,,,,,,
VA125,CS,,,,,,,1,,,,,,,,,,,,,,,,,
VA125,US,,,,,,,1,,,,,,,,,,,,,,,,,
WV001,CS,,,,,,,1,,,,,,,,,,,,,26,,,,
WV001,US,,,,,,,1,,,,,,,,,,,,,4,,,,
WV002,CS,,,,,,,1,,,,,,,,,,,,,91,,,,
WV002,US,,,,,,,1,,,,,,,,,,,,,23,,,,
WV003,CS,,,,,,,1,,,,,,,,,,,,,300,,,,
WV003,US,,,,,,,1,,,,,,,,,,,,,46,,,,
WV004,CS,,,,,,,1,,,,,,,,,,,,,40,,,,
WV004,US,,,,,,,1,,,,,,,,,,,,,245,,,,
WV005,CS,,,,,,,1,,,,,,,,,,,,,90,,,,
WV005,US,,,,,,,1,,,,,,,,,,,,,80,,,,
WV006,CS,,,,,,,1,,,,,,,,,,,,,,,,,
WV006,US,,,,,,,1,,,,,,,,,,,,,,,,,
WV007,CS,,,,,,,1,,,,,,,,,,,,,40,,,,
WV007,US,,,,,,,1,,,,,,,,,,,,,40,,,,
WV008,CS,,,,,,,1,,,,,,,,,,,,,146,,,,
WV008,US,,,,,,,1,,,,,,,,,,,,,137,,,,
WV009,CS,"Army of East Kentucky and Col. Gabriel C. Wharton's Brigade, Department of Southwest Virginia",,,,,,,,,,,,,,,,,,,16,4,12,0,0
WV009,US,District of the Kanawha,,,,,,,,,,,,,,,,,,,113,23,69,21,0
WV010,CS,,,,,1,,,,,,,,,,,,,,,286,39,247,0,0
WV010,US,,,,,1,,,,,,,,,,,,,,,12636,44,173,0,12419
WV012,CS,,,,,,,1,,,,,,,,,,,,,,,,,
WV012,US,,,,,,,1,,,,,,,,,,,,,,,,,
WV013,CS,,,,,,1,,,,,,,,,,,,,,,,,,
WV013,US,,,,,,1,,,,,,,,,,,,,,,,,,
WV014,CS,,,,,,1,,,,,,,,,,,,,,,,,,
WV014,US,,,,,,1,,,,,,,,,,,,,,,,,,
WV015,CS,,,,,,1,,,,,,,,,,,,,,,,,,
WV015,US,,,,,,1,,,,,,,,,,,,,,,,,,
WV016,CS,,,,,,,1,,,,,,,,,,,,,,,,,
WV016,US,,,,,,,1,,,,,,,,,,,,,,,,,
