battle,belligerent,description,strength_min,strength_max,armies,corps,divisions,brigades,regiments,companies,cavalry_regiments,cavalry_brigades,cavalry_corps,cavalry_divisions,artillery_batteries,ships,ironclads,gunboats,wooden_ships,rams,casualties,killed,wounded,missing,captured
SC006,CS,"3,000",3000,3000,,,,,,,,,,,,,,,,,18,,,,
SC006,US,"3,800",3800,3800,,,,,,,,,,,,,,,,,,,,,
SC007,CS,"1,800",1800,1800,,,,,,,,,,,,,,,,,174,,,,
SC007,US,"5,000",5000,5000,,,,,,,,,,,,,,,,,1515,,,,
SC008,CS,Fort Sumter Garrison,,,,,,,,,,,,,,,,,,,,,,,
SC008,US,Morris Island Batteries,,,,,,,,,,,,,,,,,,,,,,,
SC009,CS,unknown,,,,,,,1,,,,,,,,,,,,,,,,
SC009,US,413,413,413,,,,,,,,,,,,,,,,,117,,,,
SC010,CS,"1,400",1400,1400,,,,,,,,,,,,,,,,,50,,,,
SC010,US,"5,000",5000,5000,,,,,,,,,,,,,,,,,746,,,,
SC011,CS,"1,200",1200,1200,,,,,,,,,,,,,,,,,170,,,,
SC011,US,"5,000",5000,5000,,,,,,,,,,,,,,,,,92,,,,
TN001,CS,Fort Henry Garrison,,,,,,,,,,,,,,,,,,,79,,,,
TN001,US,District of Cairo,,,,,,,,,,,,,,,,,,,40,,,,
TN002,CS,Fort Donelson Garrison,,,,,,,,,,,,,,,,,,,15067,,,,
TN002,US,Army in the Field,,,1,,,,,,,,,,,,,,,,2331,,,,
TN003,CS,"Army of the Mississippi (44,968)",44968,44968,,,,,,,,,,,,,,,,,10699,,,,
TN003,US,"Army of the Tennessee and Army of the Ohio (65,085)",65085,65085,,,,,,,,,,,,,,,,,13047,,,,
TN004,CS,"C.S. Navy Rams General Beauregard, General Bragg, General Price, General Van Dorn, General Thompson, Colonel Lovell, Sumter, and Little Rebel",,,,,,,,,,,,,,,,,,8,180,,,,
TN004,US,"U.S. Ironclads Benton, Louisville, Carondelet, Cairo, and St. Louis and U.S. Army Rams Queen of the West and Monarch",,,,,,,,,,,,,,,5,,,2,1,,,,
TN005,CS,Department,,,,,,,,,,,,,,,,,,,65,,,,
TN005,US,Division,,,,,1,,,,,,,,,,,,,,23,,,,
TN006,CS,"equivalent of a brigade (about five cavalry units; approx. 1,400)",1400,1400,,,,,,,,,,,,,,,,,150,,,,
TN006,US,Detachments from four Union units (approx. 900),900,900,,,,,,,,,,,,,,,,,890,,,,
TN007,CS,Army of the West,,,1,,,,,,,,,,,,,,,,400,,,,
TN007,US,Detachment,,,,,,,,,,,,,,,,,,,500,,,,
TN008,CS,expeditionary force (two brigades),,,,,,2,,,,,,,,,,,,,149,,,,
TN008,US,"39th Brigade, XIV Army Corps (Army of the Cumberland)",,,,,,1,,,,,,,,,,,,,1855,,,,
TN009,CS,Detachment of Forrest's Cavalry (approx. 400),400,400,,,,,,,,,,,,,,,,,,,,,
TN009,US,Two regiments from the Jackson Garrison,,,,,,,2,,,,,,,,,,,,6,,,,
TN010,CS,Army of Tennessee,,,1,,,,,,,,,,,,,,,,10266,,,,
TN010,US,Army of the Cumberland,,,1,,,,,,,,,,,,,,,,13249,,,,
TN011,CS,expeditionary brigade,,,,,,1,,,,,,,,,,,,,500,,,,
TN011,US,"Two brigades (approx. 3,000 men)",3000,3000,,,,,,,,,,,,,,,,,237,,,,
TN012,CS,"cavalry division (approx. 2,500)",2500,2500,,,,,,,,,,,,,,,,,670,,,,
TN012,US,Detachments of two regiments: 83rd Illinois Infantry and 5th Iowa Cavalry Regiments and some artillery (approx. 800),800,800,,,,,,,,,,,,,,,,,126,,,,
TN013,CS,I Cavalry Corps,,,,1,,,,,,,,,,,,,,,300,,,,
TN013,US,Infantry brigade,,,,,,1,,,,,,,,,,,,,1906,,,,
TN014,CS,"Morgan's Cavalry Division (approx. 3,500)",3500,3500,,,,,,,,,,,,,,,,,373,,,,
TN014,US,"2nd Brigade, 5th Division, XIV Army Corps (a combined force of infantry, artillery, and cavalry comprising detachments from six units; approx. 1,300)",1300,1300,,,,,,,,,,,,,,,,,62,,,,
TN015,CS,Forrest's Division,,,,,1,,,,,,,,,,,,,,6,,,,
TN015,US,"Detachments of the 22nd Wisconsin Volunteer Infantry, 33rd Indiana, and 19th Michigan Volunteer Infantry regiments, 1st Division, 1st Cavalry Corps (approx. 400)",400,400,,,,,,,,,,,,,,,,,305,,,,
TN016,CS,"1st Cavalry Corps, Army of Tennessee",,,,,,,,,,,1,,,,,,,,137,,,,
TN016,US,Army of Kentucky,,,1,,,,,,,,,,,,,,,,100,,,,
TN017,CS,"Bate's and Johnson's Brigades, Stewart's Division, Hardee's Corps, Army of Tennessee, and J.R. Butler's 1st [3rd] Kentucky Cavalry Regiment",,,,,,2,,,1,,,,,,,,,,,,,,
TN017,US,XIV Army Corps,,,,1,,,,,,,,,,,,,,,,,,,
TN018,CS,Hill's Corps,,,,1,,,,,,,,,,,,,,,,,,,
TN018,US,Wilder's Brigade,,,,,,1,,,,,,,,,,,,,,,,,
TN019,CS,"1st Tennessee Cavalry Regiment and Artillery (approx. 1,200)",1200,1200,,,,,,,,,,,,,,,,,165,,,,
TN019,US,"2nd Brigade, 4th Division, XXIII Army Corps, Department of the Ohio",,,,,,,,,,,,,,,,,,,27,,,,
TN020,CS,"1st Tennessee Volunteer Cavalry Regiment, 4th Kentucky Cavalry Regiment, and some home guard troops and artillery",,,,,,,2,,,,,,,,,,,,216,,,,
TN020,US,Department of the Ohio,,,,,,,,,,,,,,,,,,,100,,,,
TN021,CS,Hood's Division,,,,,1,,,,,,,,,,,,,,408,,,,
TN021,US,"XI Army Corps and 2nd Division, XII Army Corps",,,,1,1,,,,,,,,,,,,,,420,,,,
TN022,CS,"cavalry division (2,500)",2500,2500,,,,,,,,,,,,,,,,,95,,,,
TN022,US,3rd Cavalry Brigade (850),850,850,,,,,,,,,,,,,,,,,60,,,,
TN023,CS,Confederate Forces in East Tennessee,,,,,,,,,,,,,,,,,,,570,,,,
TN023,US,Department of the Ohio,,,,,,,,,,,,,,,,,,,400,,,,
TN024,CS,Army of Tennessee,,,1,,,,,,,,,,,,,,,,6670,,,,
TN024,US,Military Division of the Mississippi,,,,,,,,,,,,,,,,,,,5815,,,,
TN025,CS,Confederate Forces in East Tennessee,,,,,,,,,,,,,,,,,,,780,,,,
TN025,US,Department of the Ohio,,,,,,,,,,,,,,,,,,,100,,,,
TN026,CS,Confederate Forces in East Tennessee,,,,,,,,,,,,,,,,,,,900,,,,
TN026,US,"Cavalry Corps, Department of the Ohio",,,,,,,,,,,1,,,,,,,,700,,,,
TN027,CS,"Longstreet's Cavalry, Department of East Tennessee (Sturgis reported that the Confederate cavalry was supported by a brigade of infantry; approx. 2,000 men)",2000,2000,,,,,,,,,,,,,,,,,,,,,
TN027,US,"Cavalry Corps, Army of the Ohio and 1st Brigade, 2nd Division, XXIII Army Corps",,,,,,,,,,,1,,,,,,,,151,,,,
TN028,CS,Department of East Tennessee,,,,,,,,,,,,,,,,,,,,,,,
TN028,US,"Cavalry Corps, Army of the Ohio, and Infantry of the IV Army Corps",,,,1,,,,,,,1,,,,,,,,150,,,,
TN029,CS,"Cavalry Division, Department of East Tennessee",,,,,,,,,,,,1,,,,,,,165,,,,
TN029,US,"Cavalry Division, Cavalry Corps, Army of the Ohio",,,,,,,,,,,,1,,,,,,,100,,,,
TN030,CS,"Brig. Gen. James R. Chalmers's 1st Division, Forrest's Cavalry Corps",,,,,1,,,,,,,,,,,,,,80,,,,
TN030,US,Detachments from three units (approx. 600),600,600,,,,,,,,,,,,,,,,,574,,,,
TN031,CS,Forrest's Cavalry (approx. 400),400,400,,,,,,,,,,,,,,,,,34,,,,
TN031,US,Troops stationed at Memphis,,,,,,,,,,,,,,,,,,,160,,,,
TN032,CS,Forrest's Cavalry,,,,,,,,,,,,,,,,,,,,,,,
TN032,US,"Supply depot garrison (approx. 4,000)",4000,4000,,,,,,,,,,,,,,,,,,,,,
TN033,CS,"Department of Western Virginia and East Tennessee (approx. 2,400)",2400,2400,,,,,,,,,,,,,,,,,,,,,
TN033,US,"Governor's Guard Brigade, State of Tennessee",,,,,,1,,,,,,,,,,,,,241,,,,
TN034,CS,Army of Tennessee,,,1,,,,,,,,,,,,,,,,,,,,
TN034,US,XXIII Army Corps and elements of IV Army Corps,,,,1.5,,,,,,,,,,,,,,,,,,,
TN035,CS,Army of Tennessee,,,1,,,,,,,,,,,,,,,,,,,,
TN035,US,IV and XXIII Army Corps,,,,1,,,,,,,,,,,,,,,,,,,
TN036,CS,Army of Tennessee,,,1,,,,,,,,,,,,,,,,6261,,,,
TN036,US,IV and XXIII Army Corps (Army of the Ohio and Cumberland),,,,1,,,,,,,,,,,,,,,2326,,,,
TN037,CS,"Forrest's Cavalry, Bate's Infantry Division, and Brig. Gen. Claudius Sears's and Brig. Gen. Joseph B. Palmer's Infantry Brigades (6,500-7,000)",6500,6500,,,,,,,,,,,,,,,,,197,,,,
TN037,US,"District of Tennessee (forces in Murfreesboro area; approx. 8,000)",8000,8000,,,,,,,,,,,,,,,,,225,,,,
TN038,CS,Army of Tennessee,,,1,,,,,,,,,,,,,,,,4462,,,,
TN038,US,"IV Army Corps, XXIII Army Corps, Detachment of Army of the Tennessee, provisional detachment, and cavalry corps",,,,2,,,,,,,1,,,,,,,,2140,,,,
TX001,CS,Fort Griffith Garrison (30) and 25 mounted men 3 1/2 miles away,55,55,,,,,,,,,,,,,,,,,,,,,
TX001,US,"Steamer Kensington, Schooner Rachel Seaman, and Mortar Schooner Henry James",,,,,,,,,,,,,,3,,,,,,,,,
TX002,CS,,,,,,,,,,,,,,,,,,,,0,,,,
TX002,US,,,,,,,,,,,,,,,,,,,,0,,,,
TX003,CS,"four Confederate gunboats and district of Texas, New Mexico, and Arizona troops",,,,,,,,,,,,,,4,,,,,50,,,,
TX003,US,"Companies D, G and I, 42nd Massachusetts Volunteer Infantry Regiment and the Blockading ships",,,,,,,1,,,,,,,,,,,,600,,,,
TX005,CS,"Detachments from Gidding's Regiment, Anderson's Battalion of Cavalry, and numerous other Confederate units and southern sympathizers",,,,,,,,,,,,,,,,,,,,,,,
TX005,US,"Detachments from the 62nd U.S. Colored Infantry Regiment, 2nd Texas Cavalry Regiment, and 34th Indiana Volunteer Infantry",,,,,,,1.5,,,,,,,,,,,,118,,,,
TX006,CS,Texan Davis Guards (44 men),44,44,,,,,,,,,,,,,,,,,,,,,
TX006,US,4 gunboats and 7 transports loaded with troops,,,,,,,,,,,,,,11,,,,,230,,,,
VA001,CS,battery garrison,,,,,,,,,,,,,,,,,,,,,,,
VA001,US,Two gunboats,,,,,,,,,,,,,,,,2,,,,,,,
VA002,CS,battery garrison,,,,,,,,,,,,,,,,,,,,,,,
VA002,US,3 gunboats,,,,,,,,,,,,,,,,3,,,,,,,
VA003,CS,"1,200",1200,1200,,,,,,,,,,,,,,,,,8,,,,
VA003,US,"3,500",3500,3500,,,,,,,,,,,,,,,,,79,,,,
VA004,CS,,,,,,,1,,,,,,,,,,,,,68,,,,
VA004,US,,,,,,,1,,,,,,,,,,,,,83,,,,
VA005,CS,"32,230",32230,32230,,,,,,,,,,,,,,,,,1750,,,,
VA005,US,"28,450",28450,28450,,,,,,,,,,,,,,,,,2950,,,,
VA006,CS,"1,600",1600,1600,,,,,,,,,,,,,,,,,149,,,,
VA006,US,"2,000",2000,2000,,,,,,,,,,,,,,,,,921,,,,
VA007,CS,,,,,,,1,,,,,,,,,,,,,230,,,,
VA007,US,,,,,,,1,,,,,,,,,,,,,71,,,,
VA008,CS,1 warship,,,,,,,,,,,,,,1,,,,,24,,,,
VA008,US,4 warships,,,,,,,,,,,,,,4,,,,,409,,,,
VA009,CS,,,,1,,,,,,,,,,,,,,,,,,,,
VA009,US,,,,1,,,,,,,,,,,,,,,,,,,,
VA010,CS,"31,823",31823,31823,,,,,,,,,,,,,,,,,1560,,,,
VA010,US,"40,768",40768,40768,,,,,,,,,,,,,,,,,2283,,,,
VA011,CS,,,,,,1,,,,,,,,,,,,,,48,,,,
VA011,US,,,,,,1,,,,,,,,,,,,,,194,,,,
VA012,CS,battery garrison,,,,,,,,,,,,,,,,,,,,,,,
VA012,US,5 gunboats,,,,,,,,,,,,,,,,5,,,,,,,
VA013,CS,,,,,,1,,,,,,,,,,,,,,930,,,,
VA013,US,,,,,,1,,,,,,,,,,,,,,397,,,,
VA014,CS,,,,,,,,,,,,,,,,,,,,7997,,,,
VA014,US,,,,,,,,,,,,,,,,,,,,5739,,,,
VA015,CS,,,,,1,,,,,,,,,,,,,,,541,,,,
VA015,US,,,,,1,,,,,,,,,,,,,,,516,,,,
VA016,CS,"16,356",16356,16356,,,,,,,,,,,,,,,,,1300,,,,
VA016,US,"15,631",15631,15631,,,,,,,,,,,,,,,,,400,,,,
VA017,CS,"57,018",57018,57018,,,,,,,,,,,,,,,,,8700,,,,
