"battle","battle_name","belligerent","commander","commander_dbpedia","rank"
"TN037","Murfreesboro","CS","Nathan Bedford Forrest","http://dbpedia.org/resource/Nathan_Bedford_Forrest","Major General"
"TN037","Murfreesboro","US","Robert Milroy","http://dbpedia.org/resource/Robert_H._Milroy","Brigadier General"
"TN038","Nashville","US","George H. Thomas","http://dbpedia.org/resource/George_Henry_Thomas","Major General"
"TN038","Nashville","CS","John Bell Hood","http://dbpedia.org/resource/John_Bell_Hood","General"
"TX001","Sabine Pass","US","Frederick Crocker","http://dbpedia.org/resource/Frederick_Crocker","Acting Master"
"TX001","Sabine Pass","CS","J.S. Irvine","NA","Major"
"TX002","Galveston","CS","Joseph J. Cook","NA","Colonel"
"TX002","Galveston","US","W.B. Renshaw","http://dbpedia.org/resource/William_B._Renshaw","Commander"
"TX002","Galveston","CS","X.B. Debray","http://dbpedia.org/resource/Xavier_Debray","Colonel"
"TX003","Galveston","US","Isaac S. Burrell","NA","Colonel"
"TX003","Galveston","CS","John B. Magruder","http://dbpedia.org/resource/John_B._Magruder","Major General"
"TX003","Galveston","US","W.B. Renshaw","http://dbpedia.org/resource/William_B._Renshaw","Commander"
"TX005","Palmito Ranch","CS","John S. ""Rip"" Ford","http://dbpedia.org/resource/John_Salmon_Ford","Colonel"
"TX005","Palmito Ranch","US","Theodore H. Barrett","NA","Colonel"
"TX006","Sabine Pass II","US","Frederick Crocker","http://dbpedia.org/resource/Frederick_Crocker","Captain (Naval)"
"TX006","Sabine Pass II","CS","Richard W. Dowling","http://dbpedia.org/resource/Richard_W._Dowling","Lieutenant"
"TX006","Sabine Pass II","US","William B. Franklin","http://dbpedia.org/resource/William_B._Franklin","Major General"
"VA001","Sewells Point","US","D.L. Braine U.S.N.","http://dbpedia.org/resource/Daniel_L._Braine","Lieutenant"
"VA001","Sewells Point","CS","Peyton Colquitt","http://dbpedia.org/resource/Peyton_H._Colquitt","Captain"
"VA001","Sewells Point","CS","Walter Gwynn","http://dbpedia.org/resource/Walter_Gwynn","Brigadier General"
"VA002","Aquia Creek","CS","Daniel Ruggles","http://dbpedia.org/resource/Daniel_Ruggles","Colonel"
