"battle","battle_name","belligerent","commander","commander_dbpedia","rank"
"GA016","Peachtree Creek","US","George H. Thomas","http://dbpedia.org/resource/George_Henry_Thomas","Major General"
"GA016","Peachtree Creek","CS","John Bell Hood","http://dbpedia.org/resource/John_Bell_Hood","General"
"GA017","Atlanta","CS","John Bell Hood","http://dbpedia.org/resource/John_Bell_Hood","General"
"GA017","Atlanta","US","William T. Sherman","http://dbpedia.org/resource/William_Tecumseh_Sherman","Major General"
"GA018","Ezra Church","CS","John Bell Hood","http://dbpedia.org/resource/John_Bell_Hood","General"
"GA018","Ezra Church","US","Oliver O. Howard","http://dbpedia.org/resource/Oliver_O._Howard","Major General"
"GA019","Utoy Creek","CS","John Bell Hood","http://dbpedia.org/resource/John_Bell_Hood","General"
"GA019","Utoy Creek","US","John M. Schofield","http://dbpedia.org/resource/John_Schofield","Major General"
"GA020","Dalton II","US","James B. Steedman","http://dbpedia.org/resource/James_B._Steedman","Major General"
"GA020","Dalton II","CS","Joseph Wheeler","http://dbpedia.org/resource/Joseph_Wheeler","Major General"
"GA021","Lovejoys Station","US","H. Judson Kilpatrick","http://dbpedia.org/resource/Hugh_Judson_Kilpatrick","Brigadier General"
"GA021","Lovejoys Station","CS","William H. Jackson","http://dbpedia.org/resource/William_Hicks_Jackson","Brigadier General"
"GA022","Jonesborough","CS","William J. Hardee","http://dbpedia.org/resource/William_J._Hardee","Lieutenant General"
"GA022","Jonesborough","US","William T. Sherman","http://dbpedia.org/resource/William_Tecumseh_Sherman","Major General"
"GA023","Allatoona","US","John M. Corse","http://dbpedia.org/resource/John_M._Corse","Brigadier General"
"GA023","Allatoona","CS","Samuel G. French","http://dbpedia.org/resource/Samuel_Gibbs_French","Major General"
"GA025","Griswoldville","US","Charles C. Walcutt","http://dbpedia.org/resource/Charles_C._Walcutt","Brigadier General"
"GA025","Griswoldville","CS","Joseph Wheeler","http://dbpedia.org/resource/Joseph_Wheeler","Major General"
"GA025","Griswoldville","CS","Pleasant J. Philips","http://dbpedia.org/resource/Pleasant_J._Philips","Brigadier General"
"GA026","Buck Head Creek","US","H. Judson Kilpatrick","http://dbpedia.org/resource/Hugh_Judson_Kilpatrick","Brigadier General"
"GA026","Buck Head Creek","CS","Joseph Wheeler","http://dbpedia.org/resource/Joseph_Wheeler","Major General"
"GA027","Waynesborough","US","H. Judson Kilpatrick","http://dbpedia.org/resource/Hugh_Judson_Kilpatrick","Brigadier General"
"GA027","Waynesborough","CS","Joseph Wheeler","http://dbpedia.org/resource/Joseph_Wheeler","Major General"
"GA028","Fort McAllister II","CS","George A. Anderson","NA","Major"
"GA028","Fort McAllister II","US","William B. Hazen","http://dbpedia.org/resource/William_Babcock_Hazen","Brigadier General"
"ID001","Bear River","I","Bear Hunter","http://dbpedia.org/resource/Bear_Hunter","Chief"
"ID001","Bear River","US","Patrick Edward Connor","http://dbpedia.org/resource/Patrick_Edward_Connor","Colonel"
"IN001","Corydon","CS","John Hunt Morgan","http://dbpedia.org/resource/John_Hunt_Morgan","Brigadier General"
"IN001","Corydon","US","Lewis Jordan","NA","Brevet Colonel"
"KS001","Lawrence","CS","William C. Quantrill","http://dbpedia.org/resource/William_Quantrill","Lieutenant Colonel"
"KS002","Baxter Springs","US","James B. Pond","http://dbpedia.org/resource/James_Pond_(Medal_of_Honor)","Lieutenant"
"KS002","Baxter Springs","US","James G. Blunt","http://dbpedia.org/resource/James_G._Blunt","Major General"
"KS002","Baxter Springs","CS","William C. Quantrill","http://dbpedia.org/resource/William_Quantrill","Lieutenant Colonel"
"KS003","Mine Creek","US","Alfred Pleasonton","http://dbpedia.org/resource/Alfred_Pleasonton","General"
"KS003","Mine Creek","CS","James F. Fagan","http://dbpedia.org/resource/James_Fleming_Fagan","Major General"
"KS003","Mine Creek","CS","John S. Marmaduke","http://dbpedia.org/resource/John_S._Marmaduke","Brigadier General"
"KS004","Marais des Cygnes","US","Alfred Pleasonton","http://dbpedia.org/resource/Alfred_Pleasonton","Major General"
"KS004","Marais des Cygnes","CS","James F. Fagan","http://dbpedia.org/resource/James_Fleming_Fagan","Major General"
"KS004","Marais des Cygnes","CS","John S. Marmaduke","http://dbpedia.org/resource/John_S._Marmaduke","Major General"
"KY001","Barbourville","US","Isaac J. Black","NA","Captain"
"KY001","Barbourville","CS","Joel A. Battle","NA","Colonel"
"KY002","Camp Wildcat","US","Albin F. Schoepf","http://dbpedia.org/resource/Albin_Francisco_Schoepf","Brigadier General"
"KY002","Camp Wildcat","CS","Felix Zollicoffer","http://dbpedia.org/resource/Felix_Zollicoffer","Brigadier General"
"KY003","Ivy Mountain","CS","John S. Williams","http://dbpedia.org/resource/John_Stuart_Williams","Colonel"
"KY003","Ivy Mountain","US","Joshua W. Sill","http://dbpedia.org/resource/Joshua_W._Sill","Colonel"
"KY003","Ivy Mountain","US","William Nelson","http://dbpedia.org/resource/William_%22Bull%22_Nelson","Brigadier General"
"KY004","Rowletts Station","US","August Willich","http://dbpedia.org/resource/August_Willich","Colonel"
"KY004","Rowletts Station","CS","Thomas C. Hindman","http://dbpedia.org/resource/Thomas_C._Hindman","Brigadier General"
"KY005","Middle Creek","CS","Humphrey Marshall","http://dbpedia.org/resource/Humphrey_Marshall_(general)","Brigadier General"
"KY005","Middle Creek","US","James Garfield","http://dbpedia.org/resource/James_A._Garfield","Colonel"
"KY006","Mill Springs","CS","George B. Crittenden","http://dbpedia.org/resource/George_B._Crittenden","Major General"
"KY006","Mill Springs","US","George H. Thomas","http://dbpedia.org/resource/George_Henry_Thomas","Brigadier General"
"KY007","Richmond","CS","E. Kirby Smith","http://dbpedia.org/resource/Edmund_Kirby_Smith","Major General"
"KY007","Richmond","US","William Nelson","http://dbpedia.org/resource/William_%22Bull%22_Nelson","Major General"
"KY008","Munfordville","CS","Braxton Bragg","http://dbpedia.org/resource/Braxton_Bragg","General"
"KY008","Munfordville","US","Cyrus L. Dunham","http://dbpedia.org/resource/Cyrus_L._Dunham","Colonel"
"KY008","Munfordville","CS","James R. Chalmers","http://dbpedia.org/resource/James_Ronald_Chalmers","Brigadier General"
"KY008","Munfordville","US","John T. Wilder","http://dbpedia.org/resource/John_T._Wilder","Colonel"
"KY009","Perryville","CS","Braxton Bragg","http://dbpedia.org/resource/Braxton_Bragg","General"
"KY009","Perryville","US","Don Carlos Buell","http://dbpedia.org/resource/Don_Carlos_Buell","Major General"
"KY010","Paducah","US","James W. Shirk","http://dbpedia.org/resource/James_Shirk","Lieutenant Commander"
"KY010","Paducah","CS","Nathan Bedford Forrest","http://dbpedia.org/resource/Nathan_Bedford_Forrest","Major General"
"KY010","Paducah","US","Stephen G. Hicks","http://dbpedia.org/resource/Stephen_G._Hicks","Colonel"
"KY011","Cynthiana","CS","John Hunt Morgan","http://dbpedia.org/resource/John_Hunt_Morgan","Brigadier General"
"KY011","Cynthiana","US","Stephen Gano Burbridge","http://dbpedia.org/resource/Stephen_G._Burbridge","Brigadier General"
"LA001","Forts Jackson and St. Philip","US","David G. Farragut","http://dbpedia.org/resource/David_Farragut","Flag Officer"
"LA001","Forts Jackson and St. Philip","CS","John K. Mitchell","NA","Commander"
"LA001","Forts Jackson and St. Philip","CS","Johnson K. Duncan","http://dbpedia.org/resource/Johnson_K._Duncan","Brigadier General"
"LA002","New Orleans","US","Benjamin Franklin Butler","http://dbpedia.org/resource/Benjamin_Franklin_Butler_(politician)","Major General"
"LA002","New Orleans","US","David G. Farragut","http://dbpedia.org/resource/David_Farragut","Flag Officer"
"LA002","New Orleans","CS","Mansfield Lovell","http://dbpedia.org/resource/Mansfield_Lovell","Major General"
"LA003","Baton Rouge","CS","John C. Breckinridge","http://dbpedia.org/resource/John_C._Breckinridge","Major General"
"LA003","Baton Rouge","US","Thomas Williams","http://dbpedia.org/resource/Thomas_Williams_(general)","Brigadier General"
"LA004","Donaldsonville","US","David G. Farragut","http://dbpedia.org/resource/David_Farragut","Rear Admiral"
"LA004","Donaldsonville","CS","Phillippe Landry","NA","Captain"
"LA005","Georgia Landing","CS","Alfred Mouton","http://dbpedia.org/resource/Alfred_Mouton","Brigadier General"
"LA005","Georgia Landing","US","Godfrey Weitzel","http://dbpedia.org/resource/Godfrey_Weitzel","Brigadier General"
"LA006","Fort Bisland","US","Nathaniel P. Banks","http://dbpedia.org/resource/Nathaniel_P._Banks","Major General"
"LA006","Fort Bisland","CS","Richard Taylor","http://dbpedia.org/resource/Richard_Taylor_(general)","Major General"
"LA007","Irish Bend","US","Cuvier Grover","http://dbpedia.org/resource/Cuvier_Grover","Brigadier General"
"LA007","Irish Bend","CS","Richard Taylor","http://dbpedia.org/resource/Richard_Taylor_(general)","Major General"
"LA008","Vermillion Bayou","US","Cuvier Grover","http://dbpedia.org/resource/Cuvier_Grover","Brigadier General"
"LA008","Vermillion Bayou","CS","Richard Taylor","http://dbpedia.org/resource/Richard_Taylor_(general)","Major General"
"LA009","Plains Store","US","Christopher C. Augur","http://dbpedia.org/resource/Christopher_C._Augur","Major General"
"LA009","Plains Store","CS","Frank P. Powers","NA","Colonel"
"LA009","Plains Store","CS","William R. Miles","NA","Colonel"
"LA010","Port Hudson","CS","Franklin Gardner","http://dbpedia.org/resource/Franklin_Gardner","Major General"
"LA010","Port Hudson","US","Nathaniel P. Banks","http://dbpedia.org/resource/Nathaniel_P._Banks","Major General"
"LA011","Millikens Bend","CS","Henry E. McCulloch","http://dbpedia.org/resource/Henry_Eustace_McCulloch","Brigadier General"
"LA011","Millikens Bend","US","Hermann Lieb","http://dbpedia.org/resource/Hermann_Lieb","Colonel"
"LA012","LaFourche Crossing","US","Albert Stickney","NA","Lieutenant Colonel"
"LA012","LaFourche Crossing","CS","James P. Major","http://dbpedia.org/resource/James_Patrick_Major","Colonel"
"LA013","Donaldsonville","US","Joseph D. Bullen","NA","Major"
"LA013","Donaldsonville","CS","Tom Green","http://dbpedia.org/resource/Thomas_Green_(general)","Brigadier General"
"LA014","Goodrichs Landing","US","Alfred W. Ellet","http://dbpedia.org/resource/Alfred_W._Ellet","Brigadier General"
"LA014","Goodrichs Landing","CS","William H. Parsons","NA","Colonel"
"LA015","Kocks Plantation","US","Cuvier Grover","http://dbpedia.org/resource/Cuvier_Grover","Brigadier General"
"LA015","Kocks Plantation","US","Godfrey Weitzel","http://dbpedia.org/resource/Godfrey_Weitzel","Brigadier General"
"LA015","Kocks Plantation","CS","Tom Green","http://dbpedia.org/resource/Thomas_Green_(general)","Brigadier General"
"LA016","Stirlings Plantation","US","Napoleon J.T. Dana","http://dbpedia.org/resource/Napoleon_J._T._Dana","Major General"
"LA016","Stirlings Plantation","CS","Tom Green","http://dbpedia.org/resource/Thomas_Green_(general)","Brigadier General"
"LA017","Fort DeRussy","US","A.J. Smith","http://dbpedia.org/resource/Andrew_Jackson_Smith","Brigadier General"
"LA017","Fort DeRussy","US","Joseph A. Mower","http://dbpedia.org/resource/Joseph_A._Mower","Brigadier General"
"LA017","Fort DeRussy","CS","William Byrd","NA","Lieutenant Colonel"
"LA018","Mansfield","US","Nathaniel P. Banks","http://dbpedia.org/resource/Nathaniel_P._Banks","Major General"
"LA018","Mansfield","CS","Richard Taylor","http://dbpedia.org/resource/Richard_Taylor_(general)","Major General"
"LA019","Pleasant Hill","US","Nathaniel P. Banks","http://dbpedia.org/resource/Nathaniel_P._Banks","Major General"
"LA019","Pleasant Hill","CS","Richard Taylor","http://dbpedia.org/resource/Richard_Taylor_(general)","Major General"
"LA020","Blairs Landing","US","David D. Porter","http://dbpedia.org/resource/David_Dixon_Porter","Rear Admiral"
"LA020","Blairs Landing","US","Thomas Kilby Smith","http://dbpedia.org/resource/Thomas_Kilby_Smith","Brigadier General"
"LA020","Blairs Landing","CS","Tom Green","http://dbpedia.org/resource/Thomas_Green_(general)","Brigadier General"
"LA021","Monetts Ferry","CS","Hamilton P. Bee","http://dbpedia.org/resource/Hamilton_P._Bee","Brigadier General"
"LA021","Monetts Ferry","US","Nathaniel P. Banks","http://dbpedia.org/resource/Nathaniel_P._Banks","Major General"
"LA022","Mansura","US","Nathaniel P. Banks","http://dbpedia.org/resource/Nathaniel_P._Banks","Major General"
"LA022","Mansura","CS","Richard Taylor","http://dbpedia.org/resource/Richard_Taylor_(general)","Major General"
"LA023","Yellow Bayou","US","Joseph A. Mower","http://dbpedia.org/resource/Joseph_A._Mower","Brigadier General"
"LA023","Yellow Bayou","CS","Richard Taylor","http://dbpedia.org/resource/Richard_Taylor_(general)","Major General"
"MD001","Hancock","US","F.W. Lander","http://dbpedia.org/resource/Frederick_W._Lander","Brigadier General"
"MD001","Hancock","CS","Thomas J. Jackson","http://dbpedia.org/resource/Stonewall_Jackson","Major General"
"MD002","South Mountain","US","George B. McClellan","http://dbpedia.org/resource/George_B._McClellan","Major General"
"MD002","South Mountain","CS","Robert E. Lee","http://dbpedia.org/resource/Robert_E._Lee","General"
"MD003","Antietam","US","George B. McClellan","http://dbpedia.org/resource/George_B._McClellan","Major General"
"MD003","Antietam","CS","Robert E. Lee","http://dbpedia.org/resource/Robert_E._Lee","General"
"MD004","Williamsport","US","George G. Meade","http://dbpedia.org/resource/George_Meade","Major General"
"MD004","Williamsport","CS","Robert E. Lee","http://dbpedia.org/resource/Robert_E._Lee","General"
"MD006","Boonsboro","US","Alfred Pleasonton","http://dbpedia.org/resource/Alfred_Pleasonton","Major General"
"MD006","Boonsboro","CS","J.E.B. Stuart","http://dbpedia.org/resource/J.E.B._Stuart","Major General"
"MD007","Monocacy","CS","Jubal A. Early","http://dbpedia.org/resource/Jubal_Early","Lieutenant General"
"MD007","Monocacy","US","Lew Wallace","http://dbpedia.org/resource/Lew_Wallace","Major General"
"MD008","Folcks Mill","US","Benjamin F. Kelly","http://dbpedia.org/resource/Benjamin_Franklin_Kelley","Brigadier General"
"MD008","Folcks Mill","CS","John McCausland","http://dbpedia.org/resource/John_McCausland","Brigadier General"
"MN001","Fort Ridgely","I","Little Crow","http://dbpedia.org/resource/Little_Crow","Chief"
"MN001","Fort Ridgely","US","Timothy J. Sheehan","NA","First Lieutenant"
"MN002","Wood Lake","US","Henry Hastings Sibley","http://dbpedia.org/resource/Henry_Hastings_Sibley","Colonel"
"MN002","Wood Lake","I","Little Crow","http://dbpedia.org/resource/Little_Crow","Chief"
"MO001","Boonville","CS","John S. Marmaduke","http://dbpedia.org/resource/John_S._Marmaduke","Colonel"
"MO001","Boonville","US","Nathaniel Lyon","http://dbpedia.org/resource/Nathaniel_Lyon","Brigadier General"
"MO002","Carthage","US","Franz Sigel","http://dbpedia.org/resource/Franz_Sigel","Colonel"
"MO003","Liberty","US","John Scott","NA","Lieutenant Colonel"
"MO004","Wilsons Creek","US","Nathaniel Lyon","http://dbpedia.org/resource/Nathaniel_Lyon","Brigadier General"
"MO004","Wilsons Creek","US","Samuel D. Sturgis","http://dbpedia.org/resource/Samuel_D._Sturgis","Major General"
"MO005","Dry Wood Creek","US","J.H. Lane","http://dbpedia.org/resource/James_Henry_Lane_(Indiana_and_Kansas)","Colonel"
"MO005","Dry Wood Creek","CS","James S. Rains","http://dbpedia.org/resource/James_S._Rains","Brigadier General"
"MO005","Dry Wood Creek","CS","Sterling Price","http://dbpedia.org/resource/Sterling_Price","Major General"
"MO006","Lexington","US","James A. Mulligan","http://dbpedia.org/resource/James_A._Mulligan","Colonel"
"MO006","Lexington","CS","Sterling Price","http://dbpedia.org/resource/Sterling_Price","Major General"
"MO007","Fredericktown","US","J.B. Plummer","http://dbpedia.org/resource/Joseph_B._Plummer","Colonel"
"MO007","Fredericktown","CS","M. Jeff Thompson","http://dbpedia.org/resource/M._Jeff_Thompson","Brigadier General"
"MO007","Fredericktown","US","William P. Carlin","http://dbpedia.org/resource/William_Carlin","Colonel"
"MO008","Springfield","CS","James Frazier","NA","Colonel"
"MO008","Springfield","US","James Zagonyi","http://dbpedia.org/resource/Charles_Zagonyi","Major"
"MO009","Belmont","CS","Gideon J. Pillow","http://dbpedia.org/resource/Gideon_Johnson_Pillow","Brigadier General"
"MO009","Belmont","US","Ulysses S. Grant","http://dbpedia.org/resource/Ulysses_S._Grant","Brigadier General"
"MO010","Mount Zion Church","US","Benjamin M. Prentiss","http://dbpedia.org/resource/Benjamin_Prentiss","Brigadier General"
"MO010","Mount Zion Church","CS","Caleb Dorsey","NA","Colonel"
"MO011","Roan's Tan Yard","CS","J.A. Poindexter","http://dbpedia.org/resource/John_A._Poindexter","Colonel"
"MO011","Roan's Tan Yard","US","W.M.G. Torrence","NA","Major"
"MO012","New Madrid/Island No. 10","US","Andrew H. Foote","http://dbpedia.org/resource/Andrew_Hull_Foote","Flag Officer"
"MO012","New Madrid/Island No. 10","CS","John P. McCown","http://dbpedia.org/resource/John_P._McCown","Brigadier General"
"MO012","New Madrid/Island No. 10","US","John Pope","http://dbpedia.org/resource/John_Pope_(military_officer)","Brigadier General"
"MO012","New Madrid/Island No. 10","CS","William W. Mackall","http://dbpedia.org/resource/William_W._Mackall","Brigadier General"
"MO013","Kirksville","US","John McNeil","http://dbpedia.org/resource/John_McNeil","Colonel"
"MO013","Kirksville","CS","Joseph C. Porter","http://dbpedia.org/resource/Joseph_C._Porter","Colonel"
"MO014","Independence","CS","G.W. Thompson","NA","Colonel"
"MO014","Independence","CS","J.T. Hughes","http://dbpedia.org/resource/John_T._Hughes","Colonel"
"MO014","Independence","US","James T. Buel","NA","Lieutenant Colonel"
"MO015","Lone Jack","US","Emory S. Foster","http://dbpedia.org/resource/Emory_S._Foster","Major"
"MO015","Lone Jack","CS","G.W. Thompson","NA","Colonel"
"MO015","Lone Jack","CS","Jeremiah Vard Cockrell","http://dbpedia.org/resource/Jeremiah_V._Cockrell","Colonel"
"MO015","Lone Jack","CS","Upton Hays","http://dbpedia.org/resource/Upton_Hays","Colonel"
"MO016","Newtonia","CS","Douglas H. Cooper","http://dbpedia.org/resource/Douglas_H._Cooper","Colonel"
"MO016","Newtonia","US","Friedrich Salomon","http://dbpedia.org/resource/Frederick_C._Salomon","Brigadier General"
"MO017","Clarks Mill","CS","Colton Greene","http://dbpedia.org/resource/Colton_Greene","Colonel"
"MO017","Clarks Mill","US","Hiram E. Barstow","NA","Captain"
"MO017","Clarks Mill","CS","John Q. Burbridge","NA","Colonel"
"MO018","Springfield","US","Egbert B. Brown","http://dbpedia.org/resource/Egbert_B._Brown","Brigadier General"
"MO018","Springfield","CS","John S. Marmaduke","http://dbpedia.org/resource/John_S._Marmaduke","Brigadier General"
"MO019","Hartville","CS","John S. Marmaduke","http://dbpedia.org/resource/John_S._Marmaduke","Brigadier General"
"MO019","Hartville","US","Samuel Merrill","http://dbpedia.org/resource/Samuel_Merrill_(Iowa)","Colonel"
"MO020","Cape Girardeau","US","John McNeil","http://dbpedia.org/resource/John_McNeil","Brigadier General"
"MO020","Cape Girardeau","CS","John S. Marmaduke","http://dbpedia.org/resource/John_S._Marmaduke","Brigadier General"
"MO021","Fort Davidson","CS","Sterling Price","http://dbpedia.org/resource/Sterling_Price","Major General"
"MO021","Fort Davidson","US","Thomas Ewing Jr.","http://dbpedia.org/resource/Thomas_Ewing,_Jr.","Brigadier General"
"MO022","Glasgow","US","Chester Harding","NA","Colonel"
"MO022","Glasgow","CS","John B. Clark","http://dbpedia.org/resource/John_Bullock_Clark,_Jr.","Brigadier General"
"MO022","Glasgow","CS","Joseph Shelby","http://dbpedia.org/resource/Joseph_O._Shelby","Brigadier General"
"MO023","Lexington","US","James G. Blunt","http://dbpedia.org/resource/James_G._Blunt","Major General"
"MO023","Lexington","CS","Sterling Price","http://dbpedia.org/resource/Sterling_Price","Major General"
"MO024","Little Blue River","US","Samuel R. Curtis","http://dbpedia.org/resource/Samuel_Ryan_Curtis","Major General"
"MO024","Little Blue River","CS","Sterling Price","http://dbpedia.org/resource/Sterling_Price","Major General"
"MO025","Independence","US","Alfred Pleasonton","http://dbpedia.org/resource/Alfred_Pleasonton","Major General"
"MO025","Independence","CS","James F. Fagan","http://dbpedia.org/resource/James_Fleming_Fagan","Brigadier General"
"MO025","Independence","CS","John S. Marmaduke","http://dbpedia.org/resource/John_S._Marmaduke","Brigadier General"
"MO026","Byrams Ford","US","Alfred Pleasonton","http://dbpedia.org/resource/Alfred_Pleasonton","Major General"
"MO026","Byrams Ford","US","James G. Blunt","http://dbpedia.org/resource/James_G._Blunt","Major General"
"MO026","Byrams Ford","CS","John S. Marmaduke","http://dbpedia.org/resource/John_S._Marmaduke","Brigadier General"
"MO026","Byrams Ford","CS","Joseph Shelby","http://dbpedia.org/resource/Joseph_O._Shelby","Brigadier General"
"MO027","Westport","US","Samuel R. Curtis","http://dbpedia.org/resource/Samuel_Ryan_Curtis","Major General"
"MO027","Westport","CS","Sterling Price","http://dbpedia.org/resource/Sterling_Price","Major General"
"MO028","Marmiton River","US","John McNeil","http://dbpedia.org/resource/John_McNeil","Brigadier General"
"MO028","Marmiton River","CS","Sterling Price","http://dbpedia.org/resource/Sterling_Price","Major General"
"MO029","Newtonia","US","James G. Blunt","http://dbpedia.org/resource/James_G._Blunt","Major General"
"MO029","Newtonia","CS","Sterling Price","http://dbpedia.org/resource/Sterling_Price","Major General"
"MS001","Iuka","CS","Sterling Price","http://dbpedia.org/resource/Sterling_Price","Major General"
"MS001","Iuka","US","William S. Rosecrans","http://dbpedia.org/resource/William_Rosecrans","Major General"
"MS002","Corinth","CS","Earl Van Dorn","http://dbpedia.org/resource/Earl_Van_Dorn","Major General"
"MS002","Corinth","US","William S. Rosecrans","http://dbpedia.org/resource/William_Rosecrans","Major General"
"MS003","Chickasaw Bayou","CS","John C. Pemberton","http://dbpedia.org/resource/John_C._Pemberton","Lieutenant General"
"MS003","Chickasaw Bayou","US","William T. Sherman","http://dbpedia.org/resource/William_Tecumseh_Sherman","Major General"
"MS004","Grand Gulf","US","David D. Porter","http://dbpedia.org/resource/David_Dixon_Porter","Rear Admiral"
"MS004","Grand Gulf","CS","John S. Bowen","http://dbpedia.org/resource/John_S._Bowen","Brigadier General"
"MS005","Snyders Bluff","CS","Louis Hébert","http://dbpedia.org/resource/Louis_H%C3%A9bert_(Confederate_Army_officer)","Brigadier General"
"MS005","Snyders Bluff","US","William T. Sherman","http://dbpedia.org/resource/William_Tecumseh_Sherman","Major General"
"MS006","Port Gibson","CS","John S. Bowen","http://dbpedia.org/resource/John_S._Bowen","Brigadier General"
"MS006","Port Gibson","US","Ulysses S. Grant","http://dbpedia.org/resource/Ulysses_S._Grant","Major General"
"MS007","Raymond","US","James B. McPherson","http://dbpedia.org/resource/James_B._McPherson","Major General"
"MS007","Raymond","CS","John Gregg","http://dbpedia.org/resource/John_Gregg_(CSA)","Brigadier General"
"MS008","Jackson","CS","John Gregg","http://dbpedia.org/resource/John_Gregg_(CSA)","Brigadier General"
"MS008","Jackson","CS","Joseph E. Johnston","http://dbpedia.org/resource/Joseph_E._Johnston","General"
"MS008","Jackson","US","Ulysses S. Grant","http://dbpedia.org/resource/Ulysses_S._Grant","Major General"
"MS009","Champion Hill","CS","John C. Pemberton","http://dbpedia.org/resource/John_C._Pemberton","Lieutenant General"
"MS009","Champion Hill","US","Ulysses S. Grant","http://dbpedia.org/resource/Ulysses_S._Grant","Major General"
"MS010","Big Black River Bridge","US","John A. McClernand","http://dbpedia.org/resource/John_Alexander_McClernand","Major General"
"MS010","Big Black River Bridge","CS","John S. Bowen","http://dbpedia.org/resource/John_S._Bowen","Brigadier General"
"MS011","Vicksburg","CS","John C. Pemberton","http://dbpedia.org/resource/John_C._Pemberton","Lieutenant General"
"MS011","Vicksburg","US","Ulysses S. Grant","http://dbpedia.org/resource/Ulysses_S._Grant","Major General"
"MS012","Meridian","CS","Leonidas Polk","http://dbpedia.org/resource/Leonidas_Polk","Lieutenant General"
"MS012","Meridian","US","William T. Sherman","http://dbpedia.org/resource/William_Tecumseh_Sherman","Major General"
"MS013","Okolona","CS","Nathan Bedford Forrest","http://dbpedia.org/resource/Nathan_Bedford_Forrest","Major General"
"MS013","Okolona","US","William Sooy Smith","http://dbpedia.org/resource/William_Sooy_Smith","Brigadier General"
"MS014","Brice's Cross Roads","CS","Nathan Bedford Forrest","http://dbpedia.org/resource/Nathan_Bedford_Forrest","Major General"
"MS014","Brice's Cross Roads","US","Samuel D. Sturgis","http://dbpedia.org/resource/Samuel_D._Sturgis","Brigadier General"
"MS015","Tupelo","US","A.J. Smith","http://dbpedia.org/resource/Andrew_Jackson_Smith","Major General"
"MS015","Tupelo","CS","Nathan Bedford Forrest","http://dbpedia.org/resource/Nathan_Bedford_Forrest","Major General"
"MS015","Tupelo","CS","Stephen D. Lee","http://dbpedia.org/resource/Stephen_D._Lee","Lieutenant General"
"MS016","Corinth","US","Henry W. Halleck","http://dbpedia.org/resource/Henry_Halleck","Major General"
"MS016","Corinth","CS","P.G.T. Beauregard","http://dbpedia.org/resource/P._G._T._Beauregard","General"
"NC001","Hatteras Inlet Batteries","US","Benjamin Butler","http://dbpedia.org/resource/Benjamin_Franklin_Butler_(politician)","Major General"
"NC001","Hatteras Inlet Batteries","CS","William F. Martin","http://dbpedia.org/resource/William_F._Martin","Colonel"
"NC002","Roanoke Island","US","Ambrose E. Burnside","http://dbpedia.org/resource/Ambrose_Burnside","Brigadier General"
"NC002","Roanoke Island","CS","Henry Wise","http://dbpedia.org/resource/Henry_A._Wise","Brigadier General"
"NC003","New Berne","US","Ambrose E. Burnside","http://dbpedia.org/resource/Ambrose_Burnside","Brigadier General"
"NC004","Fort Macon","US","John G. Parke","http://dbpedia.org/resource/John_Parke","Brigadier General"
"NC004","Fort Macon","CS","Moses J. White","NA","Lieutenant Colonel"
"NC005","South Mills","CS","Ambrose Wright","http://dbpedia.org/resource/Ambrose_R._Wright","Colonel"
"NC005","South Mills","US","Jesse Lee Reno","http://dbpedia.org/resource/Jesse_L._Reno","Brigadier General"
"NC006","Tranters Creek","US","F.A. Osborne","NA","Lieutenant Colonel"
"NC006","Tranters Creek","CS","George Singletary","NA","Colonel"
"NC007","Kinston","US","John G. Foster","http://dbpedia.org/resource/John_G._Foster","Brigadier General"
"NC007","Kinston","CS","Nathan Evans","http://dbpedia.org/resource/Nathan_George_Evans","Brigadier General"
"NC008","White Hall","CS","Beverly Robertson","http://dbpedia.org/resource/Beverly_Robertson","Brigadier General"
"NC008","White Hall","US","John G. Foster","http://dbpedia.org/resource/John_G._Foster","Brigadier General"
"NC009","Goldsborough Bridge","US","John G. Foster","http://dbpedia.org/resource/John_G._Foster","Brigadier General"
"NC009","Goldsborough Bridge","CS","Thomas Clingman","http://dbpedia.org/resource/Thomas_Lanier_Clingman","Brigadier General"
"NC010","Fort Anderson","CS","D.H. Hill","http://dbpedia.org/resource/Daniel_Harvey_Hill","Major General"
"NC010","Fort Anderson","US","Hiram Anderson","NA","Lieutenant Colonel"
"NC011","Washington","CS","D.H. Hill","http://dbpedia.org/resource/Daniel_Harvey_Hill","Major General"
"NC011","Washington","US","John G. Foster","http://dbpedia.org/resource/John_G._Foster","Brigadier General"
"NC012","Plymouth","US","Henry W. Wessells","NA","Colonel"
"NC012","Plymouth","CS","Robert Hoke","http://dbpedia.org/resource/Robert_Hoke","Major General"
"NC013","Albemarle Sound","CS","J.W. Cooke","http://dbpedia.org/resource/James_W._Cooke","Commander"
"NC013","Albemarle Sound","US","Melancton Smith","http://dbpedia.org/resource/Melancton_Smith_(1810%E2%80%931893)","Captain (Naval)"
"NC014","Fort Fisher","US","Benjamin Butler","http://dbpedia.org/resource/Benjamin_Franklin_Butler_(politician)","Major General"
"NC014","Fort Fisher","US","David D. Porter","http://dbpedia.org/resource/David_Dixon_Porter","Rear Admiral"
"NC014","Fort Fisher","CS","Robert Hoke","http://dbpedia.org/resource/Robert_Hoke","Major General"
"NC015","Fort Fisher","US","Alfred Terry","http://dbpedia.org/resource/Alfred_Terry","Major General"
