"id_from","id_to","relation"
"SC006","http://dbpedia.org/resource/Battle_of_Grimball's_Landing","="
"SC007","http://dbpedia.org/resource/Second_Battle_of_Fort_Wagner","="
"SC008","http://dbpedia.org/resource/Second_Battle_of_Charleston_Harbor","="
"SC009","http://dbpedia.org/resource/Second_Battle_of_Fort_Sumter","="
"SC010","http://dbpedia.org/resource/Battle_of_Honey_Hill","="
"SC011","http://dbpedia.org/resource/Battle_of_Rivers'_Bridge","="
"TN001","http://dbpedia.org/resource/Battle_of_Fort_Henry","="
"TN002","http://dbpedia.org/resource/Battle_of_Fort_Donelson","="
"TN003","http://dbpedia.org/resource/Battle_of_Shiloh","="
"TN004","http://dbpedia.org/resource/Battle_of_Memphis","="
"TN005","http://dbpedia.org/resource/First_Battle_of_Chattanooga","="
"TN006","http://dbpedia.org/resource/First_Battle_of_Murfreesboro","="
"TN007","http://dbpedia.org/resource/Battle_of_Hatchie's_Bridge","="
"TN008","http://dbpedia.org/resource/Battle_of_Hartsville","="
"TN009","http://dbpedia.org/resource/Battle_of_Jackson,_Tennessee","="
"TN010","http://dbpedia.org/resource/Battle_of_Stones_River","="
"TN011","http://dbpedia.org/resource/Battle_of_Parker's_Cross_Roads","="
"TN012","http://dbpedia.org/resource/Battle_of_Dover_(1863)","="
"TN013","http://dbpedia.org/resource/Battle_of_Thompson's_Station","="
"TN014","http://dbpedia.org/resource/Battle_of_Vaught's_Hill","="
"TN015","http://dbpedia.org/resource/Battle_of_Brentwood","="
"TN016","http://dbpedia.org/resource/Battle_of_Franklin_(1863)","="
"TN017","http://dbpedia.org/resource/Battle_of_Hoover's_Gap","="
"TN018","http://dbpedia.org/resource/Second_Battle_of_Chattanooga","="
"TN019","http://dbpedia.org/resource/Battle_of_Blountville","="
"TN020","http://dbpedia.org/resource/Battle_of_Blue_Springs","="
"TN021","http://dbpedia.org/resource/Battle_of_Wauhatchie","="
"TN022","http://dbpedia.org/resource/Battle_of_Collierville","="
"TN023","http://dbpedia.org/resource/Battle_of_Campbell's_Station","="
"TN024","http://dbpedia.org/resource/Chattanooga_Campaign","="
"TN024","http://dbpedia.org/resource/Battle_of_Lookout_Mountain",">"
"TN024","http://dbpedia.org/resource/Battle_of_Missionary_Ridge",">"
"TN025","http://dbpedia.org/resource/Battle_of_Fort_Sanders","="
"TN026","http://dbpedia.org/resource/Battle_of_Bean's_Station","="
