"battle","belligerent","strength","infantry","cavalry","crewmen","corps","cavalry_corps","divisions","cavalry_divisions","brigades","companies","frigates","gunboats","ironclads","sloops","steamers","warships_and_transports","warships","wooden_warships","guns","casualties","captured","killed","wounded","missing","killed_wounded","killed_missing","captured_missing","wounded_missing","guns_lost","guns_captured","small_arms_lost","small_arms_captured","warships_sunk","warships_damaged","gunboats_sunk","gunboats_captured","ironclads_sunk","ironclads_captured","forts_captured","note","strength_mean","strength_var"
"Williamsburg (Fort Magruder)","union",40768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,468,1442,373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",40768,NA
"Williamsburg (Fort Magruder)","confed",31823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,288,975,297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",31823,NA
"Hanover Court House","union",6000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,223,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",6000,NA
"Hanover Court House","confed",3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,730,NA,NA,NA,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",3000,NA
"Fair Oaks (Seven Pines)","union",41797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,347,790,3594,647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",41797,NA
"Fair Oaks (Seven Pines)","confed",41816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,980,4749,405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",41816,NA
"Seven Days Battles","union",91169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1734,8062,NA,NA,NA,6053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",91169,NA
"Seven Days Battles","confed",3478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16261,NA,NA,NA,875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",3478,NA
"The Orchard (Seven Days)","union",6000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,401,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",6000,NA
"The Orchard (Seven Days)","confed",6000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,263,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",6000,NA
