battle,belligerent,strength,infantry,cavalry,crewmen,corps,cavalry corps,divisions,cavalry divisions,brigades,companies,frigates,gunboats,ironclads,sloops,steamers,warships and transports,warships,wooden warships,guns,casualties,captured,killed,wounded,missing,killed_wounded,killed_missing,captured_missing,wounded_missing,guns lost,guns captured,small arms lost,small arms captured,warships sunk,warships damaged,gunboats sunk,gunboats captured,ironclads sunk,ironclads captured,forts captured,note
Fort Davidson (Pilot Knob),union,1000,,,,,,,,,,,,,,,,,,,,,28,59,100,,,,,,,,,,,,,,,,
Fort Davidson (Pilot Knob),confed,12000,,,,,,,,,,,,,,,,,,,1500,,,,,,,,,,,,,,,,,,,,
Westport,union,20000,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,
Westport,confed,9000,,,,,,,,,,,,,,,,,,,492,,,,,,,,,,,,,,,,,,,,
Mine Creek,union,2600,,,,,,,,,,,,,,,,,,,,,15,94,,,,,,,,,,,,,,,,,
Mine Creek,confed,6500,,,,,,,,,,,,,,,,,,,,560,300,250,,,,,,,,,,,,,,,,,
Fort Pillow,union,557,,,,,,,,,,,,,,,,,,,,226,221,,,,,,,,,,,,,,,,,,
Fort Pillow,confed,1500,,,,,,,,,,,,,,,,,,,,,14,86,,,,,,,,,,,,,,,,,
Brice's Crossroads,union,8300,,,,,,,,,,,,,,,,,,22,,1623,223,394,,,,,,18,,,,,,,,,,,
Brice's Crossroads,confed,4800,,,,,,,,,,,,,,,,,,8,,,96,396,,,,,,,,,,,,,,,,,
Tupelo,union,14200,,,,,,,,,,,,,,,,,,,,,77,559,38,,,,,,,,,,,,,,,,
Tupelo,confed,6600,,,,,,,,,,,,,,,,,,,,,210,1116,,,,,,,,,,,,,,,,,
Selma,union,12500,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,
Selma,confed,7000,,,,,,,,,,,,,,,,,,,4000,,,,,,,,,,,,,,,,,,,,
New Hope Church,union,,,,,1,,,,,,,,,,,,,,,1665,,,,,,,,,,,,,,,,,,,,
New Hope Church,confed,,,,,1,,,,,,,,,,,,,,,800,,,,,,,,,,,,,,,,,,,,
Kennesaw Mountain,union,16000,,,,,,,,,,,,,,,,,,,2500,,,,,,,,,,,,,,,,,,,,
Kennesaw Mountain,confed,17700,,,,,,,,,,,,,,,,,,,552,,,,,,,,,,,,,,,,,,,,
Peachtree Creek,union,20139,,,,,,,,,,,,,,,,,,,1600,,,,,,,,,,,,,,,,,,,,
Peachtree Creek,confed,18832,,,,,,,,,,,,,,,,,,,2500,,,,,,,,,,,,,,,,,,,,
Atlanta,union,30477,,,,,,,,,,,,,,,,,,,,,500,2141,1081,,,,,,,,,,,,,,,,
Atlanta,confed,36934,,,,,,,,,,,,,,,,,,,8000,,,,,,,,,,,,,,,,,,,,
Ezra Church,union,25000,,,,,,,,,,,,,,,,,,,632,,,,,,,,,,,,,,,,,,,,
Ezra Church,confed,12000,,,,,,,,,,,,,,,,,,,2500,,,,,,,,,,,,,,,,,,,,
Jonesboro,union,60000,,,,,,,,,,,,,,,,,,,1454,,,,,,,,,,,,,,,,,,,,
Jonesboro,confed,12500,,,,,,,,,,,,,,,,,,,2725,,,,,,,,,,,,,,,,,,,,
Allatoona,union,1944,,,,,,,,,,,,,,,,,,,,,142,352,212,,,,,,,,,,,,,,,,
Allatoona,confed,3000,,,,,,,,,,,,,,,,,,,,,122,443,234,,,,,,,,,,,,,,,,
Franklin,union,27939,,,,,,,,,,,,,,,,,,,,,189,1033,1104,,,,,,,,,,,,,,,,
Franklin,confed,26897,,,,,,,,,,,,,,,,,,,,,1481,3800,702,,,,,,,,,,,,,,,,
Nashville,union,43260,,,,,,,,,,,,,,,,,,,,,387,2562,112,,,,,,,,,,,,,,,,
Nashville,confed,23207,,,,,,,,,,,,,,,,,,,,4462,,,,1500,,,,53,,,,,,,,,,,
Griswoldville,union,1500,,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,,,,,,,,,,
Griswoldville,confed,3000,,,,,,,,,,,,,,,,,,,,,51,472,,,,,,,,,,,,,,,,,
Roanoake Island,union,13000,,,,,,,,,,,,,,,80,,,,,,41,,,,,,242,,,,,,,,,,,,
Roanoake Island,confed,3000,,,,,,,,,,,7,,,,,,,,,2675,24,,,,,,222,32,,,,,,,5,,,,
New Bern,union,11000,,,,,,,,,,,,,,,,,,,,,90,385,1,,,,,,,,,,,,,,,,
New Bern,confed,5000,,,,,,,,,,,,,,,,,,,,,68,116,425,,,,,,,,,,,,,,,,
Hampton Roads (first day),union,,,,,,,,,,,,,,,,,,5,219,,,257,146,,,,,,,,,,2,1,,,,,,
Hampton Roads (first day),confed,,,,350,,,,,,,,,1,,,,,,2,,,,19,,,,,,,,,,,,,,,,,
Hampton Roads (second day),union,,,,58,,,,,,,,,1,,,,,,2,,,,2,,,,,,,,,,,,,,,,,
Hampton Roads (second day),confed,,,,340,,,,,,,,,1,,,,,,10,0,,,,,,,,,,,,,,,,,,,,
Secessionville,union,4500,,,,,,,,,,,,,,,,,,,,,107,487,,,,89,,,,,,,,,,,,,
Secessionville,confed,3100,,,,,,,,,,,,,,,,,,,,,52,144,8,,,,,,,,,,,,,,,,
Hatcher's Run (second),union,35000,,,,,,,,,,,,,,,,,,,,,170,1160,,,,,,,,,,,,,,,,,
Hatcher's Run (second),confed,14000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fort Stedman,union,,,,,1,,,,,,,,,,,,,,,2080,,,,,,,,,,,,,,,,,,,,
Fort Stedman,confed,12000,,,,,,,,,,,,,,,,,,,,1900,,,,2900,,,,,,,,,,,,,,,
Five Forks,union,,16000,12000,,,,,,,,,,,,,,,,,1111,,,,,,,,,,,,,,,,,,,,
Five Forks,confed,19000,,,,,,,,,,,,,,,,,,,,5200,,,,,,,,,,,,,,,,,,,
Petersburg (second assault),union,63299,,,,,,,,,,,,,,,,,,,,,625,3189,326,,,,,,,,,,,,,,,,
Petersburg (second assault),confed,18579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fort Gregg,union,8000,,,,,,,,,,,,,,,,,,,,,122,592,,,,,,,,,,,,,,,,,
Fort Gregg,confed,214,,,,,,,,,,,,,,,,,,,,,55,129,,,,,,,,,,,,,,,,,
Sayler's Creek,union,,,,,1,1,,,,,,,,,,,,,,,,166,,,,,,1014,,,,,,,,,,,,
Sayler's Creek,confed,10000,,,,,,,,,,,,,,,,,,,,6000,,,,2000,,,,,,,,,,,,,,,
Mobile Bay,union,,,,3000,,,,,,,,,4,,,,,14,199,,,172,170,,,,,,,,,,,,,,1,,,
Mobile Bay,confed,,,,470,,,,,,,,3,1,,,,,,91,,243,,,,69,,,,,,,,,,,2,,1,1,
Fort Fisher,union,10000,,,,,,,,,,,,,,,,,,,,,266,1009,57,,,,,,,,,,,,,,,,
Fort Fisher,confed,3000,,,,,,,,,,,,,,,,,,,,2083,,,,500,,,,,,,,,,,,,,,
Kinston,union,15000,,,,,,,,,,,,,,,,,,,,1000,,,,257,,,,,,,,,,,,,,,
Kinston,confed,8500,,,,,,,,,,,,,,,,,,,134,,,,,,,,,,,,,,,,,,,,
Averasboro,union,22000,,,,,,,,,,,,,,,,,,,,,95,533,54,,,,,,,,,,,,,,,,
Averasboro,confed,11000,,,,,,,,,,,,,,,,,,,,,108,,,,,,757,,,,,,,,,,,,
Bentonville,union,31127,,,,,,,,,,,,,,,,,,,,,191,1168,287,,,,,,,,,,,,,,,,
Bentonville,confed,16895,,,,,,,,,,,,,,,,,,,,,228,1467,658,,,,,,,,,,,,,,,,
Valverde,union,3810,,,,,,,,,,,,,,,,,,,,,68,157,35,,,,,,,,,,,,,,,,
Valverde,confed,2515,,,,,,,,,,,,,,,,,,,,,36,150,,,,,,,,,,,,,,,,,
