battle,dbpedia,relation
Fort Stedman,http://dbpedia.org/resource/Battle_of_Fort_Stedman,=
Five Forks,http://dbpedia.org/resource/Battle_of_Five_Forks,=
Petersburg (assault),http://dbpedia.org/resource/Third_Battle_of_Petersburg,<
Fort Gregg,http://dbpedia.org/resource/Third_Battle_of_Petersburg,<
Sayler's Creek,http://dbpedia.org/resource/Battle_of_Sailor%27s_Creek,=
Kernstown,http://dbpedia.org/resource/First_Battle_of_Kernstown,=
McDowell,http://dbpedia.org/resource/Battle_of_McDowell,=
Front Royal,http://dbpedia.org/resource/Battle_of_Front_Royal,=
Winchester,http://dbpedia.org/resource/First_Battle_of_Winchester,=
Cross Keys,http://dbpedia.org/resource/Battle_of_Cross_Keys,=
Port Republic,http://dbpedia.org/resource/Battle_of_Port_Republic,=
Williamsburg (Fort Magruder),http://dbpedia.org/resource/Battle_of_Williamsburg,=
Hanover Court House,http://dbpedia.org/resource/Battle_of_Hanover_Court_House,=
Fair Oaks (Seven Pines),http://dbpedia.org/resource/Battle_of_Seven_Pines,=
Seven Days Battles,http://dbpedia.org/resource/Seven_Days_Battles,=
The Orchard (Seven Days),http://dbpedia.org/resource/Seven_Days_Battles,=
Mechanicsville (Seven Days),http://dbpedia.org/resource/Battle_of_Beaver_Dam_Creek,=
Gaines's Mill (Seven Days),http://dbpedia.org/resource/Battle_of_Gaines%27s_Mill,=
Savage's Station (Seven Days),http://dbpedia.org/resource/Battle_of_Savage%27s_Station,=
White Oak Swamp (Seven Days),http://dbpedia.org/resource/Battle_of_White_Oak_Swamp,=
Malvern Hill (Seven Days),http://dbpedia.org/resource/Battle_of_Malvern_Hill,=
Cedar Mountain,http://dbpedia.org/resource/Battle_of_Cedar_Mountain,=
Groveton,http://dbpedia.org/resource/Second_Battle_of_Bull_Run,<
Second Bull Run/Chantilly (Second Manassas),http://dbpedia.org/resource/Second_Battle_of_Bull_Run,<
South Mountain,http://dbpedia.org/resource/Battle_of_South_Mountain,=
Antietam (Sharpsburg),http://dbpedia.org/resource/Battle_of_Antietam,=
Fredericksburg,http://dbpedia.org/resource/Battle_of_Fredericksburg,=
"Wilson's Creek, August 10, 1861",http://dbpedia.org/resource/Battle_of_Wilson%27s_Creek,=
"Belmont, November 7, 1861",http://dbpedia.org/resource/Battle_of_Belmont,=
Roanoake Island,http://dbpedia.org/resource/Battle_of_Roanoke_Island,=
New Bern,http://dbpedia.org/resource/Battle_of_Roanoke_Island,=
Hampton Roads,http://dbpedia.org/resource/Battle_of_Hampton_Roads,<
Hampton Roads,http://dbpedia.org/resource/Battle_of_Hampton_Roads,<
Secessionville,http://dbpedia.org/resource/Battle_of_James_Island,=
"Rich Mountain/Laurel Mountain, July 11-13, 1861",http://dbpedia.org/resource/Battle_of_Rich_Mountain,=
