person,surname,battle
http://dbpedia.org/resource/Benjamin_Butler_(politician),Butler,http://dbpedia.org/resource/Battle_of_Swift_Creek
http://dbpedia.org/resource/Benjamin_Butler_(politician),Butler,http://dbpedia.org/resource/Battle_of_Ware_Bottom_Church
http://dbpedia.org/resource/Benjamin_Butler_(politician),Butler,http://dbpedia.org/resource/Capture_of_New_Orleans
http://dbpedia.org/resource/Benjamin_Butler_(politician),Butler,http://dbpedia.org/resource/Battle_of_Fair_Oaks_&_Darbytown_Road
http://dbpedia.org/resource/Benjamin_Butler_(politician),Butler,http://dbpedia.org/resource/Wilmington_Campaign
http://dbpedia.org/resource/Benjamin_Butler_(politician),Butler,http://dbpedia.org/resource/First_Battle_of_Fort_Fisher
http://dbpedia.org/resource/Ulric_Dahlgren,Dahlgren,http://dbpedia.org/resource/Battle_of_Walkerton
http://dbpedia.org/resource/Irvin_McDowell,McDowell,http://dbpedia.org/resource/Battle_of_Blackburn's_Ford
http://dbpedia.org/resource/Irvin_McDowell,McDowell,http://dbpedia.org/resource/First_Battle_of_Bull_Run
http://dbpedia.org/resource/Irvin_McDowell,McDowell,http://dbpedia.org/resource/Battle_of_Arlington_Mills
http://dbpedia.org/resource/Irvin_McDowell,McDowell,http://dbpedia.org/resource/Battle_of_Fairfax_Court_House_(June_1861)
http://dbpedia.org/resource/Irvin_McDowell,McDowell,"http://dbpedia.org/resource/Battle_of_Vienna,_Virginia"
http://dbpedia.org/resource/Samuel_Ryan_Curtis,Curtis,http://dbpedia.org/resource/Battle_of_Little_Blue_River
http://dbpedia.org/resource/Samuel_Ryan_Curtis,Curtis,http://dbpedia.org/resource/Battle_of_Whitney's_Lane
http://dbpedia.org/resource/William_W._Averell,Averell,http://dbpedia.org/resource/Battle_of_Cove_Mountain
http://dbpedia.org/resource/William_W._Averell,Averell,http://dbpedia.org/resource/Battle_of_Kelly's_Ford
http://dbpedia.org/resource/William_W._Averell,Averell,http://dbpedia.org/resource/Battle_of_Droop_Mountain
http://dbpedia.org/resource/William_W._Averell,Averell,http://dbpedia.org/resource/Battle_of_Rutherford's_Farm
http://dbpedia.org/resource/William_W._Averell,Averell,http://dbpedia.org/resource/Battle_of_Moorefield
http://dbpedia.org/resource/Andrew_L._Harris,Harris,http://dbpedia.org/resource/Battle_of_Gainesville
http://dbpedia.org/resource/Edmund_Kirby_Smith,Smith,http://dbpedia.org/resource/First_Battle_of_Chattanooga
http://dbpedia.org/resource/Edmund_Kirby_Smith,Smith,http://dbpedia.org/resource/Battle_of_Jenkins'_Ferry
