from,to,relation
Second_Battle_of_Sabine_Pass,TX006,=
Battle_of_Sewell's_Point,VA001,=
Battle_of_Aquia_Creek,VA002,=
Battle_of_Big_Bethel,VA003,=
Battle_of_Blackburn's_Ford,VA004,=
First_Battle_of_Bull_Run,VA005,=
Battle_of_Ball's_Bluff,VA006,=
Battle_of_Dranesville,VA007,=
Battle_of_Hampton_Roads,VA008,=
Siege_of_Yorktown_(1862),VA009,=
Battle_of_Williamsburg,VA010,=
Battle_of_Eltham's_Landing,VA011,=
Battle_of_Drewry's_Bluff,VA012,=
Battle_of_Hanover_Court_House,VA013,=
Battle_of_Seven_Pines,VA014,=
Battle_of_Oak_Grove,VA015,=
Battle_of_Beaver_Dam_Creek,VA016,=
Battle_of_Gaines's_Mill,VA017,=
Battle_of_Garnett's_&_Golding's_Farm,VA018,=
Battle_of_Savage's_Station,VA019,=
Battle_of_Glendale,VA020,=
Battle_of_Malvern_Hill,VA021,=
Battle_of_Cedar_Mountain,VA022,=
First_Battle_of_Rappahannock_Station,VA023,=
Manassas_Station_Operations_(Stonewall_Jackson),VA024,=
Battle_of_Thoroughfare_Gap,VA025,=
Second_Battle_of_Bull_Run,VA026,=
Battle_of_Chantilly,VA027,=
Battle_of_Fredericksburg,VA028,=
Battle_of_Kelly's_Ford,VA029,=
Battle_of_Suffolk_(Norfleet_House),VA030,=
Battle_of_Suffolk_(Hill's_Point),VA031,=
Battle_of_Chancellorsville,VA032,=
Battle_of_Salem_Church,VA033,=
Second_Battle_of_Fredericksburg,VA034,=
Battle_of_Brandy_Station,VA035,=
Battle_of_Aldie,VA036,=
Battle_of_Middleburg,VA037,=
Battle_of_Upperville,VA038,=
First_Battle_of_Auburn,VA039,=
Battle_of_Bristoe_Station,VA040,=
Second_Battle_of_Auburn,VA041,=
Battle_of_Buckland_Mills,VA042,=
Second_Battle_of_Rappahannock_Station,VA043,=
Battle_of_Mine_Run,VA044,=
Battle_of_Morton's_Ford,VA045,=
Battle_of_the_Wilderness,VA046,=
Battle_of_Port_Walthall_Junction,VA047,=
Battle_of_Spotsylvania_Court_House,VA048,=
Battle_of_Cloyd's_Mountain,VA049,=
Battle_of_Swift_Creek,VA050,=
Battle_of_Chester_Station,VA051,=
Battle_of_Yellow_Tavern,VA052,=
Battle_of_Proctor's_Creek,VA053,=
Battle_of_Ware_Bottom_Church,VA054,=
Battle_of_North_Anna,VA055,=
Battle_of_Wilson's_Wharf,VA056,=
Battle_of_Totopotomoy_Creek,VA057,=
Battle_of_Haw's_Shop,VA058,=
Battle_of_Old_Church,VA059,=
Battle_of_Cold_Harbor,VA062,=
Second_Battle_of_Petersburg,VA063,=
Battle_of_Lynchburg,VA064,=
Battle_of_Jerusalem_Plank_Road,VA065,=
Battle_of_Saint_Mary's_Church,VA066,=
Battle_of_Sappony_Church,VA067,=
First_Battle_of_Ream's_Station,VA068,=
First_Battle_of_Deep_Bottom,VA069,=
Battle_of_the_Crater,VA070,=
Second_Battle_of_Deep_Bottom,VA071,=
Battle_of_Globe_Tavern,VA072,=
Second_Battle_of_Ream's_Station,VA073,=
Battle_of_Peebles'_Farm,VA074,=
Battle_of_Chaffin's_Farm,VA075,=
Battle_of_Saltville_I,VA076,=
Battle_of_Darbytown_and_New_Market,VA077,=
Battle_of_Darbytown_Road,VA078,=
Battle_of_Boydton_Plank_Road,VA079,=
Battle_of_Fair_Oaks_&_Darbytown_Road,VA080,=
Battle_of_Marion,VA081,=
Battle_of_Saltville_II,VA082,=
Battle_of_Hatcher's_Run,VA083,=
Battle_of_Fort_Stedman,VA084,=
Battle_of_Lewis's_Farm,VA085,=
Battle_of_Dinwiddie_Court_House,VA086,=
Battle_of_White_Oak_Road,VA087,=
Battle_of_Five_Forks,VA088,=
Third_Battle_of_Petersburg,VA089,=
Battle_of_Sutherland's_Station,VA090,=
Battle_of_Amelia_Springs,VA091,=
Battle_of_Rice's_Station,VA092,=
Battle_of_Sayler's_Creek,VA093,=
Battle_of_Cumberland_Church,VA094,=
Battle_of_High_Bridge,VA095,=
Battle_of_Appomattox_Station,VA096,=
Battle_of_Appomattox_Court_House,VA097,=
First_Battle_of_Petersburg,VA098,=
Battle_of_Trevilian_Station,VA099,=
Battle_of_Cockpit_Point,VA100,=
First_Battle_of_Kernstown,VA101,=
Battle_of_McDowell,VA102,=
Battle_of_Front_Royal,VA103,=
First_Battle_of_Winchester,VA104,=
Battle_of_Cross_Keys,VA105,=
Battle_of_Port_Republic,VA106,=
Second_Battle_of_Winchester,VA107,=
Battle_of_Manassas_Gap,VA108,=
Battle_of_Cove_Mountain,VA109,=
Battle_of_New_Market,VA110,=
Battle_of_Piedmont,VA111,=
Battle_of_Staunton_River_Bridge,VA113,=
Battle_of_Cool_Spring,VA114,=
Battle_of_Rutherford's_Farm,VA115,=
Second_Battle_of_Kernstown,VA116,=
Battle_of_Guard_Hill,VA117,=
Battle_of_Berryville,VA118,=
Battle_of_Opequon,VA119,=
Battle_of_Fisher's_Hill,VA120,=
Battle_of_Tom's_Brook,VA121,=
Battle_of_Cedar_Creek,VA122,=
"Battle_of_Waynesboro,_Virginia",VA123,=
Battle_of_Walkerton,VA125,=
Battle_of_Philippi_(West_Virginia),WV001,=
Battle_of_Hoke's_Run,WV002,=
Battle_of_Rich_Mountain,WV003,=
Battle_of_Kessler's_Cross_Lanes,WV004,=
Battle_of_Cheat_Mountain,WV005,=
Battle_of_Carnifex_Ferry,WV006,=
Battle_of_Greenbrier_River,WV007,=
Battle_of_Camp_Allegheny,WV008,=
Battle_of_Princeton_Court_House,WV009,=
Battle_of_Harpers_Ferry,WV010,=
Battle_of_Droop_Mountain,WV012,=
Battle_of_Moorefield,WV013,=
Battle_of_Summit_Point,WV014,=
Battle_of_Smithfield_Crossing,WV015,=
Battle_of_Shepherdstown,WV016,=
Chattanooga_Campaign,TN024,
Battle_of_Dead_Buffalo_Lake,ND002,
Battle_of_Fort_Ridgely,MN001
Lawrence_Massacre,KS001
Battle_of_Stony_Lake,ND003
Battle_of_Whitestone_Hill,ND004
Battle_of_Killdeer_Mountain,ND005
Battle_of_Wood_Lake,MN002
Battle_of_Big_Mound,ND001
Sand_Creek_massacre,CO001
Bear_River_Massacre,ID001
Battle_of_Namozine_Church,VA124
Big_Sandy_Expedition,KY003
