battle,id,strength,casualties,notes
http://en.wikipedia.org/wiki/Battle_of_Front_Royal,,,,
http://en.wikipedia.org/wiki/Battle_of_Gaines's_Mill,,,,
http://en.wikipedia.org/wiki/Battle_of_Galveston,,,,
http://en.wikipedia.org/wiki/Battle_of_Galveston_Harbor_(1862),,,,
http://en.wikipedia.org/wiki/Battle_of_Garnett's_&_Golding's_Farm,,,,
http://en.wikipedia.org/wiki/Battle_of_Georgia_Landing,,,,
http://en.wikipedia.org/wiki/Battle_of_Gettysburg,,,,
http://en.wikipedia.org/wiki/Battle_of_Glasgow,,,,
http://en.wikipedia.org/wiki/Battle_of_Glendale,,,,
http://en.wikipedia.org/wiki/Battle_of_Globe_Tavern,,,,
http://en.wikipedia.org/wiki/Battle_of_Glorieta_Pass,,,,
http://en.wikipedia.org/wiki/Battle_of_Goldsboro_Bridge,,,220,total casualties of campaign minus Battle of Kinston and White Hall values
http://en.wikipedia.org/wiki/Battle_of_Goodrich's_Landing,,,,
http://en.wikipedia.org/wiki/Battle_of_Grand_Gulf,,,,
http://en.wikipedia.org/wiki/Battle_of_Greenbrier_River,,,,
http://en.wikipedia.org/wiki/Battle_of_Grimball's_Landing,,,,
http://en.wikipedia.org/wiki/Battle_of_Griswoldville,,,,
http://en.wikipedia.org/wiki/Battle_of_Guard_Hill,,,,
http://en.wikipedia.org/wiki/Battle_of_Hampton_Roads,,,,
http://en.wikipedia.org/wiki/Battle_of_Hancock,,,25,
http://en.wikipedia.org/wiki/Battle_of_Hanover,,,,
http://en.wikipedia.org/wiki/Battle_of_Hanover_Court_House,,,,
http://en.wikipedia.org/wiki/Battle_of_Harpers_Ferry,,,,
http://en.wikipedia.org/wiki/Battle_of_Hartsville,,,,
http://en.wikipedia.org/wiki/Battle_of_Hartville,,,,
http://en.wikipedia.org/wiki/Battle_of_Hatcher's_Run,,,,
http://en.wikipedia.org/wiki/Battle_of_Hatchie's_Bridge,,,,
http://en.wikipedia.org/wiki/Battle_of_Hatteras_Inlet_Batteries,,,,
http://en.wikipedia.org/wiki/Battle_of_Haw's_Shop,,,,
http://en.wikipedia.org/wiki/Battle_of_Helena,,,,
http://en.wikipedia.org/wiki/Battle_of_High_Bridge,,,,
http://en.wikipedia.org/wiki/Battle_of_Hoke's_Run,,,,
http://en.wikipedia.org/wiki/Battle_of_Honey_Hill,,,,
http://en.wikipedia.org/wiki/Battle_of_Honey_Springs,,,,
http://en.wikipedia.org/wiki/Battle_of_Hoover's_Gap,,,,
http://en.wikipedia.org/wiki/Battle_of_Irish_Bend,,,,
http://en.wikipedia.org/wiki/Battle_of_Island_Number_Ten,,,,
http://en.wikipedia.org/wiki/Battle_of_Iuka,,,,
"http://en.wikipedia.org/wiki/Battle_of_Jackson,_Mississippi",,,,
"http://en.wikipedia.org/wiki/Battle_of_Jackson,_Tennessee",,,,
http://en.wikipedia.org/wiki/Battle_of_James_Island,,,,
http://en.wikipedia.org/wiki/Battle_of_Jenkins'_Ferry,,,,
http://en.wikipedia.org/wiki/Battle_of_Jerusalem_Plank_Road,,,,
http://en.wikipedia.org/wiki/Battle_of_Johnsonville,,,,
