dbpedia,wikipedia
http://dbpedia.org/resource/William_E._Jones,http://en.wikipedia.org/wiki/William_E._Jones
http://dbpedia.org/resource/William_N._Pendleton,http://en.wikipedia.org/wiki/William_N._Pendleton
http://dbpedia.org/resource/Gustavus_Woodson_Smith,http://en.wikipedia.org/wiki/Gustavus_Woodson_Smith
http://dbpedia.org/resource/Cyrus_L._Dunham,http://en.wikipedia.org/wiki/Cyrus_L._Dunham
http://dbpedia.org/resource/Napoleon_J.T._Dana,http://en.wikipedia.org/wiki/Napoleon_J.T._Dana
http://dbpedia.org/resource/Ulysses_S._Grant,http://en.wikipedia.org/wiki/Ulysses_S._Grant
http://dbpedia.org/resource/Alfred_H._Colquitt,http://en.wikipedia.org/wiki/Alfred_H._Colquitt
http://dbpedia.org/resource/Charles_Henry_Davis,http://en.wikipedia.org/wiki/Charles_Henry_Davis
http://dbpedia.org/resource/Innis_N._Palmer,http://en.wikipedia.org/wiki/Innis_N._Palmer
http://dbpedia.org/resource/Robert_E._Lee,http://en.wikipedia.org/wiki/Robert_E._Lee
http://dbpedia.org/resource/Santos_Benavides,http://en.wikipedia.org/wiki/Santos_Benavides
http://dbpedia.org/resource/Mansfield_Lovell,http://en.wikipedia.org/wiki/Mansfield_Lovell
http://dbpedia.org/resource/Alfred_Marmaduke_Hobby,http://en.wikipedia.org/wiki/Alfred_Marmaduke_Hobby
http://dbpedia.org/resource/Henry_M._Judah,http://en.wikipedia.org/wiki/Henry_M._Judah
http://dbpedia.org/resource/James_Shirk,http://en.wikipedia.org/wiki/James_Shirk
http://dbpedia.org/resource/William_Miller_(Confederate_Army_officer),http://en.wikipedia.org/wiki/William_Miller_(Confederate_Army_officer)
http://dbpedia.org/resource/Stephen_D._Lee,http://en.wikipedia.org/wiki/Stephen_D._Lee
http://dbpedia.org/resource/Benjamin_Butler_(politician),http://en.wikipedia.org/wiki/Benjamin_Butler_(politician)
http://dbpedia.org/resource/Benjamin_Franklin_Kelley,http://en.wikipedia.org/wiki/Benjamin_Franklin_Kelley
http://dbpedia.org/resource/Powell_Clayton,http://en.wikipedia.org/wiki/Powell_Clayton
http://dbpedia.org/resource/Stonewall_Jackson,http://en.wikipedia.org/wiki/Stonewall_Jackson
http://dbpedia.org/resource/George_Crook,http://en.wikipedia.org/wiki/George_Crook
http://dbpedia.org/resource/Alexander_McDowell_McCook,http://en.wikipedia.org/wiki/Alexander_McDowell_McCook
http://dbpedia.org/resource/James_H._Ward,http://en.wikipedia.org/wiki/James_H._Ward
http://dbpedia.org/resource/David_Dixon_Porter,http://en.wikipedia.org/wiki/David_Dixon_Porter
http://dbpedia.org/resource/Albert_Rust,http://en.wikipedia.org/wiki/Albert_Rust
http://dbpedia.org/resource/William_H._French,http://en.wikipedia.org/wiki/William_H._French
http://dbpedia.org/resource/John_Dunovant,http://en.wikipedia.org/wiki/John_Dunovant
http://dbpedia.org/resource/Darius_N._Couch,http://en.wikipedia.org/wiki/Darius_N._Couch
http://dbpedia.org/resource/Thomas_Devin,http://en.wikipedia.org/wiki/Thomas_Devin
http://dbpedia.org/resource/Robert_S._Garnett,http://en.wikipedia.org/wiki/Robert_S._Garnett
http://dbpedia.org/resource/Leonidas_Polk,http://en.wikipedia.org/wiki/Leonidas_Polk
http://dbpedia.org/resource/Napoleon_Collins,http://en.wikipedia.org/wiki/Napoleon_Collins
http://dbpedia.org/resource/John_Ancrum_Winslow,http://en.wikipedia.org/wiki/John_Ancrum_Winslow
http://dbpedia.org/resource/Felix_Zollicoffer,http://en.wikipedia.org/wiki/Felix_Zollicoffer
