date,battle,notbattle,casualties_union,attrition_union,weekly_union,cumsum_union,casualties_confed,attrition_confed,weekly_confed,cumsum_confed
1864/11/13,,,,1033,1033,643695,,685,685,537138
1864/11/20,"Griswoldville, GA - November 22",,62,1033,1095,644790,650,685,1335,538473
1864/11/27,"Buck Head Creek, GA - November 28",,46,1033,,,600,685,,
1864/11/27,"Spring Hill, TN - November 29",,350,,,,500,,,
1864/11/27,"Sand Creek, CO - November 29",,48,,,,150,,,
1864/11/27,"Franklin II, TN - November 30",,2633,,,,7300,,,
1864/11/27,"Honey Hill, SC - November 30",,746,,4856,649646,50,,9285,547758
1864/12/4,"Waynesborough, GA December 4",,190,1033,,,250,685,,
1864/12/4,"Murfreesboro II, T N December 5 7",,208,,1431,651077,214,,1149,548907
1864/12/11,"Fort McAllister II, GA - December 13",,134,1033,,,230,685,,
1864/12/11,Nashville. TN - December 15-16,,3061,,,,6500,,,
1864/12/11,Marion. VA - December 16-18,,150,,4378,655455,150,,7565,556472
1864/12/18,Fort Fisher I. NC - December 7-27,,160,1033,1193,656648,160,685,845,557317
1864/12/25,,,,1343,1343,657991,,890,890,558207
1865/1/1,,,,1343,1343,659334,,890,890,559097
1865/1/8,"Fort Fisher II, NC - January 13-15",,1059,1343,2402,661736,2533,890,3423,562520
1865/1/15,,,,1343,1343,663079,,890,890,563410
1865/1/22,,,,1343,1343,664422,,890,890,564300
1865/1/29,"Rivers Bridge, SC - February 2-3",,92,1343,1435,665857,170,890,1060,565360
1865/2/5,"Hatcher's Run, VA - February 5-7",,1539,1343,2882,668739,1000,890,1890,567250
1865/2/12,,,,1343,1343,670082,,890,890,468140
1865/2/19,"Wilmington, NC - February 12-22",,575,1343,1918,672000,575,890,1465,569605
1865/2/26,"Waynesboro, VA - March 2",,30,1343,1373,673373,1600,890,2490,572095
1865/3/5,"Natural Bridge, FL March 6",,148,1343,2974,676347,25,890,,
1865/3/5,"Wyse Fork, NC - March 7-10",,1300,,,,1500,,,
1865/3/5,"Monroe’s Cross Roads, NC - March 10",,183,,,,86,,2501,574596
1865/3/12,"Averasboro, NC - March 16",,682,1343,2025,678372,865,890,1755,576351
1865/3/19,Bentonville. NC - March 19-21,,1527,1343,3887,682259,2606,890,,
1865/3/19,"Fort Steadman, VA March 25",,1017,,,,2681,,6177,582528
1865/3/26,Lewis's Farm. VA - March 29,,381,1033,4379,686638,371,685,,
1865/3/26,"Dinwiddie Court House, VA - March 31",,354,,,,760,,,
1865/3/26,"White Oak Road, VA - March 31",,1781,,,,1235,,,
1865/3/26,Five Forks. VA - April 1,,830,,,,3000,,6051,588579
1865/4/2,Petersburg III. VA April 2,,3894,1033,9228,695866,4852,685,,
1865/4/2,Spanish Fort. AL - March 27-April 8,,657,,,,741,,,
1865/4/2,"Selma, AL - April 2",,359,,,,2700,,,
1865/4/2,Sutherland Station. VA – April 2,,366,,,,600,,,
1865/4/2,Namozine Church. VA - April 3,,81,,,,,,,
1865/4/2,"Amelia Springs, VA - April 5",,158,,,,,,,
1865/4/2,"Sailor's Creek, VA - April 6",,1148,,,,7700,,,
1865/4/2,"Rice's Station, VA - April 6",,66,,,,,,,
1865/4/2,High Bridge. VA-April 6-7,,847,,,,100,,,
1865/4/2,"Cumberland Church, VA - April 7",,571,,,,,,,
1865/4/2,"Appomattox Station, VA April 8",,48,,,,1000,,18378,606957
1865/4/9,"Fort Blakely, AL - April 2-9",,775,1033,1972,697838,3700,685,,
1865/4/9,Appomattox Court House. VA-April 9,,164,,,,500,,4885,611842
1865/4/16,,,,1033,1033,698871,6300,685,6985,618827
1865/4/23,Johnston surrenders - April 26,1,,1033,1033,699904,,685,685,619512
1865/4/30,Taylor surrenders - May 4,1,,1033,1033,700937,,685,685,620197
1865/5/7,Jefferson Davis captured - May 10,1,,1033,1063,702000,,685,,
1865/5/7,"Palmito Ranch, TX - May 12-13",,30,0,,,118,0,803,621000
1865/5/14,,,,0,,,,0,,
1865/5/21,Buckner surrenders - May 26,1,,0,,,,0,,
1865/5/28,,,,0,,,,0,,
1865/6/4,,,,0,,,,0,,
1865/6/11,,,,0,,,,0,,
1865/6/18,Stand Waite surrenders - June 23,1,,0,,,,0,,
