battle,combatant,description,strength,ships,guns,commanders,cavalry_regiments,strength_other,brigades,regiments,cavalry_brigades,companies,corps,divisions,armies,artillery_batteries,cavalry_divisions,cavalry_corps,artillery_regiments,artillery_sections,cavalry_companies,artillery_companies,infantry_regiments
KY007,US,,,,,,,,,,,,,,,,,,,,,,
FL006,CS,,,,,,,,,,,,,,,,,,,,,,
FL006,US,,,,,,,,,,,,,,,,,,,,,,
LA005,CS,,,,,,,,,,,,,,,,,,,,,,
LA005,US,,,,,,,,,,,,,,,,,,,,,,
AR001,CS,,,,,,,,,,,,,,,,,,,,,,
AR001,US,,,,,,,,,,,,,,,,,,,,,,
MS001,CS,,,,,,,,,,,,,,,,,,,,,,
MS001,US,,,,,,,,,,,,,,,,,,,,,,
VA100,CS,,,,,,,,,,,,,,,,,,,,,,
VA100,US,,,,,,,,,,,,,,,,,,,,,,
WV006,CS,,,,,,,,,,,,,,,,,,,,,,
WV006,US,,,,,,,,,,,,,,,,,,,,,,
KY008,CS,,,,,,,,,,,,,,,,,,,,,,
KY008,US,,,,,,,,,,,,,,,,,,,,,,
NC001,CS,,,,,,,,,,,,,,,,,,,,,,
NC001,US,,,,,,,,,,,,,,,,,,,,,,
ID001,US,,,,,,,,,,,,,,,,,,,,,,
ID001,I,,,,,,,,,,,,,,,,,,,,,,
VA017,CS,,,,,,,,,,,,,,,,,,,,,,
VA017,US,,,,,,,,,,,,,,,,,,,,,,
VA018,CS,,,,,,,,,,,,,,,,,,,,,,
VA018,US,,,,,,,,,,,,,,,,,,,,,,
OK007,CS,,,,,,,,,,,,,,,,,,,,,,
OK007,US,,,,,,,,,,,,,,,,,,,,,,
MO025,CS,,,,,,,,,,,,,,,,,,,,,,
MO025,US,,,,,,,,,,,,,,,,,,,,,,
MO023,CS,,,,,,,,,,,,,,,,,,,,,,
MO023,US,,,,,,,,,,,,,,,,,,,,,,
TN012,CS,,,,,,,,,,,,,,,,,,,,,,
TN012,US,,,,,,,,,,,,,,,,,,,,,,
ND001,US,,,,,,,,,,,,,,,,,,,,,,
ND001,I,,,,,,,,,,,,,,,,,,,,,,
NC012,CS,,,,,,,,,,,,,,,,,,,,,,
NC012,US,,,,,,,,,,,,,,,,,,,,,,
MS014,CS,,,,,,,,,,,,,,,,,,,,,,
MS014,US,,,,,,,,,,,,,,,,,,,,,,
TN020,CS,,,,,,,,,,,,,,,,,,,,,,
TN020,US,,,,,,,,,,,,,,,,,,,,,,
VA108,CS,,,,,,,,,,,,,,,,,,,,,,
VA108,US,,,,,,,,,,,,,,,,,,,,,,
NC009,CS,,,,,,,,,,,,,,,,,,,,,,
NC009,US,,,,,,,,,,,,,,,,,,,,,,
MS015,CS,,,,,,,,,,,,,,,,,,,,,,
MS015,US,,,,,,,,,,,,,,,,,,,,,,
MO007,CS,,,,,,,,,,,,,,,,,,,,,,
MO007,US,,,,,,,,,,,,,,,,,,,,,,
TN007,CS,,,,,,,,,,,,,,,,,,,,,,
TN007,US,,,,,,,,,,,,,,,,,,,,,,
VA015,CS,,,,,,,,,,,,,,,,,,,,,,
VA015,US,,,,,,,,,,,,,,,,,,,,,,
VA096,CS,,,,,,,,,,,,,,,,,,,,,,
VA096,US,,,,,,,,,,,,,,,,,,,,,,
VA109,CS,,,,,,,,,,,,,,,,,,,,,,
VA109,US,,,,,,,,,,,,,,,,,,,,,,
LA001,CS,,,,,,,,,,,,,,,,,,,,,,
LA001,US,,,,,,,,,,,,,,,,,,,,,,
LA008,CS,,,,,,,,,,,,,,,,,,,,,,
LA008,US,,,,,,,,,,,,,,,,,,,,,,
GA019,CS,,,,,,,,,,,,,,,,,,,,,,
GA019,US,,,,,,,,,,,,,,,,,,,,,,
TN008,CS,,,,,,,,,,,,,,,,,,,,,,
TN008,US,,,,,,,,,,,,,,,,,,,,,,
LA009,CS,,,,,,,,,,,,,,,,,,,,,,
LA009,US,,,,,,,,,,,,,,,,,,,,,,
VA035,CS,,,,,,,,,,,,,,,,,,,,,,
VA035,US,,,,,,,,,,,,,,,,,,,,,,
WV005,CS,,,,,,,,,,,,,,,,,,,,,,
WV005,US,,,,,,,,,,,,,,,,,,,,,,
TN016,CS,,,,,,,,,,,,,,,,,,,,,,
TN016,US,,,,,,,,,,,,,,,,,,,,,,
VA079,CS,,,,,,,,,,,,,,,,,,,,,,
VA079,US,,,,,,,,,,,,,,,,,,,,,,
