campaign,theater,start_year,start_month,end_year,end_month,dbpedia
McClellan's Operations in Northern Virginia [October-December 1861],Eastern,1861,10,1861,12,http://dbpedia.org/resource/Category:Battles_for_McClellan%27s_Operations_in_Northern_Virginia_of_the_American_Civil_War
Mine Run Campaign [November-December 1863],Eastern,1863,11,1863,12,http://dbpedia.org/resource/Category:Battles_of_the_Mine_Run_Campaign_of_the_American_Civil_War
Northern Virginia Campaign [August 1862],Eastern,1862,8,1862,8,http://dbpedia.org/resource/Category:Battles_of_the_Northern_Virginia_Campaign_of_the_American_Civil_War
Operations Against Fort Fisher and Wilmington [January-February 1865],Eastern,1865,1,1865,2,http://dbpedia.org/resource/Category:Battles_of_the_Operations_against_Fort_Fisher_and_Wilmington_of_the_American_Civil_War
Operations Against Plymouth [April-May 1864],Eastern,1864,4,1864,5,http://dbpedia.org/resource/Category:Battles_of_the_Operations_against_Plymouth_of_the_American_Civil_War
Operations in Western Virginia [June-December 1861],Eastern,1861,6,1861,12,http://dbpedia.org/resource/Category:Battles_and_Operations_in_Western_Virginia_of_the_American_Civil_War
Peninsula Campaign [March-July 1862],Eastern,1862,3,1862,7,http://dbpedia.org/resource/Category:Battles_of_the_Peninsula_Campaign_of_the_American_Civil_War
Richmond-Petersburg Campaign [June 1864-March 1865],Eastern,1864,6,1865,3,http://dbpedia.org/resource/Category:Battles_of_the_Richmond-Petersburg_Campaign_of_the_American_Civil_War
Sheridan's Expedition to Petersburg [March 1865],Eastern,1865,3,1865,3,
Sheridan's Valley Campaign [August-October 1864],Eastern,1864,8,1864,10,http://dbpedia.org/resource/Category:Battles_of_Sheridan%27s_Valley_Campaign_of_the_American_Civil_War
"Expedition to, and Capture of, New Orleans [April-May 1862]",Lower Seaboard,1862,4,1862,5,http://dbpedia.org/resource/Category:Battles_of_the_Expedition_to_New_Orleans_of_the_American_Civil_War
Expedition to Hillsboro River [October 1863],Lower Seaboard,1863,10,1863,10,
Expedition to St. John's Bluff [September-October 1862],Lower Seaboard,1862,9,1862,10,
Florida Expedition [February 1864],Lower Seaboard,1864,2,1864,2,
Naval Attacks on Fort McAllister [March 1863],Lower Seaboard,1863,3,1863,3,
Operations Against Baton Rouge [July-August 1862],Lower Seaboard,1862,7,1862,8,http://dbpedia.org/resource/Category:Battles_of_the_Operations_against_Baton_Rouge_of_the_American_Civil_War
Operations Against Charleston [June 1862],Lower Seaboard,1862,6,1862,6,http://dbpedia.org/resource/Category:Battles_of_the_Operations_in_Charleston_Harbor_of_the_American_Civil_War
Operations Against Fort Pulaski [April 1862],Lower Seaboard,1862,4,1862,4,
Operations Against Tampa [June-July 1862],Lower Seaboard,1862,6,1862,7,
Operations Against the Defenses of Charleston [April-September 1863],Lower Seaboard,1863,4,1863,9,http://dbpedia.org/resource/Category:Battles_of_the_Operations_in_Charleston_Harbor_of_the_American_Civil_War
Operations in Charleston Harbor [April 1861],Lower Seaboard,1861,4,1861,4,http://dbpedia.org/resource/Category:Battles_of_the_Operations_in_Charleston_Harbor_of_the_American_Civil_War
Operations in LaFourche District [October 1862],Lower Seaboard,1862,10,1862,10,
Operations in West Louisiana [April 1863],Lower Seaboard,1863,4,1863,4,http://dbpedia.org/resource/Category:Battles_of_the_Operations_in_West_Louisiana_of_the_American_Civil_War
Operations near Saint Mark's [March 1865],Lower Seaboard,1865,3,1865,3,
Operations of the Gulf Blockading Squadron [October 1861],Lower Seaboard,1861,10,1861,10,
Siege of Port Hudson [May-July 1863],Lower Seaboard,1863,5,1863,7,http://dbpedia.org/resource/Category:Battles_of_the_Siege_of_Port_Hudson_of_the_American_Civil_War
Taylor's Operations in West Louisiana [June-September 1863],Lower Seaboard,1863,6,1863,9,http://dbpedia.org/resource/Category:Battles_of_Taylor%27s_Operations_in_West_Louisiana_of_the_American_Civil_War
"Expedition from Camp Douglas, Utah, to Cache Valley, Idaho [January 1863]",Pacific Coast,1863,1,1863,1,
Advance on Little Rock [September-October 1863],Trans-Mississippi,1863,9,1863,10,http://dbpedia.org/resource/Category:Battles_of_the_Advance_on_Little_Rock_of_the_American_Civil_War
Camden Expedition [April 1864],Trans-Mississippi,1864,4,1864,4,http://dbpedia.org/resource/Category:Battles_of_the_Camden_Expedition_of_the_American_Civil_War
Expedition from Brazos Santiago [May 1865],Trans-Mississippi,1865,5,1865,5,
Expedition to Lake Village [June 1864],Trans-Mississippi,1864,6,1864,6,
Marmaduke's First Expedition into Missouri [January 1863],Trans-Mississippi,1863,1,1863,1,http://dbpedia.org/resource/Category:Battles_of_Marmaduke%27s_First_Expedition_into_Missouri_of_the_American_Civil_War
Marmaduke's Second Expedition into Missouri [April-May 1863],Trans-Mississippi,1863,4,1863,5,http://dbpedia.org/resource/Category:Battles_of_Marmaduke%27s_Second_Expedition_into_Missouri_of_the_American_Civil_War
Occupation of Indian Territory North of the Arkansas River [October 1863],Trans-Mississippi,1863,10,1863,10,
Operations Against Galveston [December 1862-January 1863],Trans-Mississippi,1862,12,1863,1,http://dbpedia.org/resource/Category:Battles_of_the_Operations_Against_Galveston_of_the_American_Civil_War
Operations Against the Sioux in North Dakota [July 1863],Trans-Mississippi,1863,7,1863,7,http://dbpedia.org/resource/Category:Battles_of_the_Operations_Against_the_Sioux_in_North_Dakota_of_the_American_Civil_War
Operations in Northeast Missouri [December 1861],Trans-Mississippi,1861,12,1861,12,http://dbpedia.org/resource/Category:Battles_of_the_Operations_in_Northeast_Missouri_of_the_American_Civil_War
Operations in the Indian Territory [February 1864],Trans-Mississippi,1864,2,1864,2,http://dbpedia.org/resource/Category:Battles_of_the_Operations_in_the_Indian_Territory_of_the_American_Civil_War
Operations in the Indian Territory [November-December 1861],Trans-Mississippi,1861,11,1861,12,http://dbpedia.org/resource/Category:Battles_of_the_Operations_in_the_Indian_Territory_of_the_American_Civil_War
"Operations Near Cache River, Arkansas [July 1862]",Trans-Mississippi,1862,7,1862,7,"http://dbpedia.org/resource/Category:Battles_of_the_Operations_Near_Cache_River,_Arkansas_of_the_American_Civil_War"
Operations North of Boston Mountains [August-November 1862],Trans-Mississippi,1862,8,1862,11,http://dbpedia.org/resource/Category:Battles_of_the_Operations_North_of_Boston_Mountains_of_the_American_Civil_War
Operations on the White River [June 1862],Trans-Mississippi,1862,6,1862,6,http://dbpedia.org/resource/Category:Battles_of_the_Operations_Near_the_White_River_of_the_American_Civil_War
Operations to Blockade the Texas Coast [September 1862-January 1863],Trans-Mississippi,1862,9,1863,1,http://dbpedia.org/resource/Category:Battles_of_the_Operations_to_Blockade_the_Texas_Coast_of_the_American_Civil_War
Operations to Blockade the Texas Coast [September 1863],Trans-Mississippi,1863,9,1863,9,http://dbpedia.org/resource/Category:Battles_of_the_Operations_to_Blockade_the_Texas_Coast_of_the_American_Civil_War
Operations to Control Indian Territory [June-September 1863],Trans-Mississippi,1863,6,1863,9,http://dbpedia.org/resource/Category:Battles_of_the_Operations_to_Control_Indian_Territory_of_the_American_Civil_War
Operations to Control Missouri [June-October 1861],Trans-Mississippi,1861,6,1861,10,http://dbpedia.org/resource/Category:Battles_of_the_Operations_to_Control_Missouri_of_the_American_Civil_War
Operations to Suppress the Sioux Uprising [August-September 1862],Trans-Mississippi,1862,8,1862,9,http://dbpedia.org/resource/Category:Battles_of_the_Operations_to_Suppress_the_Sioux_Uprising_of_the_American_Civil_War
Pea Ridge Campaign [March 1862],Trans-Mississippi,1862,3,1862,3,
Prairie Grove Campaign [November 1862],Trans-Mississippi,1862,11,1862,11,http://dbpedia.org/resource/Category:Battles_of_the_Prairie_Grove_Campaign_of_the_American_Civil_War
Price's Missouri Expedition [September-October 1864],Trans-Mississippi,1864,9,1864,10,http://dbpedia.org/resource/Category:Battles_of_Price%27s_Missouri_Expedition_of_the_American_Civil_War
Quantrill's Raid into Kansas [August 1863],Trans-Mississippi,1863,8,1863,8,
Red River Campaign [March-April 1864],Trans-Mississippi,1864,3,1864,4,http://dbpedia.org/resource/Category:Battles_of_the_Red_River_Campaign_of_the_American_Civil_War
Sand Creek Campaign [November 1864],Trans-Mississippi,1864,11,1864,11,
Sibley's New Mexico Campaign [February-March 1862],Trans-Mississippi,1862,2,1862,3,http://dbpedia.org/resource/Category:Battles_of_Sibley%27s_New_Mexico_Campaign_of_the_American_Civil_War
Sully's Expedition Against the Sioux in Dakota Territory [July 1864],Trans-Mississippi,1864,7,1864,7,
Atlanta Campaign [May-September 1864],Western,1864,5,1864,9,http://dbpedia.org/resource/Category:Battles_of_the_Atlanta_Campaign_of_the_American_Civil_War
Breckenridge's Advance into East Tennessee [November 1864],Western,1864,11,1864,11,http://dbpedia.org/resource/Category:Battles_of_the_Advance_into_East_Tennessee_of_the_American_Civil_War
Burbridge's Raid into Southwest Virginia [October 1864],Western,1864,10,1864,10,http://dbpedia.org/resource/Category:Battles_of_Burbridge%27s_Raid_into_Southwest_Virginia_of_the_American_Civil_War
Carolinas Campaign [February-March 1865],Western,1865,2,1865,3,http://dbpedia.org/resource/Category:Battles_of_the_Carolinas_Campaign_of_the_American_Civil_War
Chattanooga-Ringgold Campaign [November 1863],Western,1863,11,1863,11,http://dbpedia.org/resource/Category:Battles_of_the_Chattanooga-Ringgold_Campaign_of_the_American_Civil_War
Chickamauga Campaign [August-September 1863],Western,1863,8,1863,9,http://dbpedia.org/resource/Category:Battles_of_the_Chickamauga_Campaign_of_the_American_Civil_War
Confederate Heartland Offensive [June-October 1862],Western,1862,6,1862,10,http://dbpedia.org/resource/Category:Battles_of_the_Confederate_Heartland_Offensive_of_the_American_Civil_War
Demonstration on Dalton [February 1864],Western,1864,2,1864,2,http://dbpedia.org/resource/Category:Battles_of_the_Demonstration_on_Dalton_of_the_American_Civil_War
East Tennessee Campaign [September-October 1863],Western,1863,9,1863,10,http://dbpedia.org/resource/Category:Battles_of_the_East_Tennessee_Campaign_of_the_American_Civil_War
Federal Penetration up the Cumberland and Tennessee Rivers [February-June 1862],Western,1862,2,1862,6,http://dbpedia.org/resource/Category:Battles_of_the_Federal_Penetration_up_the_Cumberland_and_Tennessee_Rivers_of_the_American_Civil_War
Forrest's Defense of Mississippi [June-August 1864],Western,1864,6,1864,8,http://dbpedia.org/resource/Category:Battles_of_Forrest%27s_Defense_of_Mississippi_of_the_American_Civil_War
Forrest's Expedition into West Tennessee and Kentucky [March-April 1864],Western,1864,3,1864,4,http://dbpedia.org/resource/Category:Battles_of_Forrest%27s_Expedition_into_West_Tennessee_and_Kentucky_of_the_American_Civil_War
Forrest's Expedition into West Tennessee [December 1862-January 1863],Western,1862,12,1863,1,http://dbpedia.org/resource/Category:Battles_of_the_Forrest%27s_Expedition_into_West_Tennessee_of_the_American_Civil_War
Franklin-Nashville Campaign [September-December 1864],Western,1864,9,1864,12,http://dbpedia.org/resource/Category:Battles_of_the_Franklin-Nashville_Campaign_of_the_American_Civil_War
Grant's Operations Against Vicksburg [March-July 1863],Western,1863,3,1863,7,http://dbpedia.org/resource/Category:Battles_of_Grant%27s_Operations_Against_Vicksburg_of_the_American_Civil_War
Iuka and Corinth Operations [September-October 1862],Western,1862,9,1862,10,http://dbpedia.org/resource/Category:Battles_of_the_Iuka_and_Corinth_Operations_of_the_American_Civil_War
"Joint Operations Against New Madrid, Island No. 10, and Memphis [February-June 1862]",Western,1862,2,1862,6,"http://dbpedia.org/resource/Category:Battles_of_the_Joint_Operations_Against_New_Madrid,_Island_No._10,_and_Memphis_of_the_American_Civil_War"
Longstreet's Knoxville Campaign [November-December 1863],Western,1863,11,1863,12,http://dbpedia.org/resource/Category:Battles_of_Longstreet%27s_Knoxville_Campaign_of_the_American_Civil_War
Meridian and Yazoo River Expeditions [February 1864],Western,1864,2,1864,2,http://dbpedia.org/resource/Category:Battles_of_the_Meridian_and_Yazoo_River_Expeditions_of_the_American_Civil_War
Middle Tennessee Operations [February-April 1863],Western,1863,2,1863,4,http://dbpedia.org/resource/Category:Battles_of_the_Middle_Tennessee_Operations_of_the_American_Civil_War
Mobile Campaign [March-April 1865],Western,1865,3,1865,4,http://dbpedia.org/resource/Category:Battles_of_the_Mobile_Campaign_of_the_American_Civil_War
"Morgan's Raid in Kentucky, Indiana, and Ohio [July 1863]",Western,1863,7,1863,7,"http://dbpedia.org/resource/Category:Battles_of_Morgan%27s_Raid_in_Kentucky,_Indiana,_and_Ohio_of_the_American_Civil_War"
Morgan's Raid into Kentucky [June 1864],Western,1864,6,1864,6,
Offensive in Eastern Kentucky [January 1862],Western,1862,1,1862,1,http://dbpedia.org/resource/Category:Battles_of_the_Offensive_in_Eastern_Kentucky_of_the_American_Civil_War
Operations about Dandridge [December 1863-January 1864],Western,1863,12,1864,1,http://dbpedia.org/resource/Category:Battles_of_the_Operations_about_Dandridge_of_the_American_Civil_War
Operations Against Vicksburg [December 1862-January 1863],Western,1862,12,1863,1,http://dbpedia.org/resource/Category:Battles_of_the_Operations_Against_Vicksburg_of_the_American_Civil_War
Operations at the Ohio and Mississippi River Confluence [November 1861],Western,1861,11,1861,11,
Operations in Eastern Kentucky [September-December 1861],Western,1861,9,1861,12,http://dbpedia.org/resource/Category:Battles_of_the_Offensive_in_Eastern_Kentucky_of_the_American_Civil_War
Operations in Mobile Bay [August 1864],Western,1864,8,1864,8,http://dbpedia.org/resource/Category:Battles_of_the_Operations_in_Mobile_Bay_of_the_American_Civil_War
Operations in North Alabama [January 1864],Western,1864,1,1864,1,http://dbpedia.org/resource/Category:Battles_of_the_Operations_in_North_Alabama_of_the_American_Civil_War
Operations on the Memphis & Charleston Railroad [November 1863],Western,1863,11,1863,11,http://dbpedia.org/resource/Category:Battles_of_the_Operations_on_the_Memphis_%26_Charleston_Railroad_of_the_American_Civil_War
Reopening the Tennessee River [October 1863],Western,1863,10,1863,10,http://dbpedia.org/resource/Category:Battles_of_the_Tennessee_River_Reopening_of_the_American_Civil_War
Savannah Campaign [November-December 1864],Western,1864,11,1864,12,http://dbpedia.org/resource/Category:Battles_of_the_Savannah_Campaign_of_the_American_Civil_War
Stoneman's Raid into Southwest Virginia [December 1864],Western,1864,12,1864,12,http://dbpedia.org/resource/Category:Battles_of_Stoneman%27s_Raid_into_Southwest_Virginia_of_the_American_Civil_War
Stones River Campaign [December 1862-January 1863],Western,1862,12,1863,1,http://dbpedia.org/resource/Category:Battles_of_the_Stones_River_Campaign_of_the_American_Civil_War
Streight's Raid in Alabama and Georgia [April 1863],Western,1863,4,1863,4,
Tullahoma or Middle Tennessee Campaign [June 1863],Western,1863,6,1863,6,http://dbpedia.org/resource/Category:Battles_of_the_Tullahoma_or_Middle_Tennessee_Campaign_of_the_American_Civil_War
Wilson's Raid in Alabama and Georgia [April 1865],Western,1865,4,1865,4,http://dbpedia.org/resource/Category:Battles_of_Wilson%27s_Raid_in_Alabama_and_Georgia_of_the_American_Civil_War
