"","battle","combatant","fullname","rank","cwsac","cwsac2"
"420","MO026","US","Alfred Pleasonton","Major General",TRUE,NA
"421","MO026","US","Charles R. Jennison","Colonel",NA,TRUE
"422","MO026","US","James G. Blunt","Major General",TRUE,NA
"423","MO026","US","Thomas Moonlight","Colonel",NA,TRUE
"424","MO027","CS","Sterling Price","Major General",TRUE,TRUE
"425","MO027","US","Samuel R. Curtis","Major General",TRUE,TRUE
"426","MO028","CS","Joseph O. Shelby","Brigadier General",NA,TRUE
"427","MO028","CS","Sterling Price","Major General",TRUE,NA
"428","MO028","US","John H. McNeil","Brigadier General",NA,TRUE
"429","MO028","US","John McNeil","Brigadier General",TRUE,NA
"430","MO029","CS","Joseph O. Shelby","Brigadier General",NA,TRUE
"431","MO029","CS","Sterling Price","Major General",TRUE,NA
"432","MO029","US","James G. Blunt","Major General",TRUE,TRUE
"433","MS001","CS","Sterling Price","Major General",TRUE,TRUE
"434","MS001","US","William S. Rosecrans","Major General",TRUE,TRUE
"435","MS002","CS","Earl Van Dorn","Major General",TRUE,TRUE
"436","MS002","US","William S. Rosecrans","Major General",TRUE,NA
"437","MS002","US","William S. Rosencrans","Major General",NA,TRUE
"438","MS003","CS","John C. Pemberton","Lieutenant General",TRUE,TRUE
"439","MS003","CS","Stephen D. Lee","Brigadier General",NA,TRUE
"440","MS003","US","David D. Porter","Acting Rear Admiral",NA,TRUE
"441","MS003","US","William T. Sherman","Major General",TRUE,TRUE
"442","MS004","CS","John S. Bowen","Brigadier General",TRUE,TRUE
"443","MS004","US","David D. Porter","Rear Admiral",TRUE,TRUE
"444","MS005","CS","Louis Hebert","Brigadier General",NA,TRUE
"445","MS005","CS","Louis Hébert","Brigadier General",TRUE,NA
"446","MS005","US","Francis P. Blair , Jr.","Major General",NA,TRUE
"447","MS005","US","K. Randolph Breese","Lieutenant Commander",NA,TRUE
"448","MS005","US","William T. Sherman","Major General",TRUE,NA
"449","MS006","CS","John S. Bowen","Brigadier General",TRUE,TRUE
"450","MS006","US","John A. Logan","Major General",NA,TRUE
"451","MS006","US","John A. McClernand","Major General",NA,TRUE
"452","MS006","US","Ulysses S. Grant","Major General",TRUE,NA
"453","MS007","CS","John Gregg","Brigadier General",TRUE,TRUE
"454","MS007","US","James B. McPherson","Major General",TRUE,TRUE
"455","MS008","CS","John Gregg","Brigadier General",TRUE,TRUE
"456","MS008","CS","Joseph E. Johnston","General",TRUE,NA
"457","MS008","US","James B. McPherson","Major General",NA,TRUE
"458","MS008","US","Ulysses S. Grant","Major General",TRUE,NA
"459","MS008","US","William T. Sherman","Major General",NA,TRUE
"460","MS009","CS","John C. Pemberton","Lieutenant General",TRUE,TRUE
"461","MS009","US","Ulysses S. Grant","Major General",TRUE,TRUE
"462","MS010","CS","John S. Bowen","Brigadier General",TRUE,TRUE
"463","MS010","CS","John Vaughn","Brigadier General",NA,TRUE
"464","MS010","US","John A. McClernand","Major General",TRUE,TRUE
"465","MS011","CS","John C. Pemberton","Lieutenant General",TRUE,TRUE
"466","MS011","US","David D. Porter","Rear Admiral",NA,TRUE
"467","MS011","US","Ulysses S. Grant","Major General",TRUE,TRUE
"468","MS012","CS","Leonidas Polk","Lieutenant General",TRUE,TRUE
"469","MS012","US","William T. Sherman","Major General",TRUE,TRUE
"470","MS013","CS","Nathan Bedford Forrest","Major General",TRUE,TRUE
"471","MS013","US","William Sooy Smith","Brigadier General",TRUE,TRUE
"472","MS014","CS","Nathan Bedford Forrest","Major General",TRUE,TRUE
"473","MS014","US","Samuel D. Sturgis","Brigadier General",TRUE,TRUE
"474","MS015","CS","Nathan Bedford Forrest","Major General",TRUE,TRUE
"475","MS015","CS","Stephen D. Lee","Lieutenant General",TRUE,TRUE
"476","MS015","US","A.J. Smith","Major General",TRUE,NA
"477","MS015","US","Andrew J. Smith","Major General",NA,TRUE
"478","MS016","CS","P.G.T. Beauregard","General",TRUE,TRUE
"479","MS016","US","Henry W. Halleck","Major General",TRUE,TRUE
"480","NC001","CS","William F. Martin","Colonel",TRUE,TRUE
"481","NC001","US","Benjamin Butler","Major General",TRUE,TRUE
"482","NC001","US","Silas Stringham","Flag Officer",NA,TRUE
"483","NC002","CS","Henry Wise","Brigadier General",TRUE,TRUE
"484","NC002","US","Ambrose E. Burnside","Brigadier General",TRUE,TRUE
"485","NC002","US","Louis M. Goldsborough","Flag Officer",NA,TRUE
"486","NC003","US","Ambrose Burnside","Brigadier General",NA,TRUE
"487","NC003","US","Ambrose E. Burnside","Brigadier General",TRUE,NA
"488","NC003","US","Stephen C. Rowan","Commander",NA,TRUE
"489","NC004","CS","Moses J. White","Colonel",NA,TRUE
"490","NC004","CS","Moses J. White","Lieutenant Colonel",TRUE,NA
"491","NC004","US","John G. Parke","Brigadier General",TRUE,TRUE
"492","NC004","US","Samuel Lockwood","Commander",NA,TRUE
"493","NC005","CS","Ambrose Wright","Colonel",TRUE,TRUE
"494","NC005","US","Jesse Lee Reno","Brigadier General",TRUE,NA
"495","NC005","US","Jesse Reno","Brigadier General",NA,TRUE
"496","NC006","CS","George Singletary","Colonel",TRUE,TRUE
"497","NC006","US","F. A. Osborne","Lieutenant Colonel",NA,TRUE
"498","NC006","US","F.A. Osborne","Lieutenant Colonel",TRUE,NA
"499","NC007","CS","Nathan Evans","Brigadier General",TRUE,TRUE
"500","NC007","US","Alexander Murry","Commander",NA,TRUE
"501","NC007","US","John G. Foster","Brigadier General",TRUE,TRUE
"502","NC008","CS","Beverly Robertson","Brigadier General",TRUE,TRUE
"503","NC008","US","Jeptha Garrard","Major",NA,TRUE
"504","NC008","US","John G. Foster","Brigadier General",TRUE,TRUE
"505","NC009","CS","Thomas Clingman","Brigadier General",TRUE,TRUE
"506","NC009","US","John G. Foster","Brigadier General",TRUE,TRUE
"507","NC010","CS","D. H. Hill","Major General",NA,TRUE
"508","NC010","CS","D.H. Hill","Major General",TRUE,NA
"509","NC010","US","Alexander Murray","Commander",NA,TRUE
"510","NC010","US","Hiram Anderson","Lieutenant Colonel",TRUE,TRUE
"511","NC011","CS","D. H. Hill","Major General",NA,TRUE
"512","NC011","CS","D.H. Hill","Major General",TRUE,NA
"513","NC011","US","Henry K. Davenport","Commander",NA,TRUE
"514","NC011","US","John G. Foster","Brigadier General",TRUE,TRUE
"515","NC012","CS","Robert Hoke","Major General",TRUE,TRUE
"516","NC012","US","Henry W. Wessells","Colonel",TRUE,TRUE
"517","NC013","CS","James W. Cooke","Commander",NA,TRUE
"518","NC013","CS","J.W. Cooke","Commander",TRUE,NA
"519","NC013","US","Melancton Smith","Captain",NA,TRUE
"520","NC013","US","Melancton Smith","Captain (Naval)",TRUE,NA
"521","NC014","CS","General Robert Hoke","Major",NA,TRUE
"522","NC014","CS","Robert Hoke","Major General",TRUE,NA
"523","NC014","US","Benjamin Butler","Major General",TRUE,TRUE
"524","NC014","US","David D. Porter","Rear Admiral",TRUE,TRUE
"525","NC015","CS","Braxton Bragg","General",TRUE,TRUE
"526","NC015","CS","Charles Lamb","Colonel",TRUE,TRUE
"527","NC015","CS","Robert Hoke","Major General",TRUE,TRUE
"528","NC015","US","Alfred Terry","Major General",TRUE,TRUE
"529","NC015","US","David D. Porter","Rear Admiral",TRUE,TRUE
"530","NC016","CS","Braxton Bragg","General",TRUE,TRUE
"531","NC016","US","David D. Porter","Rear Admiral",NA,TRUE
"532","NC016","US","John M. Schofield","Major General",TRUE,NA
"533","NC016","US","John Schofield","Major General",NA,TRUE
"534","NC017","CS","Braxton Bragg","General",TRUE,TRUE
"535","NC017","US","John M. Schofield","Major General",TRUE,NA
"536","NC017","US","John Schofield","Major General",NA,TRUE
"537","NC018","CS","Joseph Wheeler","Major General",TRUE,TRUE
"538","NC018","CS","Matthew C. Butler","Major General",NA,TRUE
"539","NC018","CS","Wade Hampton","Lieutenant General",TRUE,TRUE
"540","NC018","US","H. Judson Kilpatrick","Brigadier General",TRUE,NA
"541","NC018","US","Judson Kilpatrick","Brevet Major General",NA,TRUE
"542","NC019","CS","Joseph Wheeler","Major General",NA,TRUE
"543","NC019","CS","William Hardee","Lieutenant General",TRUE,TRUE
"544","NC019","US","Henry Slocum","Major General",TRUE,TRUE
"545","NC019","US","William T. Sherman","Major General",NA,TRUE
"546","NC020","CS","Joseph E. Johnston","General",TRUE,TRUE
"547","NC020","US","Henry Slocum","Major General",TRUE,TRUE
"548","NC020","US","William T. Sherman","Major General",TRUE,TRUE
"549","ND001","I","Inkpaduta","Chief",TRUE,TRUE
"550","ND001","US","Henry Hastings Sibley","Brigadier General",TRUE,TRUE
"551","ND002","I","Inkpaduta","Chief",TRUE,TRUE
"552","ND002","US","Henry Hastings Sibley","Brigadier General",TRUE,TRUE
"553","ND003","I","Inkpaduta","Chief",TRUE,TRUE
"554","ND003","US","Henry Hastings Sibley","Brigadier General",TRUE,TRUE
"555","ND004","I","Inkpaduta","Chief",TRUE,TRUE
"556","ND004","US","Alfred Sully","Brigadier General",TRUE,TRUE
"557","ND005","I","Inkpaduta","Chief",TRUE,TRUE
"558","ND005","US","Alfred Sully","Brigadier General",TRUE,TRUE
"559","NM001","CS","Henry Hastings Sibley","Brigadier General",TRUE,NA
"560","NM001","CS","Henry H. Sibley","Brigadier General",NA,TRUE
"561","NM001","CS","Thomas Green","Colonel",NA,TRUE
"562","NM001","CS","Tom Green","Colonel",TRUE,NA
"563","NM001","US","Edward R. S. Canby","Colonel",NA,TRUE
"564","NM001","US","E.R.S. Canby","Colonel",TRUE,NA
"565","NM002","CS","Charles L. Pyron","Major",TRUE,TRUE
"566","NM002","CS","William R. Scurry","Lieutenant Colonel",TRUE,TRUE
"567","NM002","US","John C. Chivington","Major",NA,TRUE
"568","NM002","US","John Chivington","Major",TRUE,NA
"569","NM002","US","John P. Slough","Colonel",TRUE,TRUE
"570","OH001","CS","John Hunt Morgan","Brigadier General",TRUE,TRUE
"571","OH001","US","Edward H. Hobson","Brigadier General",TRUE,TRUE
"572","OH002","CS","John Hunt Morgan","Brigadier General",TRUE,TRUE
"573","OH002","US","James Shackelford","Brigadier General",TRUE,TRUE
"574","OK001","CS","Douglas H. Cooper","Colonel",TRUE,TRUE
"575","OK001","I","Opothleyahola","Chief",TRUE,NA
"576","OK001","US","Opothleyahola","Chief",NA,TRUE
"577","OK002","CS","Douglas H. Cooper","Colonel",TRUE,TRUE
"578","OK002","I","Opothleyahola","Chief",TRUE,NA
"579","OK002","US","Opothleyahola","Chief",NA,TRUE
"580","OK003","CS","Douglas H. Cooper","Colonel",NA,TRUE
"581","OK003","CS","James McQueen McIntosh","Colonel",TRUE,NA
"582","OK003","I","Opothleyahola","Chief",TRUE,NA
"583","OK003","US","Opothleyahola","Chief",NA,TRUE
"584","OK004","CS","Douglas H. Cooper","Colonel",TRUE,TRUE
"585","OK004","US","James G. Blunt","Brigadier General",TRUE,TRUE
"586","OK005","CS","John Jumper","Lieutenant Colonel",TRUE,TRUE
"587","OK005","US","Charles Willette","Major",TRUE,TRUE
"588","OK006","CS","Stand Watie","Colonel",TRUE,TRUE
"589","OK006","US","James M. Williams","Colonel",TRUE,TRUE
"590","OK007","CS","Douglas H. Cooper","Brigadier General",TRUE,TRUE
"591","OK007","US","James G. Blunt","Major General",TRUE,TRUE
"592","PA001","CS","J.E.B. Stuart","Major General",TRUE,TRUE
"593","PA001","US","Elon J. Farnsworth","Brigadier General",NA,TRUE
"594","PA001","US","George A. Custer","Brigadier General",NA,TRUE
"595","PA001","US","H. Judson Kilpatrick","Brigadier General",TRUE,NA
"596","PA002","CS","Robert E. Lee","General",TRUE,TRUE
"597","PA002","US","George G. Meade","Major General",TRUE,TRUE
"598","SC001","CS","P.G.T. Beauregard","Brigadier General",TRUE,NA
"599","SC001","CS","Pierre G. T. Beauregard","Brigadier General",NA,TRUE
"600","SC001","US","Robert Anderson","Major",TRUE,NA
"601","SC001","US","Robert Anderson","Major General",NA,TRUE
"602","SC002","CS","Nathan Evans","Brigadier General",TRUE,NA
"603","SC002","CS","Nathan G. Evans","Brigadier General",NA,TRUE
"604","SC002","CS","Thomas G. Lamar","Colonel",NA,TRUE
"605","SC002","US","Henry Benham","Brigadier General",TRUE,TRUE
"606","SC003","CS","Edward L. Parker","Captain",NA,TRUE
"607","SC003","CS","James McCullough","Colonel",TRUE,NA
"608","SC003","US","A.C. Rhind","Lieutenant",TRUE,TRUE
"609","SC003","US","Horace C. Bennett","Captain",NA,TRUE
"610","SC004","CS","P.G.T. Beauregard","General",TRUE,NA
"611","SC004","CS","Roswell S. Ripley","Brigadier General",NA,TRUE
"612","SC004","US","Samuel F. DuPont","Rear Admiral",NA,TRUE
"613","SC004","US","S.F. Du Pont","Rear Admiral",TRUE,NA
"614","SC005","CS","P.G.T. Beauregard","General",TRUE,NA
"615","SC005","CS","Robert F. Graham","Colonel",NA,TRUE
"616","SC005","US","George C. Strong","Brigadier General",NA,TRUE
"617","SC005","US","John A. Dahlgren","Rear Admiral",NA,TRUE
"618","SC005","US","Quincy A. Gilmore","Major General",NA,TRUE
"619","SC005","US","Qunicy Gillmore","Brigadier General",TRUE,NA
"620","SC006","CS","Johnson Hagood","Brigadier General",TRUE,TRUE
"621","SC006","US","Alfred H. Terry","Brigadier General",TRUE,TRUE
"622","SC006","US","George B. Balch","Commander",NA,TRUE
"623","SC007","CS","P.G.T. Beauregard","General",TRUE,NA
"624","SC007","CS","William B. Talliferro","Brigadier General",NA,TRUE
"625","SC007","US","John A. Dahlgren","Rear Admiral",NA,TRUE
"626","SC007","US","Quincy A. Gilmore","Major General",NA,TRUE
"627","SC007","US","Quincy Gillmore","Major General",TRUE,NA
"628","SC007","US","Truman A. Seymour","Brigadier General",NA,TRUE
"629","SC008","CS","P.G.T. Beauregard","General",TRUE,NA
"630","SC008","US","John A. Dahlgren","Rear Admiral",NA,TRUE
"631","SC008","US","Quincy Gillmore","Major General",TRUE,NA
"632","SC008","US","William Quincy A. Gilmore","Major General",NA,TRUE
"633","SC009","CS","Henry R. Lesesne","Captain",NA,TRUE
"634","SC009","CS","Lawrence M. Keitt","Colonel",NA,TRUE
"635","SC009","CS","P.G.T. Beauregard","General",TRUE,NA
"636","SC009","CS","Pierre G. T. Beauregard","General",NA,TRUE
"637","SC009","US","John A. Dahlgren","Rear Admiral",NA,TRUE
"638","SC009","US","Quincy A. Gilmore","Major General",NA,TRUE
"639","SC009","US","Quincy Gillmore","Major General",TRUE,NA
"640","SC010","CS","Charles Colcock","Colonel",TRUE,NA
"641","SC010","CS","Charles J. Colcock","Colonel",NA,TRUE
"642","SC010","CS","Gustavus W. Smith","Major General",NA,TRUE
"643","SC010","US","George H. Preble","Commander",NA,TRUE
"644","SC010","US","John Hatch","Major General",TRUE,NA
"645","SC010","US","John P. Hatch","Brigadier General",NA,TRUE
"646","SC011","CS","Lafayette McLaws","Major General",TRUE,TRUE
"647","SC011","US","Francis P. Blair","Major General",TRUE,NA
"648","SC011","US","Francis P. Blair , Jr.","Major General",NA,TRUE
"649","SC011","US","John A. Logan","Major General",NA,TRUE
"650","TN001","CS","Lloyd Tilghman","Brigadier General",TRUE,TRUE
"651","TN001","US","A.H. Foote","Flag Officer",NA,TRUE
"652","TN001","US","Andrew H. Foote","Flag Officer",TRUE,NA
"653","TN001","US","Ulysses S. Grant","Brigadier General",TRUE,TRUE
"654","TN002","CS","Gideon Pillow","Brigadier General",NA,TRUE
"655","TN002","CS","John B. Floyd","Brigadier General",NA,TRUE
"656","TN002","CS","Simon B. Buckner","Brigadier General",NA,TRUE
"657","TN002","US","A.H. Foote","Flag Officer",NA,TRUE
"658","TN002","US","Andrew H. Foote","Flag Officer",TRUE,NA
"659","TN002","US","Ulysses S. Grant","Brigadier General",TRUE,TRUE
"660","TN003","CS","Albert Sidney Johnston","General",TRUE,TRUE
"661","TN003","CS","P.G.T. Beauregard","General",TRUE,TRUE
"662","TN003","US","Don Carlos Buell","Major General",TRUE,TRUE
"663","TN003","US","Ulysses S. Grant","Major General",TRUE,TRUE
"664","TN003","US","William Gwin","Lieutenant",NA,TRUE
"665","TN004","CS","James E. Montgomery","Captain",NA,TRUE
"666","TN004","CS","James E. Montgomery","Captain (Naval)",TRUE,NA
"667","TN004","CS","M. Jeff Thompson","Brigadier General",TRUE,TRUE
"668","TN004","US","Charles Ellet","Colonel",TRUE,TRUE
"669","TN004","US","Charles H. Davis","Flag Officer",TRUE,TRUE
"670","TN005","CS","Edmund Kirby Smith","Major General",NA,TRUE
"671","TN005","CS","E. Kirby Smith","Major General",TRUE,NA
"672","TN005","US","James Negley","Brigadier General",TRUE,TRUE
"673","TN006","CS","Nathan Bedford Forrest","Brigadier General",TRUE,TRUE
"674","TN006","US","Thomas T. Crittenden","Brigadier General",TRUE,TRUE
"675","TN007","CS","Earl Van Dorn","Major General",TRUE,TRUE
"676","TN007","US","Edward O.C. Ord","Major General",TRUE,TRUE
"677","TN007","US","Stephen A. Hurlbut","Major General",TRUE,TRUE
"678","TN008","CS","John Hunt Morgan","Brigadier General",TRUE,TRUE
"679","TN008","US","Absalom B. Moore","Colonel",TRUE,TRUE
"680","TN009","CS","Nathan Bedford Forrest","Brigadier General",TRUE,TRUE
"681","TN009","US","Adolph Englemann","Colonel",TRUE,TRUE
"682","TN010","CS","Braxton Bragg","General",TRUE,TRUE
"683","TN010","US","William S. Rosecrans","Major General",TRUE,TRUE
"684","TN011","CS","Nathan Bedford Forrest","Brigadier General",TRUE,TRUE
"685","TN011","US","Jeremiah C. Sullivan","Brigadier General",TRUE,TRUE
"686","TN012","CS","Joseph Wheeler","Major General",TRUE,TRUE
"687","TN012","US","Abner C. Harding","Colonel",NA,TRUE
"688","TN012","US","A.C. Harding","Colonel",TRUE,NA
"689","TN013","CS","Earl Van Dorn","Major General",TRUE,TRUE
"690","TN013","US","John Coburn","Colonel",TRUE,TRUE
"691","TN014","CS","John Hunt Morgan","Brigadier General",TRUE,TRUE
"692","TN014","US","Albert S. Hall","Colonel",TRUE,TRUE
"693","TN015","CS","Nathan Bedford Forrest","Brigadier General",TRUE,TRUE
"694","TN015","US","Edward Bloodgood","Lieutenant Colonel",TRUE,TRUE
"695","TN016","CS","Earl Van Dorn","Major General",TRUE,TRUE
"696","TN016","US","Gordon Granger","Major General",TRUE,TRUE
"697","TN017","CS","Alexander P. Stewart","Major General",TRUE,TRUE
"698","TN017","US","George H. Thomas","Major General",TRUE,TRUE
"699","TN017","US","William S. Rosecrans","Major General",NA,TRUE
"700","TN018","US","John T. Wilder","Colonel",TRUE,TRUE
"701","TN019","CS","James E. Carter","Colonel",TRUE,TRUE
"702","TN019","US","John W. Foster","Colonel",TRUE,TRUE
"703","TN020","CS","John S. Williams","Brigadier General",TRUE,TRUE
"704","TN020","US","Ambrose E. Burnside","Major General",TRUE,TRUE
"705","TN021","CS","Micah Jenkins","Brigadier General",TRUE,TRUE
"706","TN021","US","John W. Geary","Brigadier General",NA,TRUE
"707","TN021","US","Joseph Hooker","Major General",TRUE,TRUE
"708","TN022","CS","James R. Chalmers","Brigadier General",TRUE,TRUE
"709","TN022","US","Edward Hatch","Colonel",TRUE,TRUE
"710","TN023","CS","James Longstreet","Lieutenant General",TRUE,TRUE
"711","TN023","US","Ambrose E. Burnside","Major General",TRUE,TRUE
"712","TN024","CS","Braxton Bragg","General",TRUE,TRUE
"713","TN024","US","Ulysses S. Grant","Major General",TRUE,TRUE
"714","TN025","CS","James Longstreet","Lieutenant General",TRUE,TRUE
"715","TN025","US","Ambrose E. Burnside","Major General",TRUE,TRUE
"716","TN026","CS","James Longstreet","Lieutenant General",TRUE,TRUE
"717","TN026","US","James Shackelford","Brigadier General",TRUE,NA
"718","TN026","US","J. M. Shackelford","Brigadier General",NA,TRUE
"719","TN027","CS","William T. Martin","Major General",TRUE,TRUE
"720","TN027","US","Samuel D. Sturgis","Brigadier General",TRUE,TRUE
"721","TN028","CS","James Longstreet","Lieutenant General",TRUE,TRUE
"722","TN028","US","Samuel D. Sturgis","Brigadier General",TRUE,TRUE
"723","TN029","CS","William T. Martin","Major General",TRUE,TRUE
"724","TN029","US","Edward M. McCook","Colonel",TRUE,TRUE
"725","TN029","US","Samuel D. Sturgis","Brigadier General",TRUE,TRUE
"726","TN030","CS","Nathan Bedford Forrest","Major General",TRUE,TRUE
"727","TN030","US","Lionel F. Booth","Major",TRUE,TRUE
"728","TN030","US","William F. Bradford","Major",TRUE,TRUE
"729","TN031","CS","Nathan Bedford Forrest","Brigadier General",TRUE,TRUE
"730","TN031","US","Cadwallader C. Washburn","Major General",NA,TRUE
"731","TN031","US","C.C. Washburn","Major General",TRUE,NA
"732","TN032","CS","Nathan Bedford Forrest","Major General",TRUE,TRUE
"733","TN032","US","C.R. Thompson","Colonel",TRUE,TRUE
"734","TN032","US","Edward M. King","Lieutenant Commander",TRUE,TRUE
"735","TN033","CS","John C. Breckinridge","Major General",TRUE,TRUE
"736","TN033","US","Alvan C. Gillem","Brigadier General",TRUE,TRUE
"737","TN034","CS","John Bell Hood","General",TRUE,TRUE
"738","TN034","US","John M. Schofield","Major General",TRUE,TRUE
"739","TN035","CS","John Bell Hood","General",TRUE,TRUE
"740","TN035","US","John M. Schofield","Major General",TRUE,TRUE
"741","TN036","CS","John Bell Hood","General",TRUE,NA
"742","TN036","CS","John B. Hood","General",NA,TRUE
"743","TN036","US","John M. Schofield","Major General",TRUE,TRUE
"744","TN037","CS","Nathan Bedford Forrest","Major General",TRUE,TRUE
"745","TN037","US","Lovell H. Rousseau","Major General",TRUE,TRUE
"746","TN037","US","Robert Milroy","Brigadier General",TRUE,TRUE
"747","TN038","CS","John Bell Hood","General",TRUE,TRUE
"748","TN038","US","George H. Thomas","Major General",TRUE,TRUE
"749","TX001","CS","J.S. Irvine","Major",TRUE,TRUE
"750","TX001","US","Frederick Crocker","Acting Master",TRUE,TRUE
"751","TX002","CS","Joseph J. Cook","Colonel",TRUE,TRUE
"752","TX002","CS","Xavier B. Debray","Colonel",NA,TRUE
"753","TX002","CS","X.B. Debray","Colonel",TRUE,NA
"754","TX002","US","W.B. Renshaw","Commander",TRUE,NA
"755","TX002","US","William B. Renshaw","Commander",NA,TRUE
"756","TX003","CS","John B. Magruder","Major General",TRUE,TRUE
"757","TX003","US","Isaac S. Burrell","Colonel",TRUE,TRUE
"758","TX003","US","W.B. Renshaw","Commander",TRUE,NA
"759","TX003","US","William B. Renshaw","Commander",NA,TRUE
"760","TX005","CS","John S. ""Rip"" Ford","Colonel",TRUE,TRUE
"761","TX005","US","Theodore H. Barrett","Colonel",TRUE,TRUE
"762","TX006","CS","Richard W. Dowling","Lieutenant",TRUE,TRUE
"763","TX006","US","Frederick Crocker","Captain",NA,TRUE
"764","TX006","US","Frederick Crocker","Captain (Naval)",TRUE,NA
"765","TX006","US","William B. Franklin","Major General",TRUE,TRUE
"766","VA001","CS","Peyton Colquitt","Captain",TRUE,TRUE
"767","VA001","CS","Walter Gwynn","Brigadier General",TRUE,TRUE
"768","VA001","US","D.L. Braine","Lieutenant (Naval)",TRUE,NA
"769","VA001","US","D.L. Braine U.S.N.","Lieutenant",NA,TRUE
"770","VA002","CS","Daniel Ruggles","Colonel",TRUE,TRUE
"771","VA002","US","James H. Ward","Commander",TRUE,TRUE
"772","VA003","CS","D.H. Hill","Colonel",TRUE,TRUE
"773","VA003","CS","John B. Magruder","Colonel",TRUE,TRUE
"774","VA003","US","Ebenezer Pierce","Brigadier General",TRUE,TRUE
"775","VA004","CS","P.G.T. Beauregard","Brigadier General",TRUE,TRUE
"776","VA004","US","Irvin McDowell","Brigadier General",TRUE,TRUE
"777","VA005","CS","Joseph E. Johnston","Brigadier General",TRUE,TRUE
"778","VA005","CS","P.G.T. Beauregard","Brigadier General",TRUE,TRUE
"779","VA005","US","Irvin McDowell","Brigadier General",TRUE,TRUE
"780","VA006","CS","Nathan Evans","Brigadier General",TRUE,NA
"781","VA006","CS","Nathan G. Evans","Brigadier General",NA,TRUE
"782","VA006","US","Charles P. Stone","Brigadier General",TRUE,TRUE
"783","VA006","US","Edward Baker","Colonel",TRUE,TRUE
"784","VA007","CS","J.E.B. Stuart","Brigadier General",TRUE,TRUE
"785","VA007","US","Edward O.C. Ord","Brigadier General",TRUE,NA
"786","VA007","US","E.O.C. Ord","Brigadier General",NA,TRUE
"787","VA008","CS","Catesby R. Jones","Lieutenant",TRUE,TRUE
"788","VA008","CS","Franklin Buchanan","Captain",NA,TRUE
"789","VA008","CS","Franklin Buchanan","Captain (Naval)",TRUE,NA
"790","VA008","US","John Worden","Lieutenant",TRUE,TRUE
"791","VA009","CS","John B. Magruder","Major General",TRUE,TRUE
"792","VA009","CS","Joseph E. Johnston","General",TRUE,TRUE
"793","VA009","US","George B. McClellan","Major General",TRUE,TRUE
"794","VA010","CS","James Longstreet","Major General",TRUE,TRUE
"795","VA010","US","George B. McClellan","Major General",TRUE,TRUE
"796","VA011","CS","Gustavius W. Smith","Major General",TRUE,TRUE
"797","VA011","US","William B. Franklin","Brigadier General",TRUE,TRUE
"798","VA012","CS","E. Farrand","Commander",TRUE,TRUE
"799","VA012","CS","John Taylor Wood","Lieutenant",TRUE,TRUE
"800","VA012","CS","S. S. Lee","Captain",NA,TRUE
"801","VA012","CS","S. S. Lee","Captain (Naval)",TRUE,NA
"802","VA012","CS","William Mahone","Brigadier General",TRUE,TRUE
"803","VA012","US","John Rodgers","Commander",TRUE,TRUE
"804","VA013","US","Fitz John Porter","Brigadier General",TRUE,TRUE
"805","VA014","CS","Gustavius W. Smith","Major General",TRUE,NA
"806","VA014","CS","G.W. Smith","Major General",NA,TRUE
"807","VA014","CS","Joseph E. Johnston","General",TRUE,TRUE
"808","VA014","US","George B. McClellan","Major General",TRUE,TRUE
"809","VA015","CS","Robert E. Lee","General",TRUE,TRUE
"810","VA015","US","George B. McClellan","Major General",TRUE,TRUE
"811","VA016","CS","Robert E. Lee","General",TRUE,TRUE
"812","VA016","US","Fitz John Porter","Brigadier General",TRUE,TRUE
"813","VA017","CS","Robert E. Lee","General",TRUE,TRUE
"814","VA017","US","Fitz John Porter","Brigadier General",TRUE,TRUE
"815","VA018","CS","John B. Magruder","Major General",TRUE,TRUE
"816","VA018","US","George B. McClellan","Major General",TRUE,TRUE
"817","VA019","CS","John B. Magruder","Major General",TRUE,NA
"818","VA019","CS","John Magruder","Major General",NA,TRUE
"819","VA019","US","Edwin Sumner","Major General",TRUE,TRUE
"820","VA020","CS","Robert E. Lee","General",TRUE,TRUE
"821","VA020","CS","Thomas J. Jackson","Major General",TRUE,TRUE
"822","VA020","US","George B. McClellan","Major General",TRUE,TRUE
"823","VA020","US","William Franklin","Major General",TRUE,TRUE
"824","VA020A","CS","Thomas J. Jackson","Major General",TRUE,NA
"825","VA020A","US","William B. Franklin","Major General",TRUE,NA
"826","VA020B","CS","Robert E. Lee","General",TRUE,NA
"827","VA020B","US","George B. McClellan","Major General",TRUE,NA
"828","VA021","CS","Robert E. Lee","General",TRUE,TRUE
"829","VA021","US","George B. McClellan","Major General",TRUE,TRUE
"830","VA022","CS","Thomas J. Jackson","Major General",TRUE,TRUE
"831","VA022","US","Nathaniel Banks","Major General",NA,TRUE
"832","VA022","US","Nathaniel P. Banks","Major General",TRUE,NA
"833","VA023","CS","Thomas J. Jackson","Major General",TRUE,TRUE
"834","VA023","US","John Pope","Major General",TRUE,TRUE
"835","VA024","CS","Isaac Trimble","Brigadier General",NA,TRUE
"836","VA024","CS","Thomas J. Jackson","Major General",TRUE,NA
"837","VA024","US","G.W. Taylor","Brigadier General",TRUE,TRUE
"838","VA025","CS","James Longstreet","Lieutenant General",TRUE,TRUE
"839","VA025","US","James Ricketts","Brigadier General",TRUE,TRUE
"840","VA026","CS","Robert E. Lee","General",TRUE,TRUE
"841","VA026","CS","Thomas J. Jackson","Major General",TRUE,TRUE
