battle_id,belligerent,battle_name,state,killed,wounded,missing,casualties,cavalry,start_date,end_date,orig_id
U43,US,"Murfreesboro, Tenn.",TN,19,120,46,185,0,1862-7-13,1862-7-13,U44
U44,US,"Baton Rouge, La.",LA,84,266,33,383,0,1862-8-5,1862-8-5,U45
U45,US,"Cedar Mountain, Va.",VA,314,1445,622,2381,0,1862-8-9,1862-8-9,U46
U46,US,"Manassas, Va.",VA,1747,8452,4263,14462,0,1862-8-16,1862-8-31,U47
U47,US,"Richmond, Ky.",KY,206,844,4303,5353,0,1862-8-30,1862-8-30,U48
U48,US,"Fayetteville, W. Va.",WV,25,95,190,310,0,1862-9-10,1862-9-11,U49
U49,US,"Harper's Ferry, Va.",VA,44,173,12520,12737,0,1862-9-12,1862-9-15,U50
U50,US,"Crampton's Gap, Md",MD,113,418,2,533,0,1862-9-14,1862-9-14,U51
U51,US,"South Mountain, Md",MD,325,1403,85,1813,0,1862-9-14,1862-9-14,U52
U52,US,"Munfordville, Ky.",KY,15,57,4076,4148,0,1862-9-14,1862-9-16,U53
U53,US,"Antietam, Md",MD,2108,9549,753,12410,0,1862-9-17,1862-9-17,U54
U54,US,"Iuka, Miss.",MS,141,613,36,790,0,1862-9-19,1862-9-19,U55
U55,US,"Shepherdstown Ford, Va.",VA,71,161,131,363,0,1862-9-19,1862-9-20,U56
U56,US,"Corinth, Miss.",MS,355,1841,324,2520,0,1862-10-3,1862-10-4,U57
