"belligerent","battle_name","to","relation"
"Union","Morgan's Raid, Ky.","OH001","="
"Union","Morgan's Raid, Ky.","OH002","="
"Union","Morganzia, La.","LA016","="
"Union","Morton's Ford, Va.","VA045","="
"Union","Mossy Creek, Tenn.","TN027","="
"Union","Munfordville, Ky.","KY008","="
"Union","Murfreesboro, Tenn.","TN006",">"
"Union","Namozin Church, Va.","VA124","="
"Union","Nashville, Tenn.","TN038","="
"Union","National Bridge, Fla.","FL006","="
"Union","New Berne, N. C.","NC003","="
"Union","New Madrid, Mo.","MO012","="
"Union","Newmarket, Va.","VA110","="
"Union","North Anna, Va.","VA055","="
"Union","Oak Grove, Va.","VA015","="
"Union","Olustee, Fla.","FL005","="
"Union","Opequon, Va.","VA119","="
"Union","Parker's Cross Roads, Tenn.","TN011","="
"Union","Pea Ridge, Mo.","AR001","="
"Union","Petersburg Assault, Va.","VA063","="
"Union","Petersburg Mine, Va.","VA070","="
"Union","Petersburg, Va.","VA084","="
"Union","Piedmont, Va.","VA111","="
"Union","Plain's Store, La.","LA009","="
"Union","Plymouth, N. C.","NC012","="
"Union","Poplar Spring Church, Va.","VA074","="
"Union","Port Hudson Trenches, La.","LA010","="
"Union","Port Republic, Va.","VA106","="
"Union","Prairie Grove, Ark.","AR005","="
"Union","Princeton, W. Va.","WV009","="
"Union","Rappahannock Station, Va.","VA043","="
"Union","Raymond, Miss.","MS007","="
"Union","Ream's Station, Va.","VA073","="
"Union","Rich Mountain, W. Va.","WV003","="
"Union","Richmond, Ky.","KY007","="
"Union","Ringgold; Graysville, Ga.","GA005","="
"Union","Rivers's Bridge, S. C.","SC011","="
"Union","Roanoke Island, N. C.","NC002","="
"Union","Sabine Cross Roads, La and Pleasant Hill, La.","LA019","="
"Union","Sailor's Creek, Va.","VA093","="
"Union","Saltville, Va.","VA076","="
"Union","Savage Station, va","VA019","="
"Union","Secessionville, S. C.","SC002","="
"Union","Selma, Ala.","AL007","="
"Union","Shepherdstown Ford, Va.","WV016","="
"Union","Shiloh, Tenn.","TN003","="
"Union","Siege of Fort Wagner, S. C.","SC007","="
"Union","Siege of Suffolk, Va.","VA031","="
"Union","Smithfield, Va.","WV015",">"
"Union","South Mountain, Md","MD002","="
"Union","Spanish Fort, Ala.","AL005","="
"Union","Spotsylvania, Va.","VA048","="
"Union","Springfield, Mo.","MO018","="
"Union","St. Mary's Church, Va.","VA066","="
"Union","Stone's River, Tenn.","TN010","="
"Union","Strawberry Plains, Va.","VA069","="
"Union","Sugar Loaf Battery, N. C.","NC016","="
"Union","Thompson's Station, Tenn.","TN013","="
"Union","Tom's Brook; Woodstock, Va.","VA121","="
"Union","Totopotomoy, Va.","VA057","="
"Union","Town Creek, N. C.","NC016","="
"Union","Trevilian Station, Va.","VA099","="
"Union","Tupelo, Miss.","MS015","="
"Union","Upperville, Va.","VA038","="
"Union","Vicksburg Trenches, Miss.","MS011","="
"Union","Walthall; Chester Station, Va.","VA047","="
"Union","Wapping Heights, Va.","VA108","="
"Union","Ware Bottom Church, Va.","VA054","="
"Union","Wauhatchie, Tenn.","TN021","="
"Union","Weldon Railroad, Va.","VA072","="
"Union","West Point, Va.","VA011","="
"Union","White Oak Road, Va.","VA087","="
"Union","Wilcox's Bridge, N. C.","NC017","="
"Union","Wilderness, Va.","VA046","="
"Union","Williamsburg, Va.","VA010","="
"Union","Williamsport, Md","MD004","="
"Union","Wilson's Creek, Mo.","MO004","="
"Union","Wilson's Raid, Va.","VA113","="
"Union","Wilson's Raid, Va.","VA067","="
"Union","Wilson's Raid, Va.","VA068","="
"Union","Winchester, Va.","VA107",">"
"Union","Yellow Tavern, Va.","VA052","="
