battle_id,event_type,state,year,battle_name,start_date,end_date,text,casualties,killed,wounded,killed_wounded,missing_captured
,,DA,1865,Expedition from Camp Lyon to Malheur River,July 2,July 13,"OREGON--1st Cavalry (Detachments Cos. ""A,"" ""B"" and ""D"".",,,,,
,,DA,1865,"Skirmish, Malheur River",July 9,July 9,"OREGON--1st Cavalry (Detachments Cos. ""A,"" ""B"" and ""D"".",,,,,
,,DA,1865,Skirmish on Owyhee River,July 17,July 17,OREGON--1st Cavalry (Detachment).,,,,,
,,IT,1861,"Abandonment, Fort Washita",April 16,April 16,By U.S. Troops.,,,,,
,,IT,1861,"Abandonment, Fort Arbuckle",May 5,May 5,By U.S. Troops.,,,,,
,,IT,1861,"Abandonment, Fort Cobb",May 5,May 5,By U.S. Troops.,,,,,
,,IT,1861,"Engagement, ]Round Mountain",Nov. 19,Nov 19,"Confederate Forces, with Indians.",,,,,
,,IT,1861,"Engagement, Chusto Talasah.",Dec. 9,Dec 9,"Confederate Forces, with Indians.",,,,,
,,IT,1861,"Engagement, Chustenalah",Dec. 26,Dec 26,"Confederate Forces, with Indians.",,,,,
,,IT,1861,Operations against Hopo-eith-le-yo-ho-la,Dec. 29,Jan. 4,Confederate Forces.,,,,,
,,IT,1862,"Skirmish, Round Grove",June 5,June 5,INDIANA--2d Battery Light Arty.,,,,,
,,IT,1862,"Skirmish, Grand River",June 6,June 6,OHIO--2d Cavalry.,,,,,
,,IT,1862,"Skirmish, Locust Grove C. N",July 3,July 3,KANSAS--9th and 10th Cavalry (Detachments), 1st Battery Light Arty., 1st Indian Home Guard. Union loss. 3 killed.,,,
,,IT,1862,"Reconnoissance from Grand River to Fort Gibson, Tahliquah and Park Hill, and skirmishes ",July 14,July 17,KANSAS--6th and 10th Cavalry.,,,,,
,,IT,1862,Operations in Indian Territory,Sept. 19,Sept 24,KANSAS--Indian Battalion.,,,,,
,,IT,1862,"Skirmish, Fort Gibson",Oct. 15,Oct 15,KANSAS--3d Infantry, 1st Indian Home Guard.,,,,
,,IT,1862,"Skirmish, Fort Cobb",Oct. 21,Oct 21,Loyal Indians.,,,,,
,,IT,1862,"Action, Old Fort Wayne, or Beattie's Prairie, near Maysville",Oct. 22,Oct 22,"INDIANA--2d Battery Light Arty. KANSAS--2d and 6th Cavalry; 1st Battery Light Arty.; 10th and 11th Infantry: 1st and 3d Indian Home Guard. Union loss, 5 killed, 9 wounded. Total, 14.",,,,,
,,IT,1862,"Skirmish, Bayou Bernard",July 27,July 27,KANSAS--1st Indian Home Guard.,,,,,
,,IT,1862,"Skirmish, Bayou Bernard",July 28,July 28,"KANSAS--1st Battery Light Arty.; 1st, 2d and 3d Indian Home Guard.",,,,,
