"","battle_id","event_type","state","year","battle_name","start_date","end_date","text","casualties","killed","wounded","killed_wounded","missing_captured"
"1",NA,"Affair","AZ",1862,"April 16: Affair, Picacho Pass",1862-04-16,1862-04-16,"(Mo Reports.)","","","","",NA
"2",NA,"Occupation","AZ",1862,"May 16: Occupation of Tucson",1862-05-16,1862-05-16,"CALIFORNIA--1st Infantry.","","","","",NA
"3",NA,"Affair","AZ",1862,"Sept. 21: Affair, San Pedro Crossing",1862-09-21,1862-09-21,"CALIFORNIA--1st Cavalry (Detachment).","","","","",NA
"4",NA,"Skirmish","AZ",1863,"April 16: Skirmish near Fort Bowie",1863-04-16,1863-04-16,"CALIFORNIA--1st Cavalry (Detachment).","","","","",NA
"5",NA,"Affair","AZ",1863,"Aug. 22: Affair, San Pedro Crossing",1863-08-22,1863-08-22,"CALIFORNIA--1st Cavalry (Detachment).","","","","",NA
"6",NA,"Affair","AZ",1863,"Aug. 27: Affair, Fort Bowie",1863-08-27,1863-08-27,"CALIFORNIA--1st Cavalry (Co. ""E"").","","","","",NA
"7",NA,"Skirmishes","AZ",1863,"Sept. 8: Skirmishes, Chiricahua Mts",1863-09-08,1863-09-08,"CALIFORNIA--5th Infantry (Detachments).","","","","",NA
"8",NA,"Skirmish","AZ",1864,"Feb. 27: Skirmish, Pinos Altos",1864-02-27,1864-02-27,"CALIFORNIA--5th Infantry.","","","","",NA
"9",NA,"Expedition","AZ",1864,"May 16: Expedition to Gila Ever",1864-05-16,1864-05-16,"CALIFORNIA--1st Cavalry (Detachments Cos. ""C,"" ""F"" and ""L""); 5th Infantry (Detachments Cos. ""E,"" ""I"" and ""K"").","","","","",NA
"10",NA,"Skirmishes","AZ",1864,"June 16: Skirmishes, San Carlos River",1864-06-16,1864-06-16,"NEW MEXICO--1st Cavalry (Cos. ""B"" and ""F"").","","","","",NA
"11",NA,"Scout","AZ",1864,"July 16: Scout in Southeastern Arizona",1864-07-16,1864-07-16,"CALIFORNIA--1st Cavalry (Co. ""C""); 1st (Co. ""D"") and 5th (Co. ""A"") Infantry.","","","","",NA
"12",NA,"Expedition","AZ",1864,"July 16: Expedition to Pinal Mountains",1864-07-16,1864-07-16,"CALIFORNIA--1st Cavalry (Co. ""E""); 5th Infantry (Co. ""E""). NEW MEXICO---1st Infantry (Co. ""I"").","","","","",NA
"13",NA,"Expedition","AZ",1864,"Aug. 1: Expedition to Pinal Creek",1864-08-01,1864-08-01,"NEW MEXICO--1st Infantry.","","","","",NA
"14",NA,"Expedition","AZ",1864,"Dec. 10: Expedition in Central Arizona",1864-12-10,1864-12-10,"NEW MEXICO--1st Cavalry (Co. ""K"").","","","","",NA
"15",NA,"Skirmish","AZ",1864,"Dec. 15: Skirmish, Hassayampa Creek",1864-12-15,1864-12-15,"NEW MEXICO---1st Cavalry (Co. ""K"").","","","","",NA
"16",NA,"Expedition","AZ",1864,"Dec. 26: Expedition in Central Arizona",1864-12-26,1864-12-26,"NEW MEXICO--1st Cavalry (Detachment). UNITED","","","","",NA
"17",NA,"Skirmish","AZ",1865,"Jan. 1: Skirmish, Sycamore Springs",1865-01-01,1865-01-01,"NEW MEXICO---1st Cavalry (Detachment). UNITED STATES--5th Infantry (Co. ""F"").","","","","",NA
"18",NA,"Skirmish","AZ",1865,"Feb. 17: Skirmish, Fort Buchanan",1865-02-17,1865-02-17,"CALIFORNIA--1st Cavalry (Detachment).","","","","",NA
"19",NA,"Expedition","AZ",1865,"June 16: Expedition from Fort Bowie to Gila River",1865-06-16,1865-06-16,"CALIFORNIA--1st Cavalry (Detachments Cos. ""F,"" ""L"" and ""M"").","","","","",NA
"20",NA,"Skirmish","AZ",1865,"July 16: Skirmish, Cottonwood Creek",1865-07-16,1865-07-16,"CALIFORNIA--1st Cavalry (Detachments Cos. ""F,"" ""L"" and ""M"").","","","","",NA
"21",NA,"Skirmish","AZ",1865,"July 16: Skirmish, Cavalry Canon",1865-07-16,1865-07-16,"CALIFORNIA--1st Cavalry (Detachments Cos. ""F,"" ""L"" and ""M"").","","","","",NA
"22",NA,"Expedition","AZ",1865,"July 16: Expedition from Fort Bowie to Maricopa Wells ",1865-07-16,1865-07-16,"CALIFORNIA--1st Cavalry (Detachment).","","","","",NA
"23",NA,"Skirmish","CO",1863,"April 16: Skirmish near Squirrel River Crossing.",1863-04-16,1863-04-16,"COLORADO--3d Infantry (Detachment).","","","","",NA
"24",NA,"Scout","CO",1863,"Oct. 12: Scout from Fort Garland",1863-10-12,1863-10-12,"COLORADO--McLane's Battery Light Arty. (Detachment).","","","","",NA
"25",NA,"Expedition","CO",1864,"April 16: Expedition from Denver to Republican River, Kansas",1864-04-16,1864-04-16,"COLORADO--1st Cavalry (Co. ""D""); McLane's Battery Light Arty.","","","","",NA
"26",NA,"Skirmish","CO",1864,"April 16: Skirmish, Fremont's Orchard",1864-04-16,1864-04-16,"COLORADO--1st Cavalry (Cos. ""C"" and ""H""). Union loss, 2 killed, 4 wounded. Total, 6.","","","","",NA
"27",NA,"Expedition","CO",1864,"April 16: Expedition from Camp Sanborn to Beaver Creek. Kansas",1864-04-16,1864-04-16,"COLORADO--1st Cavalry (Cos. ""C"" and ""H"").","","","","",NA
"28",NA,"Skirmish","CO",1864,"May 16: Skirmish, Cedar Bluffs",1864-05-16,1864-05-16,"COLORADO--1st Cavalry (Cos. ""C"" and ""H""). Union loss, 1 killed, 1 wounded. Total, 2.","","","","",NA
"29",NA,"Scout","CO",1864,"May 16: Scout from American Ranch to Cedar Bluffs ",1864-05-16,1864-05-16,"COLORADO---1st Cavalry.","","","","",NA
"30",NA,"Scout","CO",1864,"July 16: Scout on South Platte River",1864-07-16,1864-07-16,"COLORADO--2d Cavalry.","","","","",NA
"31",NA,"Affair","CO",1864,"Aug. 7: Affair near Fort Lyon",1864-08-07,1864-08-07,"COLORADO---1st Cavalry (Cos. ""D,"" ""G"" and ""K"").","","","","",NA
"32",NA,"Skirmish","CO",1864,"Aug. 11: Skirmish near Sand Creek",1864-08-11,1864-08-11,"COLORADO--1st Cavalry (Cos. ""D,"" ""G"" and ""K"").","","","","",NA
"33",NA,"Scout","CO",1864,"Aug. 12: Scout on Fort Union Road, near Fort Garland ",1864-08-12,1864-08-12,"COLORADO--1st Cavalry (Detachment).","","","","",NA
"34",NA,"Skirmish","CO",1864,"Aug. 22: Skirmish, Atkins' Ranch",1864-08-22,1864-08-22,"COLORADO---1st Cavalry.","","","","",NA
"35",NA,"Skirmish","CO",1864,"Oct. 10: Skirmish near Valley Station",1864-10-10,1864-10-10,"COLORADO---3d Cavalry (Detachment).","","","","",NA
"36",NA,"Affairs","CO",1864,"Nov. 6: Affairs near Fort Lyon",1864-11-06,1864-11-06,"COLORADO---1st Cavalry.","","","","",NA
"37",NA,"Engagement","CO",1864,"Nov. 29: Engagement on Sand Creek",1864-11-29,1864-11-29,"COLORADO---1st and 3d Cavalry. Union loss, 3 killed, 21 wounded, Total, 24.","","","","",NA
"38",NA,"Skirmish","CO",1865,"Jan. 7: Skirmish, Valley Station",1865-01-07,1865-01-07,"COLORADO--1st Cavalry.","","","","",NA
"39",NA,"Skirmish","CO",1865,"Jan. 7: Skirmish, Julesburg",1865-01-07,1865-01-07,"IOWA--7th Cavalry (1 Co.). Union loss, 14 killed, 2 wounded. Total, 16.","","","","",NA
"40",NA,"Skirmish","CO",1865,"Jan. 14: Skirmish, Godfrey's Ranch",1865-01-14,1865-01-14,"COLORADO--2d Cavalry (Detachment).","","","","",NA
"41",NA,"Skirmish","CO",1865,"Jan. 14: Skirmish, Valley Station",1865-01-14,1865-01-14,"COLORADO--1st Cavalry (Co. ""C"").","","","","",NA
"42",NA,"Skirmish","CO",1865,"Jan. 14: Skirmish, Morrison's, or American Ranch",1865-01-14,1865-01-14,"COLORADO--1st Cavalry (Co. ""C"").","","","","",NA
"43",NA,"Operations","CO",1865,"Jan. 14: Operations on Overland Stage Route between Denver and Julesburg",1865-01-14,1865-01-14,"COLORADO--1st and 2d (Detachment)Cavalry. NEBRASKA--1st Cavalry. OHIO--11th Cavalry.","","","","",NA
"44",NA,"Skirmish","CO",1865,"Jan. 15: Skirmish, Wisconsin Ranch",1865-01-15,1865-01-15,"COLORADO---1st Cavalry (Co. ""C"").","","","","",NA
"45",NA,"Skirmish","CO",1865,"Jan. 15: Skirmish, Gittrell's Ranch",1865-01-15,1865-01-15,"Ranchmen.","","","","",NA
"46",NA,"Skirmish","CO",1865,"Jan. 25: Skirmish, Moore's Ranch",1865-01-25,1865-01-25,"Ranchmen.","","","","",NA
"47",NA,"Skirmish","CO",1865,"Jan. 26: Skirmish, Lillian Springs Ranch",1865-01-26,1865-01-26,"Ranchmen.","","","","",NA
"48",NA,"Skirmish","CO",1865,"Jan. 28: Skirmish near Valley Station",1865-01-28,1865-01-28,"Ranchmen.","","","","",NA
"49",NA,"Affair","CO",1865,"Feb. 2: Affair, Julesburg",1865-02-02,1865-02-02,"IOWA--7th Cavalry (1 Co.). Attack on Overland Stage Station.","","","","",NA
"50",NA,"Operations","CO",1865,"Feb. 2: Operations on North Platte River",1865-02-02,1865-02-02,"NEBRASKA--1st Cavalry. OHIO--11th Cavalry.","","","","",NA
"51",NA,"Affair","CO",1865,"April 16: Affair, Fort Garland",1865-04-16,1865-04-16,"Indian attack.","","","","",NA
"52",NA,"Skirmish","CO",1865,"May 16: Skirmish, Dan Smith's Ranch, near Julesburg ",1865-05-16,1865-05-16,"Indian attack.","","","","",NA
"53",NA,"Operations","CO",1865,"June 16: Operations near Fort Collins",1865-06-16,1865-06-16,"COLORADO--1st Cavalry.","","","","",NA
"54",NA,"Skirmish","CO",1865,"June 16: Skirmish, Sage Creek",1865-06-16,1865-06-16,"OHIO--11th Cavalry (Detachment).","","","","",NA
"55",NA,"Action","DA",1862,"June 16: Action, Fort Abercrombie",1862-06-16,1862-06-16,"MINNESOTA--5th Infantry (Co. ""D"").","","","","",NA
"56",NA,"Skirmish","DA",1862,"Sept. 3: Skirmish, Fort Abercrombie",1862-09-03,1862-09-03,"(No Reports.)","","","","",NA
"57",NA,"Action","DA",1862,"Sept. 6: Action, Fort Abercrombie",1862-09-06,1862-09-06,"MINNESOTA--5th Infantry. Union loss, 1 killed. 2 wounded. Total, 3.","","","","",NA
"58",NA,"Action","DA",1862,"Sept. 26: Action, Fort Abercrombie",1862-09-26,1862-09-26,"MINNESOTA--9th Infantry.","","","","",NA
"59",NA,"Skirmish","DA",1863,"Feb. 20: Skirmish, Fort Halleck",1863-02-20,1863-02-20,"KANSAS---9th Cavalry. Union loss. 1 killed.","","","","",NA
"60",NA,"Operations","DA",1863,"June 16: Operations against Sioux Indians",1863-06-16,1863-06-16,"MINNESOTA--1st Cavalry; Mounted Rangers; 3d Battery Light Arty.; 6th, 7th, 9th (Detachment) and 10th Infantry. <dy_985>","","","","",NA
"61",NA,"Action","DA",1863,"July 16: Action, Big Mound",1863-07-16,1863-07-16,"MINNESOTA--1st Cavalry; Mounted Rangers; 3d Battery Light Arty.; 6th, 7th, 9th (Detachment) and 10th Infantry. Union loss, 4 killed, 4 wounded. Total, 8.","","","","",NA
"62",NA,"Engagement","DA",1863,"July 16: Engagement, Dead Buffalo Lake",1863-07-16,1863-07-16,"MINNESOTA--1st Cavalry; Mounted Rangers; 3d Battery Light Arty.; 6th. 7th, 9th (Detachment) and 10th Infantry. Union loss, 1 killed.","","","","",NA
"63",NA,"Action","DA",1863,"July 16: Action, Stony Lake",1863-07-16,1863-07-16,"MINNESOTA--1st Cavalry; Mounted Rangers; 3d Battery Light Arty.; 6th, 7th, 9th (Detachment) and 10th Infantry. Union loss, 1 killed, 2 wounded. Total, 3.","","","","",NA
"64",NA,"Actions","DA",1863,"July 16: Actions, Missouri River",1863-07-16,1863-07-16,"MINNESOTA--1st Cavalry"," Mounted Rangers"," 3d Battery Light Arty."," 6th Infantry.","",NA
"65",NA,"Expedition","DA",1863,"Aug. 13: Expedition against Sioux Indians in Dakota (Sully's)",1863-08-13,1863-08-13,"IOWA--6th and 7th (Detachment) Cavalry. NEBRASKA-2d Cavalry.","","","","",NA
"66",NA,"Engagement","DA",1863,"Sept. 3: Engagement, Whitestone Hill",1863-09-03,1863-09-03,"IOWA--6th and 7th (Detachment) Cavalry. NEBRASKA-2d Cavalry. Union loss, 20 killed, 38 wounded. Total, 58.","","","","",NA
"67",NA,"Affair","DA",1863,"Dec. 1: Affair with Ponca Indians",1863-12-01,1863-12-01,"IOWA--7th Cavalry (Detachment).","","","","",NA
"68",NA,"Expedition","DA",1864,"July 16: Expedition up James River",1864-07-16,1864-07-16,"MINNESOTA--3d Battery Light Arty. (Detachment). WISCONSIN--2d Cavalry (Co. ""M""); 30th Infantry (Detachment).","","","","",NA
"69",NA,"Expedition","DA",1864,"July 16: Expedition against Sioux Indians (Sully's)",1864-07-16,1864-07-16,"DAKOTA--1st Battalion Cavalry. IOWA--6th and 7th Cavalry. MINNESOTA--2d Cavalry; Indpt. Battalion Cavalry; Brackett's Battalion Cavalry; 3d Battery Light Arty.; 8th Infantry (Mounted), Pope's Prairie Battery; Indpt. Company Indian Scouts.","","","","",NA
"70",NA,"Action","DA",1864,"July 16: Action, Tah kah a kuty",1864-07-16,1864-07-16,"DAKOTA--1st Battalion Cavalry; Pope's Prairie Battery. IOWA--6th and 7th Cavalry. MINNESOTA--2d Cavalry; Brackett's Battalion Cavalry; 3d Battery Light Arty.; 8th Infantry (Mounted). Union loss, 5 killed, 10 wounded. Total, 15.","","","","",NA
"71",NA,"Action","DA",1864,"Aug. 8: Action, Two Hills, Bad Lands, Little Missouri River",1864-08-08,1864-08-08,"DAKOTA--1st Battalion Cavalry"," Pope's Prairie Battery. IOWA--6th and 7th Cavalry. MINNESOTA--2d Cavalry"," Brackett's Battalion Cavalry"," 3d Battery Light Arty."," 8th Infantry (Mounted).",NA
"72",NA,"Skirmish","DA",1864,"Aug. 12: Skirmish, Little Blue.",1864-08-12,1864-08-12,"IOWA--7th Cavalry. Union loss, 2 killed.","","","","",NA
"73",NA,"Expedition","DA",1864,"Sept. 11: Expedition from Fort Rice to relief of Fiske's Emigrant Train",1864-09-11,1864-09-11,"IOWA--6th Cavalry. MINNESOTA--2d Cavalry"," Brackett's Battalion Cavalry.","","","",NA
"74",NA,"Skirmish.","DA",1864,"Sept. 27: Skirmish. Fort Rice",1864-09-27,1864-09-27,"IOWA--6th Cavalry. KANSAS--11th Cavalry (Detachment).","","","","",NA
"75",NA,"Scout","DA",1865,"April 16: Scout from Deer Creek to Sage Creek.",1865-04-16,1865-04-16,"","","","","",NA
"76",NA,"Affair","DA",1865,"April 16: Affair, Fort Rice",1865-04-16,1865-04-16,"UNITED STATES--1st Infantry Vols. (Detachment).","","","","",NA
"77",NA,"Scout","DA",1865,"May 16: Scout from Sweetwater Bridge to Whiskey Gap",1865-05-16,1865-05-16,"KANSAS--11th Cavalry (Detachment).","","","","",NA
"78",NA,"Skirmish","DA",1865,"May 16: Skirmish, Deer Creek Station",1865-05-16,1865-05-16,"KANSAS--11th Cavalry (Detachment).","","","","",NA
"79",NA,"Expedition","DA",1865,"May 16: Expedition from Camp Plumb",1865-05-16,1865-05-16,"KANSAS--11th Cavalry (Detachment).","","","","",NA
"80",NA,"Operations","DA",1865,"May 16: Operations, Three Crossings Station",1865-05-16,1865-05-16,"KANSAS--11th Cavalry (Detachment).","","","","",NA
"81",NA,"Operations","DA",1865,"May 16: Operations on Platte and Sweetwater Rivers ",1865-05-16,1865-05-16,"OHIO--11th Cavalry (Detachment).","","","","",NA
"82",NA,"Skirmish.","DA",1865,"May 16: Skirmish. St. Mary's Station",1865-05-16,1865-05-16,"OHIO--11th Cavalry (Detachment).","","","","",NA
"83",NA,"Operations","DA",1865,"June 16: Operations, Fort Rice",1865-06-16,1865-06-16,"UNITED STATES--1st Infantry Vols.","","","","",NA
