"","battle_id","event_type","state","year","battle_name","start_date","end_date","text","casualties","killed","wounded","killed_wounded","missing_captured"
"143",NA,"Skirmish","IT",1863,"May 16: Skirmish, Fort Blunt",1863-05-16,1863-05-16,"KANSAS---3d Indian Home Guard. Loss included in Fort Gibson. May 25.","","","","",NA
"144",NA,"Skirmish","IT",1863,"May 16: Skirmish, Fort Gibson",1863-05-16,1863-05-16,"COLORADO--2d Infantry. KANSAS---2d Battery Light Arty.; 1st Colored Infantry. Union loss, 5 killed, 7 wounded. Total, 12.","","","","",NA
"145",NA,"Skirmish","IT",1863,"June 16: Skirmish, Fort Gibson",1863-06-16,1863-06-16,"KANSAS--3d Indian Home Guard.","","","","",NA
"146",NA,"Skirmish","IT",1863,"June 16: Skirmish, Spring Creek.",1863-06-16,1863-06-16,"","","","","",NA
"147",NA,"Operations","IT",1863,"June 16: Operations about Fort Gibson",1863-06-16,1863-06-16,"KANSAS--3d Indian Home Guard. KANSAS--2d Battery Light Arty.; 1st, 2d and 3d Indian Home Guard.","","","","",NA
"148",NA,"Skirmish","IT",1863,"June 16: Skirmish, Fort Gibson",1863-06-16,1863-06-16,"KANSAS--1st Indian Home Guard.","","","","",NA
"149",NA,"Skirmish","IT",1863,"June 16: Skirmish, Greenleaf Prairie",1863-06-16,1863-06-16,"KANSAS--2d Battery Light Arty.: 6th Cavalry: 1st, 2d and 3d Indian Home Guard. Union loss, 4 killed, 8 wounded. Total, 12.","","","","",NA
"150",NA,"Skirmish","IT",1863,"June 16: Skirmish, Fort Gibson",1863-06-16,1863-06-16,"KANSAS--3d Indian Home Guard.","","","","",NA
"151",NA,"Skirmish","IT",1863,"June 16: Skirmish, Hudson's Ford, Neosho River.",1863-06-16,1863-06-16,"(No Reports.)","","","","",NA
"152",NA,"Engagement","IT",1863,"July 16: Engagement, Cabin Creek",1863-07-16,1863-07-16,"COLORADO--2d and 3d Cavalry. KANSAS----2d, 6th and 9th Cavalry: 2d Battery; 14th Infantry; (Co. ""B,"") 1st Colored Infantry: 1st, 2d and 3d Indian Home Guard. WISCONSIN--3d Cavalry (Co. ""B""). Union loss. 1 killed. 20 wounded. Total, 21.","","","","",NA
"153",NA,"Skirmish","IT",1863,"July 16: Skirmish, Cabin Creek",1863-07-16,1863-07-16,"KANSAS----2d Battery Light Arty.","","","","",NA
"154",NA,"Engagement","IT",1863,"July 16: Engagement, Elk Creek, near Honey Springs",1863-07-16,1863-07-16,"COLORADO--2d Cavalry (Detachment). KANSAS---2d, 6th and 9th Cavalry: 2d Battery Light Arty.; Hopkin's Battery Light Arty.; 1st Colored Infantry; 1st, 2d and 3d Indian Home Guard. Union loss, 13 killed, 62 wounded. Total, 75.","","","","",NA
"155",NA,"Skirmish","IT",1863,"July 16: Skirmish, Cheyenne Fork",1863-07-16,1863-07-16,"OHIO--11th Cavalry.","","","","",NA
"156",NA,"Skirmish","IT",1863,"July 16: Skirmish, Cabin Creek.",1863-07-16,1863-07-16,"KANSAS---1st Indian Home Guard.","","","","",NA
"157",NA,"Action","IT",1863,"Aug. 26: Action, Perryville",1863-08-26,1863-08-26,"ARKANSAS--1st Infantry. INDIANA--2d Battery Light Arty. COLORADO--2d Cavalry. KANSAS---6th Cavalry. MISSOURI--6th State Militia Cavalry. WISCONSIN--3d Cavalry. Union loss, 4 wounded.","","","","",NA
"158",NA,"Skirmishes","IT",1863,"Aug. 30: Skirmishes, Scullyville",1863-08-30,1863-08-30,"INDIANA--2d Battery Light Arty. KANSAS---2d Cavalry"," 10th and 13th Infantry. MISSOURI--6th Cavalry.","","","",NA
"159",NA,"Skirmish","IT",1863,"Sept. 9: Skirmish, Weber Fails",1863-09-09,1863-09-09,"COLORADO--2d Cavalry.","","","","",NA
"160",NA,"Skirmish","IT",1863,"Sept. 14: Skirmish, Seneca Station",1863-09-14,1863-09-14,"ARKANSAS--1st Infantry.","","","","",NA
"161",NA,"Operations","IT",1863,"Sept. 11: Operations in Cherokee Nation",1863-09-11,1863-09-11,"KANSAS--2d, 6th and 14th Cavalry; 1st Colored Infantry; 2d and 3d Indian Home Guard.","","","","",NA
"162",NA,"Skirmish","IT",1863,"Oct. 7: Skirmish, Choctaw Nation",1863-10-07,1863-10-07,"WISCONSIN--3d Cavalry.","","","","",NA
"163",NA,"Skirmish","IT",1863,"Oct. 11: Skirmish, Brazil Creek",1863-10-11,1863-10-11,"WISCONSIN--3d Cavalry.","","","","",NA
"164",NA,"Skirmish","IT",1863,"Oct. 12: Skirmish, Weber Falls",1863-10-12,1863-10-12,"KANSAS---6th Cavalry.","","","","",NA
"165",NA,"Skirmishes","IT",1863,"Oct. 15: Skirmishes, Creek Agency",1863-10-15,1863-10-15,"INDIANA--2d Battery Light Arty. KANSAS---1st Indian Home Guard.","","","","",NA
"166",NA,"Skirmish","IT",1863,"Oct. 30: Skirmish, 14-mile Creek",1863-10-30,1863-10-30,"KANSAS--3d Indian Home Guard.","","","","",NA
"167",NA,"Skirmish","IT",1863,"Nov. 9: Skirmish, Choctaw Nation",1863-11-09,1863-11-09,"KANSAS---2d Cavalry.","","","","",NA
"168",NA,"Skirmishes","IT",1863,"Nov. 11: Skirmishes, Greenleaf Prairie",1863-11-11,1863-11-11,"(No Reports.)","","","","",NA
"169",NA,"Attack","IT",1863,"Dec. 16: Attack on Fort Gibson",1863-12-16,1863-12-16,"KANSAS--1st, 2d and 3d Indian Home Guard; Repulse of Quantrell.","","","","",NA
"170",NA,"Skirmish","IT",1863,"Dec. 18: Skirmish near Sheldon Place, Barren Fork",1863-12-18,1863-12-18,"KANSAS---1st, 2d and 3d Indian Home Guard. Union loss, 1 killed, 2 wounded. Total, 3.","","","","",NA
"171",NA,"Skirmish","IT",1863,"Dec. 26: Skirmish near Fort Gibson",1863-12-26,1863-12-26,"KANSAS--3d Indian Home Guard.","","","","",NA
"172",NA,"Operations","IT",1864,"Feb. 1: Operations in Indian Territory",1864-02-01,1864-02-01,"KANSAS--14th Cavalry"," 1st and 3d Indian Home Guard.","","","",NA
"173",NA,"Skirmish","IT",1864,"April 16: Skirmish, Fort Gibson",1864-04-16,1864-04-16,"(No Reports.) ","","","","",NA
"174",NA,"Action","IT",1864,"April 16: Action, Scullyville",1864-04-16,1864-04-16,"KANSAS--3d Indian Home Guard. Loss, 2 killed.","","","","",NA
"175",NA,"Affair","IT",1864,"June 16: Affair, Hudson's Crossing, Neosho River",1864-06-16,1864-06-16,"KANSAS--Detachment Indian Home Guard.","","","","",NA
"176",NA,"Affair","IT",1864,"June 16: Affair, San Bois Creek",1864-06-16,1864-06-16,"Capture of Steamer J. R. Williams. (No Details.)","","","","",NA
"177",NA,"Skirmish","IT",1864,"June 16: Skirmish, Iron Bridge",1864-06-16,1864-06-16,"KANSAS---6th Cavalry.","","","","",NA
"178",NA,"Skirmish","IT",1864,"July 16: Skirmish, Cheyenne Fork",1864-07-16,1864-07-16,"OHIO--11th Cavalry.","","","","",NA
"179",NA,"Skirmish","IT",1864,"July 16: Skirmish, Deer Creek Telegraph Station",1864-07-16,1864-07-16,"OHIO--11th Cavalry.","","","","",NA
"180",NA,"Skirmish","IT",1864,"Aug. 14: Skirmish, LaBonti Creek",1864-08-14,1864-08-14,"OHIO--11th Cavalry.","","","","",NA
"181",NA,"Engagement","IT",1864,"Aug. 21: Engagement, Canadian River",1864-08-21,1864-08-21,"COLORADO--2d Cavalry.","","","","",NA
"182",NA,"Skirmish","IT",1864,"Aug. 24: Skirmish, Gunter's Prairie",1864-08-24,1864-08-24,"Confederate Reports.","","","","",NA
"183",NA,"Skirmish","IT",1864,"Sept. 2: Skirmish, Verdegris Camp",1864-09-02,1864-09-02,"KANSAS--14th Cavalry.","","","","",NA
"184",NA,"Action","IT",1864,"Sept. 14: Action, Prior Creek",1864-09-14,1864-09-14,"Williams' Brigade, Frontier Division, 7th Corps.","","","","",NA
"185",NA,"Actions","IT",1864,"Sept. 16: Actions, Fort Gibson",1864-09-16,1864-09-16,"KANSAS--2d Cavalry; 1st Colored Infantry (79th U.S. C.T.). Union loss, 38 killed, 48 missing. Total, 86.","","","","",NA
"186",NA,"Action","IT",1864,"Sept. 19: Action, Cabin Creek",1864-09-19,1864-09-19,"KANSAS---2d, 6th and 14th Cavalry; 1st, 2d and 3d Indian Home Guard; 1st Colored Infantry (79th U.S. C.T.). Union loss, 7 killed, 6 wounded, 4 missing. Total, 17.","","","","",NA
"187",NA,"Skirmish","IT",1864,"Oct. 4: Skirmish, Scullyville",1864-10-04,1864-10-04,"ARKANSAS--1st Battery Light Arty.","","","","",NA
"188",NA,"Skirmish","IT",1864,"Nov. 19: Skirmish, Timber Hill",1864-11-19,1864-11-19,"KANSAS--1st Colored Infantry (79th U.S. C. T.).","","","","",NA
"189",NA,"Skirmish","IT",1864,"Dec. 9: Skirmish, Fort Lyons",1864-12-09,1864-12-09,"COLORADO--1st Cavalry (Detachment). Union loss, 9","","","","",NA
"190",NA,"Expedition","IT",1865,"March 16: Expedition from Fort Gibson to Little River and Hillabee",1865-03-16,1865-03-16,"KANSAS--1st and 3d Indian Home Guard (Detachments).","","","","",NA
