date,description,confederate,union,theater,cwsac_id,cwsac_battle_name
1864-05-15,"Yellow Bayou, LA - May 18",500,360,Trans-Mississippi,LA023,Yellow Bayou
1864-05-15,"Spotsylvania C. H., VA - May 8-21",12451,18000,Eastern,VA048,Spotsylvania Court House
1864-05-15,"Warre Bottom Church Hewlet, VA-May20",750,750,Eastern,VA054,Ware Bottom Church
1864-05-22,"North Anna, VA May 23-26",1550,2623,Eastern,VA055,North Anna
1864-05-22,"Wilson's Wharf, VA - May 24",140,26,Eastern,VA056,Wilson's Wharf
1864-05-22,"New Hope Church, GA - May 25-26",350,665,Western,GA010,New Hope Church
1864-05-22,"Pickett's Mill, GA - May 27",450,1600,Western,GA012,Pickett's Mill
1864-05-22,"Dallas, GA - May 28",1250,380,Western,GA011,Dallas
1864-05-22,"Haw's Shop, VA May 28",400,344,Eastern,VA058,Haw's Shop
1864-05-29,"Totopotomoy Ck/Bcthesda, VA - May28-30",1591,731,Eastern,VA057,Totopotomoy Creek
1864-05-29,"Matadequin Creek, VA - May 30",NA,90,Eastern,VA059,Old Church
1864-05-29,"Cold Harbor, VA - May 31-June 12",5294,13000,Eastern,VA062,Cold Harbor
1864-06-05,"Piedmont, VA - June 5",1600,875,Eastern,VA111,Piedmont
1864-06-05,"Ditch Bayou, AR June 6",37,133,Trans-Mississippi,AR017,Old River Lake
1864-06-05,"Petersburg I, VA - June 9",60,60,Eastern,VA098,Petersburg
1864-06-05,"Brices Cross Roads, MS - June 10",493,2612,Western,MS014,Brice's Cross Roads
1864-06-05,"Trevilian Station, VA- June 11-12",1071,1007,Eastern,VA099,Trevilian Station
1864-06-05,"Cynthiana, KY - June 11-12",1000,1092,Western,KY011,Cynthiana
1864-06-12,"Petersburg II, VA-June 15-18",4700,10600,Eastern,VA063,Petersburg
1864-06-12,"Lynchburg, VA - June 17-18",200,700,Eastern,VA064,Lynchburg
1864-06-19,"Kolb's Farm, GA - June 22",1000,350,Western,GA014,Kolb's Farm
1864-06-19,"Jerusalem Plank Road, VA - June 21-23",572,2962,Eastern,VA065,Jerusalem Plank Road
1864-06-19,Samaria Church. VA - June 24,250,350,Eastern,VA066,Saint Mary's Church
1864-06-19,"Staunton River Bridge, VA - June 25",75,75,Eastern,VA113,Staunton River Bridge
1864-06-26,"Reams Station, VA - June 29",722,723,Eastern,VA068,Ream's Station
1864-06-26,"Kennesaw Mountain, GA-June 27",1000,3000,Western,GA015,Kennesaw Mountain
1864-07-03,"Monocacy, MD - July 9",800,1294,Eastern,MD007,Monocacy
1864-07-10,"Fort Stevens, DC - July 11-12",500,373,Eastern,DC001,Fort Stevens
1864-07-10,"Tupelo, MS - July 14-15",1326,674,Western,MS015,Tupelo
1864-07-17,"Cool Spring, VA - July 17-18",397,422,Eastern,VA114,Cool Spring
1864-07-17,"Rutherford's Farm, VA - July 20",500,242,Eastern,VA115,Rutherford's Farm
1864-07-17,"Peachtree Creek, GA - July 20",4796,1710,Western,GA016,Peachtree Creek
1864-07-17,"Atlanta, GA - July 22",8499,3641,Western,GA017,Atlanta
1864-07-24,"Second Kernstown, VA - July 24",600,1185,Eastern,VA116,"Kernstown, Second"
1864-07-24,"First Deep Bottom, VA July 27 29",500,500,Eastern,VA069,Deep Bottom I
1864-07-24,"Ezra Church, GA - July 28",4642,700,Western,GA018,Ezra Church
1864-07-24,"Killdeer Mountain, ND - July 28-29",31,15,Trans-Mississippi,ND005,Killdeer Mountain
1864-07-24,"The Crater, VA - July 30",1491,3798,Eastern,VA070,Crater
1864-07-31,"Folck's Mill, MD - August 1",30,30,Eastern,MD008,Folck's Mill
1864-07-31,"Utoy Creek, GA - August 5-7",225,400,Western,GA019,Utoy Creek
1864-08-07,"Morefield, WVA - August 7",500,31,Eastern,WV013,Moorefield
1864-08-14,"Guard Hill, VA - August 16",480,71,Eastern,VA117,Guard Hill
1864-08-14,"Second Deep Bottom, VA - August 1 3-20",1300,2900,Eastern,VA071,Deep Bottom II
1864-08-14,"Globe Tavern, VA - July 18-21",1600,4455,Eastern,VA072,Globe Tavern
1864-08-14,"Lovejoy's Station, GA - August 20",240,237,Western,GA021,Lovejoy's Station
1864-08-21,"Summit Pt/Cameron's Dt, WVA - Aug, 21",400,600,Eastern,WV014,Summit Point
1864-08-21,"Memphis II, TN - August 21",62,480,Western,TN031,Memphis
1864-08-21,"Mobile Bay, AI . - August 2-23",1500,327,Western,AL003,Mobile Bay
1864-08-21,Reams Station 11. VA - August 25,814,2742,Eastern,VA073,Ream's Station
1864-08-28,"Smithfield Crossing, WVA - Aug. 28-29",200,100,Eastern,WV015,Smithfield Crossing
1864-08-28,"Jonesboro, GA - August 31-September 1",2000,1149,Western,GA022,Jonesborough
1864-08-28,"Berryville, VA - September 3-4",195,312,Eastern,VA118,Berryville
1864-09-18,"Opequon (3rd Winchester), VA - Sept. 19",3610,5020,Eastern,VA119,Opequon
1864-09-18,"Fisher's Hill, VA - September 21 -22",1235,528,Eastern,VA120,Fisher's Hill
1864-09-25,"Pilot Knob, MO - September 26-28",900,213,Trans-Mississippi,MO021,Fort Davidson
1864-09-25,"Chaffin's Farm, VA - September 29-30",1700,3300,Eastern,VA075,"Chaffin's Farm/New Market
Heights"
1864-09-25,"New Market Heights, VA - Sept. 29-30",50,850,Eastern,VA075,"Chaffin's Farm/New Market
Heights"
1864-10-02,"Peebles' Farm, VA - October 2",1300,2869,Eastern,VA074,Peebles' Farm
1864-10-02,"Saltville I, VA - October 2",108,350,Western,VA076,Saltville
1864-10-02,"Allatoona, GA - October 5",897,706,Western,GA023,Allatoona
1864-10-02,"Darbytown & New Market, VA - Oct 7",700,458,Eastern,VA077,"Darbytown & New Market
Roads"
1864-10-09,"Tom's Brook, VA - October 9",350,57,Eastern,VA121,Tom's Brook
